* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 18, 2023 3:03:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop May vdsf R
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 81.103 39.0434
20.507813 81.071 38.4715
20.874023 80.966 36.7240
21.240234 80.820 34.4153
21.606445 80.684 31.9556
21.972656 80.636 29.8031
22.338867 80.731 28.2362
22.705078 80.941 27.2574
23.071289 81.167 26.7912
23.437500 81.314 26.8786
23.803711 81.354 27.5846
24.169922 81.332 28.6768
24.536133 81.324 29.4567
24.902344 81.361 29.0871
25.268555 81.412 27.2774
25.634766 81.432 24.7585
26.000977 81.447 23.0353
26.367188 81.606 23.3839
26.733399 82.093 25.7632
27.099610 82.902 28.6945
27.465821 83.776 30.3704
27.832032 84.417 29.9196
28.198243 84.642 27.7320
28.564454 84.400 24.9489
28.930665 83.750 22.7839
29.296876 82.873 21.9298
29.663087 82.064 22.1611
30.029298 81.610 22.4949
30.395509 81.569 21.9862
30.761720 81.756 20.4881
31.127931 81.969 18.6614
31.494142 82.108 17.3381
31.860353 82.168 16.9024
32.226563 82.185 17.1384
32.592774 82.184 17.5069
32.958985 82.176 17.5379
33.325196 82.171 17.0498
33.691407 82.190 16.1158
34.057618 82.251 14.9163
34.423829 82.350 13.6464
34.790040 82.454 12.5168
35.156251 82.524 11.7606
35.522462 82.540 11.5631
35.888673 82.515 11.9326
36.254884 82.477 12.6298
36.621095 82.450 13.2514
36.987306 82.433 13.4373
37.353517 82.411 13.0590
37.719728 82.375 12.2540
38.085939 82.332 11.3011
38.452150 82.301 10.4449
38.818361 82.300 9.7927
39.184572 82.329 9.3263
39.550783 82.371 8.9798
39.916994 82.408 8.7041
40.283205 82.431 8.4737
40.649416 82.440 8.2596
41.015627 82.443 8.0129
41.381838 82.446 7.6826
41.748049 82.450 7.2505
42.114260 82.455 6.7473
42.480471 82.461 6.2362
42.846682 82.469 5.7764
43.212893 82.482 5.3959
43.579103 82.499 5.0884
43.945314 82.517 4.8295
44.311525 82.531 4.5960
44.677736 82.538 4.3740
45.043947 82.538 4.1561
45.410158 82.534 3.9342
45.776369 82.529 3.6969
46.142580 82.526 3.4323
46.508791 82.528 3.1336
46.875002 82.533 2.8035
47.241213 82.541 2.4532
47.607424 82.550 2.0977
47.973635 82.558 1.7492
48.339846 82.565 1.4119
48.706057 82.569 1.0827
49.072268 82.570 0.7551
49.438479 82.569 0.4263
49.804690 82.567 0.1004
50.170901 82.564 -0.2124
50.537112 82.564 -0.5029
50.903323 82.567 -0.7680
51.269534 82.574 -1.0139
51.635745 82.583 -1.2516
52.001956 82.592 -1.4913
52.368167 82.598 -1.7369
52.734378 82.600 -1.9855
53.100589 82.599 -2.2315
53.466800 82.598 -2.4717
53.833011 82.598 -2.7083
54.199222 82.600 -2.9475
54.565432 82.604 -3.1952
54.931643 82.607 -3.4530
55.297854 82.605 -3.7175
55.664065 82.599 -3.9840
56.030276 82.589 -4.2520
56.396487 82.578 -4.5275
56.762698 82.568 -4.8203
57.128909 82.561 -5.1362
57.495120 82.559 -5.4705
57.861331 82.562 -5.8058
58.227542 82.568 -6.1176
58.593753 82.577 -6.3852
58.959964 82.587 -6.5999
59.326175 82.598 -6.7691
59.692386 82.608 -6.9121
60.058597 82.613 -7.0523
60.424808 82.613 -7.2095
60.791019 82.608 -7.3949
61.157230 82.598 -7.6108
61.523441 82.586 -7.8527
61.889652 82.576 -8.1128
62.255863 82.571 -8.3841
62.622074 82.571 -8.6619
62.988285 82.576 -8.9445
63.354496 82.583 -9.2307
63.720707 82.590 -9.5172
64.086918 82.594 -9.7968
64.453129 82.593 -10.0599
64.819340 82.589 -10.2986
65.185551 82.582 -10.5108
65.551762 82.577 -10.7020
65.917972 82.575 -10.8829
66.284183 82.577 -11.0646
66.650394 82.583 -11.2554
67.016605 82.592 -11.4602
67.382816 82.602 -11.6840
67.749027 82.611 -11.9351
68.115238 82.616 -12.2247
68.481449 82.613 -12.5624
68.847660 82.600 -12.9480
69.213871 82.572 -13.3651
69.580082 82.529 -13.7797
69.946293 82.473 -14.1476
70.312504 82.412 -14.4278
70.678715 82.357 -14.5992
71.044926 82.319 -14.6739
71.411137 82.308 -14.6986
71.777348 82.326 -14.7418
72.143559 82.367 -14.8687
72.509770 82.420 -15.1126
72.875981 82.468 -15.4576
73.242192 82.501 -15.8407
73.608403 82.513 -16.1761
73.974614 82.508 -16.3901
74.340825 82.492 -16.4522
74.707036 82.476 -16.3856
75.073247 82.466 -16.2548
75.439458 82.462 -16.1367
75.805669 82.461 -16.0911
76.171880 82.458 -16.1445
76.538091 82.449 -16.2910
76.904301 82.435 -16.5046
77.270512 82.416 -16.7536
77.636723 82.395 -17.0092
78.002934 82.374 -17.2493
78.369145 82.357 -17.4602
78.735356 82.345 -17.6398
79.101567 82.340 -17.8005
79.467778 82.343 -17.9677
79.833989 82.352 -18.1706
80.200200 82.364 -18.4292
80.566411 82.372 -18.7430
80.932622 82.375 -19.0897
81.298833 82.371 -19.4353
81.665044 82.363 -19.7491
82.031255 82.355 -20.0158
82.397466 82.347 -20.2364
82.763677 82.342 -20.4210
83.129888 82.338 -20.5777
83.496099 82.332 -20.7062
83.862310 82.325 -20.8003
84.228521 82.315 -20.8551
84.594732 82.305 -20.8751
84.960943 82.297 -20.8767
85.327154 82.292 -20.8843
85.693365 82.291 -20.9227
86.059576 82.292 -21.0091
86.425787 82.296 -21.1478
86.791998 82.301 -21.3279
87.158209 82.306 -21.5245
87.524420 82.312 -21.7035
87.890631 82.320 -21.8312
88.256841 82.331 -21.8857
88.623052 82.347 -21.8675
88.989263 82.368 -21.8020
89.355474 82.390 -21.7337
89.721685 82.410 -21.7112
90.087896 82.420 -21.7705
90.454107 82.415 -21.9245
90.820318 82.393 -22.1620
91.186529 82.356 -22.4559
91.552740 82.309 -22.7755
91.918951 82.260 -23.0959
92.285162 82.214 -23.4028
92.651373 82.175 -23.6901
93.017584 82.145 -23.9566
93.383795 82.122 -24.2021
93.750006 82.103 -24.4268
94.116217 82.087 -24.6320
94.482428 82.070 -24.8203
94.848639 82.053 -24.9953
95.214850 82.035 -25.1599
95.581061 82.017 -25.3146
95.947272 82.000 -25.4565
96.313483 81.986 -25.5804
96.679694 81.976 -25.6809
97.045905 81.968 -25.7549
97.412116 81.964 -25.8034
97.778327 81.961 -25.8326
98.144538 81.959 -25.8539
98.510749 81.955 -25.8812
98.876960 81.948 -25.9285
99.243170 81.938 -26.0055
99.609381 81.926 -26.1152
99.975592 81.911 -26.2519
100.341803 81.896 -26.4037
100.708014 81.882 -26.5558
101.074225 81.873 -26.6959
101.440436 81.868 -26.8180
101.806647 81.869 -26.9232
102.172858 81.873 -27.0180
102.539069 81.876 -27.1098
102.905280 81.877 -27.2032
103.271491 81.871 -27.2968
103.637702 81.855 -27.3835
104.003913 81.830 -27.4527
104.370124 81.797 -27.4944
104.736335 81.759 -27.5023
105.102546 81.720 -27.4778
105.468757 81.684 -27.4302
105.834968 81.656 -27.3767
106.201179 81.640 -27.3382
106.567390 81.636 -27.3342
106.933601 81.645 -27.3770
107.299812 81.663 -27.4679
107.666023 81.687 -27.5964
108.032234 81.713 -27.7445
108.398445 81.739 -27.8933
108.764656 81.762 -28.0309
109.130867 81.782 -28.1574
109.497078 81.797 -28.2851
109.863289 81.807 -28.4347
110.229500 81.813 -28.6265
110.595710 81.813 -28.8737
110.961921 81.808 -29.1767
111.328132 81.799 -29.5223
111.694343 81.787 -29.8879
112.060554 81.774 -30.2470
112.426765 81.762 -30.5758
112.792976 81.752 -30.8580
113.159187 81.743 -31.0872
113.525398 81.737 -31.2660
113.891609 81.730 -31.4039
114.257820 81.723 -31.5137
114.624031 81.716 -31.6081
114.990242 81.707 -31.6980
115.356453 81.697 -31.7905
115.722664 81.688 -31.8899
116.088875 81.681 -31.9986
116.455086 81.676 -32.1175
116.821297 81.673 -32.2467
117.187508 81.672 -32.3852
117.553719 81.672 -32.5300
117.919930 81.671 -32.6764
118.286141 81.668 -32.8177
118.652352 81.664 -32.9470
119.018563 81.657 -33.0586
119.384774 81.650 -33.1492
119.750985 81.643 -33.2193
120.117196 81.638 -33.2726
120.483407 81.636 -33.3161
120.849618 81.638 -33.3583
121.215829 81.644 -33.4082
121.582040 81.655 -33.4738
121.948250 81.668 -33.5603
122.314461 81.684 -33.6696
122.680672 81.700 -33.8000
123.046883 81.715 -33.9465
123.413094 81.727 -34.1020
123.779305 81.736 -34.2586
124.145516 81.740 -34.4093
124.511727 81.739 -34.5491
124.877938 81.734 -34.6751
125.244149 81.726 -34.7870
125.610360 81.714 -34.8866
125.976571 81.699 -34.9768
126.342782 81.684 -35.0613
126.708993 81.667 -35.1438
127.075204 81.651 -35.2274
127.441415 81.634 -35.3142
127.807626 81.619 -35.4053
128.173837 81.605 -35.5011
128.540048 81.591 -35.6010
128.906259 81.579 -35.7041
129.272470 81.569 -35.8096
129.638681 81.560 -35.9167
130.004892 81.553 -36.0249
130.371103 81.547 -36.1340
130.737314 81.543 -36.2439
131.103525 81.540 -36.3544
131.469736 81.537 -36.4653
131.835947 81.535 -36.5764
132.202158 81.533 -36.6873
132.568369 81.531 -36.7974
132.934579 81.529 -36.9065
133.300790 81.525 -37.0138
133.667001 81.521 -37.1189
134.033212 81.516 -37.2218
134.399423 81.510 -37.3222
134.765634 81.503 -37.4208
135.131845 81.496 -37.5183
135.498056 81.487 -37.6159
135.864267 81.479 -37.7147
136.230478 81.469 -37.8159
136.596689 81.460 -37.9202
136.962900 81.450 -38.0281
137.329111 81.440 -38.1391
137.695322 81.429 -38.2525
138.061533 81.419 -38.3672
138.427744 81.408 -38.4819
138.793955 81.398 -38.5956
139.160166 81.388 -38.7073
139.526377 81.379 -38.8166
139.892588 81.370 -38.9233
140.258799 81.362 -39.0277
140.625010 81.355 -39.1300
140.991221 81.349 -39.2302
141.357432 81.344 -39.3282
141.723643 81.339 -39.4232
142.089854 81.334 -39.5140
142.456065 81.330 -39.5992
142.822276 81.326 -39.6774
143.188487 81.322 -39.7476
143.554698 81.319 -39.8096
143.920909 81.315 -39.8637
144.287119 81.313 -39.9114
144.653330 81.310 -39.9545
145.019541 81.308 -39.9950
145.385752 81.305 -40.0356
145.751963 81.303 -40.0784
146.118174 81.300 -40.1259
146.484385 81.296 -40.1798
146.850596 81.292 -40.2417
147.216807 81.286 -40.3123
147.583018 81.280 -40.3916
147.949229 81.272 -40.4788
148.315440 81.264 -40.5724
148.681651 81.255 -40.6705
149.047862 81.246 -40.7708
149.414073 81.237 -40.8714
149.780284 81.227 -40.9707
150.146495 81.218 -41.0672
150.512706 81.209 -41.1605
150.878917 81.200 -41.2501
151.245128 81.192 -41.3365
151.611339 81.184 -41.4201
151.977550 81.176 -41.5014
152.343761 81.168 -41.5812
152.709972 81.161 -41.6599
153.076183 81.154 -41.7378
153.442394 81.147 -41.8151
153.808605 81.141 -41.8918
154.174816 81.134 -41.9677
154.541027 81.128 -42.0425
154.907238 81.123 -42.1159
155.273448 81.117 -42.1877
155.639659 81.112 -42.2576
156.005870 81.106 -42.3256
156.372081 81.101 -42.3917
156.738292 81.095 -42.4562
157.104503 81.090 -42.5194
157.470714 81.084 -42.5821
157.836925 81.078 -42.6448
158.203136 81.072 -42.7084
158.569347 81.066 -42.7733
158.935558 81.059 -42.8401
159.301769 81.053 -42.9091
159.667980 81.046 -42.9801
160.034191 81.040 -43.0526
160.400402 81.034 -43.1261
160.766613 81.028 -43.1995
161.132824 81.022 -43.2720
161.499035 81.017 -43.3425
161.865246 81.012 -43.4103
162.231457 81.007 -43.4751
162.597668 81.003 -43.5367
162.963879 80.999 -43.5955
163.330090 80.994 -43.6520
163.696301 80.990 -43.7069
164.062512 80.985 -43.7608
164.428723 80.980 -43.8146
