* Measurement data measured by REW V5.31.3
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.400
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 10 3, 24 8:03:51 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Nekocake R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 43.803 108.2229
0.368865 43.823 108.0898
0.371538 43.852 107.8920
0.374230 43.888 107.6462
0.376942 43.929 107.3671
0.379673 43.973 107.0651
0.382424 44.018 106.7473
0.385196 44.065 106.4181
0.387987 44.113 106.0799
0.390798 44.161 105.7343
0.393630 44.209 105.3820
0.396483 44.258 105.0235
0.399356 44.307 104.6589
0.402250 44.357 104.2885
0.405165 44.407 103.9123
0.408101 44.458 103.5304
0.411058 44.508 103.1430
0.414037 44.560 102.7500
0.417037 44.611 102.3515
0.420059 44.663 101.9476
0.423103 44.715 101.5384
0.426169 44.768 101.1239
0.429257 44.821 100.7042
0.432368 44.874 100.2795
0.435501 44.928 99.8498
0.438656 44.982 99.4151
0.441835 45.037 98.9756
0.445037 45.092 98.5314
0.448262 45.147 98.0826
0.451510 45.203 97.6292
0.454782 45.259 97.1715
0.458077 45.316 96.7094
0.461397 45.373 96.2430
0.464740 45.430 95.7726
0.468108 45.488 95.2982
0.471500 45.546 94.8199
0.474917 45.605 94.3377
0.478358 45.664 93.8520
0.481825 45.724 93.3626
0.485316 45.784 92.8698
0.488833 45.844 92.3737
0.492375 45.905 91.8743
0.495943 45.966 91.3718
0.499537 46.028 90.8663
0.503157 46.090 90.3578
0.506803 46.153 89.8466
0.510475 46.216 89.3326
0.514175 46.279 88.8161
0.517900 46.344 88.2970
0.521653 46.408 87.7754
0.525434 46.473 87.2516
0.529241 46.538 86.7255
0.533076 46.604 86.1972
0.536939 46.671 85.6669
0.540830 46.737 85.1345
0.544749 46.805 84.6002
0.548696 46.873 84.0641
0.552673 46.941 83.5261
0.556677 47.010 82.9864
0.560711 47.079 82.4450
0.564774 47.149 81.9019
0.568867 47.219 81.3573
0.572989 47.290 80.8111
0.577141 47.361 80.2633
0.581324 47.433 79.7141
0.585536 47.505 79.1634
0.589779 47.578 78.6112
0.594053 47.652 78.0576
0.598358 47.726 77.5025
0.602694 47.800 76.9460
0.607061 47.875 76.3881
0.611460 47.951 75.8287
0.615891 48.027 75.2678
0.620354 48.104 74.7054
0.624849 48.181 74.1415
0.629377 48.259 73.5761
0.633938 48.337 73.0091
0.638532 48.416 72.4404
0.643159 48.495 71.8701
0.647819 48.576 71.2980
0.652514 48.656 70.7241
0.657242 48.737 70.1484
0.662005 48.819 69.5707
0.666802 48.902 68.9911
0.671634 48.985 68.4093
0.676501 49.068 67.8254
0.681403 49.153 67.2392
0.686341 49.237 66.6507
0.691314 49.323 66.0597
0.696324 49.409 65.4663
0.701370 49.496 64.8702
0.706452 49.583 64.2716
0.711571 49.671 63.6703
0.716728 49.760 63.0667
0.721921 49.850 62.4608
0.727153 49.941 61.8533
0.732422 50.033 61.2449
0.737729 50.127 60.6364
0.743075 50.221 60.0289
0.748460 50.317 59.4232
0.753883 50.414 58.8199
0.759346 50.512 58.2198
0.764849 50.612 57.6230
0.770391 50.712 57.0298
0.775974 50.813 56.4405
0.781597 50.916 55.8552
0.787261 51.020 55.2740
0.792966 51.124 54.6968
0.798712 51.230 54.1239
0.804500 51.337 53.5552
0.810329 51.445 52.9906
0.816201 51.554 52.4302
0.822116 51.663 51.8739
0.828073 51.774 51.3217
0.834074 51.886 50.7734
0.840118 51.999 50.2291
0.846206 52.113 49.6886
0.852338 52.227 49.1518
0.858514 52.343 48.6186
0.864735 52.460 48.0888
0.871001 52.577 47.5624
0.877313 52.695 47.0390
0.883670 52.815 46.5186
0.890074 52.935 46.0010
0.896524 53.055 45.4860
0.903020 53.177 44.9734
0.909564 53.299 44.4630
0.916155 53.422 43.9546
0.922794 53.546 43.4480
0.929481 53.671 42.9429
0.936216 53.796 42.4392
0.943000 53.921 41.9365
0.949834 54.048 41.4347
0.956717 54.174 40.9334
0.963649 54.302 40.4325
0.970632 54.429 39.9317
0.977666 54.558 39.4308
0.984750 54.686 38.9293
0.991886 54.815 38.4272
0.999074 54.944 37.9241
1.006314 55.074 37.4198
1.013606 55.203 36.9139
1.020951 55.333 36.4062
1.028349 55.463 35.8964
1.035801 55.593 35.3842
1.043307 55.723 34.8694
1.050867 55.853 34.3517
1.058482 55.983 33.8308
1.066152 56.112 33.3066
1.073878 56.242 32.7790
1.081660 56.371 32.2481
1.089498 56.500 31.7142
1.097393 56.629 31.1776
1.105345 56.758 30.6391
1.113355 56.886 30.0995
1.121423 57.015 29.5594
1.129549 57.144 29.0195
1.137734 57.273 28.4802
1.145979 57.402 27.9417
1.154283 57.531 27.4043
1.162647 57.661 26.8682
1.171072 57.790 26.3334
1.179558 57.920 25.7999
1.188106 58.050 25.2679
1.196715 58.180 24.7372
1.205387 58.310 24.2080
1.214122 58.440 23.6802
1.222920 58.571 23.1537
1.231782 58.701 22.6286
1.240708 58.832 22.1047
1.249699 58.963 21.5820
1.258754 59.093 21.0604
1.267876 59.224 20.5399
1.277063 59.356 20.0202
1.286318 59.487 19.5014
1.295639 59.618 18.9832
1.305027 59.750 18.4655
1.314484 59.881 17.9482
1.324009 60.013 17.4312
1.333604 60.145 16.9142
1.343268 60.277 16.3972
1.353002 60.409 15.8798
1.362806 60.541 15.3621
1.372681 60.673 14.8436
1.382628 60.806 14.3243
1.392647 60.938 13.8039
1.402739 61.070 13.2824
1.412904 61.203 12.7593
1.423142 61.336 12.2348
1.433455 61.469 11.7085
1.443843 61.601 11.1807
1.454305 61.734 10.6514
1.464844 61.867 10.1209
1.475459 62.000 9.5897
1.486150 62.132 9.0583
1.496920 62.265 8.5270
1.507767 62.397 7.9961
1.518693 62.529 7.4658
1.529698 62.660 6.9363
1.540783 62.792 6.4074
1.551948 62.923 5.8791
1.563194 63.054 5.3514
1.574521 63.184 4.8241
1.585931 63.315 4.2970
1.597423 63.445 3.7701
1.608999 63.575 3.2430
1.620658 63.704 2.7157
1.632402 63.834 2.1878
1.644232 63.963 1.6592
1.656146 64.092 1.1295
1.668147 64.221 0.5986
1.680235 64.350 0.0662
1.692411 64.478 -0.4681
1.704675 64.607 -1.0045
1.717028 64.735 -1.5434
1.729470 64.863 -2.0851
1.742003 64.991 -2.6299
1.754626 65.119 -3.1783
1.767341 65.247 -3.7304
1.780147 65.374 -4.2867
1.793047 65.502 -4.8475
1.806040 65.629 -5.4131
1.819128 65.757 -5.9836
1.832310 65.884 -6.5592
1.845587 66.010 -7.1397
1.858961 66.137 -7.7249
1.872432 66.263 -8.3145
1.886001 66.388 -8.9081
1.899667 66.513 -9.5052
1.913433 66.637 -10.1053
1.927299 66.761 -10.7082
1.941265 66.885 -11.3133
1.955332 67.007 -11.9204
1.969501 67.130 -12.5291
1.983773 67.252 -13.1392
1.998148 67.373 -13.7504
2.012627 67.494 -14.3626
2.027212 67.614 -14.9755
2.041902 67.734 -15.5890
2.056698 67.854 -16.2031
2.071602 67.973 -16.8177
2.086614 68.092 -17.4328
2.101734 68.211 -18.0485
2.116964 68.329 -18.6648
2.132304 68.447 -19.2820
2.147756 68.564 -19.9003
2.163320 68.682 -20.5201
2.178996 68.798 -21.1420
2.194786 68.915 -21.7665
2.210690 69.030 -22.3944
2.226710 69.146 -23.0261
2.242845 69.260 -23.6618
2.259098 69.374 -24.3017
2.275468 69.487 -24.9453
2.291957 69.599 -25.5924
2.308566 69.711 -26.2424
2.325295 69.822 -26.8948
2.342145 69.932 -27.5491
2.359117 70.042 -28.2048
2.376212 70.150 -28.8615
2.393431 70.258 -29.5186
2.410775 70.366 -30.1759
2.428244 70.473 -30.8328
2.445840 70.579 -31.4893
2.463564 70.685 -32.1449
2.481416 70.790 -32.7996
2.499397 70.895 -33.4535
2.517509 70.999 -34.1068
2.535752 71.103 -34.7599
2.554127 71.206 -35.4135
2.572635 71.308 -36.0686
2.591277 71.410 -36.7262
2.610055 71.510 -37.3868
2.628968 71.610 -38.0509
2.648019 71.709 -38.7183
2.667208 71.807 -39.3887
2.686535 71.905 -40.0618
2.706003 72.001 -40.7367
2.725612 72.096 -41.4130
2.745363 72.191 -42.0899
2.765257 72.285 -42.7667
2.785295 72.378 -43.4429
2.805478 72.471 -44.1178
2.825808 72.562 -44.7909
2.846285 72.654 -45.4619
2.866910 72.744 -46.1306
2.887685 72.834 -46.7972
2.908611 72.924 -47.4619
2.929688 73.012 -48.1257
2.950917 73.100 -48.7894
2.972301 73.187 -49.4541
2.993839 73.273 -50.1204
3.015534 73.358 -50.7884
3.037386 73.442 -51.4582
3.059396 73.526 -52.1292
3.081565 73.608 -52.8010
3.103896 73.689 -53.4728
3.126388 73.770 -54.1440
3.149043 73.850 -54.8139
3.171862 73.930 -55.4817
3.194847 74.008 -56.1468
3.217998 74.087 -56.8087
3.241317 74.164 -57.4673
3.264805 74.241 -58.1224
3.288463 74.318 -58.7746
3.312293 74.394 -59.4244
3.336295 74.469 -60.0727
3.360471 74.543 -60.7202
3.384822 74.616 -61.3672
3.409350 74.689 -62.0138
3.434056 74.761 -62.6600
3.458940 74.832 -63.3054
3.484005 74.903 -63.9497
3.509252 74.973 -64.5923
3.534681 75.042 -65.2327
3.560295 75.111 -65.8706
3.586094 75.179 -66.5056
3.612081 75.248 -67.1374
3.638255 75.315 -67.7660
3.664620 75.383 -68.3918
3.691175 75.450 -69.0150
3.717923 75.516 -69.6362
3.744864 75.582 -70.2558
3.772001 75.647 -70.8741
3.799335 75.712 -71.4911
3.826866 75.776 -72.1068
3.854597 75.840 -72.7212
3.882529 75.903 -73.3341
3.910664 75.966 -73.9453
3.939002 76.029 -74.5546
3.967546 76.092 -75.1621
3.996296 76.154 -75.7676
4.025255 76.216 -76.3712
4.054423 76.278 -76.9732
4.083804 76.340 -77.5738
4.113396 76.401 -78.1732
4.143204 76.462 -78.7717
4.173227 76.523 -79.3694
4.203468 76.583 -79.9666
4.233928 76.643 -80.5632
4.264609 76.703 -81.1593
4.295512 76.762 -81.7552
4.326639 76.821 -82.3509
4.357992 76.880 -82.9466
4.389572 76.938 -83.5424
4.421380 76.997 -84.1386
4.453419 77.055 -84.7353
4.485691 77.112 -85.3326
4.518196 77.170 -85.9306
4.550936 77.227 -86.5293
4.583914 77.283 -87.1286
4.617131 77.339 -87.7286
4.650589 77.395 -88.3292
4.684289 77.450 -88.9306
4.718233 77.505 -89.5329
4.752424 77.559 -90.1364
4.786862 77.612 -90.7413
4.821549 77.665 -91.3479
4.856488 77.717 -91.9561
4.891680 77.769 -92.5660
4.927127 77.820 -93.1772
4.962831 77.870 -93.7893
4.998794 77.920 -94.4021
5.035017 77.968 -95.0152
5.071503 78.016 -95.6285
5.108253 78.063 -96.2422
5.145270 78.109 -96.8565
5.182555 78.154 -97.4717
5.220110 78.198 -98.0878
5.257937 78.241 -98.7046
5.296038 78.283 -99.3218
5.334415 78.325 -99.9386
5.373071 78.365 -100.5543
5.412006 78.404 -101.1684
5.451224 78.441 -101.7805
5.490725 78.478 -102.3906
5.530514 78.514 -102.9988
5.570590 78.548 -103.6052
5.610957 78.582 -104.2098
5.651616 78.614 -104.8123
5.692570 78.645 -105.4121
5.733821 78.675 -106.0084
5.775370 78.704 -106.6004
5.817221 78.732 -107.1877
5.859375 78.759 -107.7700
5.901834 78.785 -108.3471
5.944602 78.809 -108.9193
5.987679 78.833 -109.4865
6.031068 78.856 -110.0485
6.074771 78.878 -110.6049
6.118792 78.900 -111.1553
6.163131 78.920 -111.6993
6.207792 78.940 -112.2364
6.252776 78.960 -112.7665
6.298086 78.978 -113.2896
6.343725 78.997 -113.8058
6.389694 79.015 -114.3153
6.435996 79.032 -114.8181
6.482634 79.049 -115.3143
6.529610 79.066 -115.8040
6.576926 79.083 -116.2870
6.624585 79.099 -116.7634
6.672590 79.116 -117.2333
6.720942 79.133 -117.6969
