* Measurement data measured by REW V5.30.4
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 08 7, 24 4:06:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Quarks2 L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 102.787 149.6668
20.287556 102.771 149.6039
20.434568 102.747 149.5211
20.582645 102.717 149.4245
20.731796 102.683 149.3189
20.882027 102.646 149.2078
21.033346 102.607 149.0931
21.185762 102.568 148.9760
21.339283 102.529 148.8570
21.493916 102.489 148.7366
21.649670 102.450 148.6154
21.806553 102.412 148.4940
21.964573 102.373 148.3732
22.123737 102.335 148.2539
22.284056 102.297 148.1368
22.445536 102.259 148.0228
22.608185 102.221 147.9123
22.772013 102.184 147.8055
22.937029 102.146 147.7024
23.103241 102.108 147.6027
23.270657 102.070 147.5056
23.439285 102.033 147.4107
23.609137 101.995 147.3171
23.780218 101.956 147.2244
23.952539 101.918 147.1319
24.126110 101.879 147.0397
24.300938 101.841 146.9476
24.477032 101.802 146.8558
24.654402 101.763 146.7646
24.833057 101.725 146.6743
25.013008 101.687 146.5852
25.194263 101.649 146.4974
25.376831 101.612 146.4108
25.560722 101.576 146.3252
25.745945 101.541 146.2406
25.932510 101.505 146.1568
26.120428 101.471 146.0737
26.309708 101.436 145.9914
26.500359 101.402 145.9102
26.692390 101.367 145.8305
26.885815 101.332 145.7529
27.080641 101.296 145.6778
27.276878 101.261 145.6055
27.474539 101.224 145.5362
27.673630 101.188 145.4694
27.874165 101.151 145.4047
28.076153 101.115 145.3414
28.279604 101.079 145.2788
28.484529 101.043 145.2159
28.690941 101.008 145.1525
28.898848 100.972 145.0882
29.108261 100.937 145.0231
29.319191 100.902 144.9577
29.531651 100.868 144.8927
29.745649 100.833 144.8286
29.961199 100.799 144.7661
30.178310 100.765 144.7056
30.396996 100.731 144.6474
30.617264 100.697 144.5914
30.839128 100.663 144.5375
31.062601 100.629 144.4854
31.287693 100.595 144.4346
31.514416 100.561 144.3849
31.742783 100.527 144.3360
31.972803 100.494 144.2875
32.204491 100.460 144.2393
32.437859 100.427 144.1914
32.672916 100.393 144.1436
32.909679 100.360 144.0961
33.148155 100.327 144.0490
33.388359 100.295 144.0027
33.630306 100.262 143.9575
33.874004 100.230 143.9137
34.119469 100.198 143.8715
34.366711 100.165 143.8310
34.615746 100.134 143.7919
34.866585 100.102 143.7538
35.119244 100.070 143.7162
35.373734 100.039 143.6787
35.630066 100.008 143.6408
35.888256 99.976 143.6025
36.148315 99.945 143.5639
36.410259 99.914 143.5254
36.674103 99.882 143.4873
36.939857 99.851 143.4499
37.207539 99.820 143.4135
37.477161 99.789 143.3780
37.748737 99.759 143.3435
38.022282 99.728 143.3097
38.297806 99.698 143.2766
38.575329 99.668 143.2443
38.854862 99.638 143.2129
39.136421 99.608 143.1825
39.420021 99.578 143.1532
39.705673 99.549 143.1249
39.993397 99.519 143.0972
40.283207 99.489 143.0698
40.575115 99.459 143.0422
40.869141 99.430 143.0142
41.165295 99.400 142.9858
41.463596 99.371 142.9569
41.764057 99.341 142.9280
42.066696 99.312 142.8991
42.371529 99.282 142.8704
42.678570 99.253 142.8420
42.987835 99.224 142.8138
43.299343 99.195 142.7855
43.613110 99.166 142.7571
43.929150 99.137 142.7283
44.247478 99.108 142.6991
44.568115 99.080 142.6696
44.891075 99.051 142.6398
45.216373 99.023 142.6099
45.544029 98.994 142.5800
45.874062 98.966 142.5505
46.206486 98.938 142.5212
46.541317 98.909 142.4923
46.878574 98.881 142.4636
47.218277 98.853 142.4348
47.560440 98.826 142.4057
47.905083 98.798 142.3760
48.252224 98.770 142.3457
48.601879 98.743 142.3149
48.954067 98.715 142.2838
49.308807 98.687 142.2528
49.666119 98.660 142.2222
50.026020 98.632 142.1922
50.388531 98.604 142.1625
50.753666 98.577 142.1331
51.121449 98.550 142.1035
51.491894 98.522 142.0736
51.865025 98.495 142.0432
52.240860 98.468 142.0122
52.619419 98.440 141.9807
53.000721 98.413 141.9489
53.384785 98.386 141.9168
53.771633 98.359 141.8846
54.161285 98.332 141.8522
54.553761 98.305 141.8198
54.949081 98.278 141.7874
55.347263 98.251 141.7546
55.748333 98.224 141.7210
56.152309 98.196 141.6862
56.559212 98.169 141.6497
56.969063 98.142 141.6118
57.381886 98.115 141.5731
57.797699 98.088 141.5348
58.216526 98.061 141.4980
58.638386 98.034 141.4633
59.063305 98.008 141.4305
59.491302 97.982 141.3985
59.922401 97.955 141.3663
60.356625 97.929 141.3329
60.793995 97.903 141.2980
61.234531 97.876 141.2619
61.678261 97.849 141.2250
62.125206 97.823 141.1876
62.575390 97.796 141.1500
63.028835 97.769 141.1123
63.485569 97.742 141.0745
63.945610 97.715 141.0364
64.408989 97.688 140.9982
64.875725 97.662 140.9599
65.345840 97.635 140.9214
65.819366 97.608 140.8828
66.296318 97.581 140.8439
66.776726 97.554 140.8049
67.260620 97.527 140.7661
67.748016 97.500 140.7283
68.238945 97.473 140.6926
68.733429 97.447 140.6604
69.231499 97.421 140.6323
69.733177 97.395 140.6073
70.238495 97.369 140.5817
70.747475 97.343 140.5507
71.260139 97.317 140.5106
71.776520 97.289 140.4612
72.296638 97.261 140.4057
72.820526 97.232 140.3484
73.348213 97.203 140.2926
73.879723 97.174 140.2396
74.415085 97.145 140.1896
74.954330 97.117 140.1420
75.497482 97.089 140.0957
76.044571 97.061 140.0501
76.595619 97.032 140.0046
77.150665 97.004 139.9592
77.709732 96.976 139.9143
78.272850 96.948 139.8698
78.840050 96.919 139.8259
79.411354 96.891 139.7823
79.986801 96.862 139.7387
80.566422 96.834 139.6951
81.150238 96.806 139.6514
81.738289 96.777 139.6075
82.330597 96.748 139.5635
82.927200 96.719 139.5192
83.528122 96.691 139.4747
84.133400 96.661 139.4302
84.743065 96.632 139.3858
85.357147 96.603 139.3415
85.975677 96.574 139.2974
86.598694 96.544 139.2534
87.226227 96.514 139.2092
87.858307 96.485 139.1650
88.494965 96.455 139.1206
89.136238 96.425 139.0763
89.782158 96.395 139.0320
90.432755 96.365 138.9880
91.088066 96.334 138.9444
91.748131 96.304 138.9014
92.412979 96.273 138.8590
93.082642 96.243 138.8168
93.757156 96.212 138.7745
94.436562 96.181 138.7318
95.120888 96.151 138.6884
95.810173 96.120 138.6448
96.504456 96.089 138.6018
97.203766 96.058 138.5601
97.908142 96.027 138.5196
98.617622 95.995 138.4798
99.332245 95.963 138.4403
100.052048 95.931 138.4013
100.777069 95.899 138.3629
101.507339 95.867 138.3254
102.242905 95.835 138.2888
102.983795 95.802 138.2529
103.730057 95.770 138.2177
104.481728 95.737 138.1833
105.238846 95.704 138.1494
106.001450 95.671 138.1160
106.769577 95.638 138.0829
107.543274 95.604 138.0503
108.322578 95.571 138.0187
109.107529 95.537 137.9888
109.898170 95.503 137.9607
110.694534 95.470 137.9342
111.496674 95.436 137.9089
112.304626 95.402 137.8849
113.118431 95.367 137.8618
113.938133 95.333 137.8393
114.763779 95.298 137.8166
115.595406 95.262 137.7937
116.433060 95.226 137.7716
117.276779 95.188 137.7515
118.126617 95.149 137.7341
118.982613 95.110 137.7194
119.844810 95.072 137.7069
120.713257 95.037 137.6949
121.587997 95.004 137.6828
122.469070 94.972 137.6717
123.356529 94.939 137.6636
124.250420 94.906 137.6595
125.150787 94.872 137.6586
126.057678 94.837 137.6596
126.971146 94.802 137.6610
127.891228 94.766 137.6625
128.817978 94.729 137.6648
129.751450 94.692 137.6698
130.691681 94.655 137.6784
131.638733 94.618 137.6909
132.592636 94.581 137.7070
133.553452 94.544 137.7263
134.521240 94.507 137.7484
135.496033 94.470 137.7732
136.477890 94.433 137.8006
137.466858 94.396 137.8302
138.462997 94.359 137.8618
139.466354 94.322 137.8954
140.476990 94.286 137.9311
141.494949 94.249 137.9690
142.520279 94.213 138.0089
143.553040 94.177 138.0508
144.593277 94.140 138.0953
145.641052 94.104 138.1430
146.696426 94.068 138.1943
147.759445 94.032 138.2494
148.830170 93.996 138.3083
149.908661 93.960 138.3710
150.994965 93.925 138.4372
152.089142 93.889 138.5066
153.191238 93.854 138.5790
154.301331 93.820 138.6544
155.419464 93.785 138.7327
156.545700 93.751 138.8142
157.680099 93.717 138.8989
158.822708 93.684 138.9870
159.973602 93.651 139.0783
161.132843 93.619 139.1727
162.300476 93.586 139.2699
163.476578 93.554 139.3698
164.661194 93.523 139.4724
165.854401 93.492 139.5779
167.056244 93.461 139.6861
168.266800 93.431 139.7970
169.486130 93.402 139.9104
170.714294 93.373 140.0265
171.951355 93.345 140.1452
173.197388 93.317 140.2665
174.452454 93.289 140.3901
175.716614 93.263 140.5157
176.989929 93.237 140.6433
178.272476 93.211 140.7726
179.564316 93.187 140.9035
180.865509 93.162 141.0362
182.176132 93.139 141.1705
183.496262 93.116 141.3062
184.825958 93.093 141.4433
186.165283 93.072 141.5815
187.514313 93.051 141.7205
188.873123 93.031 141.8602
190.241776 93.012 142.0000
191.620346 92.994 142.1399
193.008911 92.976 142.2798
194.407532 92.960 142.4196
195.816284 92.944 142.5591
197.235245 92.929 142.6979
198.664490 92.914 142.8358
200.104095 92.901 142.9727
201.554138 92.888 143.1086
203.014679 92.876 143.2435
204.485809 92.864 143.3774
205.967590 92.854 143.5101
207.460114 92.844 143.6414
208.963455 92.835 143.7710
210.477692 92.826 143.8989
212.002899 92.818 144.0247
213.539154 92.811 144.1483
215.086548 92.805 144.2694
216.645157 92.799 144.3880
218.215057 92.793 144.5041
219.796341 92.789 144.6174
221.389069 92.784 144.7278
222.993347 92.781 144.8350
224.609253 92.778 144.9389
226.236862 92.775 145.0394
227.876266 92.773 145.1367
229.527557 92.772 145.2306
231.190811 92.772 145.3215
232.866119 92.772 145.4097
234.553558 92.772 145.4955
236.253235 92.773 145.5788
237.965225 92.774 145.6585
239.689621 92.776 145.7329
241.426514 92.778 145.8006
243.175995 92.779 145.8618
244.938141 92.782 145.9180
246.713058 92.784 145.9705
248.500839 92.787 146.0197
250.301575 92.790 146.0659
252.115356 92.794 146.1090
253.942291 92.797 146.1489
255.782455 92.801 146.1855
257.635956 92.805 146.2186
259.502899 92.809 146.2482
261.383362 92.814 146.2742
263.277466 92.819 146.2966
265.185272 92.823 146.3155
267.106903 92.828 146.3306
269.042480 92.833 146.3420
270.992065 92.838 146.3494
272.955780 92.843 146.3529
274.933716 92.848 146.3525
276.925995 92.854 146.3483
278.932709 92.859 146.3404
280.953979 92.865 146.3289
282.989899 92.870 146.3143
285.040558 92.876 146.2973
287.106079 92.881 146.2781
289.186554 92.886 146.2565
291.282104 92.891 146.2321
293.392853 92.895 146.2045
295.518890 92.900 146.1736
297.660339 92.904 146.1396
299.817322 92.909 146.1027
301.989929 92.913 146.0633
304.178284 92.918 146.0218
306.382477 92.922 145.9785
308.602661 92.926 145.9337
310.838928 92.930 145.8875
313.091400 92.934 145.8399
315.360199 92.938 145.7908
317.645416 92.941 145.7403
319.947205 92.944 145.6883
322.265686 92.948 145.6350
324.600952 92.951 145.5803
326.953156 92.954 145.5246
329.322388 92.957 145.4680
331.708801 92.961 145.4108
334.112488 92.964 145.3534
336.533600 92.967 145.2959
338.972260 92.971 145.2385
341.428589 92.975 145.1810
343.902710 92.979 145.1231
346.394775 92.984 145.0643
348.904907 92.989 145.0039
351.433228 92.995 144.9412
353.979858 93.001 144.8755
356.544952 93.008 144.8060
359.128632 93.015 144.7323
361.731018 93.023 144.6537
364.352264 93.031 144.5693
366.992523 93.039 144.4773
369.651917 93.048 144.3763
372.330566 93.057 144.2657
375.028625 93.066 144.1462
377.746246 93.075 144.0195
380.483551 93.083 143.8873
383.240692 93.090 143.7514
386.017822 93.096 143.6144
388.815063 93.102 143.4775
391.632568 93.106 143.3403
394.470490 93.109 143.2022
397.328979 93.112 143.0633
400.208191 93.113 142.9235
403.108276 93.114 142.7829
406.029358 93.114 142.6422
408.971619 93.113 142.5027
