* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 11, 2023 8:53:49 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop SSR R
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 78.898 -126.6711
20.507813 79.015 -126.0947
20.874023 79.145 -125.5387
21.240234 79.297 -125.1283
21.606445 79.453 -124.8633
21.972656 79.594 -124.6389
22.338867 79.729 -124.3602
22.705078 79.862 -123.9362
23.071289 80.011 -123.4338
23.437500 80.186 -123.0205
23.803711 80.369 -122.8140
24.169922 80.539 -122.8290
24.536133 80.681 -122.9532
24.902344 80.790 -123.0294
25.268555 80.878 -122.9829
25.634766 80.959 -122.8286
26.000977 81.034 -122.6718
26.367188 81.097 -122.6480
26.733399 81.136 -122.7536
27.099610 81.150 -122.9437
27.465821 81.153 -123.1569
27.832032 81.166 -123.3193
28.198243 81.208 -123.4767
28.564454 81.279 -123.6865
28.930665 81.364 -123.9620
29.296876 81.448 -124.2917
29.663087 81.517 -124.5977
30.029298 81.571 -124.8423
30.395509 81.624 -125.0696
30.761720 81.677 -125.3249
31.127931 81.735 -125.6658
31.494142 81.796 -126.0900
31.860353 81.861 -126.5202
32.226563 81.934 -126.8860
32.592774 82.019 -127.1596
32.958985 82.111 -127.3681
33.325196 82.204 -127.5769
33.691407 82.285 -127.8095
34.057618 82.346 -128.0692
34.423829 82.393 -128.3523
34.790040 82.434 -128.6323
35.156251 82.481 -128.9232
35.522462 82.540 -129.2365
35.888673 82.608 -129.5528
36.254884 82.678 -129.8519
36.621095 82.746 -130.0979
36.987306 82.807 -130.2874
37.353517 82.866 -130.4802
37.719728 82.919 -130.7249
38.085939 82.964 -131.0666
38.452150 82.999 -131.5005
38.818361 83.028 -131.9483
39.184572 83.061 -132.3378
39.550783 83.109 -132.6293
39.916994 83.174 -132.8423
40.283205 83.253 -133.0555
40.649416 83.329 -133.3222
41.015627 83.384 -133.6446
41.381838 83.412 -133.9751
41.748049 83.418 -134.2445
42.114260 83.421 -134.4313
42.480471 83.436 -134.5763
42.846682 83.469 -134.7359
43.212893 83.513 -134.9597
43.579103 83.557 -135.2354
43.945314 83.594 -135.5141
44.311525 83.624 -135.7720
44.677736 83.654 -136.0173
45.043947 83.684 -136.2835
45.410158 83.713 -136.5812
45.776369 83.740 -136.8460
46.142580 83.769 -137.0143
46.508791 83.811 -137.0826
46.875002 83.866 -137.1326
47.241213 83.922 -137.2852
47.607424 83.956 -137.5860
47.973635 83.957 -137.9595
48.339846 83.940 -138.2740
48.706057 83.935 -138.4728
49.072268 83.975 -138.6534
49.438479 84.057 -138.9862
49.804690 84.141 -139.4807
50.170901 84.180 -139.9025
50.537112 84.155 -139.8468
50.903323 84.103 -139.0130
51.269534 84.096 -137.5350
51.635745 84.187 -136.0493
52.001956 84.346 -135.3342
52.368167 84.488 -135.7748
52.734378 84.534 -137.1551
53.100589 84.464 -138.8840
53.466800 84.322 -140.3226
53.833011 84.192 -141.0880
54.199222 84.151 -141.2444
54.565432 84.213 -141.1723
54.931643 84.328 -141.2103
55.297854 84.426 -141.4152
55.664065 84.471 -141.6183
56.030276 84.470 -141.6583
56.396487 84.460 -141.5550
56.762698 84.470 -141.4821
57.128909 84.502 -141.6212
57.495120 84.536 -141.9900
57.861331 84.558 -142.4279
58.227542 84.571 -142.7420
58.593753 84.588 -142.8462
58.959964 84.621 -142.8125
59.326175 84.666 -142.7953
59.692386 84.704 -142.8967
60.058597 84.720 -143.1066
60.424808 84.715 -143.3401
60.791019 84.703 -143.5126
61.157230 84.702 -143.6139
61.523441 84.721 -143.6931
61.889652 84.756 -143.7995
62.255863 84.792 -143.9468
62.622074 84.820 -144.0969
62.988285 84.836 -144.2098
63.354496 84.849 -144.2745
63.720707 84.862 -144.3408
64.086918 84.877 -144.4616
64.453129 84.892 -144.6612
64.819340 84.904 -144.8973
65.185551 84.912 -145.1122
65.551762 84.922 -145.2556
65.917972 84.936 -145.3157
66.284183 84.955 -145.3295
66.650394 84.978 -145.3537
67.016605 85.001 -145.4303
67.382816 85.017 -145.5709
67.749027 85.026 -145.7474
68.115238 85.032 -145.9270
68.481449 85.041 -146.0862
68.847660 85.055 -146.2154
69.213871 85.075 -146.3196
69.580082 85.098 -146.4069
69.946293 85.119 -146.4827
70.312504 85.136 -146.5546
70.678715 85.145 -146.6214
71.044926 85.150 -146.6874
71.411137 85.151 -146.7624
71.777348 85.153 -146.8542
72.143559 85.158 -146.9730
72.509770 85.166 -147.1212
72.875981 85.171 -147.2830
73.242192 85.173 -147.4243
73.608403 85.171 -147.5095
73.974614 85.167 -147.5219
74.340825 85.169 -147.4877
74.707036 85.179 -147.4546
75.073247 85.196 -147.4819
75.439458 85.214 -147.5995
75.805669 85.226 -147.7889
76.171880 85.232 -148.0001
76.538091 85.232 -148.1829
76.904301 85.234 -148.3150
77.270512 85.241 -148.4070
77.636723 85.251 -148.4799
78.002934 85.263 -148.5455
78.369145 85.274 -148.6086
78.735356 85.283 -148.6502
79.101567 85.291 -148.6698
79.467778 85.301 -148.6815
79.833989 85.312 -148.7076
80.200200 85.322 -148.7675
80.566411 85.328 -148.8664
80.932622 85.327 -148.9937
81.298833 85.318 -149.1280
81.665044 85.306 -149.2420
82.031255 85.296 -149.3153
82.397466 85.297 -149.3486
82.763677 85.314 -149.3755
83.129888 85.343 -149.4402
83.496099 85.375 -149.5649
83.862310 85.397 -149.7226
84.228521 85.406 -149.8545
84.594732 85.403 -149.9046
84.960943 85.398 -149.8706
85.327154 85.398 -149.8204
85.693365 85.404 -149.8346
86.059576 85.410 -149.9464
86.425787 85.409 -150.1037
86.791998 85.402 -150.2209
87.158209 85.401 -150.2389
87.524420 85.415 -150.1823
87.890631 85.444 -150.1363
88.256841 85.469 -150.1735
88.623052 85.470 -150.2632
88.989263 85.440 -150.2914
89.355474 85.393 -150.1457
89.721685 85.356 -149.8367
90.087896 85.355 -149.5155
90.454107 85.390 -149.3916
90.820318 85.440 -149.5760
91.186529 85.475 -150.0099
91.552740 85.480 -150.4991
91.918951 85.462 -150.8394
92.285162 85.441 -150.9386
92.651373 85.439 -150.8595
93.017584 85.460 -150.7555
93.383795 85.491 -150.7574
93.750006 85.511 -150.8816
94.116217 85.511 -151.0592
94.482428 85.495 -151.2010
94.848639 85.475 -151.2596
95.214850 85.464 -151.2546
95.581061 85.465 -151.2410
95.947272 85.474 -151.2578
96.313483 85.483 -151.2975
96.679694 85.488 -151.3393
97.045905 85.490 -151.3653
97.412116 85.493 -151.3874
97.778327 85.495 -151.4053
98.144538 85.498 -151.4277
98.510749 85.502 -151.4558
98.876960 85.505 -151.4947
99.243170 85.509 -151.5460
99.609381 85.511 -151.6114
99.975592 85.507 -151.6812
100.341803 85.498 -151.7382
100.708014 85.484 -151.7542
101.074225 85.474 -151.7354
101.440436 85.472 -151.7267
101.806647 85.475 -151.7868
102.172858 85.474 -151.9407
102.539069 85.460 -152.1437
102.905280 85.433 -152.2980
103.271491 85.402 -152.3168
103.637702 85.385 -152.2018
104.003913 85.393 -152.0518
104.370124 85.425 -152.0060
104.736335 85.460 -152.1304
105.102546 85.478 -152.3799
105.468757 85.473 -152.6250
105.834968 85.455 -152.7428
106.201179 85.444 -152.7013
106.567390 85.454 -152.5835
106.933601 85.482 -152.5168
107.299812 85.511 -152.5784
107.666023 85.523 -152.7311
108.032234 85.511 -152.8825
108.398445 85.481 -152.9600
108.764656 85.448 -152.9633
109.130867 85.422 -152.9480
109.497078 85.403 -152.9632
109.863289 85.386 -152.9996
110.229500 85.369 -152.9982
110.595710 85.359 -152.9157
110.961921 85.365 -152.7728
111.328132 85.387 -152.6483
111.694343 85.417 -152.6221
112.060554 85.438 -152.7146
112.426765 85.439 -152.8735
112.792976 85.419 -153.0161
113.159187 85.388 -153.0858
113.525398 85.357 -153.0822
113.891609 85.331 -153.0476
114.257820 85.310 -153.0293
114.624031 85.288 -153.0535
114.990242 85.261 -153.1221
115.356453 85.228 -153.2389
115.722664 85.195 -153.3928
116.088875 85.167 -153.5754
116.455086 85.149 -153.7595
116.821297 85.144 -153.9209
117.187508 85.154 -154.0061
117.553719 85.180 -153.9957
117.919930 85.213 -153.9112
118.286141 85.229 -153.8621
118.652352 85.230 -153.8217
119.018563 85.211 -153.7873
119.384774 85.181 -153.6988
119.750985 85.133 -153.6164
120.117196 85.078 -153.5143
120.483407 85.033 -153.3607
120.849618 85.015 -153.1256
121.215829 85.037 -152.8381
121.582040 85.096 -152.5769
121.948250 85.170 -152.4231
122.314461 85.228 -152.3967
122.680672 85.242 -152.4317
123.046883 85.201 -152.4046
123.413094 85.118 -152.2126
123.779305 85.026 -151.8468
124.145516 84.957 -151.4326
124.511727 84.927 -151.1669
124.877938 84.930 -151.1961
125.244149 84.940 -151.5239
125.610360 84.938 -152.0049
125.976571 84.913 -152.4339
126.342782 84.870 -152.6410
126.708993 84.821 -152.5701
127.075204 84.780 -152.2667
127.441415 84.750 -151.8393
127.807626 84.730 -151.3992
128.173837 84.713 -151.0247
128.540048 84.693 -150.7442
128.906259 84.665 -150.5377
129.272470 84.629 -150.3502
129.638681 84.592 -150.1193
130.004892 84.568 -149.8144
130.371103 84.566 -149.4625
130.737314 84.589 -149.1423
131.103525 84.630 -148.9269
131.469736 84.670 -148.8287
131.835947 84.697 -148.7798
132.202158 84.708 -148.6834
132.568369 84.711 -148.4793
132.934579 84.717 -148.1764
133.300790 84.732 -147.8308
133.667001 84.757 -147.4898
134.033212 84.788 -147.1606
134.399423 84.824 -146.8232
134.765634 84.871 -146.4831
135.131845 84.929 -146.1902
135.498056 84.994 -146.0191
135.864267 85.051 -146.0180
136.230478 85.089 -146.1804
136.596689 85.098 -146.4461
136.962900 85.079 -146.7329
137.329111 85.041 -146.9516
137.695322 84.994 -147.0146
138.061533 84.957 -146.8415
138.427744 84.955 -146.4159
138.793955 85.010 -145.8468
139.160166 85.125 -145.3775
139.526377 85.270 -145.2580
139.892588 85.392 -145.5731
140.258799 85.443 -146.1625
140.625010 85.408 -146.6989
140.991221 85.315 -146.8620
141.357432 85.229 -146.5483
141.723643 85.208 -145.9758
142.089854 85.267 -145.5634
142.456065 85.368 -145.6243
142.822276 85.455 -146.1557
143.188487 85.489 -146.8932
143.554698 85.472 -147.5139
143.920909 85.432 -147.8241
144.287119 85.404 -147.8371
144.653330 85.402 -147.6907
145.019541 85.419 -147.5175
145.385752 85.437 -147.3556
145.751963 85.448 -147.1883
146.118174 85.451 -147.0104
146.484385 85.446 -146.8680
146.850596 85.431 -146.8193
147.216807 85.400 -146.8816
147.583018 85.355 -147.0101
147.949229 85.307 -147.1401
148.315440 85.272 -147.2325
148.681651 85.260 -147.2926
149.047862 85.268 -147.3189
149.414073 85.290 -147.2777
149.780284 85.321 -147.1197
150.146495 85.364 -146.8499
150.512706 85.417 -146.5568
150.878917 85.472 -146.3705
151.245128 85.511 -146.3732
151.611339 85.520 -146.5407
151.977550 85.495 -146.7659
152.343761 85.452 -146.9350
152.709972 85.409 -147.0001
153.076183 85.383 -146.9852
153.442394 85.375 -146.9397
153.808605 85.380 -146.8844
154.174816 85.392 -146.8138
154.541027 85.408 -146.7295
154.907238 85.427 -146.6603
155.273448 85.443 -146.6383
155.639659 85.448 -146.6420
156.005870 85.438 -146.6003
156.372081 85.420 -146.4426
156.738292 85.409 -146.1855
157.104503 85.411 -145.9341
157.470714 85.417 -145.8128
157.836925 85.410 -145.8539
158.203136 85.377 -145.9780
158.569347 85.329 -146.0623
158.935558 85.288 -146.0529
159.301769 85.277 -146.0151
159.667980 85.298 -146.0756
160.034191 85.327 -146.2793
160.400402 85.340 -146.5245
160.766613 85.327 -146.6144
161.132824 85.304 -146.4324
161.499035 85.299 -146.0570
161.865246 85.322 -145.7326
162.231457 85.355 -145.6875
162.597668 85.366 -145.9606
162.963879 85.337 -146.3777
