* Measurement data measured by REW V5.31.3
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -11.9 dBFS with no timing reference
* Dated: 08 4, 25 6:28:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop SpaceTravel 2 L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 54.132 -37.1422
0.368865 54.124 -37.2109
0.371538 54.111 -37.3138
0.374230 54.096 -37.4430
0.376942 54.078 -37.5916
0.379673 54.059 -37.7546
0.382424 54.039 -37.9287
0.385196 54.019 -38.1121
0.387987 53.998 -38.3035
0.390798 53.977 -38.5026
0.393630 53.956 -38.7092
0.396483 53.934 -38.9231
0.399356 53.913 -39.1447
0.402250 53.891 -39.3740
0.405165 53.869 -39.6112
0.408101 53.847 -39.8567
0.411058 53.825 -40.1106
0.414037 53.803 -40.3733
0.417037 53.780 -40.6450
0.420059 53.757 -40.9260
0.423103 53.735 -41.2167
0.426169 53.712 -41.5173
0.429257 53.688 -41.8282
0.432368 53.665 -42.1497
0.435501 53.642 -42.4823
0.438656 53.618 -42.8263
0.441835 53.594 -43.1821
0.445037 53.570 -43.5502
0.448262 53.546 -43.9308
0.451510 53.521 -44.3246
0.454782 53.497 -44.7320
0.458077 53.472 -45.1534
0.461397 53.447 -45.5894
0.464740 53.422 -46.0404
0.468108 53.397 -46.5072
0.471500 53.371 -46.9901
0.474917 53.346 -47.4899
0.478358 53.320 -48.0071
0.481825 53.294 -48.5424
0.485316 53.268 -49.0964
0.488833 53.241 -49.6698
0.492375 53.215 -50.2633
0.495943 53.188 -50.8776
0.499537 53.161 -51.5135
0.503157 53.134 -52.1718
0.506803 53.106 -52.8533
0.510475 53.079 -53.5587
0.514175 53.051 -54.2889
0.517900 53.023 -55.0447
0.521653 52.995 -55.8270
0.525434 52.967 -56.6367
0.529241 52.938 -57.4745
0.533076 52.909 -58.3415
0.536939 52.880 -59.2384
0.540830 52.851 -60.1660
0.544749 52.822 -61.1253
0.548696 52.792 -62.1170
0.552673 52.762 -63.1418
0.556677 52.732 -64.2006
0.560711 52.702 -65.2939
0.564774 52.671 -66.4224
0.568867 52.641 -67.5866
0.572989 52.610 -68.7868
0.577141 52.578 -70.0233
0.581324 52.547 -71.2964
0.585536 52.515 -72.6060
0.589779 52.484 -73.9520
0.594053 52.452 -75.3340
0.598358 52.419 -76.7515
0.602694 52.387 -78.2037
0.607061 52.354 -79.6897
0.611460 52.321 -81.2083
0.615891 52.288 -82.7580
0.620354 52.254 -84.3371
0.624849 52.220 -85.9436
0.629377 52.186 -87.5754
0.633938 52.152 -89.2299
0.638532 52.118 -90.9045
0.643159 52.083 -92.5964
0.647819 52.048 -94.3024
0.652514 52.013 -96.0195
0.657242 51.977 -97.7441
0.662005 51.942 -99.4730
0.666802 51.906 -101.2027
0.671634 51.869 -102.9297
0.676501 51.833 -104.6506
0.681403 51.796 -106.3622
0.686341 51.759 -108.0613
0.691314 51.723 -109.7451
0.696324 51.686 -111.4112
0.701370 51.650 -113.0577
0.706452 51.615 -114.6839
0.711571 51.582 -116.2905
0.716728 51.554 -117.8800
0.721921 51.532 -119.4577
0.727153 51.521 -121.0315
0.732422 51.524 -122.6100
0.737729 51.542 -124.1997
0.743075 51.576 -125.8008
0.748460 51.623 -127.4089
0.753883 51.682 -129.0176
0.759346 51.750 -130.6208
0.764849 51.826 -132.2129
0.770391 51.908 -133.7895
0.775974 51.997 -135.3470
0.781597 52.092 -136.8828
0.787261 52.193 -138.3945
0.792966 52.300 -139.8802
0.798712 52.412 -141.3387
0.804500 52.530 -142.7686
0.810329 52.653 -144.1691
0.816201 52.781 -145.5394
0.822116 52.914 -146.8791
0.828073 53.053 -148.1880
0.834074 53.197 -149.4659
0.840118 53.345 -150.7128
0.846206 53.498 -151.9289
0.852338 53.656 -153.1146
0.858514 53.819 -154.2703
0.864735 53.985 -155.3965
0.871001 54.156 -156.4938
0.877313 54.331 -157.5628
0.883670 54.510 -158.6043
0.890074 54.693 -159.6191
0.896524 54.879 -160.6079
0.903020 55.069 -161.5717
0.909564 55.261 -162.5113
0.916155 55.457 -163.4275
0.922794 55.655 -164.3212
0.929481 55.856 -165.1934
0.936216 56.058 -166.0449
0.943000 56.263 -166.8766
0.949834 56.469 -167.6893
0.956717 56.677 -168.4841
0.963649 56.886 -169.2616
0.970632 57.096 -170.0227
0.977666 57.306 -170.7684
0.984750 57.516 -171.4993
0.991886 57.726 -172.2163
0.999074 57.935 -172.9202
1.006314 58.143 -173.6117
1.013606 58.350 -174.2915
1.020951 58.555 -174.9605
1.028349 58.758 -175.6192
1.035801 58.958 -176.2685
1.043307 59.155 -176.9090
1.050867 59.349 -177.5414
1.058482 59.539 -178.1662
1.066152 59.725 -178.7842
1.073878 59.906 -179.3960
1.081660 60.083 179.9979
1.089498 60.255 179.3968
1.097393 60.424 178.8004
1.105345 60.589 178.2083
1.113355 60.752 177.6203
1.121423 60.913 177.0362
1.129549 61.072 176.4560
1.137734 61.230 175.8797
1.145979 61.387 175.3074
1.154283 61.542 174.7391
1.162647 61.697 174.1749
1.171072 61.851 173.6149
1.179558 62.005 173.0592
1.188106 62.157 172.5078
1.196715 62.309 171.9608
1.205387 62.460 171.4182
1.214122 62.610 170.8801
1.222920 62.759 170.3465
1.231782 62.908 169.8175
1.240708 63.056 169.2931
1.249699 63.203 168.7733
1.258754 63.350 168.2582
1.267876 63.495 167.7477
1.277063 63.641 167.2419
1.286318 63.786 166.7408
1.295639 63.930 166.2444
1.305027 64.074 165.7527
1.314484 64.217 165.2656
1.324009 64.360 164.7833
1.333604 64.502 164.3055
1.343268 64.644 163.8325
1.353002 64.786 163.3641
1.362806 64.927 162.9002
1.372681 65.069 162.4410
1.382628 65.210 161.9863
1.392647 65.351 161.5361
1.402739 65.492 161.0903
1.412904 65.633 160.6490
1.423142 65.773 160.2120
1.433455 65.914 159.7792
1.443843 66.055 159.3506
1.454305 66.195 158.9261
1.464844 66.335 158.5053
1.475459 66.475 158.0882
1.486150 66.614 157.6745
1.496920 66.751 157.2640
1.507767 66.888 156.8565
1.518693 67.023 156.4517
1.529698 67.158 156.0496
1.540783 67.291 155.6498
1.551948 67.423 155.2522
1.563194 67.554 154.8566
1.574521 67.684 154.4629
1.585931 67.813 154.0708
1.597423 67.942 153.6801
1.608999 68.069 153.2908
1.620658 68.195 152.9025
1.632402 68.321 152.5152
1.644232 68.446 152.1286
1.656146 68.570 151.7426
1.668147 68.694 151.3569
1.680235 68.817 150.9714
1.692411 68.939 150.5859
1.704675 69.062 150.2003
1.717028 69.184 149.8144
1.729470 69.306 149.4280
1.742003 69.428 149.0409
1.754626 69.550 148.6529
1.767341 69.672 148.2640
1.780147 69.794 147.8739
1.793047 69.916 147.4826
1.806040 70.039 147.0901
1.819128 70.162 146.6963
1.832310 70.284 146.3013
1.845587 70.406 145.9052
1.858961 70.528 145.5083
1.872432 70.650 145.1107
1.886001 70.771 144.7124
1.899667 70.891 144.3137
1.913433 71.010 143.9144
1.927299 71.129 143.5146
1.941265 71.247 143.1143
1.955332 71.364 142.7135
1.969501 71.481 142.3122
1.983773 71.597 141.9103
1.998148 71.713 141.5078
2.012627 71.828 141.1046
2.027212 71.943 140.7005
2.041902 72.058 140.2957
2.056698 72.172 139.8899
2.071602 72.286 139.4831
2.086614 72.399 139.0752
2.101734 72.513 138.6661
2.116964 72.626 138.2557
2.132304 72.739 137.8438
2.147756 72.852 137.4305
2.163320 72.966 137.0155
2.178996 73.079 136.5989
2.194786 73.192 136.1807
2.210690 73.305 135.7609
2.226710 73.417 135.3394
2.242845 73.529 134.9166
2.259098 73.641 134.4922
2.275468 73.752 134.0665
2.291957 73.863 133.6393
2.308566 73.973 133.2107
2.325295 74.082 132.7806
2.342145 74.191 132.3491
2.359117 74.300 131.9159
2.376212 74.408 131.4810
2.393431 74.516 131.0443
2.410775 74.624 130.6056
2.428244 74.731 130.1649
2.445840 74.837 129.7220
2.463564 74.944 129.2767
2.481416 75.050 128.8287
2.499397 75.155 128.3781
2.517509 75.261 127.9244
2.535752 75.366 127.4677
2.554127 75.470 127.0075
2.572635 75.575 126.5438
2.591277 75.679 126.0766
2.610055 75.782 125.6058
2.628968 75.885 125.1316
2.648019 75.988 124.6540
2.667208 76.090 124.1732
2.686535 76.191 123.6893
2.706003 76.291 123.2025
2.725612 76.391 122.7129
2.745363 76.491 122.2206
2.765257 76.590 121.7255
2.785295 76.688 121.2278
2.805478 76.785 120.7275
2.825808 76.882 120.2244
2.846285 76.978 119.7184
2.866910 77.074 119.2092
2.887685 77.168 118.6966
2.908611 77.263 118.1801
2.929688 77.356 117.6591
2.950917 77.449 117.1331
2.972301 77.540 116.6017
2.993839 77.631 116.0649
3.015534 77.721 115.5228
3.037386 77.811 114.9758
3.059396 77.899 114.4244
3.081565 77.986 113.8691
3.103896 78.073 113.3107
3.126388 78.158 112.7497
3.149043 78.242 112.1867
3.171862 78.325 111.6221
3.194847 78.408 111.0563
3.217998 78.489 110.4894
3.241317 78.569 109.9214
3.264805 78.647 109.3518
3.288463 78.725 108.7799
3.312293 78.801 108.2048
3.336295 78.877 107.6255
3.360471 78.950 107.0414
3.384822 79.023 106.4526
3.409350 79.094 105.8594
3.434056 79.163 105.2627
3.458940 79.231 104.6634
3.484005 79.298 104.0627
3.509252 79.364 103.4616
3.534681 79.427 102.8613
3.560295 79.490 102.2627
3.586094 79.551 101.6664
3.612081 79.610 101.0726
3.638255 79.668 100.4810
3.664620 79.724 99.8907
3.691175 79.779 99.3007
3.717923 79.832 98.7097
3.744864 79.883 98.1173
3.772001 79.932 97.5238
3.799335 79.979 96.9298
3.826866 80.025 96.3367
3.854597 80.069 95.7460
3.882529 80.111 95.1592
3.910664 80.152 94.5780
3.939002 80.191 94.0039
3.967546 80.229 93.4379
3.996296 80.265 92.8806
4.025255 80.300 92.3317
4.054423 80.333 91.7906
4.083804 80.363 91.2565
4.113396 80.393 90.7286
4.143204 80.420 90.2069
4.173227 80.446 89.6919
4.203468 80.470 89.1846
4.233928 80.493 88.6863
4.264609 80.515 88.1985
4.295512 80.535 87.7226
4.326639 80.555 87.2602
4.357992 80.575 86.8124
4.389572 80.593 86.3798
4.421380 80.611 85.9626
4.453419 80.628 85.5606
4.485691 80.643 85.1733
4.518196 80.659 84.8005
4.550936 80.673 84.4418
4.583914 80.688 84.0971
4.617131 80.702 83.7666
4.650589 80.717 83.4505
4.684289 80.733 83.1494
4.718233 80.750 82.8639
4.752424 80.768 82.5948
4.786862 80.788 82.3428
4.821549 80.809 82.1082
4.856488 80.830 81.8904
4.891680 80.854 81.6882
4.927127 80.879 81.4997
4.962831 80.906 81.3229
4.998794 80.935 81.1555
5.035017 80.966 80.9955
5.071503 81.001 80.8417
5.108253 81.038 80.6934
5.145270 81.079 80.5506
5.182555 81.123 80.4133
5.220110 81.170 80.2810
5.257937 81.221 80.1521
5.296038 81.274 80.0237
5.334415 81.331 79.8925
5.373071 81.390 79.7551
5.412006 81.453 79.6080
5.451224 81.518 79.4489
5.490725 81.586 79.2764
5.530514 81.657 79.0901
5.570590 81.731 78.8899
5.610957 81.808 78.6754
5.651616 81.887 78.4455
5.692570 81.968 78.1982
5.733821 82.051 77.9315
5.775370 82.134 77.6432
5.817221 82.219 77.3315
5.859375 82.304 76.9953
5.901834 82.389 76.6343
5.944602 82.475 76.2491
5.987679 82.560 75.8403
6.031068 82.646 75.4090
6.074771 82.731 74.9559
6.118792 82.814 74.4816
6.163131 82.896 73.9861
6.207792 82.976 73.4694
6.252776 83.053 72.9313
6.298086 83.129 72.3723
6.343725 83.201 71.7935
6.389694 83.271 71.1974
6.435996 83.339 70.5864
6.482634 83.403 69.9633
6.529610 83.463 69.3303
6.576926 83.520 68.6887
6.624585 83.574 68.0391
6.672590 83.623 67.3820
6.720942 83.668 66.7190
6.769645 83.710 66.0526
6.818700 83.748 65.3861
6.868111 83.782 64.7229
