* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 24, 2023 8:52:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Starfield  2 May R
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 86.514 55.7073
20.507813 86.544 55.4944
20.874023 86.610 54.9281
21.240234 86.645 54.3428
21.606445 86.657 53.7515
21.972656 86.675 53.0873
22.338867 86.713 52.3126
22.705078 86.766 51.4246
23.071289 86.821 50.4868
23.437500 86.866 49.6150
23.803711 86.901 48.8950
24.169922 86.936 48.3049
24.536133 86.978 47.7167
24.902344 87.025 46.9959
25.268555 87.064 46.1281
25.634766 87.093 45.2634
26.000977 87.128 44.6238
26.367188 87.202 44.3255
26.733399 87.341 44.2558
27.099610 87.536 44.1179
27.465821 87.739 43.6255
27.832032 87.883 42.6984
28.198243 87.922 41.5218
28.564454 87.851 40.4393
28.930665 87.706 39.7523
29.296876 87.554 39.5383
29.663087 87.456 39.6019
30.029298 87.435 39.6022
30.395509 87.462 39.2771
30.761720 87.493 38.5995
31.127931 87.496 37.7616
31.494142 87.477 37.0139
31.860353 87.468 36.4857
32.226563 87.503 36.1160
32.592774 87.583 35.7408
32.958985 87.676 35.2703
33.325196 87.734 34.8165
33.691407 87.727 34.6632
34.057618 87.663 35.0779
34.423829 87.584 36.0807
34.790040 87.541 37.3372
35.156251 87.555 38.2819
35.522462 87.605 38.4104
35.888673 87.645 37.5475
36.254884 87.644 35.9160
36.621095 87.603 33.9902
36.987306 87.553 32.2488
37.353517 87.536 30.9732
37.719728 87.576 30.1878
38.085939 87.661 29.7446
38.452150 87.758 29.4689
38.818361 87.830 29.2566
39.184572 87.859 29.0784
39.550783 87.851 28.9244
39.916994 87.821 28.7595
40.283205 87.791 28.5304
40.649416 87.771 28.2062
41.015627 87.765 27.8083
41.381838 87.768 27.3997
41.748049 87.779 27.0435
42.114260 87.792 26.7648
42.480471 87.804 26.5437
42.846682 87.811 26.3379
43.212893 87.808 26.1125
43.579103 87.798 25.8552
43.945314 87.785 25.5726
44.311525 87.774 25.2780
44.677736 87.771 24.9834
45.043947 87.775 24.6995
45.410158 87.782 24.4384
45.776369 87.789 24.2106
46.142580 87.791 24.0183
46.508791 87.789 23.8500
46.875002 87.784 23.6825
47.241213 87.776 23.4919
47.607424 87.768 23.2664
47.973635 87.761 23.0125
48.339846 87.755 22.7506
48.706057 87.753 22.5034
49.072268 87.753 22.2849
49.438479 87.753 22.0986
49.804690 87.748 21.9437
50.170901 87.735 21.8231
50.537112 87.711 21.7448
50.903323 87.679 21.7124
51.269534 87.647 21.7121
51.635745 87.623 21.7060
52.001956 87.611 21.6423
52.368167 87.612 21.4783
52.734378 87.621 21.2038
53.100589 87.630 20.8490
53.466800 87.636 20.4707
53.833011 87.638 20.1260
54.199222 87.638 19.8480
54.565432 87.638 19.6375
54.931643 87.639 19.4725
55.297854 87.639 19.3258
55.664065 87.635 19.1804
56.030276 87.627 19.0330
56.396487 87.613 18.8891
56.762698 87.598 18.7546
57.128909 87.582 18.6314
57.495120 87.569 18.5165
57.861331 87.559 18.4047
58.227542 87.552 18.2910
58.593753 87.546 18.1716
58.959964 87.541 18.0452
59.326175 87.533 17.9134
59.692386 87.524 17.7810
60.058597 87.512 17.6537
60.424808 87.500 17.5351
60.791019 87.489 17.4242
61.157230 87.481 17.3156
61.523441 87.474 17.2034
61.889652 87.469 17.0854
62.255863 87.463 16.9664
62.622074 87.456 16.8564
62.988285 87.447 16.7652
63.354496 87.436 16.6962
63.720707 87.426 16.6433
64.086918 87.415 16.5929
64.453129 87.405 16.5301
64.819340 87.395 16.4450
65.185551 87.383 16.3367
65.551762 87.371 16.2116
65.917972 87.357 16.0793
66.284183 87.343 15.9479
66.650394 87.330 15.8215
67.016605 87.316 15.7014
67.382816 87.303 15.5879
67.749027 87.287 15.4816
68.115238 87.271 15.3830
68.481449 87.253 15.2915
68.847660 87.236 15.2051
69.213871 87.222 15.1218
69.580082 87.210 15.0410
69.946293 87.203 14.9637
70.312504 87.200 14.8904
70.678715 87.202 14.8184
71.044926 87.206 14.7417
71.411137 87.209 14.6537
71.777348 87.209 14.5527
72.143559 87.202 14.4445
72.509770 87.187 14.3418
72.875981 87.166 14.2583
73.242192 87.141 14.2015
73.608403 87.117 14.1687
73.974614 87.096 14.1490
74.340825 87.080 14.1294
74.707036 87.068 14.1013
75.073247 87.059 14.0635
75.439458 87.050 14.0208
75.805669 87.042 13.9783
76.171880 87.034 13.9382
76.538091 87.025 13.8978
76.904301 87.016 13.8520
77.270512 87.006 13.7961
77.636723 86.995 13.7290
78.002934 86.982 13.6528
78.369145 86.968 13.5723
78.735356 86.952 13.4928
79.101567 86.936 13.4191
79.467778 86.921 13.3545
79.833989 86.907 13.3007
80.200200 86.894 13.2571
80.566411 86.882 13.2221
80.932622 86.871 13.1931
81.298833 86.859 13.1678
81.665044 86.846 13.1457
82.031255 86.832 13.1277
82.397466 86.816 13.1154
82.763677 86.799 13.1099
83.129888 86.782 13.1098
83.496099 86.766 13.1117
83.862310 86.752 13.1100
84.228521 86.740 13.0997
84.594732 86.729 13.0773
84.960943 86.719 13.0430
85.327154 86.708 12.9996
85.693365 86.696 12.9521
86.059576 86.683 12.9046
86.425787 86.670 12.8592
86.791998 86.657 12.8155
87.158209 86.645 12.7708
87.524420 86.633 12.7224
87.890631 86.622 12.6687
88.256841 86.610 12.6103
88.623052 86.598 12.5492
88.989263 86.586 12.4885
89.355474 86.572 12.4310
89.721685 86.558 12.3792
90.087896 86.544 12.3349
90.454107 86.531 12.2988
90.820318 86.519 12.2705
91.186529 86.509 12.2481
91.552740 86.500 12.2286
91.918951 86.491 12.2090
92.285162 86.482 12.1882
92.651373 86.471 12.1678
93.017584 86.456 12.1520
93.383795 86.437 12.1462
93.750006 86.416 12.1547
94.116217 86.394 12.1786
94.482428 86.372 12.2164
94.848639 86.353 12.2641
95.214850 86.336 12.3184
95.581061 86.323 12.3775
95.947272 86.311 12.4421
96.313483 86.300 12.5138
96.679694 86.288 12.5937
97.045905 86.275 12.6805
97.412116 86.261 12.7694
97.778327 86.247 12.8527
98.144538 86.234 12.9208
98.510749 86.223 12.9652
98.876960 86.215 12.9809
99.243170 86.208 12.9687
99.609381 86.202 12.9362
99.975592 86.196 12.8967
100.341803 86.187 12.8658
100.708014 86.175 12.8576
101.074225 86.160 12.8805
101.440436 86.141 12.9348
101.806647 86.120 13.0135
102.172858 86.099 13.1035
102.539069 86.078 13.1897
102.905280 86.060 13.2579
103.271491 86.045 13.2968
103.637702 86.033 13.2986
104.003913 86.024 13.2589
104.370124 86.017 13.1759
104.736335 86.011 13.0507
105.102546 86.004 12.8884
105.468757 85.993 12.6985
105.834968 85.979 12.4964
106.201179 85.961 12.3018
106.567390 85.938 12.1361
106.933601 85.914 12.0186
107.299812 85.890 11.9625
107.666023 85.868 11.9722
108.032234 85.850 12.0437
108.398445 85.836 12.1654
108.764656 85.825 12.3221
109.130867 85.817 12.4981
109.497078 85.809 12.6794
109.863289 85.800 12.8557
110.229500 85.789 13.0203
110.595710 85.777 13.1694
110.961921 85.763 13.3010
111.328132 85.750 13.4139
111.694343 85.737 13.5072
112.060554 85.727 13.5801
112.426765 85.720 13.6329
112.792976 85.715 13.6673
113.159187 85.712 13.6869
113.525398 85.710 13.6965
113.891609 85.709 13.7013
114.257820 85.709 13.7057
114.624031 85.708 13.7128
114.990242 85.706 13.7239
115.356453 85.704 13.7390
115.722664 85.699 13.7579
116.088875 85.693 13.7802
116.455086 85.685 13.8056
116.821297 85.676 13.8335
117.187508 85.665 13.8631
117.553719 85.654 13.8933
117.919930 85.643 13.9232
118.286141 85.632 13.9521
118.652352 85.621 13.9805
119.018563 85.610 14.0094
119.384774 85.600 14.0401
119.750985 85.590 14.0737
120.117196 85.580 14.1106
120.483407 85.571 14.1500
120.849618 85.562 14.1905
121.215829 85.552 14.2305
121.582040 85.543 14.2687
121.948250 85.533 14.3042
122.314461 85.523 14.3368
122.680672 85.513 14.3668
123.046883 85.504 14.3945
123.413094 85.494 14.4204
123.779305 85.484 14.4448
124.145516 85.473 14.4679
124.511727 85.463 14.4895
124.877938 85.451 14.5097
125.244149 85.439 14.5282
125.610360 85.426 14.5449
125.976571 85.412 14.5600
126.342782 85.397 14.5738
126.708993 85.381 14.5873
127.075204 85.366 14.6017
127.441415 85.350 14.6185
127.807626 85.334 14.6394
128.173837 85.319 14.6656
128.540048 85.305 14.6980
128.906259 85.291 14.7368
129.272470 85.278 14.7815
129.638681 85.265 14.8311
130.004892 85.253 14.8843
130.371103 85.241 14.9394
130.737314 85.229 14.9948
131.103525 85.218 15.0492
131.469736 85.206 15.1018
131.835947 85.194 15.1518
132.202158 85.182 15.1993
132.568369 85.170 15.2441
132.934579 85.157 15.2868
133.300790 85.143 15.3276
133.667001 85.129 15.3671
134.033212 85.115 15.4055
134.399423 85.100 15.4430
134.765634 85.084 15.4798
135.131845 85.068 15.5159
135.498056 85.052 15.5515
135.864267 85.036 15.5869
136.230478 85.019 15.6224
136.596689 85.003 15.6584
136.962900 84.986 15.6953
137.329111 84.969 15.7336
137.695322 84.952 15.7736
138.061533 84.935 15.8158
138.427744 84.917 15.8605
138.793955 84.900 15.9080
139.160166 84.882 15.9585
139.526377 84.865 16.0122
139.892588 84.848 16.0689
140.258799 84.832 16.1280
140.625010 84.816 16.1892
140.991221 84.801 16.2518
141.357432 84.786 16.3154
141.723643 84.771 16.3799
142.089854 84.756 16.4460
142.456065 84.741 16.5147
142.822276 84.726 16.5875
143.188487 84.712 16.6657
143.554698 84.698 16.7504
143.920909 84.684 16.8422
144.287119 84.671 16.9404
144.653330 84.658 17.0437
145.019541 84.645 17.1500
145.385752 84.632 17.2570
145.751963 84.620 17.3619
146.118174 84.607 17.4622
146.484385 84.595 17.5557
146.850596 84.584 17.6406
147.216807 84.573 17.7162
147.583018 84.565 17.7827
147.949229 84.558 17.8410
148.315440 84.552 17.8933
148.681651 84.547 17.9421
149.047862 84.544 17.9902
149.414073 84.540 18.0404
149.780284 84.536 18.0948
150.146495 84.532 18.1551
150.512706 84.526 18.2225
150.878917 84.520 18.2980
151.245128 84.512 18.3820
151.611339 84.503 18.4750
151.977550 84.494 18.5770
152.343761 84.485 18.6878
152.709972 84.476 18.8071
153.076183 84.468 18.9336
153.442394 84.462 19.0659
153.808605 84.458 19.2020
154.174816 84.456 19.3393
154.541027 84.455 19.4755
154.907238 84.457 19.6081
155.273448 84.460 19.7355
155.639659 84.464 19.8564
156.005870 84.469 19.9704
156.372081 84.474 20.0777
156.738292 84.480 20.1789
157.104503 84.485 20.2749
157.470714 84.490 20.3667
157.836925 84.495 20.4550
158.203136 84.500 20.5403
158.569347 84.504 20.6228
158.935558 84.508 20.7025
159.301769 84.512 20.7792
159.667980 84.515 20.8527
160.034191 84.518 20.9228
160.400402 84.520 20.9895
160.766613 84.522 21.0528
161.132824 84.523 21.1125
161.499035 84.524 21.1688
161.865246 84.525 21.2217
162.231457 84.525 21.2712
162.597668 84.526 21.3171
162.963879 84.526 21.3594
163.330090 84.527 21.3982
163.696301 84.527 21.4333
164.062512 84.528 21.4651
164.428723 84.528 21.4938
164.794934 84.528 21.5199
165.161145 84.529 21.5440
165.527356 84.528 21.5669
165.893567 84.528 21.5896
166.259778 84.527 21.6128
166.625988 84.525 21.6373
166.992199 84.523 21.6635
167.358410 84.520 21.6917
167.724621 84.517 21.7219
168.090832 84.513 21.7536
168.457043 84.508 21.7866
168.823254 84.502 21.8204
169.189465 84.496 21.8543
169.555676 84.490 21.8881
169.921887 84.483 21.9213
170.288098 84.475 21.9536
170.654309 84.468 21.9848
171.020520 84.460 22.0147
171.386731 84.452 22.0431
171.752942 84.445 22.0697
172.119153 84.438 22.0945
172.485364 84.431 22.1174
172.851575 84.425 22.1381
