* Measurement data measured by REW V5.31
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.600
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 1, 2024 5:53:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Starfield2 LDF R
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 96.431 -158.1758
20.287556 96.437 -158.4788
20.434568 96.446 -158.9511
20.582645 96.454 -159.5299
20.731796 96.459 -160.1692
20.882027 96.460 -160.8163
21.033346 96.456 -161.4239
21.185763 96.452 -161.9417
21.339284 96.449 -162.3183
21.493917 96.455 -162.5238
21.649671 96.477 -162.5407
21.806553 96.521 -162.3741
21.964572 96.592 -162.0641
22.123737 96.693 -161.6672
22.284054 96.822 -161.2577
22.445534 96.971 -160.9190
22.608183 97.131 -160.7119
22.772012 97.286 -160.6894
22.937027 97.424 -160.8716
23.103238 97.530 -161.2520
23.270654 97.595 -161.8076
23.439282 97.611 -162.4872
23.609133 97.574 -163.2344
23.780215 97.488 -163.9855
23.952536 97.358 -164.6738
24.126106 97.194 -165.2505
24.300934 97.014 -165.6758
24.477028 96.833 -165.9418
24.654399 96.670 -166.0691
24.833055 96.539 -166.1031
25.013005 96.449 -166.1161
25.194260 96.402 -166.1724
25.376828 96.391 -166.3296
25.560719 96.406 -166.6095
25.745942 96.433 -167.0024
25.932508 96.461 -167.4724
26.120426 96.481 -167.9619
26.309705 96.489 -168.4196
26.500356 96.488 -168.8012
26.692388 96.480 -169.0948
26.885812 96.473 -169.3177
27.080638 96.472 -169.5185
27.276876 96.478 -169.7661
27.474535 96.490 -170.1274
27.673627 96.501 -170.6536
27.874161 96.503 -171.3569
28.076149 96.487 -172.2129
28.279600 96.448 -173.1494
28.484526 96.386 -174.0746
28.690937 96.307 -174.8738
28.898843 96.223 -175.4530
29.108256 96.150 -175.7431
29.319186 96.105 -175.7352
29.531645 96.101 -175.4749
29.745644 96.143 -175.0656
29.961193 96.224 -174.6239
30.178304 96.329 -174.2621
30.396989 96.438 -174.0439
30.617258 96.530 -173.9877
30.839123 96.592 -174.0648
31.062596 96.616 -174.2258
31.287688 96.603 -174.4111
31.514412 96.563 -174.5800
31.742778 96.508 -174.7141
31.972800 96.451 -174.8270
32.204488 96.403 -174.9505
32.437855 96.371 -175.1256
32.672913 96.354 -175.3778
32.909674 96.348 -175.7089
33.148151 96.348 -176.0914
33.388356 96.347 -176.4801
33.630302 96.343 -176.8265
33.874001 96.337 -177.0923
34.119466 96.331 -177.2655
34.366710 96.326 -177.3595
34.615745 96.324 -177.4111
34.866585 96.323 -177.4633
35.119243 96.321 -177.5536
35.373731 96.316 -177.7052
35.630064 96.306 -177.9218
35.888254 96.292 -178.1930
36.148315 96.277 -178.5005
36.410261 96.263 -178.8258
36.674104 96.255 -179.1555
36.939860 96.252 -179.4799
37.207542 96.254 -179.7919
37.477163 96.257 179.9168
37.748738 96.260 179.6562
38.022281 96.258 179.4363
38.297806 96.251 179.2633
38.575327 96.240 179.1352
38.854860 96.227 179.0402
39.136419 96.213 178.9573
39.420017 96.201 178.8605
39.705671 96.191 178.7267
39.993395 96.183 178.5408
40.283203 96.177 178.3000
40.575112 96.170 178.0144
40.869136 96.162 177.7049
41.165290 96.154 177.3962
41.463591 96.146 177.1100
41.764053 96.142 176.8593
42.066693 96.142 176.6447
42.371525 96.146 176.4557
42.678567 96.151 176.2782
42.987834 96.154 176.1022
43.299341 96.152 175.9276
43.613106 96.142 175.7621
43.929145 96.126 175.6149
44.247473 96.107 175.4842
44.568109 96.091 175.3495
44.891068 96.081 175.1754
45.216367 96.079 174.9266
45.544023 96.078 174.5882
45.874054 96.074 174.1783
46.206476 96.060 173.7481
46.541307 96.036 173.3649
46.878565 96.005 173.0858
47.218266 95.975 172.9323
47.560429 95.953 172.8802
47.905072 95.939 172.8732
48.252212 95.932 172.8499
48.601867 95.926 172.7703
48.954056 95.916 172.6266
49.308798 95.898 172.4365
49.666109 95.874 172.2261
50.026010 95.848 172.0143
50.388520 95.823 171.8061
50.753656 95.801 171.5970
51.121437 95.782 171.3808
51.491884 95.766 171.1550
51.865016 95.753 170.9202
52.240851 95.745 170.6763
52.619410 95.743 170.4219
53.000712 95.744 170.1578
53.384777 95.747 169.8926
53.771625 95.746 169.6442
54.161276 95.739 169.4332
54.553751 95.725 169.2712
54.949070 95.705 169.1515
55.347254 95.680 169.0502
55.748323 95.653 168.9390
56.152298 95.625 168.8012
56.559201 95.598 168.6406
56.969052 95.577 168.4747
57.381873 95.566 168.3194
57.797686 95.568 168.1783
58.216512 95.577 168.0477
58.638373 95.586 167.9300
59.063291 95.586 167.8407
59.491288 95.575 167.7955
59.922386 95.552 167.7874
60.356608 95.522 167.7760
60.793977 95.485 167.7057
61.234515 95.443 167.5415
61.678246 95.396 167.2895
62.125192 95.350 166.9825
62.575377 95.318 166.6431
63.028824 95.305 166.2651
63.485557 95.309 165.8390
63.945599 95.315 165.3979
64.408975 95.307 165.0320
64.875709 95.282 164.8399
65.345825 95.248 164.8510
65.819348 95.216 164.9860
66.296302 95.195 165.1018
66.776713 95.182 165.0923
67.260604 95.173 164.9498
67.748002 95.166 164.7354
68.238932 95.164 164.4985
68.733420 95.162 164.2399
69.231490 95.144 163.9515
69.733170 95.099 163.6741
70.238485 95.033 163.4830
70.747463 94.971 163.3966
71.260128 94.939 163.3152
71.776508 94.935 163.0981
72.296630 94.931 162.7309
72.820521 94.898 162.3838
73.348209 94.836 162.2662
73.879720 94.775 162.4041
74.415083 94.746 162.5826
74.954326 94.747 162.5522
75.497475 94.757 162.2751
76.044561 94.757 161.9282
76.595612 94.751 161.6904
77.150655 94.744 161.5788
77.709720 94.729 161.5051
78.272837 94.697 161.4269
78.840034 94.649 161.3758
79.411342 94.604 161.3672
79.986789 94.575 161.3581
80.566406 94.560 161.2955
81.150224 94.551 161.1485
81.738272 94.541 160.8947
82.330581 94.522 160.5384
82.927182 94.494 160.1549
83.528107 94.462 159.8538
84.133386 94.434 159.6725
84.743051 94.407 159.5496
85.357134 94.369 159.4150
85.975667 94.323 159.2360
86.598682 94.286 158.9896
87.226212 94.268 158.7245
87.858289 94.263 158.6632
88.494946 94.271 159.0474
89.136217 94.302 159.7432
89.782135 94.338 160.2136
90.432733 94.330 160.0592
91.088046 94.261 159.4242
91.748108 94.175 158.7275
92.412952 94.131 158.1846
93.082615 94.121 157.7704
93.757130 94.094 157.4924
94.436533 94.025 157.4113
95.120859 93.936 157.4536
95.810144 93.859 157.4549
96.504423 93.803 157.3624
97.203734 93.766 157.2378
97.908112 93.740 157.1153
98.617595 93.715 156.9759
99.332219 93.690 156.8112
100.052021 93.668 156.6318
100.777039 93.647 156.4540
101.507311 93.617 156.3135
102.242875 93.581 156.2415
102.983769 93.548 156.2072
103.730032 93.521 156.1457
104.481702 93.494 156.0502
105.238820 93.462 155.9681
106.001424 93.431 155.9132
106.769554 93.405 155.8448
107.543250 93.380 155.7329
108.322553 93.352 155.5985
109.107503 93.322 155.4738
109.898141 93.291 155.3616
110.694508 93.256 155.2554
111.496646 93.213 155.1577
112.304596 93.169 155.0635
113.118402 93.130 154.9888
113.938104 93.099 155.0228
114.763747 93.076 155.2498
115.595372 93.059 155.5612
116.433024 93.037 155.6867
117.276746 92.999 155.4964
118.126581 92.950 155.1179
118.982575 92.903 154.7512
119.844772 92.855 154.5078
120.713217 92.800 154.3938
121.587954 92.737 154.3710
122.469031 92.677 154.4090
123.356492 92.636 154.4443
124.250384 92.611 154.3778
125.150753 92.583 154.2015
126.057647 92.540 154.0279
126.971113 92.496 153.9261
127.891198 92.463 153.8585
128.817950 92.439 153.8154
129.751418 92.413 153.8340
130.691651 92.381 153.8779
131.638696 92.342 153.8676
132.592604 92.295 153.8087
133.553425 92.245 153.7900
134.521208 92.197 153.8536
135.496004 92.155 153.9494
136.477864 92.117 154.0391
137.466839 92.083 154.1438
138.462981 92.050 154.2703
139.466340 92.012 154.3611
140.476971 91.965 154.3583
141.494925 91.912 154.2914
142.520256 91.870 154.2578
143.553016 91.858 154.3212
144.593260 91.877 154.4545
145.641043 91.901 154.5930
146.696418 91.906 154.7177
147.759441 91.891 154.7851
148.830166 91.859 154.6961
149.908651 91.808 154.5376
150.994951 91.751 154.5043
152.089123 91.706 154.5753
153.191223 91.675 154.6292
154.301310 91.654 154.6375
155.419441 91.641 154.6072
156.545674 91.630 154.5427
157.680069 91.617 154.4511
158.822683 91.600 154.3348
159.973578 91.577 154.2193
161.132813 91.549 154.1369
162.300447 91.517 154.0995
163.476543 91.482 154.0941
164.661162 91.444 154.0890
165.854364 91.405 154.0673
167.056213 91.364 154.0338
168.266772 91.322 153.9970
169.486102 91.283 153.9559
170.714268 91.249 153.9049
171.951334 91.217 153.8397
173.197364 91.185 153.7662
174.452424 91.150 153.7013
175.716578 91.108 153.6510
176.989893 91.061 153.6083
178.272434 91.012 153.5753
179.564270 90.970 153.5443
180.865467 90.940 153.5004
182.176092 90.917 153.4317
183.496216 90.895 153.3315
184.825905 90.866 153.2134
186.165229 90.826 153.1359
187.514259 90.775 153.1657
188.873065 90.716 153.3156
190.241717 90.656 153.5139
191.620287 90.604 153.6528
193.008847 90.566 153.7102
194.407468 90.535 153.7545
195.816225 90.501 153.8290
197.235190 90.463 153.9145
198.664438 90.421 153.9937
200.104042 90.377 154.0645
201.554078 90.336 154.1115
203.014622 90.298 154.1164
204.485750 90.263 154.1133
205.967538 90.225 154.1492
207.460064 90.183 154.2095
208.963405 90.137 154.2722
210.477640 90.090 154.3581
212.002848 90.044 154.4945
213.539108 90.003 154.6511
215.086500 89.968 154.7906
216.645105 89.936 154.9224
218.215005 89.906 155.0637
219.796281 89.877 155.2077
221.389015 89.848 155.3398
222.993292 89.820 155.4501
224.609193 89.796 155.5369
226.236804 89.776 155.6090
227.876209 89.759 155.6937
229.527494 89.740 155.7944
231.190745 89.714 155.8773
232.866048 89.683 155.9287
234.553491 89.650 155.9601
236.253163 89.620 155.9761
237.965150 89.590 155.9816
239.689544 89.562 156.0036
241.426433 89.535 156.0709
243.175909 89.504 156.1754
244.938062 89.468 156.2889
246.712984 89.429 156.3860
248.500768 89.390 156.4415
250.301507 89.353 156.4761
252.115295 89.316 156.5349
253.942226 89.277 156.6297
255.782396 89.241 156.7423
257.635901 89.206 156.8461
259.502837 89.172 156.9359
261.383301 89.137 157.0344
263.277392 89.100 157.1483
265.185209 89.063 157.2561
267.106850 89.025 157.3524
269.042417 88.986 157.4456
270.992009 88.950 157.5410
272.955729 88.916 157.6502
274.933678 88.885 157.7841
276.925961 88.854 157.9243
278.932681 88.819 158.0583
280.953942 88.785 158.1795
282.989850 88.752 158.3029
285.040511 88.722 158.4395
287.106032 88.693 158.5822
289.186521 88.662 158.7757
291.282086 88.624 159.0702
293.392836 88.585 159.3838
295.518881 88.549 159.5754
297.660333 88.516 159.6055
299.817302 88.486 159.5325
301.989902 88.457 159.5503
304.178245 88.419 159.6809
306.382446 88.376 159.8154
308.602620 88.338 159.9685
310.838882 88.305 160.1769
313.091348 88.274 160.3811
315.360137 88.243 160.5500
317.645367 88.213 160.7001
319.947156 88.184 160.8348
322.265625 88.156 160.9657
324.600895 88.125 161.1040
326.953086 88.090 161.2701
329.322323 88.053 161.4644
331.708729 88.016 161.6584
334.112427 87.982 161.8335
336.533543 87.952 161.9935
338.972204 87.925 162.1476
341.428536 87.899 162.3122
343.902668 87.870 162.5010
346.394729 87.838 162.7089
348.904848 87.805 162.9177
351.433156 87.773 163.1105
353.979786 87.742 163.2866
356.544869 87.712 163.4630
359.128540 87.681 163.6466
361.730934 87.652 163.8381
364.352185 87.624 164.0417
366.992431 87.596 164.2491
369.651810 87.568 164.4529
372.330459 87.539 164.6646
375.028519 87.508 164.8982
377.746130 87.476 165.1477
380.483434 87.446 165.3842
383.240574 87.418 165.5861
386.017693 87.392 165.7712
388.814937 87.366 165.9697
391.632450 87.337 166.1862
