* Measurement data measured by REW V5.31.3
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 12 11, 24 12:57:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: QoA Mimosa L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 43.908 -12.4993
0.368865 43.917 -12.4503
0.371538 43.930 -12.3778
0.374230 43.945 -12.2880
0.376942 43.963 -12.1866
0.379673 43.982 -12.0776
0.382424 44.002 -11.9636
0.385196 44.022 -11.8462
0.387987 44.043 -11.7264
0.390798 44.064 -11.6046
0.393630 44.085 -11.4811
0.396483 44.106 -11.3560
0.399356 44.128 -11.2292
0.402250 44.150 -11.1009
0.405165 44.171 -10.9708
0.408101 44.193 -10.8390
0.411058 44.216 -10.7055
0.414037 44.238 -10.5701
0.417037 44.260 -10.4328
0.420059 44.283 -10.2935
0.423103 44.306 -10.1521
0.426169 44.329 -10.0087
0.429257 44.352 -9.8630
0.432368 44.375 -9.7151
0.435501 44.399 -9.5649
0.438656 44.422 -9.4122
0.441835 44.446 -9.2571
0.445037 44.470 -9.0994
0.448262 44.494 -8.9390
0.451510 44.519 -8.7760
0.454782 44.543 -8.6101
0.458077 44.568 -8.4414
0.461397 44.593 -8.2697
0.464740 44.618 -8.0950
0.468108 44.643 -7.9172
0.471500 44.668 -7.7362
0.474917 44.694 -7.5519
0.478358 44.720 -7.3642
0.481825 44.746 -7.1731
0.485316 44.772 -6.9785
0.488833 44.798 -6.7803
0.492375 44.825 -6.5784
0.495943 44.852 -6.3727
0.499537 44.879 -6.1632
0.503157 44.906 -5.9498
0.506803 44.933 -5.7324
0.510475 44.961 -5.5110
0.514175 44.988 -5.2854
0.517900 45.016 -5.0557
0.521653 45.044 -4.8217
0.525434 45.073 -4.5834
0.529241 45.101 -4.3407
0.533076 45.130 -4.0936
0.536939 45.159 -3.8420
0.540830 45.188 -3.5859
0.544749 45.217 -3.3253
0.548696 45.247 -3.0601
0.552673 45.277 -2.7902
0.556677 45.307 -2.5158
0.560711 45.337 -2.2367
0.564774 45.367 -1.9529
0.568867 45.398 -1.6645
0.572989 45.429 -1.3715
0.577141 45.460 -1.0738
0.581324 45.491 -0.7716
0.585536 45.523 -0.4648
0.589779 45.555 -0.1535
0.594053 45.587 0.1622
0.598358 45.619 0.4823
0.602694 45.652 0.8067
0.607061 45.684 1.1353
0.611460 45.717 1.4680
0.615891 45.751 1.8046
0.620354 45.784 2.1452
0.624849 45.818 2.4894
0.629377 45.852 2.8372
0.633938 45.886 3.1884
0.638532 45.920 3.5428
0.643159 45.955 3.9002
0.647819 45.990 4.2605
0.652514 46.025 4.6234
0.657242 46.060 4.9886
0.662005 46.096 5.3560
0.666802 46.132 5.7253
0.671634 46.168 6.0963
0.676501 46.205 6.4686
0.681403 46.242 6.8420
0.686341 46.279 7.2162
0.691314 46.316 7.5910
0.696324 46.354 7.9660
0.701370 46.393 8.3409
0.706452 46.433 8.7157
0.711571 46.474 9.0900
0.716728 46.517 9.4639
0.721921 46.564 9.8373
0.727153 46.616 10.2106
0.732422 46.674 10.5843
0.737729 46.740 10.9589
0.743075 46.812 11.3350
0.748460 46.891 11.7131
0.753883 46.975 12.0933
0.759346 47.063 12.4755
0.764849 47.154 12.8594
0.770391 47.250 13.2448
0.775974 47.348 13.6312
0.781597 47.449 14.0180
0.787261 47.553 14.4049
0.792966 47.660 14.7912
0.798712 47.770 15.1765
0.804500 47.882 15.5603
0.810329 47.997 15.9420
0.816201 48.115 16.3211
0.822116 48.236 16.6972
0.828073 48.359 17.0696
0.834074 48.485 17.4380
0.840118 48.613 17.8018
0.846206 48.744 18.1605
0.852338 48.877 18.5137
0.858514 49.013 18.8608
0.864735 49.151 19.2015
0.871001 49.292 19.5353
0.877313 49.434 19.8618
0.883670 49.579 20.1805
0.890074 49.726 20.4911
0.896524 49.875 20.7931
0.903020 50.027 21.0861
0.909564 50.179 21.3699
0.916155 50.334 21.6441
0.922794 50.491 21.9082
0.929481 50.649 22.1621
0.936216 50.809 22.4053
0.943000 50.970 22.6376
0.949834 51.132 22.8588
0.956717 51.296 23.0685
0.963649 51.461 23.2666
0.970632 51.626 23.4527
0.977666 51.793 23.6267
0.984750 51.961 23.7884
0.991886 52.128 23.9375
0.999074 52.297 24.0740
1.006314 52.466 24.1976
1.013606 52.634 24.3082
1.020951 52.803 24.4058
1.028349 52.972 24.4901
1.035801 53.140 24.5611
1.043307 53.308 24.6189
1.050867 53.475 24.6633
1.058482 53.641 24.6947
1.066152 53.807 24.7132
1.073878 53.971 24.7193
1.081660 54.134 24.7141
1.089498 54.297 24.6986
1.097393 54.458 24.6748
1.105345 54.620 24.6447
1.113355 54.781 24.6102
1.121423 54.943 24.5730
1.129549 55.105 24.5341
1.137734 55.268 24.4941
1.145979 55.432 24.4529
1.154283 55.596 24.4106
1.162647 55.762 24.3667
1.171072 55.928 24.3211
1.179558 56.095 24.2731
1.188106 56.262 24.2226
1.196715 56.431 24.1690
1.205387 56.600 24.1119
1.214122 56.769 24.0510
1.222920 56.940 23.9859
1.231782 57.111 23.9163
1.240708 57.282 23.8416
1.249699 57.454 23.7618
1.258754 57.627 23.6763
1.267876 57.800 23.5849
1.277063 57.973 23.4873
1.286318 58.147 23.3831
1.295639 58.321 23.2722
1.305027 58.495 23.1541
1.314484 58.670 23.0287
1.324009 58.845 22.8956
1.333604 59.019 22.7547
1.343268 59.194 22.6056
1.353002 59.369 22.4481
1.362806 59.544 22.2820
1.372681 59.719 22.1070
1.382628 59.894 21.9229
1.392647 60.068 21.7296
1.402739 60.242 21.5269
1.412904 60.416 21.3147
1.423142 60.590 21.0932
1.433455 60.763 20.8625
1.443843 60.935 20.6233
1.454305 61.107 20.3765
1.464844 61.278 20.1234
1.475459 61.449 19.8654
1.486150 61.619 19.6043
1.496920 61.789 19.3410
1.507767 61.957 19.0764
1.518693 62.126 18.8107
1.529698 62.293 18.5440
1.540783 62.461 18.2762
1.551948 62.627 18.0071
1.563194 62.793 17.7362
1.574521 62.959 17.4634
1.585931 63.124 17.1881
1.597423 63.288 16.9101
1.608999 63.452 16.6289
1.620658 63.616 16.3442
1.632402 63.779 16.0556
1.644232 63.942 15.7627
1.656146 64.104 15.4653
1.668147 64.266 15.1628
1.680235 64.428 14.8550
1.692411 64.589 14.5415
1.704675 64.750 14.2220
1.717028 64.911 13.8961
1.729470 65.072 13.5634
1.742003 65.232 13.2237
1.754626 65.392 12.8767
1.767341 65.553 12.5221
1.780147 65.713 12.1598
1.793047 65.873 11.7898
1.806040 66.033 11.4121
1.819128 66.192 11.0273
1.832310 66.351 10.6359
1.845587 66.510 10.2390
1.858961 66.668 9.8373
1.872432 66.826 9.4318
1.886001 66.983 9.0231
1.899667 67.139 8.6115
1.913433 67.294 8.1973
1.927299 67.449 7.7808
1.941265 67.603 7.3620
1.955332 67.756 6.9409
1.969501 67.908 6.5175
1.983773 68.060 6.0918
1.998148 68.211 5.6638
2.012627 68.361 5.2332
2.027212 68.511 4.8001
2.041902 68.660 4.3642
2.056698 68.809 3.9255
2.071602 68.957 3.4837
2.086614 69.105 3.0386
2.101734 69.253 2.5901
2.116964 69.400 2.1378
2.132304 69.547 1.6817
2.147756 69.694 1.2214
2.163320 69.840 0.7569
2.178996 69.986 0.2879
2.194786 70.132 -0.1855
2.210690 70.277 -0.6631
2.226710 70.421 -1.1449
2.242845 70.565 -1.6305
2.259098 70.708 -2.1196
2.275468 70.849 -2.6119
2.291957 70.990 -3.1069
2.308566 71.131 -3.6045
2.325295 71.270 -4.1044
2.342145 71.409 -4.6063
2.359117 71.546 -5.1101
2.376212 71.683 -5.6156
2.393431 71.820 -6.1227
2.410775 71.956 -6.6312
2.428244 72.091 -7.1411
2.445840 72.225 -7.6525
2.463564 72.359 -8.1652
2.481416 72.493 -8.6795
2.499397 72.626 -9.1953
2.517509 72.759 -9.7129
2.535752 72.891 -10.2327
2.554127 73.023 -10.7548
2.572635 73.154 -11.2796
2.591277 73.284 -11.8076
2.610055 73.413 -12.3387
2.628968 73.542 -12.8729
2.648019 73.670 -13.4101
2.667208 73.796 -13.9499
2.686535 73.922 -14.4920
2.706003 74.047 -15.0359
2.725612 74.171 -15.5813
2.745363 74.295 -16.1278
2.765257 74.418 -16.6750
2.785295 74.540 -17.2227
2.805478 74.661 -17.7705
2.825808 74.782 -18.3182
2.846285 74.902 -18.8657
2.866910 75.021 -19.4131
2.887685 75.141 -19.9603
2.908611 75.259 -20.5078
2.929688 75.377 -21.0559
2.950917 75.494 -21.6052
2.972301 75.611 -22.1561
2.993839 75.726 -22.7089
3.015534 75.841 -23.2636
3.037386 75.955 -23.8199
3.059396 76.068 -24.3777
3.081565 76.180 -24.9364
3.103896 76.291 -25.4957
3.126388 76.401 -26.0551
3.149043 76.511 -26.6142
3.171862 76.620 -27.1725
3.194847 76.729 -27.7298
3.217998 76.837 -28.2859
3.241317 76.945 -28.8407
3.264805 77.052 -29.3942
3.288463 77.158 -29.9469
3.312293 77.264 -30.4991
3.336295 77.369 -31.0513
3.360471 77.474 -31.6040
3.384822 77.577 -32.1573
3.409350 77.680 -32.7110
3.434056 77.782 -33.2651
3.458940 77.884 -33.8191
3.484005 77.984 -34.3728
3.509252 78.084 -34.9258
3.534681 78.184 -35.4776
3.560295 78.283 -36.0281
3.586094 78.381 -36.5769
3.612081 78.479 -37.1240
3.638255 78.577 -37.6694
3.664620 78.674 -38.2133
3.691175 78.771 -38.7562
3.717923 78.867 -39.2984
3.744864 78.962 -39.8401
3.772001 79.057 -40.3815
3.799335 79.151 -40.9225
3.826866 79.245 -41.4629
3.854597 79.338 -42.0025
3.882529 79.431 -42.5413
3.910664 79.523 -43.0788
3.939002 79.615 -43.6151
3.967546 79.707 -44.1499
3.996296 79.798 -44.6833
4.025255 79.889 -45.2153
4.054423 79.979 -45.7463
4.083804 80.069 -46.2764
4.113396 80.159 -46.8058
4.143204 80.248 -47.3346
4.173227 80.337 -47.8629
4.203468 80.425 -48.3907
4.233928 80.513 -48.9179
4.264609 80.600 -49.4444
4.295512 80.687 -49.9702
4.326639 80.774 -50.4952
4.357992 80.861 -51.0196
4.389572 80.947 -51.5433
4.421380 81.033 -52.0666
4.453419 81.119 -52.5895
4.485691 81.204 -53.1123
4.518196 81.289 -53.6350
4.550936 81.374 -54.1576
4.583914 81.458 -54.6800
4.617131 81.542 -55.2024
4.650589 81.626 -55.7246
4.684289 81.709 -56.2467
4.718233 81.792 -56.7687
4.752424 81.874 -57.2908
4.786862 81.957 -57.8130
4.821549 82.038 -58.3356
4.856488 82.120 -58.8586
4.891680 82.201 -59.3820
4.927127 82.282 -59.9057
4.962831 82.362 -60.4297
4.998794 82.442 -60.9539
5.035017 82.521 -61.4782
5.071503 82.601 -62.0027
5.108253 82.679 -62.5274
5.145270 82.758 -63.0525
5.182555 82.835 -63.5780
5.220110 82.913 -64.1041
5.257937 82.990 -64.6308
5.296038 83.066 -65.1578
5.334415 83.142 -65.6851
5.373071 83.218 -66.2125
5.412006 83.293 -66.7398
5.451224 83.367 -67.2671
5.490725 83.441 -67.7942
5.530514 83.515 -68.3214
5.570590 83.588 -68.8488
5.610957 83.660 -69.3764
5.651616 83.732 -69.9040
5.692570 83.804 -70.4315
5.733821 83.875 -70.9587
5.775370 83.945 -71.4854
5.817221 84.015 -72.0115
5.859375 84.085 -72.5370
5.901834 84.154 -73.0619
5.944602 84.222 -73.5864
5.987679 84.290 -74.1104
6.031068 84.358 -74.6339
6.074771 84.424 -75.1568
6.118792 84.491 -75.6788
6.163131 84.557 -76.1998
6.207792 84.623 -76.7199
6.252776 84.688 -77.2389
6.298086 84.753 -77.7570
6.343725 84.817 -78.2743
6.389694 84.881 -78.7907
6.435996 84.944 -79.3062
6.482634 85.007 -79.8208
6.529610 85.070 -80.3343
6.576926 85.132 -80.8468
6.624585 85.194 -81.3583
