* Measurement data measured by REW V5.31.3
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 03 3, 25 11:22:22 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: SGOR Luna 500 R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 27.405 28.9827
0.368865 27.432 29.0024
0.371538 27.470 29.0319
0.374230 27.518 29.0690
0.376942 27.572 29.1118
0.379673 27.629 29.1589
0.382424 27.689 29.2094
0.385196 27.750 29.2627
0.387987 27.812 29.3184
0.390798 27.876 29.3764
0.393630 27.939 29.4365
0.396483 28.004 29.4986
0.399356 28.068 29.5626
0.402250 28.134 29.6284
0.405165 28.199 29.6961
0.408101 28.265 29.7656
0.411058 28.332 29.8367
0.414037 28.399 29.9095
0.417037 28.467 29.9839
0.420059 28.535 30.0598
0.423103 28.604 30.1371
0.426169 28.673 30.2159
0.429257 28.743 30.2959
0.432368 28.813 30.3773
0.435501 28.883 30.4598
0.438656 28.955 30.5434
0.441835 29.026 30.6280
0.445037 29.098 30.7136
0.448262 29.171 30.8001
0.451510 29.244 30.8874
0.454782 29.318 30.9755
0.458077 29.393 31.0641
0.461397 29.467 31.1533
0.464740 29.543 31.2430
0.468108 29.619 31.3331
0.471500 29.695 31.4234
0.474917 29.772 31.5140
0.478358 29.850 31.6046
0.481825 29.928 31.6953
0.485316 30.007 31.7859
0.488833 30.086 31.8763
0.492375 30.166 31.9665
0.495943 30.247 32.0562
0.499537 30.328 32.1455
0.503157 30.409 32.2342
0.506803 30.492 32.3223
0.510475 30.574 32.4096
0.514175 30.658 32.4960
0.517900 30.742 32.5814
0.521653 30.827 32.6657
0.525434 30.912 32.7488
0.529241 30.998 32.8307
0.533076 31.084 32.9112
0.536939 31.171 32.9901
0.540830 31.259 33.0675
0.544749 31.347 33.1431
0.548696 31.437 33.2169
0.552673 31.526 33.2889
0.556677 31.617 33.3587
0.560711 31.708 33.4265
0.564774 31.799 33.4921
0.568867 31.892 33.5553
0.572989 31.985 33.6160
0.577141 32.078 33.6743
0.581324 32.173 33.7299
0.585536 32.268 33.7828
0.589779 32.363 33.8328
0.594053 32.460 33.8800
0.598358 32.557 33.9241
0.602694 32.655 33.9651
0.607061 32.753 34.0029
0.611460 32.852 34.0374
0.615891 32.952 34.0685
0.620354 33.053 34.0962
0.624849 33.155 34.1203
0.629377 33.257 34.1407
0.633938 33.360 34.1575
0.638532 33.463 34.1704
0.643159 33.568 34.1795
0.647819 33.673 34.1846
0.652514 33.779 34.1857
0.657242 33.885 34.1826
0.662005 33.993 34.1755
0.666802 34.101 34.1641
0.671634 34.210 34.1484
0.676501 34.320 34.1283
0.681403 34.431 34.1039
0.686341 34.542 34.0750
0.691314 34.654 34.0416
0.696324 34.767 34.0037
0.701370 34.881 33.9614
0.706452 34.995 33.9146
0.711571 35.110 33.8636
0.716728 35.226 33.8085
0.721921 35.341 33.7500
0.727153 35.457 33.6886
0.732422 35.572 33.6253
0.737729 35.687 33.5612
0.743075 35.802 33.4974
0.748460 35.916 33.4346
0.753883 36.031 33.3733
0.759346 36.146 33.3139
0.764849 36.262 33.2563
0.770391 36.378 33.2005
0.775974 36.495 33.1463
0.781597 36.612 33.0935
0.787261 36.731 33.0420
0.792966 36.849 32.9914
0.798712 36.969 32.9415
0.804500 37.089 32.8922
0.810329 37.210 32.8432
0.816201 37.331 32.7941
0.822116 37.453 32.7449
0.828073 37.576 32.6953
0.834074 37.699 32.6450
0.840118 37.823 32.5939
0.846206 37.948 32.5416
0.852338 38.073 32.4881
0.858514 38.199 32.4330
0.864735 38.325 32.3763
0.871001 38.452 32.3176
0.877313 38.580 32.2568
0.883670 38.708 32.1937
0.890074 38.837 32.1281
0.896524 38.966 32.0598
0.903020 39.096 31.9885
0.909564 39.227 31.9143
0.916155 39.358 31.8367
0.922794 39.489 31.7558
0.929481 39.621 31.6712
0.936216 39.753 31.5829
0.943000 39.886 31.4907
0.949834 40.020 31.3944
0.956717 40.154 31.2938
0.963649 40.288 31.1888
0.970632 40.423 31.0792
0.977666 40.558 30.9650
0.984750 40.694 30.8458
0.991886 40.830 30.7217
0.999074 40.966 30.5924
1.006314 41.103 30.4579
1.013606 41.240 30.3180
1.020951 41.378 30.1725
1.028349 41.515 30.0214
1.035801 41.653 29.8645
1.043307 41.792 29.7018
1.050867 41.930 29.5332
1.058482 42.069 29.3586
1.066152 42.208 29.1782
1.073878 42.347 28.9922
1.081660 42.486 28.8010
1.089498 42.626 28.6051
1.097393 42.765 28.4056
1.105345 42.905 28.2035
1.113355 43.045 27.9998
1.121423 43.185 27.7956
1.129549 43.325 27.5914
1.137734 43.465 27.3876
1.145979 43.606 27.1842
1.154283 43.746 26.9813
1.162647 43.887 26.7787
1.171072 44.028 26.5763
1.179558 44.169 26.3740
1.188106 44.310 26.1715
1.196715 44.452 25.9687
1.205387 44.593 25.7652
1.214122 44.735 25.5611
1.222920 44.877 25.3559
1.231782 45.019 25.1496
1.240708 45.161 24.9420
1.249699 45.303 24.7327
1.258754 45.445 24.5218
1.267876 45.588 24.3089
1.277063 45.730 24.0938
1.286318 45.873 23.8764
1.295639 46.016 23.6565
1.305027 46.159 23.4339
1.314484 46.303 23.2085
1.324009 46.446 22.9799
1.333604 46.590 22.7481
1.343268 46.734 22.5129
1.353002 46.878 22.2741
1.362806 47.022 22.0315
1.372681 47.167 21.7849
1.382628 47.312 21.5343
1.392647 47.456 21.2794
1.402739 47.602 21.0201
1.412904 47.747 20.7564
1.423142 47.893 20.4883
1.433455 48.038 20.2159
1.443843 48.184 19.9395
1.454305 48.330 19.6598
1.464844 48.477 19.3774
1.475459 48.623 19.0933
1.486150 48.769 18.8084
1.496920 48.915 18.5234
1.507767 49.061 18.2386
1.518693 49.207 17.9543
1.529698 49.352 17.6704
1.540783 49.498 17.3866
1.551948 49.643 17.1029
1.563194 49.788 16.8188
1.574521 49.933 16.5341
1.585931 50.078 16.2486
1.597423 50.223 15.9617
1.608999 50.367 15.6734
1.620658 50.512 15.3832
1.632402 50.656 15.0908
1.644232 50.801 14.7959
1.656146 50.945 14.4982
1.668147 51.089 14.1975
1.680235 51.233 13.8934
1.692411 51.377 13.5855
1.704675 51.521 13.2737
1.717028 51.665 12.9577
1.729470 51.809 12.6371
1.742003 51.954 12.3117
1.754626 52.098 11.9813
1.767341 52.242 11.6456
1.780147 52.387 11.3047
1.793047 52.531 10.9583
1.806040 52.676 10.6068
1.819128 52.820 10.2504
1.832310 52.965 9.8898
1.845587 53.109 9.5256
1.858961 53.253 9.1586
1.872432 53.397 8.7894
1.886001 53.541 8.4183
1.899667 53.684 8.0458
1.913433 53.827 7.6718
1.927299 53.969 7.2965
1.941265 54.111 6.9198
1.955332 54.253 6.5416
1.969501 54.395 6.1618
1.983773 54.536 5.7804
1.998148 54.677 5.3972
2.012627 54.818 5.0121
2.027212 54.959 4.6249
2.041902 55.099 4.2355
2.056698 55.239 3.8437
2.071602 55.379 3.4493
2.086614 55.519 3.0521
2.101734 55.659 2.6521
2.116964 55.799 2.2489
2.132304 55.939 1.8425
2.147756 56.078 1.4327
2.163320 56.218 1.0196
2.178996 56.357 0.6032
2.194786 56.497 0.1837
2.210690 56.636 -0.2386
2.226710 56.775 -0.6633
2.242845 56.913 -1.0901
2.259098 57.052 -1.5188
2.275468 57.189 -1.9492
2.291957 57.326 -2.3812
2.308566 57.463 -2.8147
2.325295 57.600 -3.2497
2.342145 57.736 -3.6862
2.359117 57.871 -4.1244
2.376212 58.007 -4.5642
2.393431 58.142 -5.0058
2.410775 58.276 -5.4493
2.428244 58.411 -5.8947
2.445840 58.545 -6.3422
2.463564 58.679 -6.7919
2.481416 58.813 -7.2439
2.499397 58.946 -7.6984
2.517509 59.080 -8.1555
2.535752 59.213 -8.6152
2.554127 59.347 -9.0775
2.572635 59.480 -9.5422
2.591277 59.612 -10.0094
2.610055 59.744 -10.4787
2.628968 59.876 -10.9501
2.648019 60.007 -11.4234
2.667208 60.138 -11.8985
2.686535 60.269 -12.3753
2.706003 60.399 -12.8539
2.725612 60.528 -13.3342
2.745363 60.657 -13.8161
2.765257 60.786 -14.2999
2.785295 60.914 -14.7854
2.805478 61.042 -15.2728
2.825808 61.170 -15.7621
2.846285 61.298 -16.2535
2.866910 61.425 -16.7471
2.887685 61.552 -17.2430
2.908611 61.679 -17.7412
2.929688 61.805 -18.2418
2.950917 61.931 -18.7449
2.972301 62.057 -19.2504
2.993839 62.183 -19.7582
3.015534 62.307 -20.2682
3.037386 62.432 -20.7804
3.059396 62.555 -21.2945
3.081565 62.679 -21.8106
3.103896 62.802 -22.3285
3.126388 62.924 -22.8483
3.149043 63.046 -23.3698
3.171862 63.167 -23.8932
3.194847 63.289 -24.4184
3.217998 63.409 -24.9456
3.241317 63.530 -25.4749
3.264805 63.650 -26.0064
3.288463 63.769 -26.5403
3.312293 63.888 -27.0768
3.336295 64.007 -27.6160
3.360471 64.125 -28.1579
3.384822 64.243 -28.7024
3.409350 64.360 -29.2493
3.434056 64.476 -29.7985
3.458940 64.592 -30.3498
3.484005 64.707 -30.9030
3.509252 64.822 -31.4580
3.534681 64.936 -32.0146
3.560295 65.049 -32.5728
3.586094 65.162 -33.1327
3.612081 65.274 -33.6944
3.638255 65.386 -34.2581
3.664620 65.497 -34.8243
3.691175 65.607 -35.3931
3.717923 65.717 -35.9649
3.744864 65.826 -36.5396
3.772001 65.934 -37.1170
3.799335 66.041 -37.6969
3.826866 66.148 -38.2786
3.854597 66.254 -38.8619
3.882529 66.358 -39.4463
3.910664 66.463 -40.0314
3.939002 66.566 -40.6171
3.967546 66.668 -41.2033
3.996296 66.770 -41.7902
4.025255 66.871 -42.3783
4.054423 66.970 -42.9679
4.083804 67.069 -43.5595
4.113396 67.167 -44.1532
4.143204 67.264 -44.7487
4.173227 67.360 -45.3457
4.203468 67.454 -45.9434
4.233928 67.548 -46.5410
4.264609 67.641 -47.1379
4.295512 67.732 -47.7334
4.326639 67.823 -48.3273
4.357992 67.913 -48.9195
4.389572 68.001 -49.5102
4.421380 68.088 -50.1000
4.453419 68.174 -50.6894
4.485691 68.259 -51.2786
4.518196 68.343 -51.8672
4.550936 68.426 -52.4548
4.583914 68.507 -53.0404
4.617131 68.588 -53.6231
4.650589 68.667 -54.2020
4.684289 68.745 -54.7764
4.718233 68.822 -55.3458
4.752424 68.898 -55.9103
4.786862 68.973 -56.4701
4.821549 69.047 -57.0257
4.856488 69.120 -57.5772
4.891680 69.192 -58.1247
4.927127 69.263 -58.6675
4.962831 69.332 -59.2051
4.998794 69.401 -59.7366
5.035017 69.469 -60.2611
5.071503 69.537 -60.7781
5.108253 69.604 -61.2871
5.145270 69.670 -61.7881
5.182555 69.736 -62.2813
5.220110 69.801 -62.7670
5.257937 69.865 -63.2453
5.296038 69.929 -63.7164
5.334415 69.993 -64.1801
5.373071 70.057 -64.6362
5.412006 70.120 -65.0844
5.451224 70.184 -65.5244
5.490725 70.247 -65.9560
5.530514 70.311 -66.3792
5.570590 70.376 -66.7941
5.610957 70.440 -67.2012
5.651616 70.505 -67.6012
5.692570 70.570 -67.9948
5.733821 70.636 -68.3827
5.775370 70.702 -68.7655
5.817221 70.770 -69.1437
5.859375 70.838 -69.5173
5.901834 70.907 -69.8866
5.944602 70.977 -70.2518
5.987679 71.049 -70.6135
6.031068 71.121 -70.9729
6.074771 71.194 -71.3311
6.118792 71.268 -71.6896
6.163131 71.343 -72.0493
6.207792 71.419 -72.4112
6.252776 71.496 -72.7756
6.298086 71.574 -73.1428
6.343725 71.653 -73.5132
6.389694 71.732 -73.8874
6.435996 71.813 -74.2663
6.482634 71.894 -74.6511
6.529610 71.975 -75.0426
6.576926 72.057 -75.4417
6.624585 72.138 -75.8486
6.672590 72.220 -76.2636
6.720942 72.303 -76.6864
6.769645 72.385 -77.1171
6.818700 72.466 -77.5555
6.868111 72.547 -78.0017
