* Measurement data measured by REW V5.31.3
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 03 3, 25 11:21:14 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: SGOR Luna L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 26.764 -95.2078
0.368865 26.742 -95.2226
0.371538 26.710 -95.2452
0.374230 26.670 -95.2745
0.376942 26.625 -95.3093
0.379673 26.576 -95.3491
0.382424 26.526 -95.3932
0.385196 26.473 -95.4415
0.387987 26.420 -95.4939
0.390798 26.367 -95.5503
0.393630 26.312 -95.6108
0.396483 26.258 -95.6755
0.399356 26.202 -95.7445
0.402250 26.147 -95.8179
0.405165 26.091 -95.8959
0.408101 26.034 -95.9785
0.411058 25.977 -96.0659
0.414037 25.920 -96.1583
0.417037 25.862 -96.2558
0.420059 25.804 -96.3585
0.423103 25.745 -96.4668
0.426169 25.686 -96.5807
0.429257 25.627 -96.7004
0.432368 25.567 -96.8262
0.435501 25.507 -96.9583
0.438656 25.446 -97.0968
0.441835 25.385 -97.2422
0.445037 25.324 -97.3945
0.448262 25.262 -97.5541
0.451510 25.199 -97.7214
0.454782 25.136 -97.8965
0.458077 25.073 -98.0799
0.461397 25.009 -98.2719
0.464740 24.945 -98.4728
0.468108 24.880 -98.6833
0.471500 24.815 -98.9036
0.474917 24.749 -99.1342
0.478358 24.683 -99.3758
0.481825 24.616 -99.6288
0.485316 24.549 -99.8939
0.488833 24.481 -100.1717
0.492375 24.413 -100.4630
0.495943 24.344 -100.7686
0.499537 24.275 -101.0893
0.503157 24.206 -101.4260
0.506803 24.135 -101.7799
0.510475 24.065 -102.1521
0.514175 23.994 -102.5437
0.517900 23.922 -102.9563
0.521653 23.850 -103.3912
0.525434 23.777 -103.8503
0.529241 23.704 -104.3354
0.533076 23.630 -104.8486
0.536939 23.556 -105.3923
0.540830 23.481 -105.9690
0.544749 23.406 -106.5819
0.548696 23.330 -107.2341
0.552673 23.253 -107.9295
0.556677 23.176 -108.6723
0.560711 23.099 -109.4674
0.564774 23.021 -110.3203
0.568867 22.942 -111.2374
0.572989 22.863 -112.2261
0.577141 22.783 -113.2946
0.581324 22.702 -114.4527
0.585536 22.621 -115.7116
0.589779 22.540 -117.0845
0.594053 22.457 -118.5866
0.598358 22.375 -120.2356
0.602694 22.291 -122.0523
0.607061 22.207 -124.0608
0.611460 22.123 -126.2892
0.615891 22.038 -128.7697
0.620354 21.952 -131.5392
0.624849 21.865 -134.6390
0.629377 21.778 -138.1135
0.633938 21.691 -142.0087
0.638532 21.602 -146.3678
0.643159 21.513 -151.2244
0.647819 21.424 -156.5936
0.652514 21.333 -162.4593
0.657242 21.242 -168.7632
0.662005 21.151 -175.3982
0.666802 21.059 177.7869
0.671634 20.966 170.9703
0.676501 20.872 164.3297
0.681403 20.778 158.0155
0.686341 20.684 152.1328
0.691314 20.589 146.7363
0.696324 20.495 141.8358
0.701370 20.402 137.4059
0.706452 20.311 133.3953
0.711571 20.226 129.7339
0.716728 20.151 126.3368
0.721921 20.091 123.1078
0.727153 20.057 119.9494
0.732422 20.055 116.7817
0.737729 20.092 113.5747
0.743075 20.166 110.3694
0.748460 20.273 107.2392
0.753883 20.407 104.2517
0.759346 20.564 101.4525
0.764849 20.740 98.8632
0.770391 20.933 96.4870
0.775974 21.142 94.3153
0.781597 21.365 92.3336
0.787261 21.603 90.5243
0.792966 21.855 88.8697
0.798712 22.121 87.3528
0.804500 22.399 85.9578
0.810329 22.692 84.6707
0.816201 22.996 83.4785
0.822116 23.314 82.3701
0.828073 23.644 81.3354
0.834074 23.986 80.3657
0.840118 24.339 79.4530
0.846206 24.704 78.5905
0.852338 25.079 77.7721
0.858514 25.466 76.9922
0.864735 25.862 76.2462
0.871001 26.268 75.5296
0.877313 26.683 74.8386
0.883670 27.106 74.1698
0.890074 27.538 73.5200
0.896524 27.977 72.8866
0.903020 28.424 72.2669
0.909564 28.877 71.6588
0.916155 29.335 71.0602
0.922794 29.799 70.4691
0.929481 30.267 69.8840
0.936216 30.740 69.3032
0.943000 31.215 68.7253
0.949834 31.692 68.1491
0.956717 32.171 67.5734
0.963649 32.650 66.9970
0.970632 33.129 66.4189
0.977666 33.608 65.8383
0.984750 34.084 65.2542
0.991886 34.557 64.6658
0.999074 35.026 64.0725
1.006314 35.490 63.4734
1.013606 35.948 62.8682
1.020951 36.399 62.2560
1.028349 36.842 61.6364
1.035801 37.275 61.0090
1.043307 37.698 60.3733
1.050867 38.110 59.7292
1.058482 38.509 59.0766
1.066152 38.895 58.4157
1.073878 39.267 57.7470
1.081660 39.626 57.0719
1.089498 39.970 56.3923
1.097393 40.302 55.7110
1.105345 40.622 55.0313
1.113355 40.933 54.3568
1.121423 41.234 53.6902
1.129549 41.528 53.0335
1.137734 41.814 52.3879
1.145979 42.093 51.7539
1.154283 42.366 51.1316
1.162647 42.633 50.5207
1.171072 42.894 49.9207
1.179558 43.148 49.3313
1.188106 43.397 48.7518
1.196715 43.641 48.1815
1.205387 43.879 47.6199
1.214122 44.112 47.0663
1.222920 44.339 46.5199
1.231782 44.562 45.9801
1.240708 44.781 45.4462
1.249699 44.995 44.9176
1.258754 45.205 44.3935
1.267876 45.411 43.8734
1.277063 45.613 43.3564
1.286318 45.813 42.8421
1.295639 46.009 42.3297
1.305027 46.203 41.8187
1.314484 46.394 41.3082
1.324009 46.584 40.7979
1.333604 46.772 40.2869
1.343268 46.959 39.7747
1.353002 47.145 39.2607
1.362806 47.331 38.7443
1.372681 47.517 38.2249
1.382628 47.704 37.7019
1.392647 47.892 37.1747
1.402739 48.082 36.6429
1.412904 48.273 36.1061
1.423142 48.467 35.5638
1.433455 48.663 35.0161
1.443843 48.861 34.4631
1.454305 49.062 33.9053
1.464844 49.264 33.3439
1.475459 49.466 32.7802
1.486150 49.668 32.2155
1.496920 49.869 31.6512
1.507767 50.069 31.0881
1.518693 50.267 30.5268
1.529698 50.462 29.9675
1.540783 50.656 29.4102
1.551948 50.847 28.8550
1.563194 51.037 28.3018
1.574521 51.225 27.7501
1.585931 51.410 27.2001
1.597423 51.594 26.6511
1.608999 51.776 26.1030
1.620658 51.956 25.5554
1.632402 52.135 25.0082
1.644232 52.313 24.4606
1.656146 52.489 23.9126
1.668147 52.664 23.3636
1.680235 52.837 22.8134
1.692411 53.010 22.2614
1.704675 53.182 21.7071
1.717028 53.353 21.1503
1.729470 53.524 20.5903
1.742003 53.695 20.0267
1.754626 53.865 19.4592
1.767341 54.035 18.8872
1.780147 54.204 18.3103
1.793047 54.374 17.7281
1.806040 54.544 17.1403
1.819128 54.714 16.5468
1.832310 54.883 15.9476
1.845587 55.052 15.3431
1.858961 55.219 14.7336
1.872432 55.386 14.1200
1.886001 55.551 13.5027
1.899667 55.715 12.8826
1.913433 55.877 12.2601
1.927299 56.037 11.6360
1.941265 56.197 11.0107
1.955332 56.354 10.3847
1.969501 56.511 9.7584
1.983773 56.666 9.1321
1.998148 56.820 8.5060
2.012627 56.973 7.8805
2.027212 57.125 7.2557
2.041902 57.275 6.6316
2.056698 57.425 6.0084
2.071602 57.574 5.3860
2.086614 57.722 4.7644
2.101734 57.870 4.1436
2.116964 58.017 3.5231
2.132304 58.163 2.9028
2.147756 58.309 2.2822
2.163320 58.454 1.6610
2.178996 58.599 1.0382
2.194786 58.743 0.4133
2.210690 58.886 -0.2147
2.226710 59.028 -0.8463
2.242845 59.168 -1.4818
2.259098 59.308 -2.1211
2.275468 59.446 -2.7637
2.291957 59.583 -3.4092
2.308566 59.718 -4.0568
2.325295 59.852 -4.7059
2.342145 59.985 -5.3558
2.359117 60.117 -6.0059
2.376212 60.247 -6.6553
2.393431 60.376 -7.3036
2.410775 60.505 -7.9502
2.428244 60.632 -8.5947
2.445840 60.758 -9.2367
2.463564 60.884 -9.8758
2.481416 61.009 -10.5118
2.499397 61.133 -11.1449
2.517509 61.257 -11.7751
2.535752 61.379 -12.4031
2.554127 61.501 -13.0297
2.572635 61.622 -13.6560
2.591277 61.742 -14.2833
2.610055 61.861 -14.9123
2.628968 61.978 -15.5435
2.648019 62.094 -16.1767
2.667208 62.209 -16.8116
2.686535 62.322 -17.4478
2.706003 62.434 -18.0842
2.725612 62.545 -18.7201
2.745363 62.655 -19.3546
2.765257 62.764 -19.9869
2.785295 62.872 -20.6162
2.805478 62.979 -21.2417
2.825808 63.085 -21.8627
2.846285 63.191 -22.4785
2.866910 63.296 -23.0890
2.887685 63.400 -23.6940
2.908611 63.504 -24.2940
2.929688 63.607 -24.8896
2.950917 63.708 -25.4819
2.972301 63.809 -26.0720
2.993839 63.909 -26.6606
3.015534 64.008 -27.2480
3.037386 64.105 -27.8342
3.059396 64.202 -28.4190
3.081565 64.297 -29.0018
3.103896 64.392 -29.5820
3.126388 64.485 -30.1589
3.149043 64.578 -30.7319
3.171862 64.671 -31.3001
3.194847 64.763 -31.8630
3.217998 64.855 -32.4199
3.241317 64.946 -32.9705
3.264805 65.037 -33.5146
3.288463 65.128 -34.0523
3.312293 65.218 -34.5841
3.336295 65.308 -35.1106
3.360471 65.397 -35.6324
3.384822 65.485 -36.1500
3.409350 65.573 -36.6636
3.434056 65.661 -37.1735
3.458940 65.747 -37.6796
3.484005 65.834 -38.1819
3.509252 65.920 -38.6803
3.534681 66.006 -39.1744
3.560295 66.093 -39.6642
3.586094 66.179 -40.1494
3.612081 66.266 -40.6297
3.638255 66.353 -41.1049
3.664620 66.440 -41.5748
3.691175 66.527 -42.0394
3.717923 66.614 -42.4989
3.744864 66.702 -42.9536
3.772001 66.789 -43.4041
3.799335 66.877 -43.8507
3.826866 66.964 -44.2943
3.854597 67.052 -44.7355
3.882529 67.141 -45.1748
3.910664 67.229 -45.6127
3.939002 67.318 -46.0498
3.967546 67.408 -46.4863
3.996296 67.498 -46.9221
4.025255 67.589 -47.3572
4.054423 67.681 -47.7914
4.083804 67.773 -48.2242
4.113396 67.865 -48.6560
4.143204 67.958 -49.0870
4.173227 68.052 -49.5177
4.203468 68.146 -49.9492
4.233928 68.240 -50.3821
4.264609 68.335 -50.8176
4.295512 68.431 -51.2563
4.326639 68.526 -51.6992
4.357992 68.622 -52.1465
4.389572 68.719 -52.5984
4.421380 68.815 -53.0547
4.453419 68.913 -53.5153
4.485691 69.010 -53.9799
4.518196 69.108 -54.4486
4.550936 69.206 -54.9216
4.583914 69.304 -55.3993
4.617131 69.402 -55.8823
4.650589 69.501 -56.3712
4.684289 69.598 -56.8666
4.718233 69.696 -57.3690
4.752424 69.793 -57.8787
4.786862 69.890 -58.3959
4.821549 69.987 -58.9205
4.856488 70.083 -59.4523
4.891680 70.179 -59.9907
4.927127 70.274 -60.5355
4.962831 70.369 -61.0864
4.998794 70.463 -61.6432
5.035017 70.556 -62.2056
5.071503 70.648 -62.7739
5.108253 70.739 -63.3483
5.145270 70.829 -63.9291
5.182555 70.918 -64.5165
5.220110 71.005 -65.1103
5.257937 71.092 -65.7100
5.296038 71.177 -66.3148
5.334415 71.261 -66.9236
5.373071 71.343 -67.5355
5.412006 71.424 -68.1497
5.451224 71.503 -68.7658
5.490725 71.581 -69.3839
5.530514 71.657 -70.0043
5.570590 71.731 -70.6271
5.610957 71.804 -71.2520
5.651616 71.875 -71.8782
5.692570 71.944 -72.5044
5.733821 72.012 -73.1294
5.775370 72.078 -73.7519
5.817221 72.142 -74.3712
5.859375 72.205 -74.9868
5.901834 72.266 -75.5989
5.944602 72.325 -76.2075
5.987679 72.382 -76.8124
6.031068 72.438 -77.4128
6.074771 72.493 -78.0079
6.118792 72.546 -78.5963
6.163131 72.598 -79.1769
6.207792 72.648 -79.7491
6.252776 72.698 -80.3125
6.298086 72.746 -80.8671
6.343725 72.793 -81.4130
6.389694 72.839 -81.9500
6.435996 72.884 -82.4777
6.482634 72.929 -82.9956
6.529610 72.973 -83.5031
6.576926 73.017 -83.9998
