* Measurement data measured by REW V5.31.3
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.400
* Format: 256k Log Swept Sine, 1 sweep at -11.9 dBFS with no timing reference
* Dated: 07 7, 25 1:16:14 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Senheiser IE 200 BT20 g L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 32.663 -92.4379
0.368865 32.660 -92.5176
0.371538 32.655 -92.6379
0.374230 32.650 -92.7904
0.376942 32.644 -92.9681
0.379673 32.637 -93.1658
0.382424 32.630 -93.3801
0.385196 32.623 -93.6089
0.387987 32.616 -93.8510
0.390798 32.609 -94.1058
0.393630 32.602 -94.3731
0.396483 32.594 -94.6527
0.399356 32.587 -94.9447
0.402250 32.579 -95.2491
0.405165 32.572 -95.5660
0.408101 32.564 -95.8955
0.411058 32.556 -96.2376
0.414037 32.549 -96.5925
0.417037 32.541 -96.9602
0.420059 32.533 -97.3409
0.423103 32.525 -97.7345
0.426169 32.517 -98.1411
0.429257 32.509 -98.5609
0.432368 32.501 -98.9938
0.435501 32.493 -99.4399
0.438656 32.485 -99.8992
0.441835 32.476 -100.3718
0.445037 32.468 -100.8576
0.448262 32.460 -101.3567
0.451510 32.451 -101.8691
0.454782 32.443 -102.3947
0.458077 32.434 -102.9335
0.461397 32.425 -103.4856
0.464740 32.417 -104.0508
0.468108 32.408 -104.6292
0.471500 32.399 -105.2206
0.474917 32.390 -105.8249
0.478358 32.381 -106.4422
0.481825 32.372 -107.0724
0.485316 32.363 -107.7152
0.488833 32.354 -108.3707
0.492375 32.345 -109.0387
0.495943 32.336 -109.7191
0.499537 32.326 -110.4117
0.503157 32.317 -111.1166
0.506803 32.308 -111.8334
0.510475 32.298 -112.5622
0.514175 32.288 -113.3026
0.517900 32.279 -114.0547
0.521653 32.269 -114.8183
0.525434 32.259 -115.5932
0.529241 32.249 -116.3793
0.533076 32.239 -117.1766
0.536939 32.229 -117.9847
0.540830 32.219 -118.8038
0.544749 32.209 -119.6335
0.548696 32.199 -120.4740
0.552673 32.188 -121.3251
0.556677 32.178 -122.1867
0.560711 32.167 -123.0588
0.564774 32.157 -123.9415
0.568867 32.146 -124.8347
0.572989 32.136 -125.7385
0.577141 32.125 -126.6530
0.581324 32.114 -127.5782
0.585536 32.103 -128.5145
0.589779 32.092 -129.4618
0.594053 32.081 -130.4206
0.598358 32.070 -131.3911
0.602694 32.058 -132.3737
0.607061 32.047 -133.3688
0.611460 32.036 -134.3768
0.615891 32.024 -135.3984
0.620354 32.013 -136.4342
0.624849 32.001 -137.4848
0.629377 31.989 -138.5512
0.633938 31.977 -139.6341
0.638532 31.965 -140.7346
0.643159 31.953 -141.8539
0.647819 31.941 -142.9932
0.652514 31.929 -144.1538
0.657242 31.917 -145.3373
0.662005 31.904 -146.5453
0.666802 31.892 -147.7798
0.671634 31.879 -149.0427
0.676501 31.867 -150.3362
0.681403 31.854 -151.6628
0.686341 31.842 -153.0252
0.691314 31.829 -154.4263
0.696324 31.817 -155.8693
0.701370 31.805 -157.3577
0.706452 31.795 -158.8954
0.711571 31.787 -160.4866
0.716728 31.783 -162.1360
0.721921 31.785 -163.8483
0.727153 31.797 -165.6286
0.732422 31.820 -167.4813
0.737729 31.858 -169.4100
0.743075 31.909 -171.4165
0.748460 31.971 -173.5007
0.753883 32.044 -175.6603
0.759346 32.124 -177.8913
0.764849 32.210 179.8119
0.770391 32.303 177.4562
0.775974 32.401 175.0495
0.781597 32.504 172.6006
0.787261 32.612 170.1190
0.792966 32.724 167.6147
0.798712 32.842 165.0977
0.804500 32.964 162.5781
0.810329 33.090 160.0657
0.816201 33.222 157.5699
0.822116 33.357 155.0992
0.828073 33.498 152.6615
0.834074 33.642 150.2634
0.840118 33.791 147.9107
0.846206 33.945 145.6081
0.852338 34.102 143.3593
0.858514 34.264 141.1669
0.864735 34.430 139.0325
0.871001 34.599 136.9571
0.877313 34.773 134.9406
0.883670 34.950 132.9825
0.890074 35.131 131.0818
0.896524 35.315 129.2369
0.903020 35.503 127.4458
0.909564 35.694 125.7063
0.916155 35.888 124.0161
0.922794 36.086 122.3725
0.929481 36.286 120.7729
0.936216 36.488 119.2146
0.943000 36.694 117.6949
0.949834 36.901 116.2112
0.956717 37.111 114.7606
0.963649 37.323 113.3407
0.970632 37.537 111.9490
0.977666 37.752 110.5829
0.984750 37.968 109.2402
0.991886 38.186 107.9185
0.999074 38.404 106.6159
1.006314 38.624 105.3301
1.013606 38.843 104.0593
1.020951 39.063 102.8017
1.028349 39.282 101.5555
1.035801 39.501 100.3190
1.043307 39.719 99.0909
1.050867 39.937 97.8699
1.058482 40.153 96.6549
1.066152 40.367 95.4451
1.073878 40.581 94.2403
1.081660 40.793 93.0409
1.089498 41.004 91.8481
1.097393 41.215 90.6641
1.105345 41.426 89.4919
1.113355 41.637 88.3350
1.121423 41.851 87.1964
1.129549 42.066 86.0782
1.137734 42.284 84.9823
1.145979 42.504 83.9094
1.154283 42.726 82.8600
1.162647 42.951 81.8342
1.171072 43.178 80.8316
1.179558 43.407 79.8519
1.188106 43.638 78.8944
1.196715 43.872 77.9584
1.205387 44.107 77.0432
1.214122 44.344 76.1478
1.222920 44.583 75.2714
1.231782 44.823 74.4129
1.240708 45.065 73.5715
1.249699 45.307 72.7461
1.258754 45.551 71.9358
1.267876 45.796 71.1394
1.277063 46.042 70.3560
1.286318 46.289 69.5845
1.295639 46.536 68.8241
1.305027 46.783 68.0736
1.314484 47.030 67.3322
1.324009 47.278 66.5987
1.333604 47.525 65.8723
1.343268 47.771 65.1521
1.353002 48.017 64.4371
1.362806 48.262 63.7265
1.372681 48.505 63.0192
1.382628 48.747 62.3146
1.392647 48.988 61.6117
1.402739 49.227 60.9099
1.412904 49.463 60.2083
1.423142 49.697 59.5066
1.433455 49.929 58.8044
1.443843 50.158 58.1017
1.454305 50.384 57.3991
1.464844 50.608 56.6974
1.475459 50.828 55.9980
1.486150 51.046 55.3023
1.496920 51.262 54.6114
1.507767 51.475 53.9260
1.518693 51.686 53.2467
1.529698 51.894 52.5734
1.540783 52.100 51.9062
1.551948 52.305 51.2447
1.563194 52.507 50.5886
1.574521 52.707 49.9374
1.585931 52.906 49.2908
1.597423 53.102 48.6483
1.608999 53.297 48.0094
1.620658 53.490 47.3735
1.632402 53.682 46.7401
1.644232 53.873 46.1088
1.656146 54.062 45.4789
1.668147 54.250 44.8499
1.680235 54.437 44.2212
1.692411 54.623 43.5923
1.704675 54.808 42.9626
1.717028 54.992 42.3315
1.729470 55.176 41.6985
1.742003 55.360 41.0630
1.754626 55.544 40.4245
1.767341 55.727 39.7825
1.780147 55.910 39.1364
1.793047 56.094 38.4860
1.806040 56.277 37.8311
1.819128 56.460 37.1717
1.832310 56.643 36.5082
1.845587 56.825 35.8413
1.858961 57.007 35.1718
1.872432 57.187 34.5004
1.886001 57.365 33.8279
1.899667 57.543 33.1550
1.913433 57.718 32.4823
1.927299 57.893 31.8101
1.941265 58.066 31.1387
1.955332 58.237 30.4685
1.969501 58.407 29.7996
1.983773 58.576 29.1321
1.998148 58.744 28.4660
2.012627 58.911 27.8015
2.027212 59.076 27.1383
2.041902 59.241 26.4765
2.056698 59.405 25.8158
2.071602 59.568 25.1561
2.086614 59.730 24.4971
2.101734 59.892 23.8385
2.116964 60.053 23.1799
2.132304 60.214 22.5211
2.147756 60.375 21.8615
2.163320 60.535 21.2006
2.178996 60.695 20.5381
2.194786 60.854 19.8734
2.210690 61.012 19.2063
2.226710 61.169 18.5365
2.242845 61.326 17.8641
2.259098 61.481 17.1895
2.275468 61.635 16.5130
2.291957 61.787 15.8351
2.308566 61.938 15.1564
2.325295 62.088 14.4771
2.342145 62.237 13.7979
2.359117 62.385 13.1190
2.376212 62.532 12.4409
2.393431 62.678 11.7638
2.410775 62.822 11.0879
2.428244 62.966 10.4133
2.445840 63.110 9.7402
2.463564 63.252 9.0687
2.481416 63.394 8.3986
2.499397 63.535 7.7297
2.517509 63.676 7.0616
2.535752 63.816 6.3940
2.554127 63.955 5.7260
2.572635 64.094 5.0569
2.591277 64.231 4.3861
2.610055 64.368 3.7131
2.628968 64.503 3.0377
2.648019 64.638 2.3602
2.667208 64.771 1.6809
2.686535 64.902 1.0005
2.706003 65.033 0.3195
2.725612 65.163 -0.3617
2.745363 65.291 -1.0422
2.765257 65.419 -1.7216
2.785295 65.546 -2.3994
2.805478 65.671 -3.0752
2.825808 65.797 -3.7485
2.846285 65.921 -4.4193
2.866910 66.045 -5.0874
2.887685 66.168 -5.7531
2.908611 66.290 -6.4167
2.929688 66.412 -7.0792
2.950917 66.533 -7.7413
2.972301 66.652 -8.4037
2.993839 66.771 -9.0671
3.015534 66.889 -9.7314
3.037386 67.005 -10.3965
3.059396 67.120 -11.0620
3.081565 67.235 -11.7273
3.103896 67.348 -12.3918
3.126388 67.461 -13.0551
3.149043 67.572 -13.7164
3.171862 67.683 -14.3752
3.194847 67.793 -15.0310
3.217998 67.903 -15.6836
3.241317 68.012 -16.3328
3.264805 68.120 -16.9788
3.288463 68.227 -17.6221
3.312293 68.334 -18.2632
3.336295 68.440 -18.9030
3.360471 68.545 -19.5420
3.384822 68.649 -20.1805
3.409350 68.753 -20.8185
3.434056 68.855 -21.4557
3.458940 68.956 -22.0918
3.484005 69.057 -22.7262
3.509252 69.157 -23.3585
3.534681 69.256 -23.9883
3.560295 69.355 -24.6150
3.586094 69.453 -25.2383
3.612081 69.551 -25.8582
3.638255 69.648 -26.4746
3.664620 69.745 -27.0878
3.691175 69.841 -27.6984
3.717923 69.937 -28.3068
3.744864 70.032 -28.9135
3.772001 70.126 -29.5184
3.799335 70.220 -30.1219
3.826866 70.312 -30.7236
3.854597 70.405 -31.3235
3.882529 70.497 -31.9211
3.910664 70.588 -32.5165
3.939002 70.679 -33.1093
3.967546 70.770 -33.6994
3.996296 70.860 -34.2868
4.025255 70.950 -34.8716
4.054423 71.040 -35.4541
4.083804 71.130 -36.0344
4.113396 71.219 -36.6130
4.143204 71.307 -37.1901
4.173227 71.395 -37.7655
4.203468 71.483 -38.3395
4.233928 71.570 -38.9121
4.264609 71.657 -39.4833
4.295512 71.744 -40.0530
4.326639 71.831 -40.6213
4.357992 71.917 -41.1882
4.389572 72.003 -41.7538
4.421380 72.089 -42.3182
4.453419 72.175 -42.8816
4.485691 72.260 -43.4442
4.518196 72.346 -44.0061
4.550936 72.430 -44.5674
4.583914 72.515 -45.1282
4.617131 72.599 -45.6885
4.650589 72.683 -46.2484
4.684289 72.767 -46.8081
4.718233 72.850 -47.3676
4.752424 72.934 -47.9271
4.786862 73.017 -48.4868
4.821549 73.099 -49.0468
4.856488 73.182 -49.6070
4.891680 73.264 -50.1676
4.927127 73.346 -50.7286
4.962831 73.427 -51.2899
4.998794 73.508 -51.8516
5.035017 73.589 -52.4136
5.071503 73.669 -52.9760
5.108253 73.750 -53.5391
5.145270 73.829 -54.1028
5.182555 73.908 -54.6674
5.220110 73.987 -55.2328
5.257937 74.066 -55.7992
5.296038 74.143 -56.3663
5.334415 74.221 -56.9340
5.373071 74.298 -57.5020
5.412006 74.374 -58.0703
5.451224 74.450 -58.6389
5.490725 74.526 -59.2079
5.530514 74.601 -59.7773
5.570590 74.675 -60.3473
5.610957 74.749 -60.9178
5.651616 74.822 -61.4888
5.692570 74.895 -62.0599
5.733821 74.967 -62.6309
5.775370 75.039 -63.2014
5.817221 75.110 -63.7715
5.859375 75.180 -64.3409
5.901834 75.250 -64.9100
5.944602 75.320 -65.4788
5.987679 75.388 -66.0470
6.031068 75.456 -66.6146
6.074771 75.524 -67.1814
6.118792 75.591 -67.7469
6.163131 75.657 -68.3110
6.207792 75.723 -68.8735
6.252776 75.788 -69.4344
6.298086 75.853 -69.9937
6.343725 75.917 -70.5515
6.389694 75.981 -71.1077
6.435996 76.044 -71.6619
6.482634 76.107 -72.2141
6.529610 76.169 -72.7640
6.576926 76.231 -73.3115
