* Measurement data measured by REW V5.31.3
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.400
* Format: 256k Log Swept Sine, 1 sweep at -11.9 dBFS with no timing reference
* Dated: 07 7, 25 1:17:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Senheiser IE 200 BT20 g R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 30.453 -26.3653
0.368865 30.460 -26.2276
0.371538 30.472 -26.0229
0.374230 30.485 -25.7691
0.376942 30.501 -25.4815
0.379673 30.517 -25.1713
0.382424 30.535 -24.8458
0.385196 30.553 -24.5095
0.387987 30.571 -24.1647
0.390798 30.589 -23.8126
0.393630 30.607 -23.4534
0.396483 30.626 -23.0872
0.399356 30.645 -22.7136
0.402250 30.664 -22.3320
0.405165 30.683 -21.9419
0.408101 30.702 -21.5427
0.411058 30.721 -21.1335
0.414037 30.741 -20.7137
0.417037 30.760 -20.2824
0.420059 30.780 -19.8387
0.423103 30.800 -19.3817
0.426169 30.820 -18.9103
0.429257 30.840 -18.4236
0.432368 30.861 -17.9203
0.435501 30.881 -17.3994
0.438656 30.902 -16.8595
0.441835 30.923 -16.2993
0.445037 30.944 -15.7173
0.448262 30.965 -15.1121
0.451510 30.986 -14.4819
0.454782 31.007 -13.8252
0.458077 31.029 -13.1401
0.461397 31.051 -12.4247
0.464740 31.072 -11.6770
0.468108 31.094 -10.8949
0.471500 31.117 -10.0762
0.474917 31.139 -9.2185
0.478358 31.161 -8.3195
0.481825 31.184 -7.3767
0.485316 31.207 -6.3874
0.488833 31.230 -5.3492
0.492375 31.253 -4.2592
0.495943 31.276 -3.1150
0.499537 31.300 -1.9137
0.503157 31.324 -0.6530
0.506803 31.348 0.6697
0.510475 31.372 2.0566
0.514175 31.396 3.5095
0.517900 31.420 5.0301
0.521653 31.445 6.6195
0.525434 31.469 8.2783
0.529241 31.494 10.0063
0.533076 31.519 11.8027
0.536939 31.545 13.6657
0.540830 31.570 15.5924
0.544749 31.596 17.5790
0.548696 31.622 19.6205
0.552673 31.648 21.7107
0.556677 31.674 23.8423
0.560711 31.700 26.0069
0.564774 31.727 28.1953
0.568867 31.753 30.3975
0.572989 31.780 32.6029
0.577141 31.808 34.8006
0.581324 31.835 36.9798
0.585536 31.863 39.1298
0.589779 31.890 41.2405
0.594053 31.918 43.3025
0.598358 31.946 45.3072
0.602694 31.975 47.2473
0.607061 32.003 49.1163
0.611460 32.032 50.9092
0.615891 32.061 52.6218
0.620354 32.090 54.2513
0.624849 32.120 55.7957
0.629377 32.149 57.2540
0.633938 32.179 58.6262
0.638532 32.209 59.9127
0.643159 32.239 61.1147
0.647819 32.270 62.2338
0.652514 32.301 63.2721
0.657242 32.332 64.2318
0.662005 32.363 65.1155
0.666802 32.394 65.9259
0.671634 32.426 66.6658
0.676501 32.458 67.3380
0.681403 32.490 67.9454
0.686341 32.522 68.4909
0.691314 32.556 68.9774
0.696324 32.589 69.4078
0.701370 32.624 69.7852
0.706452 32.661 70.1128
0.711571 32.701 70.3941
0.716728 32.746 70.6332
0.721921 32.799 70.8353
0.727153 32.862 71.0063
0.732422 32.940 71.1533
0.737729 33.035 71.2836
0.743075 33.145 71.4038
0.748460 33.270 71.5188
0.753883 33.406 71.6315
0.759346 33.551 71.7433
0.764849 33.706 71.8547
0.770391 33.868 71.9653
0.775974 34.038 72.0744
0.781597 34.214 72.1814
0.787261 34.397 72.2852
0.792966 34.586 72.3850
0.798712 34.782 72.4800
0.804500 34.984 72.5695
0.810329 35.192 72.6527
0.816201 35.407 72.7290
0.822116 35.627 72.7978
0.828073 35.853 72.8584
0.834074 36.085 72.9104
0.840118 36.322 72.9533
0.846206 36.565 72.9867
0.852338 36.812 73.0102
0.858514 37.065 73.0234
0.864735 37.323 73.0259
0.871001 37.585 73.0175
0.877313 37.852 72.9978
0.883670 38.123 72.9666
0.890074 38.398 72.9235
0.896524 38.677 72.8685
0.903020 38.959 72.8012
0.909564 39.245 72.7215
0.916155 39.533 72.6292
0.922794 39.825 72.5240
0.929481 40.119 72.4058
0.936216 40.414 72.2745
0.943000 40.712 72.1299
0.949834 41.011 71.9719
0.956717 41.311 71.8003
0.963649 41.612 71.6150
0.970632 41.914 71.4158
0.977666 42.215 71.2028
0.984750 42.516 70.9757
0.991886 42.815 70.7345
0.999074 43.114 70.4790
1.006314 43.411 70.2093
1.013606 43.705 69.9251
1.020951 43.997 69.6265
1.028349 44.285 69.3133
1.035801 44.569 68.9857
1.043307 44.850 68.6435
1.050867 45.125 68.2870
1.058482 45.395 67.9162
1.066152 45.659 67.5317
1.073878 45.918 67.1343
1.081660 46.170 66.7251
1.089498 46.416 66.3059
1.097393 46.657 65.8793
1.105345 46.893 65.4481
1.113355 47.124 65.0154
1.121423 47.351 64.5834
1.129549 47.575 64.1538
1.137734 47.795 63.7276
1.145979 48.013 63.3053
1.154283 48.228 62.8868
1.162647 48.440 62.4720
1.171072 48.650 62.0608
1.179558 48.857 61.6526
1.188106 49.062 61.2472
1.196715 49.264 60.8441
1.205387 49.464 60.4429
1.214122 49.662 60.0431
1.222920 49.858 59.6444
1.231782 50.052 59.2463
1.240708 50.244 58.8484
1.249699 50.434 58.4503
1.258754 50.622 58.0515
1.267876 50.809 57.6516
1.277063 50.994 57.2503
1.286318 51.178 56.8470
1.295639 51.361 56.4415
1.305027 51.543 56.0332
1.314484 51.723 55.6219
1.324009 51.903 55.2070
1.333604 52.083 54.7882
1.343268 52.262 54.3651
1.353002 52.441 53.9373
1.362806 52.619 53.5045
1.372681 52.798 53.0661
1.382628 52.978 52.6220
1.392647 53.157 52.1717
1.402739 53.338 51.7150
1.412904 53.519 51.2517
1.423142 53.702 50.7816
1.433455 53.886 50.3051
1.443843 54.070 49.8225
1.454305 54.256 49.3349
1.464844 54.442 48.8435
1.475459 54.628 48.3500
1.486150 54.814 47.8561
1.496920 55.000 47.3631
1.507767 55.184 46.8717
1.518693 55.368 46.3824
1.529698 55.550 45.8951
1.540783 55.732 45.4098
1.551948 55.912 44.9261
1.563194 56.091 44.4436
1.574521 56.269 43.9619
1.585931 56.446 43.4806
1.597423 56.623 42.9990
1.608999 56.798 42.5168
1.620658 56.972 42.0334
1.632402 57.146 41.5484
1.644232 57.319 41.0612
1.656146 57.491 40.5714
1.668147 57.662 40.0783
1.680235 57.833 39.5816
1.692411 58.004 39.0807
1.704675 58.174 38.5752
1.717028 58.343 38.0644
1.729470 58.513 37.5480
1.742003 58.682 37.0254
1.754626 58.852 36.4962
1.767341 59.021 35.9600
1.780147 59.191 35.4166
1.793047 59.360 34.8658
1.806040 59.529 34.3077
1.819128 59.699 33.7426
1.832310 59.868 33.1713
1.845587 60.037 32.5949
1.858961 60.205 32.0144
1.872432 60.373 31.4308
1.886001 60.540 30.8450
1.899667 60.706 30.2574
1.913433 60.871 29.6686
1.927299 61.035 29.0788
1.941265 61.198 28.4882
1.955332 61.360 27.8968
1.969501 61.522 27.3046
1.983773 61.682 26.7117
1.998148 61.843 26.1179
2.012627 62.002 25.5230
2.027212 62.161 24.9270
2.041902 62.319 24.3296
2.056698 62.476 23.7306
2.071602 62.633 23.1297
2.086614 62.790 22.5266
2.101734 62.946 21.9209
2.116964 63.102 21.3123
2.132304 63.258 20.7004
2.147756 63.413 20.0849
2.163320 63.568 19.4654
2.178996 63.723 18.8418
2.194786 63.877 18.2137
2.210690 64.030 17.5815
2.226710 64.183 16.9451
2.242845 64.336 16.3051
2.259098 64.487 15.6619
2.275468 64.637 15.0159
2.291957 64.787 14.3676
2.308566 64.936 13.7173
2.325295 65.083 13.0655
2.342145 65.230 12.4125
2.359117 65.376 11.7584
2.376212 65.521 11.1035
2.393431 65.666 10.4480
2.410775 65.810 9.7918
2.428244 65.953 9.1351
2.445840 66.095 8.4778
2.463564 66.237 7.8197
2.481416 66.379 7.1608
2.499397 66.520 6.5007
2.517509 66.660 5.8391
2.535752 66.800 5.1756
2.554127 66.939 4.5095
2.572635 67.078 3.8403
2.591277 67.216 3.1677
2.610055 67.352 2.4913
2.628968 67.488 1.8114
2.648019 67.623 1.1281
2.667208 67.757 0.4421
2.686535 67.890 -0.2462
2.706003 68.022 -0.9362
2.725612 68.153 -1.6273
2.745363 68.283 -2.3190
2.765257 68.413 -3.0109
2.785295 68.541 -3.7024
2.805478 68.669 -4.3933
2.825808 68.796 -5.0833
2.846285 68.923 -5.7723
2.866910 69.049 -6.4604
2.887685 69.174 -7.1479
2.908611 69.298 -7.8352
2.929688 69.422 -8.5231
2.950917 69.544 -9.2125
2.972301 69.666 -9.9040
2.993839 69.787 -10.5980
3.015534 69.907 -11.2944
3.037386 70.026 -11.9929
3.059396 70.143 -12.6930
3.081565 70.260 -13.3940
3.103896 70.376 -14.0953
3.126388 70.491 -14.7960
3.149043 70.605 -15.4956
3.171862 70.718 -16.1934
3.194847 70.830 -16.8890
3.217998 70.942 -17.5821
3.241317 71.053 -18.2726
3.264805 71.164 -18.9607
3.288463 71.273 -19.6470
3.312293 71.382 -20.3322
3.336295 71.490 -21.0173
3.360471 71.597 -21.7028
3.384822 71.703 -22.3888
3.409350 71.808 -23.0754
3.434056 71.912 -23.7620
3.458940 72.015 -24.4482
3.484005 72.117 -25.1332
3.509252 72.219 -25.8164
3.534681 72.320 -26.4971
3.560295 72.420 -27.1748
3.586094 72.519 -27.8490
3.612081 72.618 -28.5195
3.638255 72.717 -29.1865
3.664620 72.814 -29.8503
3.691175 72.912 -30.5116
3.717923 73.008 -31.1709
3.744864 73.103 -31.8287
3.772001 73.198 -32.4852
3.799335 73.292 -33.1404
3.826866 73.386 -33.7939
3.854597 73.478 -34.4454
3.882529 73.570 -35.0945
3.910664 73.662 -35.7407
3.939002 73.753 -36.3838
3.967546 73.844 -37.0234
3.996296 73.935 -37.6595
4.025255 74.025 -38.2921
4.054423 74.115 -38.9216
4.083804 74.205 -39.5482
4.113396 74.294 -40.1725
4.143204 74.383 -40.7947
4.173227 74.471 -41.4148
4.203468 74.559 -42.0331
4.233928 74.646 -42.6495
4.264609 74.733 -43.2640
4.295512 74.820 -43.8766
4.326639 74.907 -44.4872
4.357992 74.994 -45.0958
4.389572 75.081 -45.7026
4.421380 75.167 -46.3075
4.453419 75.254 -46.9108
4.485691 75.340 -47.5127
4.518196 75.426 -48.1134
4.550936 75.512 -48.7132
4.583914 75.597 -49.3124
4.617131 75.683 -49.9113
4.650589 75.768 -50.5100
4.684289 75.854 -51.1089
4.718233 75.939 -51.7081
4.752424 76.024 -52.3078
4.786862 76.109 -52.9082
4.821549 76.193 -53.5092
4.856488 76.278 -54.1111
4.891680 76.362 -54.7140
4.927127 76.447 -55.3178
4.962831 76.530 -55.9229
4.998794 76.614 -56.5293
5.035017 76.697 -57.1374
5.071503 76.780 -57.7474
5.108253 76.863 -58.3595
5.145270 76.945 -58.9741
5.182555 77.026 -59.5912
5.220110 77.107 -60.2109
5.257937 77.188 -60.8330
5.296038 77.268 -61.4574
5.334415 77.348 -62.0837
5.373071 77.426 -62.7118
5.412006 77.504 -63.3415
5.451224 77.582 -63.9731
5.490725 77.658 -64.6065
5.530514 77.733 -65.2422
5.570590 77.808 -65.8801
5.610957 77.881 -66.5202
5.651616 77.954 -67.1619
5.692570 78.026 -67.8046
5.733821 78.096 -68.4476
5.775370 78.166 -69.0904
5.817221 78.234 -69.7326
5.859375 78.301 -70.3741
5.901834 78.367 -71.0152
5.944602 78.432 -71.6558
5.987679 78.495 -72.2958
6.031068 78.557 -72.9345
6.074771 78.618 -73.5710
6.118792 78.678 -74.2045
6.163131 78.737 -74.8342
6.207792 78.794 -75.4596
6.252776 78.851 -76.0806
6.298086 78.906 -76.6972
6.343725 78.960 -77.3093
6.389694 79.013 -77.9166
6.435996 79.065 -78.5186
6.482634 79.116 -79.1144
6.529610 79.167 -79.7035
6.576926 79.216 -80.2853
6.624585 79.265 -80.8597
6.672590 79.314 -81.4266
6.720942 79.361 -81.9862
6.769645 79.409 -82.5385
