* Measurement data measured by REW V5.20.13
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.610
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 21, 2024 7:15:00 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sennheiser IE 600 L
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 102.182 -175.9937
20.507813 102.171 -176.3188
20.874023 102.140 -177.2393
21.240234 102.098 -178.3239
21.606445 102.040 -179.4683
21.972656 101.967 179.4261
22.338867 101.890 178.4908
22.705078 101.825 177.7767
23.071289 101.785 177.2300
23.437500 101.768 176.7402
23.803711 101.764 176.2105
24.169922 101.756 175.6101
24.536133 101.734 174.9724
24.902344 101.700 174.3452
25.268555 101.664 173.7408
25.634766 101.630 173.1263
26.000977 101.597 172.4632
26.367188 101.555 171.7601
26.733399 101.496 171.0912
27.099610 101.419 170.5585
27.465821 101.337 170.2218
27.832032 101.268 170.0478
28.198243 101.221 169.9176
28.564454 101.197 169.6899
28.930665 101.180 169.2740
29.296876 101.158 168.6676
29.663087 101.120 167.9430
30.029298 101.064 167.2022
30.395509 100.997 166.5336
30.761720 100.930 165.9844
31.127931 100.870 165.5518
31.494142 100.824 165.1897
31.860353 100.791 164.8306
32.226563 100.766 164.4183
32.592774 100.739 163.9394
32.958985 100.704 163.4324
33.325196 100.660 162.9625
33.691407 100.615 162.5780
34.057618 100.575 162.2788
34.423829 100.542 162.0219
34.790040 100.511 161.7615
35.156251 100.471 161.4852
35.522462 100.418 161.2140
35.888673 100.356 160.9655
36.254884 100.296 160.7161
36.621095 100.246 160.4034
36.987306 100.206 159.9738
37.353517 100.169 159.4363
37.719728 100.129 158.8742
38.085939 100.087 158.3960
38.452150 100.051 158.0656
38.818361 100.027 157.8640
39.184572 100.013 157.7158
39.550783 99.996 157.5546
39.916994 99.963 157.3723
40.283205 99.909 157.2101
40.649416 99.842 157.1056
41.015627 99.777 157.0433
41.381838 99.725 156.9541
41.748049 99.686 156.7651
42.114260 99.653 156.4557
42.480471 99.614 156.0754
42.846682 99.566 155.7097
43.212893 99.513 155.4247
43.579103 99.462 155.2330
43.945314 99.415 155.1008
44.311525 99.372 154.9842
44.677736 99.329 154.8592
45.043947 99.284 154.7267
45.410158 99.237 154.5936
45.776369 99.194 154.4527
46.142580 99.157 154.2802
46.508791 99.125 154.0507
46.875002 99.097 153.7571
47.241213 99.066 153.4215
47.607424 99.030 153.0889
47.973635 98.988 152.8101
48.339846 98.945 152.6206
48.706057 98.904 152.5260
49.072268 98.868 152.4988
49.438479 98.836 152.4921
49.804690 98.805 152.4641
50.170901 98.769 152.4022
50.537112 98.725 152.3286
50.903323 98.678 152.2811
51.269534 98.637 152.2772
51.635745 98.612 152.2878
52.001956 98.607 152.2424
52.368167 98.612 152.0698
52.734378 98.612 151.7497
53.100589 98.587 151.3413
53.466800 98.530 150.9628
53.833011 98.448 150.7319
54.199222 98.358 150.7001
54.565432 98.283 150.8214
54.931643 98.237 150.9746
55.297854 98.219 151.0297
55.664065 98.215 150.9149
56.030276 98.205 150.6492
56.396487 98.178 150.3236
56.762698 98.131 150.0476
57.128909 98.073 149.8936
57.495120 98.016 149.8680
57.861331 97.968 149.9189
58.227542 97.935 149.9712
58.593753 97.911 149.9661
58.959964 97.891 149.8843
59.326175 97.867 149.7454
59.692386 97.837 149.5885
60.058597 97.802 149.4485
60.424808 97.765 149.3398
60.791019 97.728 149.2551
61.157230 97.693 149.1743
61.523441 97.659 149.0776
61.889652 97.625 148.9554
62.255863 97.589 148.8118
62.622074 97.552 148.6618
62.988285 97.514 148.5259
63.354496 97.475 148.4238
63.720707 97.438 148.3669
64.086918 97.404 148.3542
64.453129 97.374 148.3708
64.819340 97.348 148.3926
65.185551 97.324 148.3945
65.551762 97.299 148.3613
65.917972 97.271 148.2927
66.284183 97.238 148.2025
66.650394 97.201 148.1114
67.016605 97.163 148.0385
67.382816 97.126 147.9952
67.749027 97.092 147.9842
68.115238 97.062 148.0014
68.481449 97.037 148.0389
68.847660 97.015 148.0862
69.213871 96.997 148.1318
69.580082 96.981 148.1633
69.946293 96.966 148.1699
70.312504 96.951 148.1432
70.678715 96.934 148.0788
71.044926 96.914 147.9767
71.411137 96.892 147.8423
71.777348 96.865 147.6868
72.143559 96.835 147.5266
72.509770 96.803 147.3801
72.875981 96.769 147.2615
73.242192 96.737 147.1763
73.608403 96.707 147.1190
73.974614 96.680 147.0778
74.340825 96.654 147.0419
74.707036 96.628 147.0063
75.073247 96.600 146.9730
75.439458 96.569 146.9464
75.805669 96.537 146.9283
76.171880 96.503 146.9165
76.538091 96.469 146.9072
76.904301 96.435 146.8995
77.270512 96.399 146.8971
77.636723 96.365 146.9049
78.002934 96.333 146.9239
78.369145 96.305 146.9481
78.735356 96.283 146.9663
79.101567 96.266 146.9687
79.467778 96.251 146.9529
79.833989 96.236 146.9255
80.200200 96.219 146.8980
80.566411 96.199 146.8792
80.932622 96.177 146.8705
81.298833 96.153 146.8650
81.665044 96.128 146.8524
82.031255 96.100 146.8246
82.397466 96.071 146.7795
82.763677 96.041 146.7209
83.129888 96.012 146.6552
83.496099 95.984 146.5883
83.862310 95.960 146.5239
84.228521 95.939 146.4644
84.594732 95.920 146.4136
84.960943 95.901 146.3777
85.327154 95.882 146.3657
85.693365 95.860 146.3857
86.059576 95.836 146.4421
86.425787 95.809 146.5322
86.791998 95.779 146.6457
87.158209 95.743 146.7679
87.524420 95.701 146.8850
87.890631 95.649 146.9889
88.256841 95.587 147.0795
88.623052 95.516 147.1624
88.989263 95.442 147.2437
89.355474 95.371 147.3229
89.721685 95.312 147.3903
90.087896 95.271 147.4286
90.454107 95.252 147.4205
90.820318 95.253 147.3572
91.186529 95.269 147.2434
91.552740 95.292 147.0981
91.918951 95.315 146.9480
92.285162 95.333 146.8194
92.651373 95.343 146.7304
93.017584 95.342 146.6870
93.383795 95.333 146.6838
93.750006 95.315 146.7076
94.116217 95.292 146.7428
94.482428 95.265 146.7756
94.848639 95.237 146.7967
95.214850 95.209 146.8022
95.581061 95.183 146.7922
95.947272 95.158 146.7695
96.313483 95.135 146.7368
96.679694 95.114 146.6966
97.045905 95.095 146.6507
97.412116 95.077 146.6018
97.778327 95.060 146.5544
98.144538 95.042 146.5151
98.510749 95.024 146.4919
98.876960 95.005 146.4916
99.243170 94.986 146.5178
99.609381 94.966 146.5699
99.975592 94.944 146.6426
100.341803 94.922 146.7273
100.708014 94.898 146.8137
101.074225 94.873 146.8921
101.440436 94.848 146.9552
101.806647 94.823 146.9989
102.172858 94.798 147.0234
102.539069 94.775 147.0322
102.905280 94.754 147.0315
103.271491 94.735 147.0278
103.637702 94.718 147.0266
104.003913 94.703 147.0309
104.370124 94.689 147.0408
104.736335 94.675 147.0546
105.102546 94.662 147.0697
105.468757 94.648 147.0839
105.834968 94.634 147.0961
106.201179 94.618 147.1056
106.567390 94.602 147.1117
106.933601 94.586 147.1119
107.299812 94.569 147.1021
107.666023 94.552 147.0760
108.032234 94.536 147.0275
108.398445 94.520 146.9517
108.764656 94.506 146.8475
109.130867 94.494 146.7190
109.497078 94.485 146.5760
109.863289 94.478 146.4333
110.229500 94.473 146.3083
110.595710 94.471 146.2181
110.961921 94.468 146.1761
111.328132 94.464 146.1895
111.694343 94.457 146.2578
112.060554 94.446 146.3736
112.426765 94.429 146.5241
112.792976 94.408 146.6946
113.159187 94.381 146.8716
113.525398 94.350 147.0445
113.891609 94.316 147.2072
114.257820 94.282 147.3575
114.624031 94.248 147.4951
114.990242 94.215 147.6203
115.356453 94.185 147.7325
115.722664 94.157 147.8292
116.088875 94.133 147.9067
116.455086 94.111 147.9615
116.821297 94.092 147.9918
117.187508 94.075 147.9986
117.553719 94.061 147.9863
117.919930 94.047 147.9619
118.286141 94.035 147.9333
118.652352 94.024 147.9080
119.018563 94.011 147.8915
119.384774 93.998 147.8863
119.750985 93.982 147.8916
120.117196 93.963 147.9045
120.483407 93.942 147.9206
120.849618 93.919 147.9359
121.215829 93.895 147.9476
121.582040 93.870 147.9553
121.948250 93.848 147.9608
122.314461 93.827 147.9677
122.680672 93.810 147.9801
123.046883 93.796 148.0021
123.413094 93.785 148.0362
123.779305 93.776 148.0832
124.145516 93.770 148.1421
124.511727 93.764 148.2100
124.877938 93.758 148.2829
125.244149 93.752 148.3564
125.610360 93.744 148.4263
125.976571 93.735 148.4886
126.342782 93.725 148.5408
126.708993 93.712 148.5816
127.075204 93.697 148.6112
127.441415 93.681 148.6310
127.807626 93.662 148.6436
128.173837 93.642 148.6521
128.540048 93.621 148.6597
128.906259 93.600 148.6698
129.272470 93.579 148.6851
129.638681 93.558 148.7076
130.004892 93.539 148.7385
130.371103 93.521 148.7775
130.737314 93.504 148.8235
131.103525 93.489 148.8744
131.469736 93.474 148.9272
131.835947 93.459 148.9787
132.202158 93.445 149.0259
132.568369 93.431 149.0662
132.934579 93.417 149.0980
133.300790 93.403 149.1205
133.667001 93.389 149.1342
134.033212 93.376 149.1399
134.399423 93.363 149.1395
134.765634 93.352 149.1348
135.131845 93.342 149.1277
135.498056 93.332 149.1202
135.864267 93.324 149.1136
136.230478 93.316 149.1096
136.596689 93.309 149.1093
136.962900 93.303 149.1137
137.329111 93.297 149.1241
137.695322 93.291 149.1412
138.061533 93.284 149.1656
138.427744 93.276 149.1977
138.793955 93.267 149.2369
139.160166 93.256 149.2825
139.526377 93.244 149.3331
139.892588 93.229 149.3868
140.258799 93.214 149.4421
140.625010 93.197 149.4969
140.991221 93.179 149.5499
141.357432 93.161 149.6002
141.723643 93.143 149.6472
142.089854 93.125 149.6910
142.456065 93.108 149.7317
142.822276 93.092 149.7698
143.188487 93.077 149.8058
143.554698 93.062 149.8401
143.920909 93.048 149.8734
144.287119 93.035 149.9059
144.653330 93.021 149.9381
145.019541 93.007 149.9706
145.385752 92.994 150.0035
145.751963 92.980 150.0374
146.118174 92.966 150.0725
146.484385 92.952 150.1088
146.850596 92.937 150.1465
147.216807 92.922 150.1852
147.583018 92.908 150.2250
147.949229 92.893 150.2653
148.315440 92.878 150.3060
148.681651 92.862 150.3466
149.047862 92.847 150.3871
149.414073 92.832 150.4272
149.780284 92.816 150.4672
150.146495 92.801 150.5073
150.512706 92.785 150.5482
150.878917 92.769 150.5904
151.245128 92.752 150.6346
151.611339 92.735 150.6813
151.977550 92.717 150.7309
152.343761 92.699 150.7834
152.709972 92.681 150.8383
153.076183 92.663 150.8951
153.442394 92.646 150.9528
153.808605 92.629 151.0100
154.174816 92.615 151.0657
154.541027 92.602 151.1186
154.907238 92.592 151.1678
155.273448 92.584 151.2131
155.639659 92.577 151.2544
156.005870 92.572 151.2923
156.372081 92.569 151.3276
156.738292 92.565 151.3614
157.104503 92.562 151.3945
157.470714 92.559 151.4275
157.836925 92.555 151.4609
158.203136 92.550 151.4949
158.569347 92.545 151.5297
158.935558 92.539 151.5652
159.301769 92.532 151.6017
159.667980 92.525 151.6391
160.034191 92.517 151.6775
160.400402 92.509 151.7167
160.766613 92.501 151.7567
161.132824 92.493 151.7968
161.499035 92.485 151.8367
161.865246 92.478 151.8759
162.231457 92.470 151.9136
162.597668 92.462 151.9496
162.963879 92.454 151.9836
163.330090 92.445 152.0154
163.696301 92.437 152.0452
164.062512 92.429 152.0732
164.428723 92.420 152.1002
164.794934 92.411 152.1265
165.161145 92.401 152.1530
165.527356 92.392 152.1803
165.893567 92.382 152.2090
166.259778 92.372 152.2396
166.625988 92.362 152.2723
166.992199 92.352 152.3073
167.358410 92.343 152.3442
167.724621 92.333 152.3829
168.090832 92.323 152.4228
168.457043 92.313 152.4634
168.823254 92.304 152.5040
169.189465 92.295 152.5441
169.555676 92.286 152.5830
169.921887 92.278 152.6205
170.288098 92.270 152.6562
170.654309 92.262 152.6901
171.020520 92.254 152.7220
171.386731 92.246 152.7522
171.752942 92.238 152.7810
172.119153 92.230 152.8087
172.485364 92.222 152.8357
