* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 27, 2023 3:52:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Simgot EW200 R
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 93.822 -155.8903
20.507813 93.821 -156.0434
20.874023 93.818 -156.4298
21.240234 93.818 -156.7660
21.606445 93.824 -157.0253
21.972656 93.833 -157.2507
22.338867 93.843 -157.4643
22.705078 93.849 -157.6853
23.071289 93.847 -157.9296
23.437500 93.838 -158.2034
23.803711 93.826 -158.5030
24.169922 93.814 -158.8151
24.536133 93.805 -159.1197
24.902344 93.800 -159.3939
25.268555 93.798 -159.6179
25.634766 93.800 -159.7846
26.000977 93.802 -159.9077
26.367188 93.802 -160.0162
26.733399 93.796 -160.1382
27.099610 93.781 -160.2859
27.465821 93.757 -160.4487
27.832032 93.729 -160.6025
28.198243 93.704 -160.7303
28.564454 93.687 -160.8363
28.930665 93.681 -160.9400
29.296876 93.680 -161.0576
29.663087 93.678 -161.1867
30.029298 93.671 -161.3074
30.395509 93.658 -161.3988
30.761720 93.642 -161.4568
31.127931 93.626 -161.4986
31.494142 93.613 -161.5510
31.860353 93.602 -161.6301
32.226563 93.590 -161.7321
32.592774 93.576 -161.8392
32.958985 93.560 -161.9343
33.325196 93.543 -162.0116
33.691407 93.526 -162.0772
34.057618 93.508 -162.1421
34.423829 93.489 -162.2131
34.790040 93.470 -162.2894
35.156251 93.450 -162.3664
35.522462 93.433 -162.4407
35.888673 93.418 -162.5118
36.254884 93.406 -162.5805
36.621095 93.394 -162.6466
36.987306 93.381 -162.7080
37.353517 93.364 -162.7621
37.719728 93.342 -162.8063
38.085939 93.317 -162.8401
38.452150 93.289 -162.8652
38.818361 93.263 -162.8870
39.184572 93.241 -162.9150
39.550783 93.225 -162.9598
39.916994 93.214 -163.0273
40.283205 93.205 -163.1126
40.649416 93.196 -163.1991
41.015627 93.184 -163.2656
41.381838 93.169 -163.2976
41.748049 93.151 -163.2953
42.114260 93.130 -163.2718
42.480471 93.107 -163.2435
42.846682 93.081 -163.2194
43.212893 93.052 -163.1987
43.579103 93.023 -163.1768
43.945314 92.997 -163.1538
44.311525 92.975 -163.1389
44.677736 92.959 -163.1445
45.043947 92.946 -163.1752
45.410158 92.933 -163.2207
45.776369 92.917 -163.2594
46.142580 92.900 -163.2704
46.508791 92.881 -163.2473
46.875002 92.865 -163.2024
47.241213 92.849 -163.1587
47.607424 92.834 -163.1354
47.973635 92.815 -163.1366
48.339846 92.792 -163.1507
48.706057 92.766 -163.1603
49.072268 92.738 -163.1541
49.438479 92.713 -163.1347
49.804690 92.692 -163.1150
50.170901 92.675 -163.1095
50.537112 92.659 -163.1232
50.903323 92.641 -163.1482
51.269534 92.619 -163.1669
51.635745 92.594 -163.1624
52.001956 92.568 -163.1276
52.368167 92.543 -163.0695
52.734378 92.520 -163.0042
53.100589 92.499 -162.9474
53.466800 92.479 -162.9064
53.833011 92.457 -162.8765
54.199222 92.433 -162.8463
54.565432 92.410 -162.8055
54.931643 92.387 -162.7521
55.297854 92.368 -162.6936
55.664065 92.351 -162.6418
56.030276 92.336 -162.6053
56.396487 92.319 -162.5847
56.762698 92.300 -162.5720
57.128909 92.278 -162.5554
57.495120 92.254 -162.5257
57.861331 92.229 -162.4798
58.227542 92.206 -162.4207
58.593753 92.183 -162.3546
58.959964 92.163 -162.2874
59.326175 92.143 -162.2225
59.692386 92.124 -162.1599
60.058597 92.105 -162.0984
60.424808 92.084 -162.0361
60.791019 92.064 -161.9725
61.157230 92.043 -161.9082
61.523441 92.021 -161.8441
61.889652 92.000 -161.7809
62.255863 91.978 -161.7177
62.622074 91.957 -161.6521
62.988285 91.936 -161.5816
63.354496 91.916 -161.5040
63.720707 91.896 -161.4189
64.086918 91.875 -161.3264
64.453129 91.855 -161.2275
64.819340 91.833 -161.1229
65.185551 91.812 -161.0149
65.551762 91.790 -160.9081
65.917972 91.770 -160.8094
66.284183 91.751 -160.7260
66.650394 91.732 -160.6619
67.016605 91.714 -160.6156
67.382816 91.695 -160.5795
67.749027 91.676 -160.5429
68.115238 91.656 -160.4962
68.481449 91.637 -160.4344
68.847660 91.619 -160.3580
69.213871 91.602 -160.2706
69.580082 91.585 -160.1766
69.946293 91.567 -160.0780
70.312504 91.548 -159.9748
70.678715 91.528 -159.8656
71.044926 91.508 -159.7503
71.411137 91.488 -159.6307
71.777348 91.469 -159.5102
72.143559 91.450 -159.3928
72.509770 91.431 -159.2809
72.875981 91.411 -159.1748
73.242192 91.391 -159.0727
73.608403 91.370 -158.9722
73.974614 91.348 -158.8713
74.340825 91.326 -158.7699
74.707036 91.304 -158.6691
75.073247 91.283 -158.5707
75.439458 91.262 -158.4762
75.805669 91.241 -158.3860
76.171880 91.220 -158.2992
76.538091 91.200 -158.2140
76.904301 91.179 -158.1284
77.270512 91.159 -158.0413
77.636723 91.139 -157.9519
78.002934 91.121 -157.8602
78.369145 91.103 -157.7666
78.735356 91.086 -157.6712
79.101567 91.069 -157.5737
79.467778 91.051 -157.4735
79.833989 91.034 -157.3691
80.200200 91.015 -157.2591
80.566411 90.996 -157.1425
80.932622 90.977 -157.0198
81.298833 90.957 -156.8929
81.665044 90.938 -156.7649
82.031255 90.919 -156.6391
82.397466 90.901 -156.5180
82.763677 90.882 -156.4027
83.129888 90.864 -156.2930
83.496099 90.846 -156.1874
83.862310 90.828 -156.0839
84.228521 90.809 -155.9803
84.594732 90.791 -155.8746
84.960943 90.774 -155.7654
85.327154 90.756 -155.6519
85.693365 90.738 -155.5345
86.059576 90.720 -155.4144
86.425787 90.703 -155.2937
86.791998 90.685 -155.1746
87.158209 90.666 -155.0587
87.524420 90.648 -154.9468
87.890631 90.629 -154.8383
88.256841 90.610 -154.7321
88.623052 90.591 -154.6261
88.989263 90.573 -154.5186
89.355474 90.555 -154.4075
89.721685 90.537 -154.2916
90.087896 90.520 -154.1705
90.454107 90.503 -154.0447
90.820318 90.486 -153.9158
91.186529 90.468 -153.7862
91.552740 90.450 -153.6582
91.918951 90.432 -153.5337
92.285162 90.413 -153.4136
92.651373 90.395 -153.2974
93.017584 90.376 -153.1837
93.383795 90.358 -153.0702
93.750006 90.340 -152.9547
94.116217 90.322 -152.8356
94.482428 90.304 -152.7119
94.848639 90.287 -152.5835
95.214850 90.270 -152.4515
95.581061 90.254 -152.3172
95.947272 90.237 -152.1824
96.313483 90.220 -152.0484
96.679694 90.204 -151.9164
97.045905 90.188 -151.7868
97.412116 90.172 -151.6594
97.778327 90.156 -151.5336
98.144538 90.140 -151.4087
98.510749 90.124 -151.2839
98.876960 90.108 -151.1586
99.243170 90.091 -151.0327
99.609381 90.074 -150.9063
99.975592 90.056 -150.7796
100.341803 90.038 -150.6527
100.708014 90.021 -150.5253
101.074225 90.003 -150.3969
101.440436 89.986 -150.2669
101.806647 89.969 -150.1347
102.172858 89.953 -150.0003
102.539069 89.937 -149.8641
102.905280 89.921 -149.7267
103.271491 89.905 -149.5891
103.637702 89.889 -149.4524
104.003913 89.874 -149.3171
104.370124 89.858 -149.1835
104.736335 89.843 -149.0515
105.102546 89.828 -148.9205
105.468757 89.813 -148.7896
105.834968 89.797 -148.6581
106.201179 89.782 -148.5252
106.567390 89.766 -148.3907
106.933601 89.750 -148.2545
107.299812 89.734 -148.1172
107.666023 89.717 -147.9795
108.032234 89.700 -147.8422
108.398445 89.683 -147.7057
108.764656 89.666 -147.5701
109.130867 89.648 -147.4351
109.497078 89.631 -147.2999
109.863289 89.615 -147.1636
110.229500 89.598 -147.0251
110.595710 89.583 -146.8840
110.961921 89.567 -146.7400
111.328132 89.552 -146.5933
111.694343 89.538 -146.4447
112.060554 89.524 -146.2949
112.426765 89.510 -146.1446
112.792976 89.497 -145.9945
113.159187 89.483 -145.8448
113.525398 89.470 -145.6958
113.891609 89.456 -145.5473
114.257820 89.442 -145.3991
114.624031 89.428 -145.2511
114.990242 89.415 -145.1031
115.356453 89.401 -144.9549
115.722664 89.388 -144.8068
116.088875 89.375 -144.6589
116.455086 89.362 -144.5119
116.821297 89.349 -144.3663
117.187508 89.336 -144.2230
117.553719 89.323 -144.0824
117.919930 89.310 -143.9448
118.286141 89.296 -143.8101
118.652352 89.283 -143.6776
119.018563 89.268 -143.5464
119.384774 89.254 -143.4153
119.750985 89.239 -143.2831
120.117196 89.224 -143.1493
120.483407 89.209 -143.0133
120.849618 89.194 -142.8752
121.215829 89.179 -142.7355
121.582040 89.165 -142.5945
121.948250 89.151 -142.4528
122.314461 89.136 -142.3108
122.680672 89.122 -142.1686
123.046883 89.109 -142.0263
123.413094 89.095 -141.8840
123.779305 89.081 -141.7416
124.145516 89.067 -141.5993
124.511727 89.053 -141.4574
124.877938 89.040 -141.3161
125.244149 89.026 -141.1754
125.610360 89.012 -141.0352
125.976571 88.998 -140.8954
126.342782 88.984 -140.7552
126.708993 88.970 -140.6141
127.075204 88.956 -140.4716
127.441415 88.942 -140.3271
127.807626 88.928 -140.1805
128.173837 88.914 -140.0320
128.540048 88.900 -139.8821
128.906259 88.886 -139.7313
129.272470 88.873 -139.5803
129.638681 88.859 -139.4295
130.004892 88.846 -139.2793
130.371103 88.832 -139.1297
130.737314 88.818 -138.9805
131.103525 88.805 -138.8312
131.469736 88.791 -138.6814
131.835947 88.778 -138.5307
132.202158 88.764 -138.3786
132.568369 88.751 -138.2252
132.934579 88.737 -138.0706
133.300790 88.723 -137.9149
133.667001 88.710 -137.7586
134.033212 88.696 -137.6020
134.399423 88.683 -137.4454
134.765634 88.670 -137.2888
135.131845 88.657 -137.1319
135.498056 88.644 -136.9745
135.864267 88.631 -136.8164
136.230478 88.619 -136.6571
136.596689 88.607 -136.4967
136.962900 88.595 -136.3354
137.329111 88.584 -136.1736
137.695322 88.573 -136.0118
138.061533 88.562 -135.8505
138.427744 88.551 -135.6904
138.793955 88.540 -135.5319
139.160166 88.529 -135.3753
139.526377 88.518 -135.2204
139.892588 88.508 -135.0670
140.258799 88.497 -134.9148
140.625010 88.487 -134.7632
140.991221 88.476 -134.6116
141.357432 88.465 -134.4595
141.723643 88.454 -134.3067
142.089854 88.443 -134.1528
142.456065 88.432 -133.9977
142.822276 88.420 -133.8416
143.188487 88.409 -133.6846
143.554698 88.398 -133.5268
143.920909 88.386 -133.3686
144.287119 88.375 -133.2101
144.653330 88.364 -133.0517
145.019541 88.352 -132.8937
145.385752 88.341 -132.7361
145.751963 88.330 -132.5792
146.118174 88.319 -132.4231
146.484385 88.307 -132.2678
146.850596 88.296 -132.1132
147.216807 88.284 -131.9594
147.583018 88.273 -131.8060
147.949229 88.261 -131.6530
148.315440 88.250 -131.5000
148.681651 88.238 -131.3470
149.047862 88.227 -131.1936
149.414073 88.215 -131.0399
149.780284 88.203 -130.8856
150.146495 88.192 -130.7307
150.512706 88.180 -130.5752
150.878917 88.169 -130.4190
151.245128 88.158 -130.2621
151.611339 88.146 -130.1047
151.977550 88.135 -129.9468
152.343761 88.124 -129.7885
152.709972 88.113 -129.6300
153.076183 88.101 -129.4714
153.442394 88.090 -129.3128
153.808605 88.079 -129.1543
154.174816 88.068 -128.9957
154.541027 88.057 -128.8370
154.907238 88.046 -128.6780
155.273448 88.035 -128.5185
155.639659 88.023 -128.3585
156.005870 88.012 -128.1979
156.372081 88.000 -128.0369
156.738292 87.988 -127.8759
157.104503 87.977 -127.7154
157.470714 87.965 -127.5561
157.836925 87.953 -127.3990
158.203136 87.942 -127.2447
158.569347 87.930 -127.0939
158.935558 87.919 -126.9471
159.301769 87.908 -126.8042
159.667980 87.898 -126.6648
160.034191 87.888 -126.5284
160.400402 87.878 -126.3938
160.766613 87.868 -126.2602
161.132824 87.858 -126.1264
161.499035 87.849 -125.9916
161.865246 87.840 -125.8550
162.231457 87.830 -125.7164
162.597668 87.821 -125.5756
