* Measurement data measured by REW V5.31.3
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 01 11, 25 3:48:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Softears Volume S high L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 41.045 -9.9518
0.368865 41.039 -10.0176
0.371538 41.031 -10.1157
0.374230 41.021 -10.2384
0.376942 41.010 -10.3787
0.379673 40.997 -10.5318
0.382424 40.985 -10.6942
0.385196 40.971 -10.8641
0.387987 40.958 -11.0402
0.390798 40.944 -11.2220
0.393630 40.931 -11.4091
0.396483 40.917 -11.6015
0.399356 40.903 -11.7991
0.402250 40.889 -12.0019
0.405165 40.875 -12.2101
0.408101 40.861 -12.4237
0.411058 40.846 -12.6428
0.414037 40.832 -12.8674
0.417037 40.817 -13.0978
0.420059 40.803 -13.3339
0.423103 40.788 -13.5759
0.426169 40.773 -13.8238
0.429257 40.758 -14.0779
0.432368 40.743 -14.3381
0.435501 40.728 -14.6047
0.438656 40.713 -14.8776
0.441835 40.697 -15.1571
0.445037 40.682 -15.4433
0.448262 40.666 -15.7362
0.451510 40.650 -16.0361
0.454782 40.635 -16.3430
0.458077 40.619 -16.6570
0.461397 40.603 -16.9784
0.464740 40.586 -17.3072
0.468108 40.570 -17.6436
0.471500 40.554 -17.9877
0.474917 40.537 -18.3397
0.478358 40.520 -18.6999
0.481825 40.504 -19.0682
0.485316 40.487 -19.4450
0.488833 40.470 -19.8303
0.492375 40.452 -20.2244
0.495943 40.435 -20.6275
0.499537 40.418 -21.0397
0.503157 40.400 -21.4613
0.506803 40.383 -21.8925
0.510475 40.365 -22.3335
0.514175 40.347 -22.7845
0.517900 40.329 -23.2458
0.521653 40.311 -23.7177
0.525434 40.292 -24.2003
0.529241 40.274 -24.6940
0.533076 40.255 -25.1991
0.536939 40.237 -25.7158
0.540830 40.218 -26.2445
0.544749 40.199 -26.7854
0.548696 40.180 -27.3390
0.552673 40.160 -27.9055
0.556677 40.141 -28.4853
0.560711 40.121 -29.0789
0.564774 40.102 -29.6865
0.568867 40.082 -30.3087
0.572989 40.062 -30.9458
0.577141 40.042 -31.5982
0.581324 40.022 -32.2666
0.585536 40.001 -32.9513
0.589779 39.981 -33.6528
0.594053 39.960 -34.3717
0.598358 39.939 -35.1085
0.602694 39.918 -35.8637
0.607061 39.897 -36.6381
0.611460 39.876 -37.4321
0.615891 39.854 -38.2465
0.620354 39.833 -39.0818
0.624849 39.811 -39.9387
0.629377 39.789 -40.8180
0.633938 39.767 -41.7203
0.638532 39.744 -42.6465
0.643159 39.722 -43.5971
0.647819 39.700 -44.5731
0.652514 39.677 -45.5751
0.657242 39.654 -46.6040
0.662005 39.631 -47.6606
0.666802 39.608 -48.7457
0.671634 39.584 -49.8600
0.676501 39.561 -51.0044
0.681403 39.537 -52.1796
0.686341 39.513 -53.3865
0.691314 39.490 -54.6257
0.696324 39.466 -55.8978
0.701370 39.443 -57.2036
0.706452 39.422 -58.5435
0.711571 39.402 -59.9178
0.716728 39.387 -61.3266
0.721921 39.378 -62.7698
0.727153 39.378 -64.2464
0.732422 39.390 -65.7551
0.737729 39.417 -67.2937
0.743075 39.458 -68.8594
0.748460 39.511 -70.4487
0.753883 39.574 -72.0582
0.759346 39.645 -73.6843
0.764849 39.722 -75.3232
0.770391 39.806 -76.9713
0.775974 39.896 -78.6250
0.781597 39.990 -80.2807
0.787261 40.090 -81.9351
0.792966 40.195 -83.5847
0.798712 40.305 -85.2264
0.804500 40.419 -86.8573
0.810329 40.538 -88.4748
0.816201 40.662 -90.0762
0.822116 40.791 -91.6594
0.828073 40.924 -93.2223
0.834074 41.061 -94.7634
0.840118 41.203 -96.2811
0.846206 41.350 -97.7744
0.852338 41.500 -99.2421
0.858514 41.655 -100.6838
0.864735 41.814 -102.0990
0.871001 41.976 -103.4873
0.877313 42.143 -104.8488
0.883670 42.313 -106.1836
0.890074 42.487 -107.4920
0.896524 42.665 -108.7744
0.903020 42.845 -110.0313
0.909564 43.029 -111.2634
0.916155 43.216 -112.4715
0.922794 43.405 -113.6562
0.929481 43.598 -114.8186
0.936216 43.792 -115.9596
0.943000 43.989 -117.0800
0.949834 44.189 -118.1809
0.956717 44.390 -119.2633
0.963649 44.592 -120.3282
0.970632 44.796 -121.3766
0.977666 45.002 -122.4096
0.984750 45.208 -123.4281
0.991886 45.415 -124.4331
0.999074 45.622 -125.4257
1.006314 45.829 -126.4068
1.013606 46.036 -127.3774
1.020951 46.243 -128.3383
1.028349 46.449 -129.2905
1.035801 46.654 -130.2348
1.043307 46.857 -131.1720
1.050867 47.059 -132.1028
1.058482 47.258 -133.0278
1.066152 47.456 -133.9474
1.073878 47.651 -134.8618
1.081660 47.843 -135.7706
1.089498 48.034 -136.6731
1.097393 48.223 -137.5677
1.105345 48.412 -138.4527
1.113355 48.600 -139.3258
1.121423 48.788 -140.1855
1.129549 48.977 -141.0304
1.137734 49.167 -141.8598
1.145979 49.359 -142.6734
1.154283 49.551 -143.4713
1.162647 49.745 -144.2536
1.171072 49.940 -145.0206
1.179558 50.136 -145.7731
1.188106 50.334 -146.5113
1.196715 50.532 -147.2359
1.205387 50.731 -147.9476
1.214122 50.932 -148.6470
1.222920 51.133 -149.3348
1.231782 51.335 -150.0116
1.240708 51.538 -150.6782
1.249699 51.742 -151.3351
1.258754 51.946 -151.9832
1.267876 52.150 -152.6231
1.277063 52.355 -153.2555
1.286318 52.561 -153.8812
1.295639 52.766 -154.5007
1.305027 52.972 -155.1149
1.314484 53.178 -155.7243
1.324009 53.384 -156.3297
1.333604 53.589 -156.9317
1.343268 53.795 -157.5309
1.353002 53.999 -158.1281
1.362806 54.204 -158.7239
1.372681 54.407 -159.3189
1.382628 54.610 -159.9137
1.392647 54.812 -160.5089
1.402739 55.013 -161.1050
1.412904 55.213 -161.7026
1.423142 55.411 -162.3020
1.433455 55.608 -162.9033
1.443843 55.804 -163.5065
1.454305 55.998 -164.1111
1.464844 56.190 -164.7163
1.475459 56.381 -165.3210
1.486150 56.570 -165.9239
1.496920 56.757 -166.5241
1.507767 56.943 -167.1208
1.518693 57.127 -167.7138
1.529698 57.310 -168.3028
1.540783 57.492 -168.8880
1.551948 57.672 -169.4694
1.563194 57.850 -170.0474
1.574521 58.027 -170.6222
1.585931 58.203 -171.1942
1.597423 58.378 -171.7638
1.608999 58.552 -172.3313
1.620658 58.724 -172.8973
1.632402 58.896 -173.4621
1.644232 59.066 -174.0261
1.656146 59.235 -174.5898
1.668147 59.404 -175.1538
1.680235 59.572 -175.7184
1.692411 59.739 -176.2843
1.704675 59.905 -176.8518
1.717028 60.071 -177.4216
1.729470 60.236 -177.9941
1.742003 60.401 -178.5699
1.754626 60.565 -179.1495
1.767341 60.730 -179.7334
1.780147 60.894 179.6779
1.793047 61.057 179.0840
1.806040 61.221 178.4846
1.819128 61.384 177.8796
1.832310 61.547 177.2690
1.845587 61.709 176.6532
1.858961 61.870 176.0327
1.872432 62.030 175.4082
1.886001 62.189 174.7804
1.899667 62.347 174.1499
1.913433 62.503 173.5173
1.927299 62.658 172.8831
1.941265 62.812 172.2478
1.955332 62.965 171.6118
1.969501 63.116 170.9755
1.983773 63.266 170.3390
1.998148 63.415 169.7026
2.012627 63.564 169.0666
2.027212 63.711 168.4308
2.041902 63.857 167.7956
2.056698 64.002 167.1606
2.071602 64.147 166.5261
2.086614 64.290 165.8918
2.101734 64.433 165.2574
2.116964 64.576 164.6229
2.132304 64.718 163.9877
2.147756 64.859 163.3514
2.163320 64.999 162.7135
2.178996 65.139 162.0732
2.194786 65.279 161.4296
2.210690 65.417 160.7821
2.226710 65.554 160.1301
2.242845 65.690 159.4732
2.259098 65.825 158.8117
2.275468 65.959 158.1461
2.291957 66.091 157.4768
2.308566 66.222 156.8047
2.325295 66.351 156.1304
2.342145 66.480 155.4548
2.359117 66.607 154.7784
2.376212 66.733 154.1019
2.393431 66.857 153.4260
2.410775 66.981 152.7512
2.428244 67.104 152.0778
2.445840 67.225 151.4064
2.463564 67.346 150.7371
2.481416 67.466 150.0701
2.499397 67.585 149.4052
2.517509 67.703 148.7421
2.535752 67.820 148.0801
2.554127 67.936 147.4182
2.572635 68.052 146.7550
2.591277 68.165 146.0891
2.610055 68.278 145.4197
2.628968 68.389 144.7463
2.648019 68.499 144.0692
2.667208 68.607 143.3887
2.686535 68.714 142.7057
2.706003 68.820 142.0212
2.725612 68.924 141.3362
2.745363 69.027 140.6518
2.765257 69.128 139.9690
2.785295 69.229 139.2888
2.805478 69.328 138.6120
2.825808 69.426 137.9396
2.846285 69.523 137.2720
2.866910 69.619 136.6097
2.887685 69.714 135.9525
2.908611 69.809 135.2997
2.929688 69.901 134.6504
2.950917 69.993 134.0028
2.972301 70.083 133.3558
2.993839 70.172 132.7083
3.015534 70.259 132.0599
3.037386 70.345 131.4110
3.059396 70.430 130.7622
3.081565 70.513 130.1143
3.103896 70.594 129.4684
3.126388 70.675 128.8258
3.149043 70.754 128.1876
3.171862 70.832 127.5550
3.194847 70.910 126.9291
3.217998 70.986 126.3107
3.241317 71.062 125.7005
3.264805 71.136 125.0985
3.288463 71.210 124.5043
3.312293 71.283 123.9170
3.336295 71.354 123.3354
3.360471 71.425 122.7585
3.384822 71.494 122.1858
3.409350 71.561 121.6171
3.434056 71.628 121.0526
3.458940 71.694 120.4930
3.484005 71.758 119.9389
3.509252 71.822 119.3911
3.534681 71.886 118.8506
3.560295 71.948 118.3184
3.586094 72.011 117.7950
3.612081 72.073 117.2813
3.638255 72.135 116.7776
3.664620 72.196 116.2839
3.691175 72.258 115.8000
3.717923 72.318 115.3251
3.744864 72.378 114.8589
3.772001 72.438 114.4008
3.799335 72.497 113.9503
3.826866 72.556 113.5072
3.854597 72.614 113.0714
3.882529 72.673 112.6428
3.910664 72.732 112.2214
3.939002 72.791 111.8073
3.967546 72.851 111.4009
3.996296 72.912 111.0024
4.025255 72.973 110.6123
4.054423 73.035 110.2307
4.083804 73.097 109.8578
4.113396 73.160 109.4932
4.143204 73.223 109.1363
4.173227 73.287 108.7861
4.203468 73.352 108.4416
4.233928 73.417 108.1015
4.264609 73.484 107.7648
4.295512 73.551 107.4305
4.326639 73.619 107.0979
4.357992 73.689 106.7667
4.389572 73.759 106.4369
4.421380 73.831 106.1088
4.453419 73.905 105.7828
4.485691 73.979 105.4588
4.518196 74.055 105.1361
4.550936 74.132 104.8137
4.583914 74.209 104.4902
4.617131 74.288 104.1642
4.650589 74.368 103.8341
4.684289 74.448 103.4987
4.718233 74.530 103.1571
4.752424 74.612 102.8089
4.786862 74.695 102.4542
4.821549 74.779 102.0931
4.856488 74.864 101.7260
4.891680 74.950 101.3527
4.927127 75.036 100.9727
4.962831 75.123 100.5853
4.998794 75.210 100.1897
5.035017 75.297 99.7849
5.071503 75.384 99.3702
5.108253 75.471 98.9450
5.145270 75.557 98.5089
5.182555 75.644 98.0622
5.220110 75.730 97.6050
5.257937 75.816 97.1379
5.296038 75.901 96.6613
5.334415 75.986 96.1757
5.373071 76.069 95.6812
5.412006 76.152 95.1780
5.451224 76.234 94.6660
5.490725 76.314 94.1448
5.530514 76.393 93.6143
5.570590 76.470 93.0746
5.610957 76.546 92.5262
5.651616 76.621 91.9699
5.692570 76.694 91.4070
5.733821 76.765 90.8385
5.775370 76.835 90.2656
5.817221 76.903 89.6888
5.859375 76.968 89.1083
5.901834 77.032 88.5239
5.944602 77.094 87.9357
5.987679 77.153 87.3441
6.031068 77.211 86.7502
6.074771 77.267 86.1554
6.118792 77.321 85.5610
6.163131 77.372 84.9683
6.207792 77.422 84.3782
6.252776 77.470 83.7907
6.298086 77.515 83.2061
6.343725 77.559 82.6243
6.389694 77.601 82.0460
6.435996 77.641 81.4720
6.482634 77.680 80.9033
6.529610 77.717 80.3412
6.576926 77.752 79.7863
6.624585 77.786 79.2389
