* Measurement data measured by REW V5.31.3
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 01 11, 25 3:44:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Softears Volume S low L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 55.518 -58.4223
0.368865 55.531 -58.5510
0.371538 55.549 -58.7430
0.374230 55.572 -58.9827
0.376942 55.598 -59.2566
0.379673 55.626 -59.5550
0.382424 55.654 -59.8712
0.385196 55.684 -60.2014
0.387987 55.714 -60.5432
0.390798 55.744 -60.8953
0.393630 55.775 -61.2571
0.396483 55.806 -61.6282
0.399356 55.837 -62.0086
0.402250 55.869 -62.3982
0.405165 55.900 -62.7970
0.408101 55.932 -63.2050
0.411058 55.964 -63.6223
0.414037 55.997 -64.0489
0.417037 56.029 -64.4849
0.420059 56.062 -64.9302
0.423103 56.095 -65.3849
0.426169 56.129 -65.8491
0.429257 56.162 -66.3227
0.432368 56.196 -66.8057
0.435501 56.230 -67.2981
0.438656 56.264 -67.8000
0.441835 56.299 -68.3112
0.445037 56.334 -68.8319
0.448262 56.369 -69.3619
0.451510 56.404 -69.9012
0.454782 56.439 -70.4498
0.458077 56.475 -71.0076
0.461397 56.511 -71.5745
0.464740 56.548 -72.1505
0.468108 56.584 -72.7355
0.471500 56.621 -73.3294
0.474917 56.658 -73.9320
0.478358 56.696 -74.5433
0.481825 56.733 -75.1631
0.485316 56.771 -75.7914
0.488833 56.810 -76.4279
0.492375 56.848 -77.0726
0.495943 56.887 -77.7252
0.499537 56.926 -78.3857
0.503157 56.965 -79.0538
0.506803 57.005 -79.7293
0.510475 57.045 -80.4121
0.514175 57.085 -81.1020
0.517900 57.125 -81.7987
0.521653 57.166 -82.5021
0.525434 57.207 -83.2119
0.529241 57.249 -83.9280
0.533076 57.290 -84.6500
0.536939 57.332 -85.3778
0.540830 57.375 -86.1112
0.544749 57.417 -86.8498
0.548696 57.460 -87.5935
0.552673 57.503 -88.3421
0.556677 57.547 -89.0952
0.560711 57.591 -89.8526
0.564774 57.635 -90.6141
0.568867 57.679 -91.3795
0.572989 57.724 -92.1485
0.577141 57.769 -92.9209
0.581324 57.815 -93.6965
0.585536 57.861 -94.4749
0.589779 57.907 -95.2561
0.594053 57.953 -96.0397
0.598358 58.000 -96.8256
0.602694 58.047 -97.6136
0.607061 58.094 -98.4034
0.611460 58.142 -99.1949
0.615891 58.190 -99.9879
0.620354 58.239 -100.7822
0.624849 58.288 -101.5776
0.629377 58.337 -102.3740
0.633938 58.387 -103.1713
0.638532 58.437 -103.9693
0.643159 58.487 -104.7679
0.647819 58.537 -105.5669
0.652514 58.589 -106.3663
0.657242 58.640 -107.1660
0.662005 58.692 -107.9659
0.666802 58.744 -108.7659
0.671634 58.796 -109.5659
0.676501 58.849 -110.3660
0.681403 58.903 -111.1661
0.686341 58.956 -111.9661
0.691314 59.011 -112.7660
0.696324 59.065 -113.5659
0.701370 59.121 -114.3657
0.706452 59.177 -115.1654
0.711571 59.234 -115.9649
0.716728 59.293 -116.7642
0.721921 59.354 -117.5631
0.727153 59.419 -118.3613
0.732422 59.487 -119.1582
0.737729 59.560 -119.9534
0.743075 59.637 -120.7460
0.748460 59.719 -121.5355
0.753883 59.803 -122.3211
0.759346 59.891 -123.1022
0.764849 59.981 -123.8785
0.770391 60.074 -124.6495
0.775974 60.168 -125.4149
0.781597 60.265 -126.1742
0.787261 60.364 -126.9274
0.792966 60.465 -127.6741
0.798712 60.568 -128.4142
0.804500 60.673 -129.1475
0.810329 60.780 -129.8738
0.816201 60.889 -130.5931
0.822116 60.999 -131.3053
0.828073 61.112 -132.0103
0.834074 61.227 -132.7081
0.840118 61.343 -133.3987
0.846206 61.461 -134.0822
0.852338 61.581 -134.7586
0.858514 61.703 -135.4279
0.864735 61.826 -136.0903
0.871001 61.951 -136.7457
0.877313 62.077 -137.3945
0.883670 62.205 -138.0367
0.890074 62.335 -138.6724
0.896524 62.466 -139.3018
0.903020 62.598 -139.9252
0.909564 62.731 -140.5426
0.916155 62.866 -141.1543
0.922794 63.002 -141.7605
0.929481 63.139 -142.3615
0.936216 63.277 -142.9574
0.943000 63.416 -143.5485
0.949834 63.556 -144.1350
0.956717 63.697 -144.7173
0.963649 63.838 -145.2954
0.970632 63.980 -145.8699
0.977666 64.123 -146.4407
0.984750 64.265 -147.0084
0.991886 64.409 -147.5731
0.999074 64.552 -148.1351
1.006314 64.695 -148.6947
1.013606 64.839 -149.2522
1.020951 64.982 -149.8078
1.028349 65.124 -150.3620
1.035801 65.267 -150.9149
1.043307 65.409 -151.4668
1.050867 65.550 -152.0180
1.058482 65.690 -152.5688
1.066152 65.830 -153.1194
1.073878 65.968 -153.6699
1.081660 66.105 -154.2203
1.089498 66.242 -154.7706
1.097393 66.378 -155.3205
1.105345 66.513 -155.8695
1.113355 66.647 -156.4172
1.121423 66.781 -156.9631
1.129549 66.916 -157.5068
1.137734 67.050 -158.0480
1.145979 67.184 -158.5867
1.154283 67.318 -159.1226
1.162647 67.453 -159.6556
1.171072 67.587 -160.1859
1.179558 67.722 -160.7132
1.188106 67.856 -161.2377
1.196715 67.991 -161.7594
1.205387 68.126 -162.2783
1.214122 68.261 -162.7944
1.222920 68.396 -163.3078
1.231782 68.531 -163.8186
1.240708 68.666 -164.3267
1.249699 68.802 -164.8323
1.258754 68.937 -165.3355
1.267876 69.072 -165.8363
1.277063 69.208 -166.3348
1.286318 69.343 -166.8312
1.295639 69.479 -167.3255
1.305027 69.615 -167.8179
1.314484 69.750 -168.3084
1.324009 69.886 -168.7972
1.333604 70.022 -169.2843
1.343268 70.158 -169.7701
1.353002 70.294 -170.2545
1.362806 70.430 -170.7377
1.372681 70.566 -171.2199
1.382628 70.702 -171.7011
1.392647 70.838 -172.1816
1.402739 70.974 -172.6615
1.412904 71.111 -173.1408
1.423142 71.247 -173.6197
1.433455 71.383 -174.0982
1.443843 71.520 -174.5762
1.454305 71.656 -175.0537
1.464844 71.792 -175.5303
1.475459 71.928 -176.0057
1.486150 72.063 -176.4795
1.496920 72.199 -176.9515
1.507767 72.334 -177.4215
1.518693 72.468 -177.8895
1.529698 72.603 -178.3555
1.540783 72.736 -178.8196
1.551948 72.870 -179.2820
1.563194 73.003 -179.7430
1.574521 73.136 179.7975
1.585931 73.268 179.3390
1.597423 73.400 178.8813
1.608999 73.532 178.4243
1.620658 73.664 177.9678
1.632402 73.795 177.5113
1.644232 73.926 177.0547
1.656146 74.056 176.5977
1.668147 74.187 176.1401
1.680235 74.317 175.6816
1.692411 74.447 175.2219
1.704675 74.577 174.7606
1.717028 74.707 174.2976
1.729470 74.837 173.8325
1.742003 74.966 173.3651
1.754626 75.096 172.8950
1.767341 75.225 172.4219
1.780147 75.355 171.9457
1.793047 75.484 171.4661
1.806040 75.614 170.9830
1.819128 75.743 170.4963
1.832310 75.872 170.0062
1.845587 76.001 169.5128
1.858961 76.129 169.0165
1.872432 76.257 168.5176
1.886001 76.385 168.0164
1.899667 76.512 167.5134
1.913433 76.639 167.0086
1.927299 76.765 166.5024
1.941265 76.890 165.9949
1.955332 77.015 165.4863
1.969501 77.140 164.9768
1.983773 77.264 164.4664
1.998148 77.387 163.9552
2.012627 77.511 163.4434
2.027212 77.633 162.9309
2.041902 77.756 162.4178
2.056698 77.878 161.9040
2.071602 77.999 161.3896
2.086614 78.121 160.8744
2.101734 78.242 160.3585
2.116964 78.363 159.8416
2.132304 78.483 159.3236
2.147756 78.604 158.8044
2.163320 78.724 158.2836
2.178996 78.844 157.7610
2.194786 78.963 157.2362
2.210690 79.082 156.7090
2.226710 79.201 156.1791
2.242845 79.318 155.6464
2.259098 79.436 155.1110
2.275468 79.552 154.5731
2.291957 79.668 154.0330
2.308566 79.784 153.4908
2.325295 79.898 152.9470
2.342145 80.012 152.4018
2.359117 80.126 151.8555
2.376212 80.238 151.3083
2.393431 80.351 150.7606
2.410775 80.462 150.2125
2.428244 80.574 149.6641
2.445840 80.684 149.1157
2.463564 80.794 148.5672
2.481416 80.904 148.0187
2.499397 81.014 147.4702
2.517509 81.122 146.9215
2.535752 81.231 146.3722
2.554127 81.339 145.8218
2.572635 81.446 145.2699
2.591277 81.553 144.7158
2.610055 81.659 144.1592
2.628968 81.764 143.5999
2.648019 81.868 143.0380
2.667208 81.972 142.4737
2.686535 82.075 141.9075
2.706003 82.177 141.3396
2.725612 82.278 140.7706
2.745363 82.379 140.2009
2.765257 82.479 139.6309
2.785295 82.578 139.0611
2.805478 82.676 138.4917
2.825808 82.774 137.9232
2.846285 82.872 137.3556
2.866910 82.969 136.7891
2.887685 83.065 136.2235
2.908611 83.161 135.6585
2.929688 83.256 135.0934
2.950917 83.350 134.5277
2.972301 83.444 133.9607
2.993839 83.537 133.3919
3.015534 83.628 132.8213
3.037386 83.719 132.2490
3.059396 83.810 131.6754
3.081565 83.899 131.1010
3.103896 83.987 130.5263
3.126388 84.075 129.9519
3.149043 84.162 129.3784
3.171862 84.249 128.8062
3.194847 84.334 128.2358
3.217998 84.420 127.6677
3.241317 84.504 127.1019
3.264805 84.588 126.5383
3.288463 84.672 125.9768
3.312293 84.755 125.4166
3.336295 84.837 124.8571
3.360471 84.918 124.2978
3.384822 84.998 123.7385
3.409350 85.078 123.1791
3.434056 85.157 122.6199
3.458940 85.235 122.0612
3.484005 85.312 121.5035
3.509252 85.389 120.9471
3.534681 85.465 120.3926
3.560295 85.540 119.8403
3.586094 85.615 119.2907
3.612081 85.690 118.7438
3.638255 85.764 118.1997
3.664620 85.838 117.6581
3.691175 85.911 117.1186
3.717923 85.983 116.5808
3.744864 86.055 116.0443
3.772001 86.126 115.5089
3.799335 86.196 114.9747
3.826866 86.266 114.4419
3.854597 86.336 113.9106
3.882529 86.405 113.3812
3.910664 86.473 112.8539
3.939002 86.541 112.3289
3.967546 86.609 111.8065
3.996296 86.677 111.2867
4.025255 86.744 110.7695
4.054423 86.811 110.2547
4.083804 86.877 109.7421
4.113396 86.943 109.2313
4.143204 87.009 108.7222
4.173227 87.074 108.2147
4.203468 87.139 107.7086
4.233928 87.204 107.2040
4.264609 87.268 106.7007
4.295512 87.333 106.1989
4.326639 87.396 105.6985
4.357992 87.460 105.1994
4.389572 87.524 104.7016
4.421380 87.587 104.2051
4.453419 87.650 103.7096
4.485691 87.713 103.2151
4.518196 87.776 102.7214
4.550936 87.838 102.2284
4.583914 87.901 101.7358
4.617131 87.962 101.2437
4.650589 88.024 100.7519
4.684289 88.086 100.2602
4.718233 88.147 99.7685
4.752424 88.208 99.2766
4.786862 88.269 98.7845
4.821549 88.329 98.2921
4.856488 88.390 97.7992
4.891680 88.450 97.3059
4.927127 88.510 96.8121
4.962831 88.569 96.3178
4.998794 88.628 95.8230
5.035017 88.687 95.3275
5.071503 88.745 94.8314
5.108253 88.803 94.3344
5.145270 88.860 93.8364
5.182555 88.917 93.3372
5.220110 88.974 92.8368
5.257937 89.030 92.3353
5.296038 89.085 91.8329
5.334415 89.140 91.3298
5.373071 89.195 90.8263
5.412006 89.249 90.3224
5.451224 89.302 89.8183
5.490725 89.354 89.3138
5.530514 89.406 88.8089
5.570590 89.457 88.3034
5.610957 89.507 87.7975
5.651616 89.557 87.2913
5.692570 89.606 86.7854
5.733821 89.654 86.2802
5.775370 89.702 85.7759
5.817221 89.748 85.2731
5.859375 89.794 84.7716
5.901834 89.839 84.2716
5.944602 89.884 83.7729
5.987679 89.927 83.2757
6.031068 89.970 82.7802
6.074771 90.012 82.2868
6.118792 90.054 81.7961
6.163131 90.094 81.3083
6.207792 90.134 80.8239
6.252776 90.174 80.3429
6.298086 90.212 79.8652
6.343725 90.250 79.3910
6.389694 90.288 78.9202
6.435996 90.325 78.4530
6.482634 90.362 77.9897
6.529610 90.398 77.5304
6.576926 90.434 77.0754
6.624585 90.469 76.6246
6.672590 90.505 76.1782
6.720942 90.540 75.7358
