* Measurement data measured by REW V5.31.3
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 12 31, 24 1:02:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony LB 1K MAX L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 36.349 -37.9186
0.368865 36.351 -38.0004
0.371538 36.354 -38.1225
0.374230 36.358 -38.2751
0.376942 36.362 -38.4497
0.379673 36.367 -38.6400
0.382424 36.372 -38.8421
0.385196 36.377 -39.0534
0.387987 36.382 -39.2725
0.390798 36.387 -39.4987
0.393630 36.392 -39.7315
0.396483 36.397 -39.9708
0.399356 36.402 -40.2166
0.402250 36.407 -40.4690
0.405165 36.412 -40.7280
0.408101 36.418 -40.9936
0.411058 36.423 -41.2660
0.414037 36.428 -41.5453
0.417037 36.434 -41.8316
0.420059 36.439 -42.1250
0.423103 36.445 -42.4255
0.426169 36.450 -42.7333
0.429257 36.456 -43.0485
0.432368 36.461 -43.3712
0.435501 36.467 -43.7015
0.438656 36.472 -44.0395
0.441835 36.478 -44.3852
0.445037 36.484 -44.7389
0.448262 36.490 -45.1006
0.451510 36.496 -45.4703
0.454782 36.501 -45.8483
0.458077 36.507 -46.2345
0.461397 36.513 -46.6292
0.464740 36.519 -47.0324
0.468108 36.525 -47.4441
0.471500 36.531 -47.8645
0.474917 36.538 -48.2937
0.478358 36.544 -48.7318
0.481825 36.550 -49.1788
0.485316 36.556 -49.6349
0.488833 36.563 -50.1001
0.492375 36.569 -50.5745
0.495943 36.575 -51.0581
0.499537 36.582 -51.5512
0.503157 36.588 -52.0536
0.506803 36.595 -52.5655
0.510475 36.601 -53.0870
0.514175 36.608 -53.6181
0.517900 36.615 -54.1588
0.521653 36.622 -54.7093
0.525434 36.628 -55.2695
0.529241 36.635 -55.8395
0.533076 36.642 -56.4193
0.536939 36.649 -57.0089
0.540830 36.656 -57.6084
0.544749 36.663 -58.2178
0.548696 36.670 -58.8370
0.552673 36.677 -59.4661
0.556677 36.684 -60.1051
0.560711 36.692 -60.7540
0.564774 36.699 -61.4126
0.568867 36.706 -62.0811
0.572989 36.714 -62.7593
0.577141 36.721 -63.4472
0.581324 36.729 -64.1447
0.585536 36.736 -64.8518
0.589779 36.744 -65.5684
0.594053 36.752 -66.2944
0.598358 36.759 -67.0297
0.602694 36.767 -67.7743
0.607061 36.775 -68.5279
0.611460 36.783 -69.2905
0.615891 36.791 -70.0620
0.620354 36.799 -70.8422
0.624849 36.807 -71.6309
0.629377 36.815 -72.4281
0.633938 36.823 -73.2335
0.638532 36.831 -74.0470
0.643159 36.840 -74.8683
0.647819 36.848 -75.6974
0.652514 36.857 -76.5340
0.657242 36.865 -77.3779
0.662005 36.874 -78.2290
0.666802 36.882 -79.0869
0.671634 36.891 -79.9516
0.676501 36.900 -80.8227
0.681403 36.909 -81.7001
0.686341 36.918 -82.5835
0.691314 36.927 -83.4728
0.696324 36.936 -84.3676
0.701370 36.946 -85.2678
0.706452 36.957 -86.1731
0.711571 36.969 -87.0834
0.716728 36.983 -87.9984
0.721921 37.001 -88.9179
0.727153 37.023 -89.8417
0.732422 37.052 -90.7695
0.737729 37.089 -91.7010
0.743075 37.133 -92.6358
0.748460 37.182 -93.5734
0.753883 37.238 -94.5131
0.759346 37.297 -95.4544
0.764849 37.360 -96.3966
0.770391 37.426 -97.3391
0.775974 37.495 -98.2811
0.781597 37.567 -99.2220
0.787261 37.642 -100.1613
0.792966 37.720 -101.0983
0.798712 37.800 -102.0323
0.804500 37.883 -102.9629
0.810329 37.968 -103.8895
0.816201 38.056 -104.8116
0.822116 38.146 -105.7286
0.828073 38.239 -106.6402
0.834074 38.335 -107.5460
0.840118 38.432 -108.4454
0.846206 38.533 -109.3382
0.852338 38.635 -110.2240
0.858514 38.740 -111.1026
0.864735 38.847 -111.9736
0.871001 38.957 -112.8368
0.877313 39.068 -113.6921
0.883670 39.182 -114.5392
0.890074 39.297 -115.3780
0.896524 39.415 -116.2084
0.903020 39.534 -117.0303
0.909564 39.656 -117.8437
0.916155 39.779 -118.6485
0.922794 39.904 -119.4446
0.929481 40.030 -120.2322
0.936216 40.158 -121.0112
0.943000 40.287 -121.7817
0.949834 40.418 -122.5438
0.956717 40.549 -123.2975
0.963649 40.682 -124.0431
0.970632 40.816 -124.7805
0.977666 40.951 -125.5100
0.984750 41.086 -126.2317
0.991886 41.223 -126.9457
0.999074 41.359 -127.6523
1.006314 41.496 -128.3516
1.013606 41.633 -129.0439
1.020951 41.771 -129.7293
1.028349 41.908 -130.4081
1.035801 42.045 -131.0805
1.043307 42.181 -131.7467
1.050867 42.317 -132.4069
1.058482 42.452 -133.0613
1.066152 42.587 -133.7101
1.073878 42.720 -134.3535
1.081660 42.853 -134.9915
1.089498 42.985 -135.6240
1.097393 43.116 -136.2510
1.105345 43.248 -136.8722
1.113355 43.379 -137.4873
1.121423 43.511 -138.0961
1.129549 43.644 -138.6985
1.137734 43.777 -139.2942
1.145979 43.912 -139.8834
1.154283 44.047 -140.4660
1.162647 44.183 -141.0421
1.171072 44.321 -141.6118
1.179558 44.459 -142.1752
1.188106 44.598 -142.7323
1.196715 44.738 -143.2834
1.205387 44.879 -143.8286
1.214122 45.021 -144.3678
1.222920 45.164 -144.9013
1.231782 45.307 -145.4292
1.240708 45.451 -145.9516
1.249699 45.596 -146.4687
1.258754 45.742 -146.9805
1.267876 45.888 -147.4872
1.277063 46.034 -147.9890
1.286318 46.182 -148.4859
1.295639 46.329 -148.9781
1.305027 46.477 -149.4657
1.314484 46.626 -149.9489
1.324009 46.775 -150.4278
1.333604 46.924 -150.9025
1.343268 47.073 -151.3731
1.353002 47.223 -151.8399
1.362806 47.372 -152.3028
1.372681 47.522 -152.7621
1.382628 47.671 -153.2178
1.392647 47.821 -153.6701
1.402739 47.970 -154.1190
1.412904 48.119 -154.5647
1.423142 48.268 -155.0072
1.433455 48.416 -155.4465
1.443843 48.564 -155.8824
1.454305 48.712 -156.3148
1.464844 48.859 -156.7434
1.475459 49.006 -157.1678
1.486150 49.152 -157.5877
1.496920 49.298 -158.0029
1.507767 49.444 -158.4134
1.518693 49.589 -158.8193
1.529698 49.734 -159.2207
1.540783 49.879 -159.6179
1.551948 50.024 -160.0111
1.563194 50.168 -160.4008
1.574521 50.312 -160.7871
1.585931 50.456 -161.1705
1.597423 50.600 -161.5512
1.608999 50.743 -161.9295
1.620658 50.887 -162.3057
1.632402 51.030 -162.6801
1.644232 51.173 -163.0531
1.656146 51.316 -163.4249
1.668147 51.459 -163.7957
1.680235 51.602 -164.1660
1.692411 51.745 -164.5358
1.704675 51.887 -164.9056
1.717028 52.030 -165.2755
1.729470 52.173 -165.6458
1.742003 52.316 -166.0168
1.754626 52.459 -166.3886
1.767341 52.602 -166.7614
1.780147 52.745 -167.1353
1.793047 52.889 -167.5105
1.806040 53.032 -167.8867
1.819128 53.176 -168.2638
1.832310 53.319 -168.6414
1.845587 53.463 -169.0190
1.858961 53.606 -169.3962
1.872432 53.749 -169.7726
1.886001 53.892 -170.1478
1.899667 54.034 -170.5219
1.913433 54.176 -170.8948
1.927299 54.317 -171.2666
1.941265 54.458 -171.6373
1.955332 54.599 -172.0072
1.969501 54.740 -172.3762
1.983773 54.880 -172.7446
1.998148 55.021 -173.1126
2.012627 55.160 -173.4802
2.027212 55.300 -173.8477
2.041902 55.440 -174.2152
2.056698 55.579 -174.5828
2.071602 55.719 -174.9508
2.086614 55.858 -175.3193
2.101734 55.998 -175.6885
2.116964 56.137 -176.0584
2.132304 56.277 -176.4293
2.147756 56.416 -176.8011
2.163320 56.556 -177.1739
2.178996 56.695 -177.5475
2.194786 56.835 -177.9218
2.210690 56.974 -178.2964
2.226710 57.114 -178.6710
2.242845 57.253 -179.0454
2.259098 57.392 -179.4194
2.275468 57.530 -179.7931
2.291957 57.668 179.8336
2.308566 57.806 179.4606
2.325295 57.943 179.0877
2.342145 58.080 178.7148
2.359117 58.217 178.3417
2.376212 58.354 177.9681
2.393431 58.491 177.5940
2.410775 58.627 177.2192
2.428244 58.763 176.8433
2.445840 58.899 176.4664
2.463564 59.035 176.0881
2.481416 59.171 175.7083
2.499397 59.307 175.3270
2.517509 59.443 174.9440
2.535752 59.579 174.5594
2.554127 59.714 174.1733
2.572635 59.850 173.7859
2.591277 59.985 173.3975
2.610055 60.121 173.0084
2.628968 60.255 172.6187
2.648019 60.390 172.2285
2.667208 60.524 171.8376
2.686535 60.658 171.4462
2.706003 60.792 171.0539
2.725612 60.925 170.6607
2.745363 61.058 170.2664
2.765257 61.191 169.8707
2.785295 61.324 169.4736
2.805478 61.456 169.0747
2.825808 61.588 168.6739
2.846285 61.720 168.2711
2.866910 61.852 167.8660
2.887685 61.984 167.4586
2.908611 62.116 167.0490
2.929688 62.247 166.6371
2.950917 62.378 166.2231
2.972301 62.509 165.8074
2.993839 62.640 165.3899
3.015534 62.770 164.9709
3.037386 62.900 164.5503
3.059396 63.029 164.1282
3.081565 63.158 163.7046
3.103896 63.287 163.2793
3.126388 63.416 162.8523
3.149043 63.544 162.4234
3.171862 63.671 161.9926
3.194847 63.799 161.5597
3.217998 63.926 161.1245
3.241317 64.053 160.6870
3.264805 64.180 160.2470
3.288463 64.306 159.8045
3.312293 64.432 159.3595
3.336295 64.557 158.9120
3.360471 64.682 158.4622
3.384822 64.807 158.0102
3.409350 64.931 157.5561
3.434056 65.054 157.0999
3.458940 65.178 156.6417
3.484005 65.300 156.1816
3.509252 65.422 155.7196
3.534681 65.544 155.2557
3.560295 65.665 154.7897
3.586094 65.786 154.3216
3.612081 65.906 153.8513
3.638255 66.026 153.3786
3.664620 66.145 152.9033
3.691175 66.263 152.4253
3.717923 66.381 151.9445
3.744864 66.498 151.4610
3.772001 66.615 150.9750
3.799335 66.731 150.4867
3.826866 66.846 149.9964
3.854597 66.961 149.5044
3.882529 67.075 149.0109
3.910664 67.188 148.5161
3.939002 67.300 148.0203
3.967546 67.412 147.5232
3.996296 67.523 147.0249
4.025255 67.634 146.5250
4.054423 67.743 146.0233
4.083804 67.852 145.5197
4.113396 67.960 145.0139
4.143204 68.067 144.5062
4.173227 68.173 143.9970
4.203468 68.279 143.4867
4.233928 68.383 142.9758
4.264609 68.487 142.4647
4.295512 68.590 141.9538
4.326639 68.692 141.4432
4.357992 68.793 140.9330
4.389572 68.893 140.4231
4.421380 68.992 139.9130
4.453419 69.091 139.4024
4.485691 69.188 138.8912
4.518196 69.284 138.3798
4.550936 69.380 137.8684
4.583914 69.474 137.3576
4.617131 69.568 136.8481
4.650589 69.661 136.3404
4.684289 69.752 135.8350
4.718233 69.843 135.3321
4.752424 69.933 134.8316
4.786862 70.022 134.3334
4.821549 70.110 133.8370
4.856488 70.198 133.3425
4.891680 70.284 132.8498
4.927127 70.369 132.3594
4.962831 70.454 131.8718
4.998794 70.537 131.3876
5.035017 70.620 130.9072
5.071503 70.703 130.4311
5.108253 70.784 129.9594
5.145270 70.865 129.4921
5.182555 70.945 129.0290
5.220110 71.024 128.5699
5.257937 71.103 128.1149
5.296038 71.181 127.6639
5.334415 71.259 127.2173
5.373071 71.336 126.7754
5.412006 71.412 126.3384
5.451224 71.488 125.9068
5.490725 71.564 125.4805
5.530514 71.640 125.0595
5.570590 71.715 124.6438
5.610957 71.790 124.2330
5.651616 71.865 123.8271
5.692570 71.939 123.4258
5.733821 72.014 123.0291
5.775370 72.088 122.6370
5.817221 72.163 122.2494
5.859375 72.238 121.8664
5.901834 72.312 121.4879
5.944602 72.387 121.1136
5.987679 72.462 120.7435
6.031068 72.537 120.3770
6.074771 72.613 120.0136
6.118792 72.688 119.6530
6.163131 72.764 119.2948
6.207792 72.841 118.9387
6.252776 72.918 118.5845
6.298086 72.995 118.2322
6.343725 73.072 117.8815
6.389694 73.150 117.5318
6.435996 73.228 117.1828
6.482634 73.307 116.8338
6.529610 73.386 116.4843
