* Measurement data measured by REW V5.31.3
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 12 31, 24 1:04:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony LB 6.3K MIN L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 39.035 -71.6984
0.368865 39.049 -71.7913
0.371538 39.069 -71.9298
0.374230 39.094 -72.1025
0.376942 39.122 -72.2995
0.379673 39.152 -72.5138
0.382424 39.184 -72.7406
0.385196 39.216 -72.9769
0.387987 39.249 -73.2212
0.390798 39.282 -73.4724
0.393630 39.316 -73.7300
0.396483 39.350 -73.9937
0.399356 39.384 -74.2635
0.402250 39.419 -74.5393
0.405165 39.453 -74.8209
0.408101 39.488 -75.1085
0.411058 39.523 -75.4019
0.414037 39.559 -75.7011
0.417037 39.595 -76.0062
0.420059 39.631 -76.3171
0.423103 39.667 -76.6338
0.426169 39.703 -76.9562
0.429257 39.740 -77.2844
0.432368 39.777 -77.6182
0.435501 39.814 -77.9576
0.438656 39.852 -78.3027
0.441835 39.890 -78.6532
0.445037 39.928 -79.0092
0.448262 39.966 -79.3707
0.451510 40.005 -79.7375
0.454782 40.044 -80.1096
0.458077 40.083 -80.4869
0.461397 40.122 -80.8694
0.464740 40.162 -81.2569
0.468108 40.202 -81.6494
0.471500 40.243 -82.0467
0.474917 40.283 -82.4489
0.478358 40.324 -82.8558
0.481825 40.366 -83.2672
0.485316 40.407 -83.6832
0.488833 40.449 -84.1035
0.492375 40.491 -84.5282
0.495943 40.534 -84.9570
0.499537 40.576 -85.3899
0.503157 40.619 -85.8267
0.506803 40.663 -86.2673
0.510475 40.707 -86.7116
0.514175 40.751 -87.1596
0.517900 40.795 -87.6109
0.521653 40.840 -88.0656
0.525434 40.885 -88.5235
0.529241 40.930 -88.9844
0.533076 40.976 -89.4483
0.536939 41.021 -89.9149
0.540830 41.068 -90.3842
0.544749 41.114 -90.8561
0.548696 41.161 -91.3304
0.552673 41.209 -91.8069
0.556677 41.256 -92.2856
0.560711 41.304 -92.7663
0.564774 41.353 -93.2488
0.568867 41.402 -93.7331
0.572989 41.451 -94.2191
0.577141 41.500 -94.7065
0.581324 41.550 -95.1954
0.585536 41.600 -95.6854
0.589779 41.650 -96.1767
0.594053 41.701 -96.6689
0.598358 41.753 -97.1621
0.602694 41.804 -97.6561
0.607061 41.856 -98.1509
0.611460 41.908 -98.6462
0.615891 41.961 -99.1421
0.620354 42.014 -99.6384
0.624849 42.068 -100.1350
0.629377 42.122 -100.6320
0.633938 42.176 -101.1291
0.638532 42.231 -101.6263
0.643159 42.286 -102.1236
0.647819 42.341 -102.6209
0.652514 42.397 -103.1182
0.657242 42.453 -103.6153
0.662005 42.510 -104.1124
0.666802 42.567 -104.6092
0.671634 42.625 -105.1058
0.676501 42.683 -105.6022
0.681403 42.741 -106.0984
0.686341 42.800 -106.5943
0.691314 42.859 -107.0900
0.696324 42.919 -107.5855
0.701370 42.979 -108.0807
0.706452 43.039 -108.5759
0.711571 43.100 -109.0709
0.716728 43.161 -109.5660
0.721921 43.223 -110.0614
0.727153 43.285 -110.5572
0.732422 43.348 -111.0537
0.737729 43.411 -111.5513
0.743075 43.474 -112.0503
0.748460 43.538 -112.5507
0.753883 43.602 -113.0526
0.759346 43.667 -113.5560
0.764849 43.732 -114.0609
0.770391 43.798 -114.5670
0.775974 43.864 -115.0743
0.781597 43.931 -115.5825
0.787261 43.998 -116.0914
0.792966 44.066 -116.6010
0.798712 44.134 -117.1110
0.804500 44.203 -117.6212
0.810329 44.273 -118.1316
0.816201 44.343 -118.6418
0.822116 44.413 -119.1518
0.828073 44.484 -119.6614
0.834074 44.556 -120.1704
0.840118 44.628 -120.6787
0.846206 44.701 -121.1862
0.852338 44.774 -121.6926
0.858514 44.847 -122.1979
0.864735 44.921 -122.7019
0.871001 44.996 -123.2046
0.877313 45.071 -123.7057
0.883670 45.146 -124.2052
0.890074 45.223 -124.7029
0.896524 45.299 -125.1988
0.903020 45.376 -125.6927
0.909564 45.453 -126.1847
0.916155 45.531 -126.6744
0.922794 45.610 -127.1620
0.929481 45.688 -127.6473
0.936216 45.768 -128.1303
0.943000 45.847 -128.6108
0.949834 45.927 -129.0889
0.956717 46.008 -129.5645
0.963649 46.089 -130.0375
0.970632 46.170 -130.5079
0.977666 46.251 -130.9757
0.984750 46.333 -131.4408
0.991886 46.416 -131.9033
0.999074 46.498 -132.3630
1.006314 46.581 -132.8201
1.013606 46.664 -133.2744
1.020951 46.748 -133.7260
1.028349 46.832 -134.1749
1.035801 46.916 -134.6211
1.043307 47.000 -135.0647
1.050867 47.085 -135.5056
1.058482 47.169 -135.9440
1.066152 47.254 -136.3798
1.073878 47.339 -136.8133
1.081660 47.425 -137.2445
1.089498 47.510 -137.6736
1.097393 47.596 -138.1010
1.105345 47.682 -138.5269
1.113355 47.768 -138.9516
1.121423 47.854 -139.3754
1.129549 47.941 -139.7985
1.137734 48.027 -140.2209
1.145979 48.114 -140.6427
1.154283 48.202 -141.0639
1.162647 48.289 -141.4846
1.171072 48.377 -141.9047
1.179558 48.465 -142.3242
1.188106 48.553 -142.7429
1.196715 48.642 -143.1609
1.205387 48.731 -143.5781
1.214122 48.820 -143.9945
1.222920 48.909 -144.4099
1.231782 48.999 -144.8242
1.240708 49.089 -145.2374
1.249699 49.179 -145.6494
1.258754 49.270 -146.0601
1.267876 49.361 -146.4693
1.277063 49.452 -146.8770
1.286318 49.544 -147.2830
1.295639 49.636 -147.6873
1.305027 49.728 -148.0896
1.314484 49.821 -148.4899
1.324009 49.914 -148.8880
1.333604 50.007 -149.2838
1.343268 50.101 -149.6770
1.353002 50.196 -150.0677
1.362806 50.290 -150.4555
1.372681 50.385 -150.8404
1.382628 50.481 -151.2222
1.392647 50.577 -151.6006
1.402739 50.674 -151.9756
1.412904 50.771 -152.3469
1.423142 50.868 -152.7144
1.433455 50.966 -153.0777
1.443843 51.065 -153.4369
1.454305 51.164 -153.7915
1.464844 51.263 -154.1415
1.475459 51.363 -154.4866
1.486150 51.463 -154.8269
1.496920 51.564 -155.1624
1.507767 51.665 -155.4931
1.518693 51.766 -155.8194
1.529698 51.868 -156.1415
1.540783 51.970 -156.4597
1.551948 52.072 -156.7744
1.563194 52.174 -157.0859
1.574521 52.277 -157.3944
1.585931 52.380 -157.7004
1.597423 52.484 -158.0041
1.608999 52.588 -158.3059
1.620658 52.692 -158.6060
1.632402 52.797 -158.9048
1.644232 52.902 -159.2027
1.656146 53.008 -159.4998
1.668147 53.114 -159.7965
1.680235 53.221 -160.0930
1.692411 53.328 -160.3897
1.704675 53.436 -160.6867
1.717028 53.544 -160.9845
1.729470 53.653 -161.2831
1.742003 53.762 -161.5828
1.754626 53.872 -161.8839
1.767341 53.983 -162.1863
1.780147 54.094 -162.4903
1.793047 54.206 -162.7956
1.806040 54.319 -163.1020
1.819128 54.432 -163.4091
1.832310 54.546 -163.7161
1.845587 54.661 -164.0222
1.858961 54.776 -164.3267
1.872432 54.892 -164.6290
1.886001 55.008 -164.9291
1.899667 55.126 -165.2269
1.913433 55.243 -165.5226
1.927299 55.361 -165.8167
1.941265 55.480 -166.1094
1.955332 55.599 -166.4014
1.969501 55.719 -166.6929
1.983773 55.840 -166.9846
1.998148 55.961 -167.2770
2.012627 56.082 -167.5704
2.027212 56.204 -167.8654
2.041902 56.327 -168.1624
2.056698 56.450 -168.4619
2.071602 56.574 -168.7643
2.086614 56.698 -169.0701
2.101734 56.822 -169.3796
2.116964 56.947 -169.6932
2.132304 57.073 -170.0111
2.147756 57.199 -170.3333
2.163320 57.326 -170.6598
2.178996 57.453 -170.9901
2.194786 57.581 -171.3234
2.210690 57.709 -171.6590
2.226710 57.838 -171.9957
2.242845 57.967 -172.3330
2.259098 58.097 -172.6704
2.275468 58.227 -173.0080
2.291957 58.358 -173.3459
2.308566 58.490 -173.6844
2.325295 58.622 -174.0242
2.342145 58.754 -174.3656
2.359117 58.887 -174.7093
2.376212 59.020 -175.0558
2.393431 59.154 -175.4057
2.410775 59.287 -175.7596
2.428244 59.421 -176.1181
2.445840 59.556 -176.4818
2.463564 59.690 -176.8512
2.481416 59.825 -177.2267
2.499397 59.959 -177.6086
2.517509 60.094 -177.9973
2.535752 60.229 -178.3926
2.554127 60.364 -178.7942
2.572635 60.498 -179.2014
2.591277 60.633 -179.6136
2.610055 60.768 179.9701
2.628968 60.904 179.5501
2.648019 61.039 179.1269
2.667208 61.174 178.7004
2.686535 61.310 178.2708
2.706003 61.445 177.8378
2.725612 61.580 177.4013
2.745363 61.716 176.9609
2.765257 61.851 176.5164
2.785295 61.986 176.0674
2.805478 62.120 175.6136
2.825808 62.255 175.1544
2.846285 62.389 174.6897
2.866910 62.522 174.2190
2.887685 62.656 173.7420
2.908611 62.788 173.2585
2.929688 62.921 172.7684
2.950917 63.053 172.2718
2.972301 63.184 171.7690
2.993839 63.315 171.2605
3.015534 63.445 170.7466
3.037386 63.575 170.2278
3.059396 63.704 169.7047
3.081565 63.833 169.1776
3.103896 63.961 168.6470
3.126388 64.088 168.1132
3.149043 64.215 167.5763
3.171862 64.341 167.0367
3.194847 64.466 166.4944
3.217998 64.591 165.9493
3.241317 64.715 165.4013
3.264805 64.838 164.8501
3.288463 64.960 164.2950
3.312293 65.081 163.7358
3.336295 65.201 163.1719
3.360471 65.320 162.6033
3.384822 65.438 162.0302
3.409350 65.555 161.4531
3.434056 65.671 160.8727
3.458940 65.786 160.2898
3.484005 65.900 159.7053
3.509252 66.013 159.1198
3.534681 66.125 158.5343
3.560295 66.237 157.9491
3.586094 66.347 157.3646
3.612081 66.456 156.7809
3.638255 66.564 156.1977
3.664620 66.670 155.6143
3.691175 66.776 155.0299
3.717923 66.881 154.4440
3.744864 66.984 153.8563
3.772001 67.086 153.2671
3.799335 67.186 152.6769
3.826866 67.286 152.0868
3.854597 67.384 151.4977
3.882529 67.481 150.9108
3.910664 67.578 150.3270
3.939002 67.673 149.7472
3.967546 67.768 149.1719
3.996296 67.861 148.6014
4.025255 67.954 148.0353
4.054423 68.045 147.4732
4.083804 68.136 146.9142
4.113396 68.225 146.3581
4.143204 68.313 145.8046
4.173227 68.400 145.2540
4.203468 68.486 144.7069
4.233928 68.572 144.1641
4.264609 68.656 143.6263
4.295512 68.740 143.0942
4.326639 68.824 142.5686
4.357992 68.907 142.0498
4.389572 68.990 141.5379
4.421380 69.072 141.0328
4.453419 69.154 140.5341
4.485691 69.235 140.0414
4.518196 69.316 139.5542
4.550936 69.396 139.0724
4.583914 69.476 138.5958
4.617131 69.556 138.1246
4.650589 69.636 137.6587
4.684289 69.716 137.1983
4.718233 69.796 136.7437
4.752424 69.877 136.2950
4.786862 69.957 135.8523
4.821549 70.039 135.4154
4.856488 70.120 134.9841
4.891680 70.201 134.5576
4.927127 70.283 134.1353
4.962831 70.365 133.7164
4.998794 70.448 133.2999
5.035017 70.531 132.8854
5.071503 70.615 132.4722
5.108253 70.699 132.0602
5.145270 70.784 131.6494
5.182555 70.870 131.2396
5.220110 70.957 130.8309
5.257937 71.044 130.4227
5.296038 71.131 130.0142
5.334415 71.219 129.6046
5.373071 71.308 129.1927
5.412006 71.397 128.7778
5.451224 71.486 128.3590
5.490725 71.575 127.9360
5.530514 71.665 127.5086
5.570590 71.755 127.0769
5.610957 71.846 126.6409
5.651616 71.936 126.2006
5.692570 72.027 125.7557
5.733821 72.117 125.3058
5.775370 72.207 124.8506
5.817221 72.296 124.3896
5.859375 72.385 123.9226
5.901834 72.473 123.4493
5.944602 72.561 122.9699
5.987679 72.648 122.4850
6.031068 72.734 121.9951
6.074771 72.819 121.5010
6.118792 72.903 121.0032
6.163131 72.986 120.5023
6.207792 73.068 119.9984
6.252776 73.148 119.4915
6.298086 73.227 118.9819
6.343725 73.304 118.4700
6.389694 73.380 117.9568
6.435996 73.454 117.4435
