* Measurement data measured by REW V5.31.3
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 12 31, 24 12:59:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony LB CB +5 L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 34.508 -58.9931
0.368865 34.523 -59.0996
0.371538 34.544 -59.2579
0.374230 34.571 -59.4550
0.376942 34.601 -59.6792
0.379673 34.634 -59.9223
0.382424 34.667 -60.1787
0.385196 34.702 -60.4450
0.387987 34.737 -60.7193
0.390798 34.773 -61.0003
0.393630 34.809 -61.2877
0.396483 34.845 -61.5810
0.399356 34.881 -61.8801
0.402250 34.918 -62.1849
0.405165 34.955 -62.4954
0.408101 34.992 -62.8116
0.411058 35.030 -63.1335
0.414037 35.068 -63.4611
0.417037 35.106 -63.7944
0.420059 35.144 -64.1333
0.423103 35.183 -64.4779
0.426169 35.222 -64.8282
0.429257 35.261 -65.1841
0.432368 35.301 -65.5456
0.435501 35.341 -65.9127
0.438656 35.381 -66.2854
0.441835 35.421 -66.6637
0.445037 35.462 -67.0474
0.448262 35.503 -67.4367
0.451510 35.544 -67.8314
0.454782 35.586 -68.2316
0.458077 35.628 -68.6371
0.461397 35.670 -69.0479
0.464740 35.713 -69.4640
0.468108 35.755 -69.8853
0.471500 35.799 -70.3118
0.474917 35.842 -70.7434
0.478358 35.886 -71.1800
0.481825 35.930 -71.6216
0.485316 35.974 -72.0681
0.488833 36.019 -72.5194
0.492375 36.064 -72.9755
0.495943 36.109 -73.4363
0.499537 36.155 -73.9016
0.503157 36.201 -74.3716
0.506803 36.247 -74.8459
0.510475 36.294 -75.3246
0.514175 36.341 -75.8075
0.517900 36.389 -76.2947
0.521653 36.436 -76.7859
0.525434 36.484 -77.2811
0.529241 36.533 -77.7802
0.533076 36.581 -78.2831
0.536939 36.631 -78.7897
0.540830 36.680 -79.2999
0.544749 36.730 -79.8137
0.548696 36.780 -80.3308
0.552673 36.831 -80.8513
0.556677 36.882 -81.3750
0.560711 36.933 -81.9018
0.564774 36.985 -82.4316
0.568867 37.037 -82.9644
0.572989 37.089 -83.5000
0.577141 37.142 -84.0383
0.581324 37.195 -84.5793
0.585536 37.249 -85.1228
0.589779 37.303 -85.6688
0.594053 37.357 -86.2172
0.598358 37.412 -86.7679
0.602694 37.467 -87.3208
0.607061 37.522 -87.8758
0.611460 37.578 -88.4329
0.615891 37.635 -88.9920
0.620354 37.691 -89.5530
0.624849 37.749 -90.1159
0.629377 37.806 -90.6805
0.633938 37.864 -91.2468
0.638532 37.923 -91.8148
0.643159 37.981 -92.3844
0.647819 38.041 -92.9556
0.652514 38.100 -93.5283
0.657242 38.160 -94.1025
0.662005 38.221 -94.6781
0.666802 38.282 -95.2551
0.671634 38.344 -95.8334
0.676501 38.405 -96.4132
0.681403 38.468 -96.9942
0.686341 38.531 -97.5766
0.691314 38.594 -98.1603
0.696324 38.658 -98.7453
0.701370 38.722 -99.3315
0.706452 38.787 -99.9190
0.711571 38.853 -100.5076
0.716728 38.920 -101.0973
0.721921 38.988 -101.6879
0.727153 39.058 -102.2792
0.732422 39.131 -102.8707
0.737729 39.205 -103.4619
0.743075 39.282 -104.0524
0.748460 39.361 -104.6417
0.753883 39.442 -105.2293
0.759346 39.525 -105.8150
0.764849 39.609 -106.3984
0.770391 39.694 -106.9794
0.775974 39.781 -107.5578
0.781597 39.869 -108.1335
0.787261 39.959 -108.7062
0.792966 40.050 -109.2760
0.798712 40.142 -109.8426
0.804500 40.235 -110.4061
0.810329 40.330 -110.9664
0.816201 40.425 -111.5234
0.822116 40.522 -112.0770
0.828073 40.621 -112.6273
0.834074 40.720 -113.1742
0.840118 40.821 -113.7177
0.846206 40.923 -114.2578
0.852338 41.026 -114.7944
0.858514 41.130 -115.3277
0.864735 41.235 -115.8577
0.871001 41.341 -116.3843
0.877313 41.449 -116.9077
0.883670 41.557 -117.4279
0.890074 41.666 -117.9449
0.896524 41.777 -118.4588
0.903020 41.888 -118.9697
0.909564 42.001 -119.4777
0.916155 42.114 -119.9829
0.922794 42.228 -120.4853
0.929481 42.343 -120.9851
0.936216 42.459 -121.4824
0.943000 42.575 -121.9772
0.949834 42.692 -122.4698
0.956717 42.810 -122.9602
0.963649 42.929 -123.4485
0.970632 43.048 -123.9350
0.977666 43.168 -124.4197
0.984750 43.288 -124.9027
0.991886 43.409 -125.3843
0.999074 43.530 -125.8645
1.006314 43.651 -126.3436
1.013606 43.773 -126.8216
1.020951 43.895 -127.2988
1.028349 44.017 -127.7753
1.035801 44.139 -128.2511
1.043307 44.261 -128.7266
1.050867 44.383 -129.2019
1.058482 44.505 -129.6770
1.066152 44.627 -130.1520
1.073878 44.749 -130.6270
1.081660 44.870 -131.1019
1.089498 44.991 -131.5766
1.097393 45.113 -132.0506
1.105345 45.234 -132.5237
1.113355 45.355 -132.9952
1.121423 45.477 -133.4648
1.129549 45.599 -133.9321
1.137734 45.722 -134.3971
1.145979 45.844 -134.8595
1.154283 45.968 -135.3193
1.162647 46.091 -135.7766
1.171072 46.215 -136.2314
1.179558 46.340 -136.6836
1.188106 46.465 -137.1334
1.196715 46.590 -137.5808
1.205387 46.716 -138.0258
1.214122 46.842 -138.4687
1.222920 46.968 -138.9093
1.231782 47.095 -139.3478
1.240708 47.222 -139.7843
1.249699 47.350 -140.2188
1.258754 47.478 -140.6515
1.267876 47.606 -141.0823
1.277063 47.735 -141.5115
1.286318 47.864 -141.9391
1.295639 47.993 -142.3651
1.305027 48.122 -142.7897
1.314484 48.252 -143.2130
1.324009 48.382 -143.6351
1.333604 48.513 -144.0560
1.343268 48.643 -144.4759
1.353002 48.774 -144.8948
1.362806 48.906 -145.3129
1.372681 49.037 -145.7303
1.382628 49.169 -146.1470
1.392647 49.300 -146.5631
1.402739 49.432 -146.9787
1.412904 49.565 -147.3939
1.423142 49.697 -147.8087
1.433455 49.829 -148.2230
1.443843 49.962 -148.6367
1.454305 50.095 -149.0494
1.464844 50.227 -149.4609
1.475459 50.360 -149.8706
1.486150 50.493 -150.2782
1.496920 50.626 -150.6833
1.507767 50.758 -151.0857
1.518693 50.891 -151.4855
1.529698 51.024 -151.8827
1.540783 51.157 -152.2775
1.551948 51.289 -152.6702
1.563194 51.422 -153.0609
1.574521 51.555 -153.4499
1.585931 51.688 -153.8374
1.597423 51.820 -154.2238
1.608999 51.953 -154.6093
1.620658 52.086 -154.9942
1.632402 52.218 -155.3787
1.644232 52.351 -155.7630
1.656146 52.484 -156.1475
1.668147 52.617 -156.5325
1.680235 52.750 -156.9181
1.692411 52.883 -157.3046
1.704675 53.016 -157.6924
1.717028 53.149 -158.0816
1.729470 53.282 -158.4725
1.742003 53.415 -158.8653
1.754626 53.549 -159.2604
1.767341 53.682 -159.6578
1.780147 53.816 -160.0577
1.793047 53.949 -160.4602
1.806040 54.083 -160.8653
1.819128 54.217 -161.2728
1.832310 54.351 -161.6823
1.845587 54.484 -162.0936
1.858961 54.618 -162.5060
1.872432 54.752 -162.9191
1.886001 54.885 -163.3328
1.899667 55.018 -163.7467
1.913433 55.151 -164.1608
1.927299 55.284 -164.5750
1.941265 55.416 -164.9892
1.955332 55.548 -165.4035
1.969501 55.680 -165.8178
1.983773 55.812 -166.2323
1.998148 55.944 -166.6469
2.012627 56.076 -167.0618
2.027212 56.207 -167.4770
2.041902 56.338 -167.8926
2.056698 56.469 -168.3087
2.071602 56.601 -168.7254
2.086614 56.732 -169.1428
2.101734 56.863 -169.5610
2.116964 56.993 -169.9801
2.132304 57.124 -170.4003
2.147756 57.255 -170.8217
2.163320 57.386 -171.2444
2.178996 57.517 -171.6683
2.194786 57.647 -172.0935
2.210690 57.778 -172.5199
2.226710 57.908 -172.9473
2.242845 58.038 -173.3758
2.259098 58.167 -173.8050
2.275468 58.296 -174.2348
2.291957 58.425 -174.6653
2.308566 58.554 -175.0962
2.325295 58.682 -175.5274
2.342145 58.810 -175.9590
2.359117 58.937 -176.3909
2.376212 59.064 -176.8231
2.393431 59.191 -177.2555
2.410775 59.318 -177.6882
2.428244 59.444 -178.1211
2.445840 59.570 -178.5543
2.463564 59.696 -178.9878
2.481416 59.822 -179.4218
2.499397 59.948 -179.8562
2.517509 60.073 179.7089
2.535752 60.198 179.2733
2.554127 60.324 178.8368
2.572635 60.448 178.3995
2.591277 60.573 177.9611
2.610055 60.697 177.5218
2.628968 60.820 177.0815
2.648019 60.943 176.6403
2.667208 61.066 176.1984
2.686535 61.188 175.7559
2.706003 61.310 175.3129
2.725612 61.431 174.8696
2.745363 61.552 174.4261
2.765257 61.673 173.9825
2.785295 61.793 173.5390
2.805478 61.913 173.0956
2.825808 62.033 172.6524
2.846285 62.152 172.2094
2.866910 62.272 171.7666
2.887685 62.390 171.3239
2.908611 62.509 170.8811
2.929688 62.627 170.4381
2.950917 62.745 169.9947
2.972301 62.863 169.5506
2.993839 62.980 169.1059
3.015534 63.096 168.6605
3.037386 63.212 168.2146
3.059396 63.328 167.7683
3.081565 63.443 167.3219
3.103896 63.557 166.8755
3.126388 63.672 166.4294
3.149043 63.785 165.9838
3.171862 63.899 165.5388
3.194847 64.012 165.0947
3.217998 64.125 164.6516
3.241317 64.237 164.2093
3.264805 64.350 163.7680
3.288463 64.462 163.3275
3.312293 64.573 162.8875
3.336295 64.684 162.4479
3.360471 64.795 162.0084
3.384822 64.905 161.5691
3.409350 65.015 161.1299
3.434056 65.124 160.6910
3.458940 65.233 160.2525
3.484005 65.342 159.8146
3.509252 65.450 159.3776
3.534681 65.557 158.9414
3.560295 65.665 158.5063
3.586094 65.772 158.0725
3.612081 65.879 157.6399
3.638255 65.985 157.2084
3.664620 66.092 156.7780
3.691175 66.198 156.3484
3.717923 66.303 155.9195
3.744864 66.408 155.4911
3.772001 66.513 155.0634
3.799335 66.617 154.6362
3.826866 66.721 154.2098
3.854597 66.825 153.7844
3.882529 66.928 153.3600
3.910664 67.031 152.9368
3.939002 67.134 152.5149
3.967546 67.236 152.0945
3.996296 67.339 151.6754
4.025255 67.441 151.2577
4.054423 67.542 150.8411
4.083804 67.644 150.4257
4.113396 67.745 150.0112
4.143204 67.846 149.5977
4.173227 67.946 149.1851
4.203468 68.046 148.7734
4.233928 68.146 148.3630
4.264609 68.246 147.9537
4.295512 68.345 147.5456
4.326639 68.444 147.1389
4.357992 68.543 146.7334
4.389572 68.642 146.3292
4.421380 68.740 145.9262
4.453419 68.838 145.5242
4.485691 68.936 145.1232
4.518196 69.034 144.7233
4.550936 69.131 144.3243
4.583914 69.228 143.9264
4.617131 69.325 143.5296
4.650589 69.422 143.1341
4.684289 69.519 142.7398
4.718233 69.615 142.3469
4.752424 69.711 141.9552
4.786862 69.807 141.5647
4.821549 69.903 141.1754
4.856488 69.998 140.7871
4.891680 70.094 140.3999
4.927127 70.189 140.0138
4.962831 70.284 139.6287
4.998794 70.378 139.2448
5.035017 70.473 138.8622
5.071503 70.567 138.4807
5.108253 70.662 138.1004
5.145270 70.756 137.7213
5.182555 70.850 137.3434
5.220110 70.944 136.9665
5.257937 71.037 136.5906
5.296038 71.131 136.2157
5.334415 71.224 135.8417
5.373071 71.318 135.4685
5.412006 71.411 135.0963
5.451224 71.504 134.7249
5.490725 71.597 134.3543
5.530514 71.690 133.9846
5.570590 71.783 133.6155
5.610957 71.876 133.2471
5.651616 71.969 132.8792
5.692570 72.062 132.5117
5.733821 72.155 132.1443
5.775370 72.248 131.7771
5.817221 72.340 131.4098
5.859375 72.433 131.0424
5.901834 72.526 130.6749
5.944602 72.619 130.3071
5.987679 72.711 129.9390
6.031068 72.804 129.5703
6.074771 72.897 129.2008
6.118792 72.989 128.8303
6.163131 73.082 128.4586
6.207792 73.174 128.0856
6.252776 73.266 127.7111
6.298086 73.359 127.3350
6.343725 73.451 126.9573
6.389694 73.543 126.5780
6.435996 73.634 126.1968
6.482634 73.726 125.8136
