* Measurement data measured by REW V5.31.3
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 12 31, 24 12:54:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony LB Fit Excited L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 48.404 7.9048
0.368865 48.400 7.9062
0.371538 48.396 7.9084
0.374230 48.390 7.9110
0.376942 48.383 7.9141
0.379673 48.376 7.9174
0.382424 48.369 7.9209
0.385196 48.361 7.9246
0.387987 48.353 7.9283
0.390798 48.345 7.9322
0.393630 48.337 7.9362
0.396483 48.330 7.9403
0.399356 48.321 7.9444
0.402250 48.313 7.9487
0.405165 48.305 7.9531
0.408101 48.297 7.9576
0.411058 48.289 7.9622
0.414037 48.280 7.9669
0.417037 48.272 7.9717
0.420059 48.263 7.9766
0.423103 48.255 7.9817
0.426169 48.246 7.9868
0.429257 48.238 7.9921
0.432368 48.229 7.9975
0.435501 48.220 8.0031
0.438656 48.211 8.0087
0.441835 48.202 8.0145
0.445037 48.193 8.0205
0.448262 48.184 8.0266
0.451510 48.175 8.0328
0.454782 48.166 8.0392
0.458077 48.157 8.0457
0.461397 48.148 8.0524
0.464740 48.138 8.0592
0.468108 48.129 8.0662
0.471500 48.119 8.0734
0.474917 48.110 8.0807
0.478358 48.100 8.0883
0.481825 48.090 8.0959
0.485316 48.081 8.1038
0.488833 48.071 8.1119
0.492375 48.061 8.1202
0.495943 48.051 8.1286
0.499537 48.041 8.1373
0.503157 48.031 8.1462
0.506803 48.020 8.1553
0.510475 48.010 8.1646
0.514175 48.000 8.1741
0.517900 47.989 8.1839
0.521653 47.979 8.1939
0.525434 47.968 8.2042
0.529241 47.958 8.2147
0.533076 47.947 8.2254
0.536939 47.936 8.2365
0.540830 47.925 8.2478
0.544749 47.914 8.2593
0.548696 47.903 8.2712
0.552673 47.892 8.2834
0.556677 47.881 8.2958
0.560711 47.869 8.3086
0.564774 47.858 8.3217
0.568867 47.846 8.3351
0.572989 47.835 8.3489
0.577141 47.823 8.3630
0.581324 47.812 8.3775
0.585536 47.800 8.3923
0.589779 47.788 8.4076
0.594053 47.776 8.4232
0.598358 47.764 8.4392
0.602694 47.752 8.4556
0.607061 47.739 8.4725
0.611460 47.727 8.4898
0.615891 47.715 8.5076
0.620354 47.702 8.5258
0.624849 47.690 8.5445
0.629377 47.677 8.5638
0.633938 47.664 8.5835
0.638532 47.651 8.6038
0.643159 47.638 8.6246
0.647819 47.625 8.6460
0.652514 47.612 8.6680
0.657242 47.599 8.6906
0.662005 47.585 8.7138
0.666802 47.572 8.7376
0.671634 47.558 8.7622
0.676501 47.545 8.7874
0.681403 47.531 8.8133
0.686341 47.517 8.8400
0.691314 47.503 8.8673
0.696324 47.489 8.8952
0.701370 47.474 8.9236
0.706452 47.459 8.9521
0.711571 47.443 8.9805
0.716728 47.426 9.0077
0.721921 47.406 9.0328
0.727153 47.384 9.0543
0.732422 47.357 9.0707
0.737729 47.326 9.0810
0.743075 47.291 9.0852
0.748460 47.252 9.0842
0.753883 47.211 9.0788
0.759346 47.167 9.0700
0.764849 47.121 9.0581
0.770391 47.074 9.0437
0.775974 47.025 9.0270
0.781597 46.975 9.0081
0.787261 46.924 8.9870
0.792966 46.872 8.9639
0.798712 46.818 8.9387
0.804500 46.763 8.9114
0.810329 46.707 8.8821
0.816201 46.650 8.8508
0.822116 46.591 8.8175
0.828073 46.531 8.7822
0.834074 46.469 8.7449
0.840118 46.406 8.7056
0.846206 46.342 8.6644
0.852338 46.276 8.6212
0.858514 46.208 8.5761
0.864735 46.140 8.5292
0.871001 46.069 8.4803
0.877313 45.997 8.4296
0.883670 45.923 8.3772
0.890074 45.848 8.3229
0.896524 45.771 8.2669
0.903020 45.693 8.2093
0.909564 45.612 8.1499
0.916155 45.530 8.0890
0.922794 45.446 8.0265
0.929481 45.361 7.9626
0.936216 45.273 7.8972
0.943000 45.184 7.8305
0.949834 45.092 7.7625
0.956717 44.999 7.6932
0.963649 44.903 7.6229
0.970632 44.806 7.5516
0.977666 44.706 7.4793
0.984750 44.605 7.4063
0.991886 44.501 7.3326
0.999074 44.395 7.2584
1.006314 44.286 7.1837
1.013606 44.176 7.1089
1.020951 44.063 7.0340
1.028349 43.948 6.9593
1.035801 43.830 6.8848
1.043307 43.710 6.8110
1.050867 43.587 6.7378
1.058482 43.461 6.6656
1.066152 43.333 6.5942
1.073878 43.200 6.5235
1.081660 43.064 6.4532
1.089498 42.923 6.3822
1.097393 42.776 6.3092
1.105345 42.620 6.2322
1.113355 42.456 6.1489
1.121423 42.280 6.0573
1.129549 42.093 5.9556
1.137734 41.894 5.8421
1.145979 41.683 5.7156
1.154283 41.460 5.5750
1.162647 41.226 5.4189
1.171072 40.982 5.2463
1.179558 40.727 5.0555
1.188106 40.464 4.8450
1.196715 40.192 4.6128
1.205387 39.912 4.3565
1.214122 39.627 4.0731
1.222920 39.335 3.7590
1.231782 39.039 3.4096
1.240708 38.740 3.0189
1.249699 38.438 2.5791
1.258754 38.136 2.0799
1.267876 37.834 1.5072
1.277063 37.533 0.8412
1.286318 37.236 0.0534
1.295639 36.943 -0.8990
1.305027 36.657 -2.0833
1.314484 36.378 -3.6114
1.324009 36.109 -5.6836
1.333604 35.851 -8.6957
1.343268 35.607 -13.5430
1.353002 35.378 -22.6749
1.362806 35.166 -44.5019
1.372681 34.975 -96.5113
1.382628 34.806 -137.3496
1.392647 34.661 -152.8751
1.402739 34.544 -160.0347
1.412904 34.458 -164.1271
1.423142 34.404 -166.8148
1.433455 34.387 -168.7513
1.443843 34.409 -170.2398
1.454305 34.473 -171.4369
1.464844 34.581 -172.4303
1.475459 34.735 -173.2724
1.486150 34.936 -173.9969
1.496920 35.185 -174.6279
1.507767 35.479 -175.1836
1.518693 35.818 -175.6789
1.529698 36.200 -176.1255
1.540783 36.621 -176.5331
1.551948 37.081 -176.9094
1.563194 37.575 -177.2608
1.574521 38.101 -177.5923
1.585931 38.655 -177.9082
1.597423 39.235 -178.2118
1.608999 39.838 -178.5062
1.620658 40.459 -178.7937
1.632402 41.095 -179.0762
1.644232 41.744 -179.3557
1.656146 42.401 -179.6334
1.668147 43.063 -179.9107
1.680235 43.725 179.8112
1.692411 44.385 179.5315
1.704675 45.038 179.2491
1.717028 45.681 178.9636
1.729470 46.310 178.6740
1.742003 46.921 178.3799
1.754626 47.510 178.0807
1.767341 48.075 177.7762
1.780147 48.612 177.4662
1.793047 49.119 177.1508
1.806040 49.596 176.8302
1.819128 50.043 176.5053
1.832310 50.461 176.1772
1.845587 50.853 175.8474
1.858961 51.221 175.5171
1.872432 51.570 175.1873
1.886001 51.900 174.8587
1.899667 52.213 174.5316
1.913433 52.511 174.2061
1.927299 52.794 173.8820
1.941265 53.064 173.5592
1.955332 53.322 173.2374
1.969501 53.568 172.9163
1.983773 53.803 172.5957
1.998148 54.029 172.2751
2.012627 54.247 171.9543
2.027212 54.457 171.6331
2.041902 54.661 171.3109
2.056698 54.860 170.9875
2.071602 55.056 170.6627
2.086614 55.250 170.3359
2.101734 55.443 170.0070
2.116964 55.636 169.6757
2.132304 55.831 169.3415
2.147756 56.028 169.0043
2.163320 56.228 168.6638
2.178996 56.431 168.3200
2.194786 56.636 167.9728
2.210690 56.841 167.6223
2.226710 57.046 167.2689
2.242845 57.250 166.9128
2.259098 57.450 166.5544
2.275468 57.648 166.1940
2.291957 57.842 165.8321
2.308566 58.032 165.4689
2.325295 58.219 165.1046
2.342145 58.403 164.7396
2.359117 58.584 164.3738
2.376212 58.762 164.0078
2.393431 58.937 163.6413
2.410775 59.110 163.2747
2.428244 59.282 162.9078
2.445840 59.451 162.5409
2.463564 59.620 162.1739
2.481416 59.787 161.8067
2.499397 59.953 161.4391
2.517509 60.118 161.0711
2.535752 60.283 160.7022
2.554127 60.446 160.3321
2.572635 60.609 159.9603
2.591277 60.770 159.5864
2.610055 60.929 159.2102
2.628968 61.085 158.8317
2.648019 61.240 158.4511
2.667208 61.392 158.0687
2.686535 61.542 157.6850
2.706003 61.691 157.3003
2.725612 61.837 156.9151
2.745363 61.981 156.5299
2.765257 62.123 156.1451
2.785295 62.264 155.7611
2.805478 62.404 155.3783
2.825808 62.542 154.9968
2.846285 62.679 154.6170
2.866910 62.815 154.2388
2.887685 62.950 153.8622
2.908611 63.084 153.4869
2.929688 63.217 153.1124
2.950917 63.349 152.7381
2.972301 63.479 152.3634
2.993839 63.607 151.9880
3.015534 63.734 151.6119
3.037386 63.859 151.2351
3.059396 63.982 150.8581
3.081565 64.104 150.4811
3.103896 64.224 150.1049
3.126388 64.343 149.7296
3.149043 64.461 149.3560
3.171862 64.577 148.9843
3.194847 64.692 148.6151
3.217998 64.807 148.2484
3.241317 64.920 147.8846
3.264805 65.032 147.5235
3.288463 65.144 147.1649
3.312293 65.254 146.8081
3.336295 65.364 146.4528
3.360471 65.472 146.0985
3.384822 65.578 145.7451
3.409350 65.683 145.3925
3.434056 65.787 145.0410
3.458940 65.890 144.6908
3.484005 65.991 144.3424
3.509252 66.092 143.9962
3.534681 66.191 143.6525
3.560295 66.290 143.3116
3.586094 66.387 142.9739
3.612081 66.484 142.6396
3.638255 66.581 142.3084
3.664620 66.676 141.9803
3.691175 66.771 141.6549
3.717923 66.864 141.3318
3.744864 66.957 141.0109
3.772001 67.048 140.6920
3.799335 67.139 140.3751
3.826866 67.228 140.0604
3.854597 67.317 139.7480
3.882529 67.404 139.4384
3.910664 67.492 139.1317
3.939002 67.578 138.8280
3.967546 67.664 138.5275
3.996296 67.749 138.2303
4.025255 67.833 137.9362
4.054423 67.917 137.6451
4.083804 68.000 137.3566
4.113396 68.082 137.0708
4.143204 68.164 136.7875
4.173227 68.244 136.5067
4.203468 68.324 136.2286
4.233928 68.403 135.9534
4.264609 68.482 135.6813
4.295512 68.560 135.4123
4.326639 68.638 135.1466
4.357992 68.715 134.8843
4.389572 68.791 134.6252
4.421380 68.867 134.3693
4.453419 68.942 134.1164
4.485691 69.017 133.8665
4.518196 69.091 133.6195
4.550936 69.164 133.3757
4.583914 69.237 133.1351
4.617131 69.309 132.8981
4.650589 69.381 132.6648
4.684289 69.452 132.4354
4.718233 69.523 132.2100
4.752424 69.594 131.9886
4.786862 69.664 131.7713
4.821549 69.734 131.5579
4.856488 69.803 131.3483
4.891680 69.872 131.1427
4.927127 69.941 130.9411
4.962831 70.009 130.7437
4.998794 70.077 130.5508
5.035017 70.144 130.3627
5.071503 70.212 130.1793
5.108253 70.279 130.0010
5.145270 70.347 129.8278
5.182555 70.414 129.6595
5.220110 70.481 129.4962
5.257937 70.549 129.3377
5.296038 70.616 129.1840
5.334415 70.683 129.0351
5.373071 70.751 128.8908
5.412006 70.819 128.7513
5.451224 70.887 128.6165
5.490725 70.956 128.4865
5.530514 71.025 128.3614
5.570590 71.095 128.2410
5.610957 71.165 128.1251
5.651616 71.236 128.0131
5.692570 71.308 127.9047
5.733821 71.380 127.7992
5.775370 71.453 127.6963
5.817221 71.527 127.5955
5.859375 71.603 127.4968
5.901834 71.679 127.3999
5.944602 71.756 127.3047
5.987679 71.835 127.2106
6.031068 71.914 127.1169
6.074771 71.995 127.0227
6.118792 72.077 126.9270
6.163131 72.160 126.8291
6.207792 72.245 126.7282
6.252776 72.330 126.6243
6.298086 72.417 126.5169
6.343725 72.505 126.4058
6.389694 72.594 126.2902
6.435996 72.685 126.1694
6.482634 72.776 126.0424
6.529610 72.869 125.9083
6.576926 72.962 125.7667
6.624585 73.056 125.6172
6.672590 73.151 125.4597
6.720942 73.247 125.2940
6.769645 73.344 125.1198
6.818700 73.441 124.9368
6.868111 73.539 124.7446
6.917881 73.637 124.5428
6.968010 73.736 124.3312
7.018504 73.834 124.1098
7.069362 73.933 123.8788
7.120590 74.032 123.6384
7.172189 74.131 123.3887
7.224161 74.230 123.1299
7.276511 74.329 122.8621
