* Measurement data measured by REW V5.30.4
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 06 8, 24 6:14:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: T 4U Natural L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 85.653 -79.9650
20.287556 85.683 -80.1513
20.434568 85.728 -80.4210
20.582645 85.784 -80.7469
20.731796 85.848 -81.1070
20.882027 85.917 -81.4869
21.033346 85.989 -81.8791
21.185762 86.062 -82.2803
21.339283 86.136 -82.6900
21.493916 86.209 -83.1082
21.649670 86.280 -83.5347
21.806553 86.349 -83.9684
21.964573 86.416 -84.4076
22.123737 86.480 -84.8496
22.284056 86.541 -85.2918
22.445536 86.599 -85.7320
22.608185 86.656 -86.1687
22.772013 86.712 -86.6018
22.937029 86.767 -87.0327
23.103241 86.822 -87.4638
23.270657 86.877 -87.8985
23.439285 86.933 -88.3401
23.609137 86.989 -88.7911
23.780218 87.045 -89.2525
23.952539 87.099 -89.7234
24.126110 87.153 -90.2011
24.300938 87.205 -90.6808
24.477032 87.256 -91.1575
24.654402 87.305 -91.6260
24.833057 87.355 -92.0830
25.013008 87.407 -92.5275
25.194263 87.460 -92.9617
25.376831 87.517 -93.3912
25.560722 87.578 -93.8238
25.745945 87.642 -94.2684
25.932510 87.709 -94.7334
26.120428 87.777 -95.2245
26.309708 87.844 -95.7437
26.500359 87.908 -96.2884
26.692390 87.969 -96.8516
26.885815 88.024 -97.4232
27.080641 88.074 -97.9911
27.276878 88.120 -98.5440
27.474539 88.164 -99.0729
27.673630 88.207 -99.5727
27.874165 88.252 -100.0432
28.076153 88.300 -100.4886
28.279604 88.352 -100.9165
28.484529 88.410 -101.3353
28.690941 88.471 -101.7529
28.898848 88.536 -102.1741
29.108261 88.603 -102.5999
29.319191 88.669 -103.0270
29.531651 88.733 -103.4495
29.745649 88.795 -103.8597
29.961199 88.854 -104.2509
30.178310 88.909 -104.6182
30.396996 88.960 -104.9605
30.617264 89.009 -105.2806
30.839128 89.054 -105.5849
31.062601 89.097 -105.8822
31.287693 89.137 -106.1830
31.514416 89.173 -106.4971
31.742783 89.207 -106.8336
31.972803 89.237 -107.1988
32.204491 89.265 -107.5970
32.437859 89.292 -108.0291
32.672916 89.317 -108.4938
32.909679 89.343 -108.9870
33.148155 89.371 -109.5027
33.388359 89.401 -110.0333
33.630306 89.435 -110.5702
33.874004 89.474 -111.1049
34.119469 89.517 -111.6297
34.366711 89.565 -112.1384
34.615746 89.618 -112.6275
34.866585 89.673 -113.0964
35.119244 89.731 -113.5474
35.373734 89.790 -113.9862
35.630066 89.849 -114.4204
35.888256 89.907 -114.8583
36.148315 89.963 -115.3077
36.410259 90.015 -115.7734
36.674103 90.063 -116.2563
36.939857 90.106 -116.7524
37.207539 90.144 -117.2533
37.477161 90.178 -117.7479
37.748737 90.209 -118.2247
38.022282 90.239 -118.6749
38.297806 90.270 -119.0943
38.575329 90.303 -119.4849
38.854862 90.338 -119.8542
39.136421 90.376 -120.2130
39.420021 90.416 -120.5729
39.705673 90.456 -120.9436
39.993397 90.495 -121.3308
40.283207 90.532 -121.7359
40.575115 90.567 -122.1566
40.869141 90.600 -122.5886
41.165295 90.633 -123.0268
41.463596 90.665 -123.4673
41.764057 90.699 -123.9077
42.066696 90.733 -124.3474
42.371529 90.770 -124.7873
42.678570 90.807 -125.2284
42.987835 90.844 -125.6711
43.299343 90.879 -126.1147
43.613110 90.913 -126.5570
43.929150 90.944 -126.9956
44.247478 90.973 -127.4288
44.568115 91.002 -127.8565
44.891075 91.030 -128.2809
45.216373 91.059 -128.7048
45.544029 91.089 -129.1313
45.874062 91.119 -129.5616
46.206486 91.148 -129.9950
46.541317 91.175 -130.4292
46.878574 91.202 -130.8619
47.218277 91.226 -131.2914
47.560440 91.250 -131.7169
47.905083 91.272 -132.1380
48.252224 91.294 -132.5544
48.601879 91.317 -132.9659
48.954067 91.340 -133.3725
49.308807 91.365 -133.7760
49.666119 91.391 -134.1798
50.026020 91.420 -134.5881
50.388531 91.448 -135.0047
50.753666 91.476 -135.4315
51.121449 91.502 -135.8682
51.491894 91.525 -136.3122
51.865025 91.546 -136.7594
52.240860 91.564 -137.2053
52.619419 91.582 -137.6450
53.000721 91.599 -138.0745
53.384785 91.617 -138.4918
53.771633 91.637 -138.8983
54.161285 91.659 -139.2984
54.553761 91.684 -139.6991
54.949081 91.709 -140.1068
55.347263 91.733 -140.5249
55.748333 91.755 -140.9533
56.152309 91.774 -141.3884
56.559212 91.790 -141.8259
56.969063 91.803 -142.2623
57.381886 91.816 -142.6960
57.797699 91.828 -143.1271
58.216526 91.840 -143.5557
58.638386 91.854 -143.9819
59.063305 91.868 -144.4049
59.491302 91.884 -144.8231
59.922401 91.899 -145.2345
60.356625 91.914 -145.6369
60.793995 91.928 -146.0287
61.234531 91.940 -146.4103
61.678261 91.951 -146.7850
62.125206 91.961 -147.1582
62.575390 91.969 -147.5370
63.028835 91.976 -147.9271
63.485569 91.983 -148.3318
63.945610 91.990 -148.7504
64.408989 91.997 -149.1789
64.875725 92.006 -149.6115
65.345840 92.015 -150.0420
65.819366 92.025 -150.4658
66.296318 92.036 -150.8799
66.776726 92.046 -151.2839
67.260620 92.055 -151.6783
67.748016 92.064 -152.0647
68.238945 92.072 -152.4432
68.733429 92.081 -152.8115
69.231499 92.092 -153.1642
69.733177 92.104 -153.4969
70.238495 92.117 -153.8117
70.747475 92.132 -154.1211
71.260139 92.147 -154.4453
71.776520 92.158 -154.8029
72.296638 92.163 -155.2004
72.820526 92.162 -155.6294
73.348213 92.156 -156.0722
73.879723 92.147 -156.5117
74.415085 92.138 -156.9389
74.954330 92.130 -157.3546
75.497482 92.124 -157.7634
76.044571 92.120 -158.1689
76.595619 92.119 -158.5694
77.150665 92.118 -158.9603
77.709732 92.118 -159.3386
78.272850 92.117 -159.7052
78.840050 92.116 -160.0638
79.411354 92.112 -160.4189
79.986801 92.109 -160.7744
80.566422 92.105 -161.1336
81.150238 92.102 -161.4983
81.738289 92.100 -161.8671
82.330597 92.097 -162.2362
82.927200 92.094 -162.6024
83.528122 92.089 -162.9650
84.133400 92.084 -163.3260
84.743065 92.078 -163.6873
85.357147 92.072 -164.0497
85.975677 92.067 -164.4125
86.598694 92.061 -164.7737
87.226227 92.057 -165.1299
87.858307 92.052 -165.4780
88.494965 92.047 -165.8161
89.136238 92.041 -166.1460
89.782158 92.035 -166.4725
90.432755 92.028 -166.8007
91.088066 92.019 -167.1318
91.748131 92.010 -167.4641
92.412979 92.001 -167.7970
93.082642 91.991 -168.1308
93.757156 91.982 -168.4645
94.436562 91.972 -168.7942
95.120888 91.962 -169.1176
95.810173 91.952 -169.4366
96.504456 91.943 -169.7553
97.203766 91.933 -170.0757
97.908142 91.922 -170.3961
98.617622 91.909 -170.7139
99.332245 91.895 -171.0285
100.052048 91.879 -171.3420
100.777069 91.861 -171.6551
101.507339 91.842 -171.9647
102.242905 91.823 -172.2661
102.983795 91.805 -172.5583
103.730057 91.788 -172.8461
104.481728 91.774 -173.1372
105.238846 91.761 -173.4376
106.001450 91.750 -173.7471
106.769577 91.738 -174.0585
107.543274 91.724 -174.3602
108.322578 91.708 -174.6418
109.107529 91.691 -174.9005
109.898170 91.674 -175.1440
110.694534 91.658 -175.3860
111.496674 91.644 -175.6378
112.304626 91.631 -175.9046
113.118431 91.619 -176.1893
113.938133 91.604 -176.4968
114.763779 91.586 -176.8315
115.595406 91.564 -177.1913
116.433060 91.540 -177.5652
117.276779 91.516 -177.9376
118.126617 91.495 -178.2899
118.982613 91.478 -178.5987
119.844810 91.466 -178.8387
120.713257 91.456 -179.0035
121.587997 91.447 -179.1238
122.469070 91.434 -179.2573
123.356529 91.414 -179.4524
124.250420 91.390 -179.7190
125.150787 91.362 179.9703
126.057678 91.333 179.6571
126.971146 91.305 179.3716
127.891228 91.274 179.1166
128.817978 91.241 178.8685
129.751450 91.207 178.6028
130.691681 91.179 178.3245
131.638733 91.160 178.0680
132.592636 91.147 177.8598
133.553452 91.132 177.6861
134.521240 91.111 177.5067
135.496033 91.082 177.2991
136.477890 91.050 177.0805
137.466858 91.013 176.8824
138.462997 90.973 176.7103
139.466354 90.928 176.5396
140.476990 90.881 176.3504
141.494949 90.836 176.1522
142.520279 90.792 175.9672
143.553040 90.750 175.8044
144.593277 90.710 175.6588
145.641052 90.673 175.5280
146.696426 90.635 175.4139
147.759445 90.596 175.3162
148.830170 90.553 175.2386
149.908661 90.507 175.1947
150.994965 90.460 175.1987
152.089142 90.413 175.2555
153.191238 90.371 175.3644
154.301331 90.336 175.5226
155.419464 90.310 175.7219
156.545700 90.296 175.9489
157.680099 90.296 176.1870
158.822708 90.310 176.4136
159.973602 90.338 176.6026
161.132843 90.378 176.7321
162.300476 90.425 176.7848
163.476578 90.477 176.7429
164.661194 90.531 176.5925
165.854401 90.586 176.3340
167.056244 90.640 175.9821
168.266800 90.695 175.5595
169.486130 90.751 175.0918
170.714294 90.808 174.6014
171.951355 90.859 174.1113
173.197388 90.896 173.6535
174.452454 90.904 173.2560
175.716614 90.875 172.9201
176.989929 90.816 172.6224
178.272476 90.741 172.3443
179.564316 90.665 172.0864
180.865509 90.594 171.8518
182.176132 90.530 171.6351
183.496262 90.473 171.4259
184.825958 90.422 171.2177
186.165283 90.376 171.0134
187.514313 90.335 170.8188
188.873123 90.297 170.6334
190.241776 90.260 170.4507
191.620346 90.226 170.2675
193.008911 90.193 170.0867
194.407532 90.161 169.9135
195.816284 90.129 169.7498
197.235245 90.097 169.5925
198.664490 90.066 169.4377
200.104095 90.035 169.2848
201.554138 90.005 169.1357
203.014679 89.975 168.9903
204.485809 89.946 168.8477
205.967590 89.917 168.7084
207.460114 89.890 168.5731
208.963455 89.863 168.4413
210.477692 89.837 168.3116
212.002899 89.813 168.1823
213.539154 89.790 168.0526
215.086548 89.770 167.9244
216.645157 89.750 167.8041
218.215057 89.731 167.7000
219.796341 89.707 167.6168
221.389069 89.678 167.5476
222.993347 89.643 167.4794
224.609253 89.606 167.4045
226.236862 89.568 167.3228
227.876266 89.532 167.2377
229.527557 89.498 167.1530
231.190811 89.465 167.0714
232.866119 89.435 166.9951
234.553558 89.405 166.9245
236.253235 89.376 166.8580
237.965225 89.347 166.7923
239.689621 89.318 166.7241
241.426514 89.291 166.6514
243.175995 89.264 166.5756
244.938141 89.238 166.4995
246.713058 89.212 166.4268
248.500839 89.186 166.3599
250.301575 89.159 166.2997
252.115356 89.132 166.2443
253.942291 89.104 166.1906
255.782455 89.077 166.1361
257.635956 89.049 166.0798
259.502899 89.022 166.0224
261.383362 88.995 165.9667
263.277466 88.967 165.9158
265.185272 88.941 165.8715
267.106903 88.915 165.8343
269.042480 88.891 165.8030
270.992065 88.867 165.7758
272.955780 88.843 165.7498
274.933716 88.817 165.7212
276.925995 88.791 165.6883
278.932709 88.764 165.6546
280.953979 88.736 165.6274
282.989899 88.709 165.6107
285.040558 88.682 165.6034
287.106079 88.657 165.6028
289.186554 88.633 165.6068
291.282104 88.609 165.6133
293.392853 88.586 165.6187
295.518890 88.562 165.6183
297.660339 88.537 165.6108
299.817322 88.512 165.5973
301.989929 88.487 165.5781
304.178284 88.463 165.5518
306.382477 88.441 165.5182
308.602661 88.419 165.4807
310.838928 88.398 165.4449
313.091400 88.376 165.4159
315.360199 88.353 165.3955
317.645416 88.330 165.3828
319.947205 88.307 165.3759
322.265686 88.284 165.3744
324.600952 88.262 165.3782
326.953156 88.240 165.3873
329.322388 88.218 165.4007
331.708801 88.196 165.4168
334.112488 88.173 165.4338
336.533600 88.151 165.4501
338.972260 88.128 165.4655
341.428589 88.106 165.4807
343.902710 88.084 165.4979
346.394775 88.063 165.5182
348.904907 88.042 165.5418
351.433228 88.023 165.5673
353.979858 88.004 165.5932
356.544952 87.986 165.6171
359.128632 87.968 165.6368
