* Measurement data measured by REW V5.30.4
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 06 8, 24 6:16:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: T 4U Pop L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 90.325 -94.1353
20.287556 90.348 -94.3428
20.434568 90.382 -94.6473
20.582645 90.423 -95.0216
20.731796 90.468 -95.4427
20.882027 90.517 -95.8940
21.033346 90.566 -96.3649
21.185762 90.615 -96.8487
21.339283 90.664 -97.3415
21.493916 90.713 -97.8412
21.649670 90.762 -98.3463
21.806553 90.811 -98.8558
21.964573 90.860 -99.3692
22.123737 90.908 -99.8857
22.284056 90.957 -100.4048
22.445536 91.006 -100.9258
22.608185 91.054 -101.4478
22.772013 91.103 -101.9699
22.937029 91.151 -102.4912
23.103241 91.198 -103.0104
23.270657 91.244 -103.5266
23.439285 91.290 -104.0388
23.609137 91.334 -104.5466
23.780218 91.378 -105.0497
23.952539 91.422 -105.5484
24.126110 91.464 -106.0435
24.300938 91.506 -106.5359
24.477032 91.547 -107.0269
24.654402 91.588 -107.5176
24.833057 91.629 -108.0091
25.013008 91.668 -108.5019
25.194263 91.707 -108.9963
25.376831 91.746 -109.4917
25.560722 91.784 -109.9876
25.745945 91.821 -110.4829
25.932510 91.858 -110.9768
26.120428 91.896 -111.4689
26.309708 91.934 -111.9592
26.500359 91.973 -112.4484
26.692390 92.012 -112.9381
26.885815 92.053 -113.4302
27.080641 92.095 -113.9270
27.276878 92.138 -114.4307
27.474539 92.182 -114.9427
27.673630 92.225 -115.4637
27.874165 92.267 -115.9934
28.076153 92.308 -116.5301
28.279604 92.347 -117.0711
28.484529 92.384 -117.6130
28.690941 92.418 -118.1523
28.898848 92.450 -118.6855
29.108261 92.480 -119.2098
29.319191 92.508 -119.7236
29.531651 92.535 -120.2266
29.745649 92.562 -120.7197
29.961199 92.588 -121.2050
30.178310 92.615 -121.6853
30.396996 92.643 -122.1633
30.617264 92.672 -122.6415
30.839128 92.701 -123.1210
31.062601 92.731 -123.6017
31.287693 92.762 -124.0822
31.514416 92.792 -124.5596
31.742783 92.823 -125.0303
31.972803 92.853 -125.4907
32.204491 92.884 -125.9379
32.437859 92.914 -126.3700
32.672916 92.944 -126.7872
32.909679 92.975 -127.1914
33.148155 93.005 -127.5865
33.388359 93.036 -127.9776
33.630306 93.066 -128.3706
33.874004 93.096 -128.7712
34.119469 93.125 -129.1842
34.366711 93.154 -129.6125
34.615746 93.181 -130.0569
34.866585 93.207 -130.5155
35.119244 93.232 -130.9839
35.373734 93.256 -131.4560
35.630066 93.280 -131.9249
35.888256 93.303 -132.3845
36.148315 93.328 -132.8311
36.410259 93.353 -133.2645
36.674103 93.380 -133.6886
36.939857 93.409 -134.1107
37.207539 93.437 -134.5400
37.477161 93.464 -134.9854
37.748737 93.488 -135.4530
38.022282 93.508 -135.9448
38.297806 93.522 -136.4578
38.575329 93.532 -136.9853
38.854862 93.538 -137.5185
39.136421 93.542 -138.0487
39.420021 93.546 -138.5693
39.705673 93.553 -139.0769
39.993397 93.563 -139.5706
40.283207 93.577 -140.0511
40.575115 93.594 -140.5195
40.869141 93.614 -140.9763
41.165295 93.635 -141.4215
41.463596 93.655 -141.8557
41.764057 93.675 -142.2802
42.066696 93.692 -142.6981
42.371529 93.708 -143.1134
42.678570 93.721 -143.5300
42.987835 93.733 -143.9505
43.299343 93.743 -144.3758
43.613110 93.752 -144.8051
43.929150 93.761 -145.2368
44.247478 93.770 -145.6694
44.568115 93.779 -146.1017
44.891075 93.789 -146.5332
45.216373 93.799 -146.9634
45.544029 93.808 -147.3922
45.874062 93.817 -147.8200
46.206486 93.825 -148.2485
46.541317 93.832 -148.6803
46.878574 93.839 -149.1182
47.218277 93.845 -149.5641
47.560440 93.851 -150.0171
47.905083 93.856 -150.4738
48.252224 93.862 -150.9296
48.601879 93.868 -151.3799
48.954067 93.875 -151.8218
49.308807 93.883 -152.2545
49.666119 93.890 -152.6781
50.026020 93.897 -153.0927
50.388531 93.903 -153.4979
50.753666 93.907 -153.8943
51.121449 93.910 -154.2842
51.491894 93.912 -154.6722
51.865025 93.913 -155.0634
52.240860 93.914 -155.4619
52.619419 93.914 -155.8683
53.000721 93.915 -156.2801
53.384785 93.915 -156.6937
53.771633 93.915 -157.1056
54.161285 93.917 -157.5142
54.553761 93.919 -157.9185
54.949081 93.920 -158.3179
55.347263 93.922 -158.7118
55.748333 93.922 -159.1005
56.152309 93.921 -159.4860
56.559212 93.920 -159.8718
56.969063 93.918 -160.2610
57.381886 93.915 -160.6545
57.797699 93.911 -161.0504
58.216526 93.908 -161.4453
58.638386 93.904 -161.8366
59.063305 93.900 -162.2247
59.491302 93.896 -162.6124
59.922401 93.892 -163.0031
60.356625 93.885 -163.3984
60.793995 93.877 -163.7972
61.234531 93.868 -164.1965
61.678261 93.859 -164.5926
62.125206 93.849 -164.9826
62.575390 93.841 -165.3648
63.028835 93.834 -165.7385
63.485569 93.827 -166.1039
63.945610 93.821 -166.4623
64.408989 93.815 -166.8160
64.875725 93.809 -167.1675
65.345840 93.804 -167.5186
65.819366 93.799 -167.8694
66.296318 93.794 -168.2191
66.776726 93.788 -168.5658
67.260620 93.781 -168.9085
67.748016 93.773 -169.2476
68.238945 93.765 -169.5841
68.733429 93.760 -169.9173
69.231499 93.760 -170.2431
69.733177 93.764 -170.5569
70.238495 93.772 -170.8600
70.747475 93.780 -171.1631
71.260139 93.784 -171.4810
71.776520 93.777 -171.8222
72.296638 93.758 -172.1828
72.820526 93.728 -172.5513
73.348213 93.693 -172.9186
73.879723 93.660 -173.2828
74.415085 93.632 -173.6450
74.954330 93.608 -174.0034
75.497482 93.587 -174.3521
76.044571 93.566 -174.6862
76.595619 93.546 -175.0046
77.150665 93.525 -175.3105
77.709732 93.505 -175.6089
78.272850 93.487 -175.9060
78.840050 93.470 -176.2073
79.411354 93.455 -176.5165
79.986801 93.439 -176.8346
80.566422 93.422 -177.1587
81.150238 93.402 -177.4839
81.738289 93.382 -177.8054
82.330597 93.361 -178.1217
82.927200 93.341 -178.4346
83.528122 93.322 -178.7464
84.133400 93.304 -179.0573
84.743065 93.286 -179.3645
85.357147 93.269 -179.6654
85.975677 93.251 -179.9594
86.598694 93.232 179.7524
87.226227 93.213 179.4683
87.858307 93.193 179.1864
88.494965 93.172 178.9044
89.136238 93.151 178.6212
89.782158 93.129 178.3374
90.432755 93.106 178.0551
91.088066 93.082 177.7757
91.748131 93.059 177.5002
92.412979 93.035 177.2293
93.082642 93.011 176.9635
93.757156 92.988 176.7017
94.436562 92.965 176.4421
95.120888 92.942 176.1827
95.810173 92.919 175.9211
96.504456 92.896 175.6552
97.203766 92.873 175.3847
97.908142 92.849 175.1113
98.617622 92.823 174.8378
99.332245 92.798 174.5657
100.052048 92.771 174.2951
100.777069 92.745 174.0262
101.507339 92.717 173.7616
102.242905 92.689 173.5040
102.983795 92.660 173.2551
103.730057 92.629 173.0154
104.481728 92.598 172.7838
105.238846 92.565 172.5563
106.001450 92.534 172.3295
106.769577 92.502 172.1040
107.543274 92.471 171.8840
108.322578 92.442 171.6729
109.107529 92.413 171.4691
109.898170 92.388 171.2659
110.694534 92.364 171.0538
111.496674 92.344 170.8273
112.304626 92.325 170.5883
113.118431 92.307 170.3417
113.938133 92.288 170.0905
114.763779 92.266 169.8398
115.595406 92.242 169.6001
116.433060 92.219 169.3770
117.276779 92.200 169.1708
118.126617 92.183 168.9841
118.982613 92.166 168.8152
119.844810 92.143 168.6575
120.713257 92.112 168.5033
121.587997 92.074 168.3358
122.469070 92.033 168.1438
123.356529 91.989 167.9507
124.250420 91.944 167.7840
125.150787 91.901 167.6364
126.057678 91.860 167.4843
126.971146 91.821 167.3114
127.891228 91.783 167.1107
128.817978 91.742 166.9045
129.751450 91.700 166.7295
130.691681 91.660 166.5839
131.638733 91.620 166.4403
132.592636 91.580 166.2826
133.553452 91.535 166.1022
134.521240 91.482 165.9237
135.496033 91.425 165.7963
136.477890 91.369 165.7279
137.466858 91.318 165.6977
138.462997 91.268 165.6910
139.466354 91.216 165.6970
140.476990 91.156 165.7251
141.494949 91.090 165.7987
142.520279 91.025 165.9380
143.553040 90.967 166.1577
144.593277 90.922 166.4536
145.641052 90.892 166.8035
146.696426 90.879 167.1737
147.759445 90.883 167.5334
148.830170 90.904 167.8611
149.908661 90.941 168.1254
150.994965 90.988 168.2849
152.089142 91.041 168.3099
153.191238 91.096 168.1984
154.301331 91.148 167.9745
155.419464 91.190 167.6706
156.545700 91.220 167.3118
157.680099 91.237 166.9183
158.822708 91.242 166.5116
159.973602 91.236 166.1090
161.132843 91.222 165.7196
162.300476 91.201 165.3467
163.476578 91.175 164.9925
164.661194 91.146 164.6588
165.854401 91.113 164.3473
167.056244 91.078 164.0599
168.266800 91.041 163.7975
169.486130 91.003 163.5594
170.714294 90.964 163.3438
171.951355 90.926 163.1478
173.197388 90.888 162.9682
174.452454 90.850 162.8017
175.716614 90.813 162.6464
176.989929 90.776 162.5010
178.272476 90.739 162.3654
179.564316 90.702 162.2402
180.865509 90.667 162.1259
182.176132 90.633 162.0214
183.496262 90.601 161.9249
184.825958 90.570 161.8349
186.165283 90.541 161.7505
187.514313 90.512 161.6729
188.873123 90.483 161.6039
190.241776 90.454 161.5464
191.620346 90.424 161.5015
193.008911 90.391 161.4669
194.407532 90.357 161.4369
195.816284 90.320 161.4032
197.235245 90.279 161.3589
198.664490 90.237 161.2991
200.104095 90.193 161.2205
201.554138 90.150 161.1209
203.014679 90.109 161.0020
204.485809 90.071 160.8685
205.967590 90.036 160.7273
207.460114 90.005 160.5854
208.963455 89.978 160.4505
210.477692 89.953 160.3318
212.002899 89.930 160.2386
213.539154 89.907 160.1767
215.086548 89.882 160.1445
216.645157 89.854 160.1325
218.215057 89.823 160.1268
219.796341 89.787 160.1138
221.389069 89.749 160.0845
222.993347 89.710 160.0369
224.609253 89.672 159.9746
226.236862 89.638 159.9055
227.876266 89.607 159.8401
229.527557 89.580 159.7891
231.190811 89.554 159.7593
232.866119 89.527 159.7498
234.553558 89.499 159.7526
236.253235 89.470 159.7570
237.965225 89.439 159.7546
239.689621 89.409 159.7426
241.426514 89.378 159.7215
243.175995 89.345 159.6930
244.938141 89.312 159.6590
246.713058 89.278 159.6240
248.500839 89.246 159.5960
250.301575 89.214 159.5833
252.115356 89.184 159.5902
253.942291 89.154 159.6138
255.782455 89.122 159.6408
257.635956 89.087 159.6543
259.502899 89.053 159.6448
261.383362 89.023 159.6177
263.277466 88.997 159.5894
265.185272 88.974 159.5742
267.106903 88.952 159.5743
269.042480 88.928 159.5803
270.992065 88.902 159.5842
272.955780 88.874 159.5894
274.933716 88.847 159.6085
276.925995 88.821 159.6555
278.932709 88.796 159.7404
280.953979 88.770 159.8645
282.989899 88.743 160.0132
285.040558 88.714 160.1555
287.106079 88.681 160.2564
289.186554 88.647 160.2985
291.282104 88.613 160.2904
293.392853 88.581 160.2567
295.518890 88.551 160.2209
297.660339 88.523 160.1965
299.817322 88.495 160.1856
301.989929 88.470 160.1819
304.178284 88.445 160.1792
306.382477 88.422 160.1770
308.602661 88.399 160.1796
310.838928 88.378 160.1913
313.091400 88.356 160.2142
315.360199 88.335 160.2498
317.645416 88.314 160.2980
319.947205 88.293 160.3551
322.265686 88.270 160.4161
324.600952 88.248 160.4756
326.953156 88.224 160.5293
329.322388 88.200 160.5761
331.708801 88.176 160.6169
334.112488 88.153 160.6541
336.533600 88.130 160.6901
338.972260 88.109 160.7265
341.428589 88.088 160.7635
343.902710 88.067 160.8018
346.394775 88.047 160.8416
348.904907 88.026 160.8832
351.433228 88.005 160.9264
353.979858 87.984 160.9703
356.544952 87.962 161.0145
359.128632 87.940 161.0587
361.731018 87.918 161.1035
364.352264 87.896 161.1498
366.992523 87.873 161.1985
369.651917 87.851 161.2498
