* Measurement data measured by REW V5.30.4
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 06 8, 24 6:15:17 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: T 4U Reference R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 76.503 -68.0462
20.287556 76.605 -67.9932
20.434568 76.756 -67.9650
20.582645 76.944 -68.0259
20.731796 77.154 -68.2231
20.882027 77.375 -68.5781
21.033346 77.593 -69.0870
21.185762 77.800 -69.7258
21.339283 77.989 -70.4573
21.493916 78.153 -71.2379
21.649670 78.293 -72.0228
21.806553 78.406 -72.7709
21.964573 78.496 -73.4482
22.123737 78.566 -74.0311
22.284056 78.619 -74.5080
22.445536 78.661 -74.8808
22.608185 78.696 -75.1640
22.772013 78.730 -75.3833
22.937029 78.764 -75.5713
23.103241 78.801 -75.7637
23.270657 78.841 -75.9934
23.439285 78.885 -76.2859
23.609137 78.929 -76.6560
23.780218 78.974 -77.1055
23.952539 79.017 -77.6237
24.126110 79.060 -78.1896
24.300938 79.102 -78.7746
24.477032 79.146 -79.3474
24.654402 79.194 -79.8782
24.833057 79.250 -80.3428
25.013008 79.315 -80.7264
25.194263 79.392 -81.0254
25.376831 79.481 -81.2468
25.560722 79.581 -81.4073
25.745945 79.689 -81.5291
25.932510 79.800 -81.6360
26.120428 79.909 -81.7499
26.309708 80.012 -81.8874
26.500359 80.103 -82.0589
26.692390 80.179 -82.2680
26.885815 80.239 -82.5132
27.080641 80.282 -82.7891
27.276878 80.311 -83.0889
27.474539 80.329 -83.4063
27.673630 80.341 -83.7366
27.874165 80.352 -84.0777
28.076153 80.367 -84.4303
28.279604 80.392 -84.7968
28.484529 80.427 -85.1804
28.690941 80.476 -85.5838
28.898848 80.538 -86.0084
29.108261 80.612 -86.4532
29.319191 80.693 -86.9158
29.531651 80.780 -87.3921
29.745649 80.867 -87.8777
29.961199 80.952 -88.3681
30.178310 81.032 -88.8594
30.396996 81.106 -89.3481
30.617264 81.172 -89.8313
30.839128 81.232 -90.3064
31.062601 81.287 -90.7709
31.287693 81.339 -91.2228
31.514416 81.390 -91.6603
31.742783 81.445 -92.0824
31.972803 81.504 -92.4889
32.204491 81.569 -92.8794
32.437859 81.638 -93.2535
32.672916 81.711 -93.6095
32.909679 81.785 -93.9446
33.148155 81.857 -94.2546
33.388359 81.924 -94.5362
33.630306 81.985 -94.7878
33.874004 82.038 -95.0120
34.119469 82.084 -95.2170
34.366711 82.126 -95.4157
34.615746 82.164 -95.6250
34.866585 82.202 -95.8613
35.119244 82.241 -96.1368
35.373734 82.283 -96.4566
35.630066 82.330 -96.8166
35.888256 82.382 -97.2053
36.148315 82.441 -97.6071
36.410259 82.506 -98.0079
36.674103 82.579 -98.3986
36.939857 82.655 -98.7775
37.207539 82.733 -99.1490
37.477161 82.808 -99.5198
37.748737 82.874 -99.8948
38.022282 82.929 -100.2741
38.297806 82.970 -100.6521
38.575329 82.999 -101.0205
38.854862 83.018 -101.3725
39.136421 83.033 -101.7068
39.420021 83.051 -102.0306
39.705673 83.076 -102.3574
39.993397 83.111 -102.7029
40.283207 83.157 -103.0784
40.575115 83.210 -103.4855
40.869141 83.266 -103.9144
41.165295 83.321 -104.3463
41.463596 83.371 -104.7592
41.764057 83.415 -105.1342
42.066696 83.455 -105.4617
42.371529 83.492 -105.7434
42.678570 83.529 -105.9922
42.987835 83.568 -106.2286
43.299343 83.612 -106.4752
43.613110 83.662 -106.7512
43.929150 83.718 -107.0671
44.247478 83.777 -107.4229
44.568115 83.840 -107.8079
44.891075 83.902 -108.2044
45.216373 83.964 -108.5926
45.544029 84.023 -108.9560
45.874062 84.078 -109.2862
46.206486 84.129 -109.5840
46.541317 84.175 -109.8593
46.878574 84.215 -110.1269
47.218277 84.251 -110.4026
47.560440 84.283 -110.6989
47.905083 84.313 -111.0234
48.252224 84.342 -111.3770
48.601879 84.374 -111.7552
48.954067 84.411 -112.1486
49.308807 84.454 -112.5453
49.666119 84.502 -112.9330
50.026020 84.555 -113.3022
50.388531 84.609 -113.6481
50.753666 84.662 -113.9716
51.121449 84.712 -114.2786
51.491894 84.756 -114.5773
51.865025 84.796 -114.8762
52.240860 84.832 -115.1816
52.619419 84.867 -115.4972
53.000721 84.905 -115.8230
53.384785 84.945 -116.1563
53.771633 84.990 -116.4921
54.161285 85.037 -116.8250
54.553761 85.084 -117.1507
54.949081 85.129 -117.4690
55.347263 85.170 -117.7839
55.748333 85.207 -118.1032
56.152309 85.241 -118.4362
56.559212 85.273 -118.7894
56.969063 85.305 -119.1641
57.381886 85.340 -119.5546
57.797699 85.377 -119.9483
58.216526 85.416 -120.3293
58.638386 85.456 -120.6825
59.063305 85.497 -120.9996
59.491302 85.536 -121.2818
59.922401 85.575 -121.5394
60.356625 85.610 -121.7855
60.793995 85.642 -122.0299
61.234531 85.669 -122.2761
61.678261 85.693 -122.5246
62.125206 85.717 -122.7798
62.575390 85.743 -123.0531
63.028835 85.775 -123.3599
63.485569 85.811 -123.7105
63.945610 85.850 -124.1028
64.408989 85.891 -124.5223
64.875725 85.931 -124.9490
65.345840 85.969 -125.3655
65.819366 86.007 -125.7623
66.296318 86.043 -126.1367
66.776726 86.078 -126.4898
67.260620 86.113 -126.8233
67.748016 86.148 -127.1391
68.238945 86.183 -127.4417
68.733429 86.217 -127.7401
69.231499 86.250 -128.0463
69.733177 86.278 -128.3680
70.238495 86.303 -128.7022
70.747475 86.325 -129.0370
71.260139 86.350 -129.3636
71.776520 86.382 -129.6903
72.296638 86.424 -130.0420
72.820526 86.471 -130.4428
73.348213 86.516 -130.8942
73.879723 86.550 -131.3677
74.415085 86.571 -131.8186
74.954330 86.582 -132.2076
75.497482 86.588 -132.5143
76.044571 86.594 -132.7400
76.595619 86.606 -132.9059
77.150665 86.628 -133.0498
77.709732 86.658 -133.2164
78.272850 86.695 -133.4381
78.840050 86.733 -133.7198
79.411354 86.770 -134.0430
79.986801 86.804 -134.3837
80.566422 86.838 -134.7282
81.150238 86.869 -135.0733
81.738289 86.899 -135.4179
82.330597 86.925 -135.7575
82.927200 86.947 -136.0879
83.528122 86.966 -136.4089
84.133400 86.982 -136.7240
84.743065 86.995 -137.0378
85.357147 87.008 -137.3566
85.975677 87.021 -137.6871
86.598694 87.036 -138.0308
87.226227 87.052 -138.3813
87.858307 87.070 -138.7309
88.494965 87.090 -139.0805
89.136238 87.112 -139.4378
89.782158 87.133 -139.8055
90.432755 87.153 -140.1771
91.088066 87.173 -140.5425
91.748131 87.192 -140.8940
92.412979 87.210 -141.2257
93.082642 87.228 -141.5342
93.757156 87.246 -141.8222
94.436562 87.264 -142.0993
95.120888 87.280 -142.3766
95.810173 87.295 -142.6619
96.504456 87.309 -142.9568
97.203766 87.321 -143.2581
97.908142 87.333 -143.5608
98.617622 87.345 -143.8607
99.332245 87.358 -144.1557
100.052048 87.371 -144.4460
100.777069 87.383 -144.7328
101.507339 87.394 -145.0189
102.242905 87.405 -145.3058
102.983795 87.416 -145.5916
103.730057 87.428 -145.8724
104.481728 87.438 -146.1467
105.238846 87.446 -146.4186
106.001450 87.453 -146.6963
106.769577 87.459 -146.9846
107.543274 87.467 -147.2793
108.322578 87.479 -147.5726
109.107529 87.495 -147.8646
109.898170 87.518 -148.1653
110.694534 87.547 -148.4795
111.496674 87.582 -148.7940
112.304626 87.619 -149.0870
113.118431 87.649 -149.3472
113.938133 87.667 -149.5758
114.763779 87.674 -149.7708
115.595406 87.676 -149.9236
116.433060 87.678 -150.0374
117.276779 87.681 -150.1443
118.126617 87.685 -150.2956
118.982613 87.688 -150.5332
119.844810 87.688 -150.8647
120.713257 87.678 -151.2542
121.587997 87.657 -151.6442
122.469070 87.630 -151.9967
123.356529 87.604 -152.3056
124.250420 87.582 -152.5787
125.150787 87.563 -152.8268
126.057678 87.543 -153.0610
126.971146 87.520 -153.2857
127.891228 87.492 -153.4925
128.817978 87.458 -153.6601
129.751450 87.419 -153.7541
130.691681 87.380 -153.7419
131.638733 87.346 -153.6299
132.592636 87.323 -153.4826
133.553452 87.315 -153.3939
134.521240 87.326 -153.4303
135.496033 87.358 -153.5921
136.477890 87.408 -153.8263
137.466858 87.471 -154.0647
138.462997 87.546 -154.2415
139.466354 87.633 -154.3111
140.476990 87.732 -154.2959
141.494949 87.836 -154.2826
142.520279 87.931 -154.3451
143.553040 88.008 -154.5074
144.593277 88.066 -154.7608
145.641052 88.109 -155.0869
146.696426 88.141 -155.4660
147.759445 88.165 -155.8794
148.830170 88.183 -156.3111
149.908661 88.196 -156.7460
150.994965 88.206 -157.1720
152.089142 88.212 -157.5859
153.191238 88.216 -157.9916
154.301331 88.219 -158.3913
155.419464 88.219 -158.7819
156.545700 88.218 -159.1578
157.680099 88.214 -159.5134
158.822708 88.210 -159.8461
159.973602 88.203 -160.1601
161.132843 88.196 -160.4651
162.300476 88.189 -160.7713
163.476578 88.182 -161.0835
164.661194 88.175 -161.4007
165.854401 88.168 -161.7204
167.056244 88.161 -162.0426
168.266800 88.155 -162.3714
169.486130 88.151 -162.7126
170.714294 88.148 -163.0694
171.951355 88.146 -163.4408
173.197388 88.144 -163.8184
174.452454 88.140 -164.1871
175.716614 88.133 -164.5265
176.989929 88.124 -164.8141
178.272476 88.114 -165.0343
179.564316 88.103 -165.1890
180.865509 88.093 -165.2991
182.176132 88.087 -165.3940
183.496262 88.082 -165.5001
184.825958 88.079 -165.6319
186.165283 88.076 -165.7919
187.514313 88.072 -165.9746
188.873123 88.067 -166.1717
190.241776 88.062 -166.3754
191.620346 88.056 -166.5808
193.008911 88.050 -166.7868
194.407532 88.044 -166.9930
195.816284 88.037 -167.1977
197.235245 88.030 -167.3988
198.664490 88.023 -167.5958
200.104095 88.016 -167.7894
201.554138 88.009 -167.9820
203.014679 88.001 -168.1749
204.485809 87.993 -168.3678
205.967590 87.984 -168.5594
207.460114 87.976 -168.7490
208.963455 87.968 -168.9358
210.477692 87.960 -169.1197
212.002899 87.951 -169.3011
213.539154 87.943 -169.4804
215.086548 87.934 -169.6582
216.645157 87.925 -169.8346
218.215057 87.916 -170.0098
219.796341 87.906 -170.1835
221.389069 87.896 -170.3546
222.993347 87.886 -170.5222
224.609253 87.875 -170.6855
226.236862 87.865 -170.8434
227.876266 87.854 -170.9959
229.527557 87.843 -171.1439
231.190811 87.832 -171.2887
232.866119 87.821 -171.4331
234.553558 87.809 -171.5797
236.253235 87.796 -171.7305
237.965225 87.784 -171.8851
239.689621 87.772 -172.0387
241.426514 87.762 -172.1847
243.175995 87.752 -172.3194
244.938141 87.743 -172.4430
246.713058 87.734 -172.5574
248.500839 87.724 -172.6660
250.301575 87.715 -172.7722
252.115356 87.705 -172.8754
253.942291 87.697 -172.9719
255.782455 87.690 -173.0584
257.635956 87.686 -173.1352
259.502899 87.684 -173.2067
261.383362 87.682 -173.2809
263.277466 87.680 -173.3680
265.185272 87.677 -173.4749
267.106903 87.673 -173.6002
269.042480 87.670 -173.7389
270.992065 87.668 -173.8847
272.955780 87.667 -174.0320
274.933716 87.667 -174.1788
276.925995 87.667 -174.3240
278.932709 87.666 -174.4664
280.953979 87.664 -174.6064
282.989899 87.660 -174.7459
285.040558 87.654 -174.8850
287.106079 87.645 -175.0201
289.186554 87.635 -175.1478
291.282104 87.625 -175.2680
293.392853 87.615 -175.3831
295.518890 87.605 -175.4960
297.660339 87.596 -175.6099
299.817322 87.586 -175.7278
301.989929 87.577 -175.8488
304.178284 87.567 -175.9685
306.382477 87.556 -176.0828
308.602661 87.544 -176.1922
310.838928 87.533 -176.3007
313.091400 87.524 -176.4098
315.360199 87.516 -176.5182
317.645416 87.509 -176.6246
319.947205 87.502 -176.7282
322.265686 87.494 -176.8294
324.600952 87.485 -176.9290
326.953156 87.475 -177.0275
329.322388 87.464 -177.1256
331.708801 87.453 -177.2235
334.112488 87.442 -177.3212
