* Measurement data measured by REW V5.20.13
* Source: Microphone (3- JM6PRO (CX31993+MAX97220)), MICROPHONE (Master Volume), R, volume: 0.800
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 11, 2024 11:03:05 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tanchjim ONE L
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 132.886 61.6175
20.507813 132.916 61.2662
20.874023 132.991 60.3550
21.240234 133.055 59.4940
21.606445 133.110 58.7598
21.972656 133.169 58.0957
22.338867 133.231 57.4779
22.705078 133.294 56.8702
23.071289 133.354 56.2377
23.437500 133.406 55.5736
23.803711 133.451 54.8936
24.169922 133.492 54.2241
24.536133 133.536 53.5891
24.902344 133.587 53.0016
25.268555 133.645 52.4628
25.634766 133.708 51.9648
26.000977 133.769 51.4943
26.367188 133.822 51.0354
26.733399 133.863 50.5736
27.099610 133.890 50.0985
27.465821 133.907 49.6055
27.832032 133.920 49.0940
28.198243 133.935 48.5660
28.564454 133.956 48.0256
28.930665 133.987 47.4811
29.296876 134.023 46.9473
29.663087 134.061 46.4434
30.029298 134.095 45.9863
30.395509 134.124 45.5817
30.761720 134.147 45.2202
31.127931 134.165 44.8803
31.494142 134.180 44.5382
31.860353 134.193 44.1771
32.226563 134.208 43.7920
32.592774 134.226 43.3884
32.958985 134.247 42.9773
33.325196 134.271 42.5705
33.691407 134.296 42.1779
34.057618 134.321 41.8061
34.423829 134.342 41.4578
34.790040 134.358 41.1317
35.156251 134.370 40.8228
35.522462 134.380 40.5230
35.888673 134.389 40.2220
36.254884 134.399 39.9101
36.621095 134.412 39.5823
36.987306 134.427 39.2420
37.353517 134.441 38.9022
37.719728 134.454 38.5810
38.085939 134.464 38.2922
38.452150 134.472 38.0371
38.818361 134.478 37.8028
39.184572 134.482 37.5699
39.550783 134.485 37.3223
39.916994 134.489 37.0540
40.283205 134.495 36.7675
40.649416 134.507 36.4687
41.015627 134.524 36.1638
41.381838 134.542 35.8608
41.748049 134.559 35.5719
42.114260 134.568 35.3107
42.480471 134.569 35.0838
42.846682 134.562 34.8830
43.212893 134.553 34.6881
43.579103 134.544 34.4783
43.945314 134.539 34.2449
44.311525 134.542 33.9951
44.677736 134.552 33.7456
45.043947 134.567 33.5125
45.410158 134.582 33.3069
45.776369 134.590 33.1356
46.142580 134.587 32.9983
46.508791 134.575 32.8779
46.875002 134.560 32.7347
47.241213 134.550 32.5182
47.607424 134.548 32.2004
47.973635 134.551 31.8100
48.339846 134.558 31.4353
48.706057 134.568 31.1792
49.072268 134.581 31.0900
49.438479 134.594 31.1206
49.804690 134.593 31.1542
50.170901 134.553 31.0885
50.537112 134.454 30.9173
50.903323 134.293 30.7449
51.269534 134.096 30.7093
51.635745 133.919 30.8653
52.001956 133.822 31.1152
52.368167 133.840 31.2500
52.734378 133.961 31.0809
53.100589 134.131 30.5660
53.466800 134.297 29.8419
53.833011 134.422 29.1419
54.199222 134.497 28.6631
54.565432 134.532 28.4705
54.931643 134.544 28.4887
55.297854 134.544 28.5711
55.664065 134.537 28.5913
56.030276 134.523 28.4985
56.396487 134.505 28.3151
56.762698 134.488 28.0963
57.128909 134.477 27.8883
57.495120 134.475 27.7102
57.861331 134.479 27.5615
58.227542 134.482 27.4374
58.593753 134.481 27.3363
58.959964 134.473 27.2573
59.326175 134.461 27.1951
59.692386 134.448 27.1395
60.058597 134.437 27.0797
60.424808 134.429 27.0106
60.791019 134.422 26.9333
61.157230 134.417 26.8522
61.523441 134.411 26.7693
61.889652 134.405 26.6819
62.255863 134.397 26.5837
62.622074 134.389 26.4680
62.988285 134.381 26.3310
63.354496 134.375 26.1729
63.720707 134.371 25.9987
64.086918 134.369 25.8169
64.453129 134.368 25.6380
64.819340 134.366 25.4726
65.185551 134.364 25.3290
65.551762 134.359 25.2101
65.917972 134.352 25.1137
66.284183 134.344 25.0325
66.650394 134.334 24.9570
67.016605 134.324 24.8785
67.382816 134.314 24.7920
67.749027 134.305 24.6965
68.115238 134.295 24.5951
68.481449 134.286 24.4926
68.847660 134.277 24.3937
69.213871 134.267 24.3017
69.580082 134.258 24.2175
69.946293 134.248 24.1408
70.312504 134.238 24.0699
70.678715 134.227 24.0019
71.044926 134.217 23.9335
71.411137 134.207 23.8611
71.777348 134.197 23.7817
72.143559 134.188 23.6944
72.509770 134.179 23.6006
72.875981 134.170 23.5037
73.242192 134.160 23.4081
73.608403 134.151 23.3171
73.974614 134.142 23.2324
74.340825 134.133 23.1540
74.707036 134.123 23.0812
75.073247 134.113 23.0134
75.439458 134.102 22.9504
75.805669 134.091 22.8925
76.171880 134.080 22.8392
76.538091 134.070 22.7893
76.904301 134.060 22.7407
77.270512 134.051 22.6911
77.636723 134.041 22.6389
78.002934 134.031 22.5834
78.369145 134.020 22.5240
78.735356 134.008 22.4598
79.101567 133.994 22.3892
79.467778 133.980 22.3103
79.833989 133.965 22.2224
80.200200 133.949 22.1271
80.566411 133.935 22.0282
80.932622 133.921 21.9311
81.298833 133.910 21.8405
81.665044 133.900 21.7594
82.031255 133.894 21.6888
82.397466 133.889 21.6278
82.763677 133.885 21.5755
83.129888 133.882 21.5310
83.496099 133.877 21.4938
83.862310 133.872 21.4635
84.228521 133.865 21.4389
84.594732 133.857 21.4185
84.960943 133.848 21.4006
85.327154 133.838 21.3837
85.693365 133.827 21.3664
86.059576 133.815 21.3477
86.425787 133.803 21.3257
86.791998 133.791 21.2985
87.158209 133.779 21.2640
87.524420 133.768 21.2207
87.890631 133.756 21.1684
88.256841 133.746 21.1089
88.623052 133.735 21.0450
88.989263 133.725 20.9811
89.355474 133.715 20.9214
89.721685 133.705 20.8693
90.087896 133.694 20.8268
90.454107 133.682 20.7941
90.820318 133.668 20.7696
91.186529 133.655 20.7508
91.552740 133.640 20.7348
91.918951 133.626 20.7190
92.285162 133.613 20.7017
92.651373 133.601 20.6818
93.017584 133.590 20.6588
93.383795 133.580 20.6329
93.750006 133.570 20.6039
94.116217 133.559 20.5719
94.482428 133.547 20.5373
94.848639 133.533 20.5004
95.214850 133.518 20.4620
95.581061 133.503 20.4225
95.947272 133.488 20.3820
96.313483 133.475 20.3400
96.679694 133.464 20.2952
97.045905 133.457 20.2463
97.412116 133.450 20.1925
97.778327 133.445 20.1345
98.144538 133.438 20.0750
98.510749 133.429 20.0179
98.876960 133.417 19.9679
99.243170 133.403 19.9286
99.609381 133.389 19.9021
99.975592 133.374 19.8881
100.341803 133.360 19.8852
100.708014 133.346 19.8915
101.074225 133.333 19.9055
101.440436 133.320 19.9261
101.806647 133.307 19.9512
102.172858 133.292 19.9767
102.539069 133.278 19.9959
102.905280 133.264 20.0004
103.271491 133.250 19.9826
103.637702 133.238 19.9385
104.003913 133.227 19.8699
104.370124 133.217 19.7846
104.736335 133.208 19.6948
105.102546 133.200 19.6135
105.468757 133.193 19.5512
105.834968 133.185 19.5138
106.201179 133.178 19.5020
106.567390 133.169 19.5120
106.933601 133.160 19.5376
107.299812 133.150 19.5717
107.666023 133.138 19.6079
108.032234 133.124 19.6408
108.398445 133.110 19.6661
108.764656 133.096 19.6803
109.130867 133.082 19.6811
109.497078 133.068 19.6671
109.863289 133.055 19.6383
110.229500 133.042 19.5965
110.595710 133.031 19.5451
110.961921 133.020 19.4892
111.328132 133.011 19.4354
111.694343 133.003 19.3904
112.060554 132.996 19.3605
112.426765 132.989 19.3498
112.792976 132.984 19.3591
113.159187 132.977 19.3850
113.525398 132.970 19.4207
113.891609 132.961 19.4573
114.257820 132.949 19.4854
114.624031 132.935 19.4979
114.990242 132.919 19.4906
115.356453 132.901 19.4633
115.722664 132.883 19.4187
116.088875 132.867 19.3620
116.455086 132.854 19.2994
116.821297 132.844 19.2372
117.187508 132.836 19.1809
117.553719 132.830 19.1343
117.919930 132.824 19.0987
118.286141 132.819 19.0729
118.652352 132.812 19.0537
119.018563 132.804 19.0375
119.384774 132.796 19.0222
119.750985 132.787 19.0097
120.117196 132.776 19.0069
120.483407 132.765 19.0255
120.849618 132.751 19.0790
121.215829 132.736 19.1791
121.582040 132.719 19.3304
121.948250 132.700 19.5274
122.314461 132.680 19.7524
122.680672 132.660 19.9789
123.046883 132.641 20.1757
123.413094 132.622 20.3147
123.779305 132.604 20.3771
124.145516 132.586 20.3581
124.511727 132.567 20.2673
124.877938 132.548 20.1257
125.244149 132.529 19.9603
125.610360 132.510 19.7976
125.976571 132.490 19.6580
126.342782 132.472 19.5531
126.708993 132.455 19.4852
127.075204 132.440 19.4500
127.441415 132.426 19.4387
127.807626 132.415 19.4419
128.173837 132.405 19.4518
128.540048 132.398 19.4630
128.906259 132.394 19.4729
129.272470 132.392 19.4812
129.638681 132.391 19.4889
130.004892 132.391 19.4973
130.371103 132.392 19.5073
130.737314 132.391 19.5192
131.103525 132.388 19.5322
131.469736 132.383 19.5447
131.835947 132.375 19.5550
132.202158 132.366 19.5617
132.568369 132.354 19.5642
132.934579 132.342 19.5628
133.300790 132.329 19.5593
133.667001 132.316 19.5560
134.033212 132.303 19.5558
134.399423 132.291 19.5606
134.765634 132.280 19.5717
135.131845 132.269 19.5885
135.498056 132.259 19.6090
135.864267 132.249 19.6300
136.230478 132.240 19.6478
136.596689 132.230 19.6586
136.962900 132.220 19.6594
137.329111 132.210 19.6484
137.695322 132.198 19.6255
138.061533 132.185 19.5926
138.427744 132.170 19.5527
138.793955 132.154 19.5102
139.160166 132.136 19.4697
139.526377 132.118 19.4356
139.892588 132.099 19.4115
140.258799 132.079 19.4000
140.625010 132.061 19.4025
140.991221 132.043 19.4195
141.357432 132.025 19.4505
141.723643 132.009 19.4942
142.089854 131.994 19.5484
142.456065 131.979 19.6103
142.822276 131.965 19.6760
143.188487 131.952 19.7413
143.554698 131.939 19.8015
143.920909 131.927 19.8523
144.287119 131.915 19.8899
144.653330 131.904 19.9114
145.019541 131.893 19.9154
145.385752 131.882 19.9022
145.751963 131.872 19.8739
146.118174 131.862 19.8337
146.484385 131.852 19.7859
146.850596 131.842 19.7346
147.216807 131.832 19.6832
147.583018 131.821 19.6335
147.949229 131.811 19.5858
148.315440 131.799 19.5389
148.681651 131.787 19.4911
149.047862 131.774 19.4407
149.414073 131.759 19.3871
149.780284 131.742 19.3315
150.146495 131.725 19.2770
150.512706 131.707 19.2287
150.878917 131.689 19.1922
151.245128 131.671 19.1735
151.611339 131.655 19.1768
151.977550 131.642 19.2039
152.343761 131.630 19.2540
152.709972 131.622 19.3232
153.076183 131.616 19.4056
153.442394 131.611 19.4946
153.808605 131.608 19.5838
154.174816 131.604 19.6679
154.541027 131.601 19.7434
154.907238 131.596 19.8088
155.273448 131.589 19.8641
155.639659 131.582 19.9107
156.005870 131.572 19.9506
156.372081 131.561 19.9862
156.738292 131.549 20.0193
157.104503 131.536 20.0513
157.470714 131.522 20.0829
157.836925 131.508 20.1139
158.203136 131.494 20.1441
158.569347 131.481 20.1730
158.935558 131.469 20.2009
159.301769 131.458 20.2281
159.667980 131.448 20.2558
160.034191 131.439 20.2853
160.400402 131.431 20.3177
160.766613 131.424 20.3540
161.132824 131.418 20.3941
161.499035 131.412 20.4374
161.865246 131.406 20.4823
162.231457 131.400 20.5268
162.597668 131.394 20.5683
162.963879 131.387 20.6044
163.330090 131.380 20.6330
163.696301 131.373 20.6529
164.062512 131.364 20.6640
164.428723 131.356 20.6672
164.794934 131.346 20.6645
165.161145 131.335 20.6587
165.527356 131.324 20.6529
165.893567 131.311 20.6503
166.259778 131.298 20.6537
166.625988 131.284 20.6647
166.992199 131.270 20.6841
167.358410 131.257 20.7106
167.724621 131.245 20.7419
168.090832 131.235 20.7738
168.457043 131.227 20.8013
168.823254 131.221 20.8188
169.189465 131.217 20.8213
169.555676 131.214 20.8047
169.921887 131.212 20.7670
170.288098 131.209 20.7089
170.654309 131.204 20.6334
171.020520 131.197 20.5463
171.386731 131.187 20.4551
171.752942 131.175 20.3684
172.119153 131.160 20.2948
172.485364 131.142 20.2419
