* Measurement data measured by REW V5.31.3
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 10 28, 24 11:19:55 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tanchjim Origin R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 32.380 8.2769
0.368865 32.411 8.3948
0.371538 32.456 8.5695
0.374230 32.511 8.7855
0.376942 32.574 9.0295
0.379673 32.640 9.2919
0.382424 32.710 9.5665
0.385196 32.781 9.8494
0.387987 32.854 10.1383
0.390798 32.927 10.4322
0.393630 33.001 10.7302
0.396483 33.076 11.0320
0.399356 33.151 11.3375
0.402250 33.226 11.6465
0.405165 33.303 11.9589
0.408101 33.380 12.2748
0.411058 33.457 12.5940
0.414037 33.535 12.9165
0.417037 33.614 13.2423
0.420059 33.693 13.5713
0.423103 33.773 13.9034
0.426169 33.853 14.2385
0.429257 33.934 14.5767
0.432368 34.015 14.9177
0.435501 34.097 15.2615
0.438656 34.180 15.6081
0.441835 34.263 15.9572
0.445037 34.347 16.3089
0.448262 34.432 16.6629
0.451510 34.517 17.0191
0.454782 34.602 17.3775
0.458077 34.689 17.7378
0.461397 34.776 18.0999
0.464740 34.863 18.4637
0.468108 34.952 18.8290
0.471500 35.040 19.1956
0.474917 35.130 19.5633
0.478358 35.220 19.9320
0.481825 35.311 20.3014
0.485316 35.402 20.6713
0.488833 35.494 21.0416
0.492375 35.587 21.4120
0.495943 35.681 21.7823
0.499537 35.775 22.1523
0.503157 35.870 22.5217
0.506803 35.965 22.8903
0.510475 36.061 23.2579
0.514175 36.158 23.6241
0.517900 36.256 23.9888
0.521653 36.354 24.3517
0.525434 36.453 24.7125
0.529241 36.553 25.0710
0.533076 36.654 25.4269
0.536939 36.755 25.7800
0.540830 36.857 26.1299
0.544749 36.959 26.4764
0.548696 37.063 26.8192
0.552673 37.167 27.1581
0.556677 37.272 27.4929
0.560711 37.378 27.8232
0.564774 37.484 28.1487
0.568867 37.591 28.4693
0.572989 37.699 28.7847
0.577141 37.808 29.0947
0.581324 37.918 29.3989
0.585536 38.028 29.6971
0.589779 38.139 29.9892
0.594053 38.251 30.2750
0.598358 38.364 30.5540
0.602694 38.478 30.8263
0.607061 38.592 31.0915
0.611460 38.708 31.3496
0.615891 38.824 31.6002
0.620354 38.941 31.8433
0.624849 39.058 32.0786
0.629377 39.177 32.3060
0.633938 39.297 32.5254
0.638532 39.417 32.7366
0.643159 39.538 32.9395
0.647819 39.661 33.1340
0.652514 39.784 33.3200
0.657242 39.907 33.4973
0.662005 40.032 33.6660
0.666802 40.158 33.8260
0.671634 40.285 33.9771
0.676501 40.412 34.1193
0.681403 40.541 34.2527
0.686341 40.670 34.3772
0.691314 40.801 34.4927
0.696324 40.932 34.5995
0.701370 41.064 34.6975
0.706452 41.197 34.7870
0.711571 41.332 34.8683
0.716728 41.467 34.9421
0.721921 41.603 35.0092
0.727153 41.741 35.0709
0.732422 41.879 35.1288
0.737729 42.019 35.1850
0.743075 42.160 35.2411
0.748460 42.302 35.2985
0.753883 42.446 35.3579
0.759346 42.591 35.4196
0.764849 42.738 35.4836
0.770391 42.886 35.5497
0.775974 43.036 35.6174
0.781597 43.187 35.6864
0.787261 43.340 35.7561
0.792966 43.494 35.8261
0.798712 43.649 35.8960
0.804500 43.806 35.9652
0.810329 43.964 36.0332
0.816201 44.124 36.0998
0.822116 44.285 36.1644
0.828073 44.447 36.2267
0.834074 44.611 36.2862
0.840118 44.776 36.3426
0.846206 44.942 36.3955
0.852338 45.109 36.4445
0.858514 45.278 36.4894
0.864735 45.447 36.5298
0.871001 45.618 36.5654
0.877313 45.790 36.5958
0.883670 45.963 36.6209
0.890074 46.137 36.6403
0.896524 46.312 36.6538
0.903020 46.488 36.6611
0.909564 46.665 36.6620
0.916155 46.842 36.6562
0.922794 47.021 36.6436
0.929481 47.200 36.6238
0.936216 47.380 36.5968
0.943000 47.560 36.5622
0.949834 47.741 36.5200
0.956717 47.923 36.4699
0.963649 48.105 36.4119
0.970632 48.288 36.3456
0.977666 48.470 36.2710
0.984750 48.653 36.1879
0.991886 48.837 36.0963
0.999074 49.020 35.9958
1.006314 49.203 35.8866
1.013606 49.387 35.7683
1.020951 49.570 35.6410
1.028349 49.753 35.5045
1.035801 49.935 35.3587
1.043307 50.117 35.2037
1.050867 50.299 35.0395
1.058482 50.480 34.8661
1.066152 50.660 34.6838
1.073878 50.840 34.4930
1.081660 51.019 34.2944
1.089498 51.197 34.0893
1.097393 51.374 33.8790
1.105345 51.551 33.6654
1.113355 51.727 33.4504
1.121423 51.902 33.2352
1.129549 52.077 33.0209
1.137734 52.251 32.8080
1.145979 52.425 32.5965
1.154283 52.599 32.3865
1.162647 52.772 32.1777
1.171072 52.944 31.9699
1.179558 53.116 31.7627
1.188106 53.288 31.5558
1.196715 53.459 31.3488
1.205387 53.630 31.1414
1.214122 53.801 30.9333
1.222920 53.971 30.7242
1.231782 54.141 30.5136
1.240708 54.310 30.3014
1.249699 54.480 30.0871
1.258754 54.648 29.8705
1.267876 54.817 29.6512
1.277063 54.985 29.4291
1.286318 55.153 29.2037
1.295639 55.321 28.9747
1.305027 55.489 28.7420
1.314484 55.657 28.5053
1.324009 55.824 28.2642
1.333604 55.991 28.0185
1.343268 56.159 27.7679
1.353002 56.326 27.5122
1.362806 56.493 27.2511
1.372681 56.660 26.9844
1.382628 56.828 26.7118
1.392647 56.995 26.4332
1.402739 57.163 26.1483
1.412904 57.330 25.8571
1.423142 57.498 25.5595
1.433455 57.666 25.2558
1.443843 57.835 24.9464
1.454305 58.003 24.6320
1.464844 58.171 24.3137
1.475459 58.339 23.9927
1.486150 58.507 23.6703
1.496920 58.674 23.3475
1.507767 58.840 23.0247
1.518693 59.006 22.7024
1.529698 59.171 22.3805
1.540783 59.336 22.0589
1.551948 59.500 21.7372
1.563194 59.663 21.4153
1.574521 59.826 21.0927
1.585931 59.988 20.7692
1.597423 60.149 20.4444
1.608999 60.310 20.1178
1.620658 60.470 19.7892
1.632402 60.630 19.4582
1.644232 60.790 19.1244
1.656146 60.949 18.7875
1.668147 61.107 18.4471
1.680235 61.266 18.1028
1.692411 61.424 17.7544
1.704675 61.581 17.4015
1.717028 61.739 17.0436
1.729470 61.896 16.6806
1.742003 62.053 16.3121
1.754626 62.210 15.9378
1.767341 62.367 15.5574
1.780147 62.524 15.1707
1.793047 62.681 14.7778
1.806040 62.837 14.3786
1.819128 62.994 13.9736
1.832310 63.150 13.5632
1.845587 63.306 13.1483
1.858961 63.462 12.7296
1.872432 63.617 12.3078
1.886001 63.771 11.8835
1.899667 63.924 11.4571
1.913433 64.077 11.0288
1.927299 64.229 10.5987
1.941265 64.380 10.1671
1.955332 64.530 9.7339
1.969501 64.680 9.2992
1.983773 64.829 8.8629
1.998148 64.978 8.4249
2.012627 65.126 7.9852
2.027212 65.273 7.5437
2.041902 65.420 7.1003
2.056698 65.566 6.6549
2.071602 65.712 6.2072
2.086614 65.858 5.7572
2.101734 66.003 5.3046
2.116964 66.148 4.8492
2.132304 66.293 4.3908
2.147756 66.437 3.9293
2.163320 66.581 3.4644
2.178996 66.725 2.9960
2.194786 66.868 2.5241
2.210690 67.011 2.0486
2.226710 67.153 1.5697
2.242845 67.295 1.0877
2.259098 67.435 0.6028
2.275468 67.575 0.1153
2.291957 67.714 -0.3745
2.308566 67.852 -0.8663
2.325295 67.990 -1.3599
2.342145 68.126 -1.8551
2.359117 68.262 -2.3517
2.376212 68.397 -2.8494
2.393431 68.532 -3.3483
2.410775 68.666 -3.8481
2.428244 68.799 -4.3487
2.445840 68.932 -4.8503
2.463564 69.064 -5.3527
2.481416 69.196 -5.8560
2.499397 69.327 -6.3604
2.517509 69.458 -6.8660
2.535752 69.588 -7.3730
2.554127 69.718 -7.8819
2.572635 69.847 -8.3929
2.591277 69.976 -8.9064
2.610055 70.104 -9.4226
2.628968 70.231 -9.9414
2.648019 70.357 -10.4627
2.667208 70.482 -10.9862
2.686535 70.606 -11.5115
2.706003 70.729 -12.0382
2.725612 70.852 -12.5660
2.745363 70.974 -13.0946
2.765257 71.095 -13.6234
2.785295 71.215 -14.1523
2.805478 71.335 -14.6810
2.825808 71.454 -15.2092
2.846285 71.573 -15.7368
2.866910 71.691 -16.2637
2.887685 71.809 -16.7902
2.908611 71.926 -17.3164
2.929688 72.042 -17.8429
2.950917 72.158 -18.3701
2.972301 72.273 -18.8984
2.993839 72.387 -19.4283
3.015534 72.500 -19.9596
3.037386 72.612 -20.4921
3.059396 72.724 -21.0257
3.081565 72.835 -21.5598
3.103896 72.944 -22.0941
3.126388 73.053 -22.6281
3.149043 73.162 -23.1613
3.171862 73.270 -23.6935
3.194847 73.377 -24.2241
3.217998 73.484 -24.7530
3.241317 73.590 -25.2802
3.264805 73.696 -25.8056
3.288463 73.801 -26.3296
3.312293 73.905 -26.8527
3.336295 74.009 -27.3753
3.360471 74.112 -27.8977
3.384822 74.214 -28.4203
3.409350 74.316 -28.9428
3.434056 74.417 -29.4651
3.458940 74.517 -29.9869
3.484005 74.616 -30.5079
3.509252 74.715 -31.0277
3.534681 74.813 -31.5458
3.560295 74.911 -32.0620
3.586094 75.008 -32.5761
3.612081 75.105 -33.0878
3.638255 75.202 -33.5973
3.664620 75.298 -34.1048
3.691175 75.393 -34.6105
3.717923 75.488 -35.1149
3.744864 75.583 -35.6182
3.772001 75.676 -36.1205
3.799335 75.770 -36.6218
3.826866 75.862 -37.1219
3.854597 75.955 -37.6208
3.882529 76.046 -38.1181
3.910664 76.138 -38.6137
3.939002 76.229 -39.1073
3.967546 76.320 -39.5990
3.996296 76.411 -40.0886
4.025255 76.501 -40.5762
4.054423 76.591 -41.0620
4.083804 76.681 -41.5461
4.113396 76.770 -42.0288
4.143204 76.859 -42.5102
4.173227 76.947 -42.9905
4.203468 77.036 -43.4695
4.233928 77.124 -43.9475
4.264609 77.211 -44.4243
4.295512 77.299 -44.9000
4.326639 77.386 -45.3746
4.357992 77.473 -45.8480
4.389572 77.560 -46.3203
4.421380 77.647 -46.7917
4.453419 77.734 -47.2622
4.485691 77.820 -47.7319
4.518196 77.907 -48.2010
4.550936 77.993 -48.6696
4.583914 78.078 -49.1378
4.617131 78.164 -49.6057
4.650589 78.250 -50.0734
4.684289 78.335 -50.5411
4.718233 78.420 -51.0087
4.752424 78.505 -51.4765
4.786862 78.590 -51.9445
4.821549 78.675 -52.4128
4.856488 78.759 -52.8814
4.891680 78.843 -53.3503
4.927127 78.927 -53.8198
4.962831 79.011 -54.2898
4.998794 79.095 -54.7604
5.035017 79.178 -55.2318
5.071503 79.261 -55.7040
5.108253 79.344 -56.1772
5.145270 79.427 -56.6515
5.182555 79.509 -57.1270
5.220110 79.591 -57.6037
5.257937 79.673 -58.0816
5.296038 79.755 -58.5607
5.334415 79.836 -59.0408
5.373071 79.917 -59.5220
5.412006 79.997 -60.0042
5.451224 80.077 -60.4876
5.490725 80.157 -60.9722
5.530514 80.236 -61.4581
5.570590 80.315 -61.9453
5.610957 80.393 -62.4339
5.651616 80.471 -62.9236
5.692570 80.548 -63.4144
5.733821 80.625 -63.9060
5.775370 80.701 -64.3982
5.817221 80.777 -64.8911
5.859375 80.852 -65.3845
5.901834 80.927 -65.8786
5.944602 81.001 -66.3735
5.987679 81.075 -66.8689
6.031068 81.148 -67.3649
6.074771 81.220 -67.8610
6.118792 81.292 -68.3570
6.163131 81.363 -68.8527
6.207792 81.434 -69.3480
6.252776 81.504 -69.8429
6.298086 81.573 -70.3374
6.343725 81.642 -70.8314
6.389694 81.711 -71.3250
6.435996 81.778 -71.8177
6.482634 81.846 -72.3095
6.529610 81.912 -72.8000
6.576926 81.978 -73.2891
6.624585 82.044 -73.7769
6.672590 82.109 -74.2632
6.720942 82.174 -74.7483
6.769645 82.238 -75.2319
6.818700 82.302 -75.7141
6.868111 82.365 -76.1946
