* Measurement data measured by REW V5.31.3
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.400
* Format: 256k Log Swept Sine, 1 sweep at -11.9 dBFS with no timing reference
* Dated: 04 29, 25 11:12:59 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tanchjim Zero Ultima R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 47.211 -13.7137
0.368865 47.203 -13.7004
0.371538 47.192 -13.6807
0.374230 47.178 -13.6565
0.376942 47.162 -13.6293
0.379673 47.145 -13.6004
0.382424 47.127 -13.5703
0.385196 47.109 -13.5396
0.387987 47.091 -13.5086
0.390798 47.072 -13.4774
0.393630 47.053 -13.4461
0.396483 47.034 -13.4146
0.399356 47.014 -13.3830
0.402250 46.995 -13.3513
0.405165 46.975 -13.3194
0.408101 46.956 -13.2873
0.411058 46.936 -13.2550
0.414037 46.916 -13.2225
0.417037 46.896 -13.1897
0.420059 46.875 -13.1565
0.423103 46.855 -13.1230
0.426169 46.834 -13.0892
0.429257 46.814 -13.0549
0.432368 46.793 -13.0201
0.435501 46.772 -12.9848
0.438656 46.750 -12.9490
0.441835 46.729 -12.9126
0.445037 46.707 -12.8755
0.448262 46.686 -12.8377
0.451510 46.664 -12.7992
0.454782 46.642 -12.7599
0.458077 46.620 -12.7197
0.461397 46.598 -12.6786
0.464740 46.575 -12.6365
0.468108 46.552 -12.5933
0.471500 46.530 -12.5491
0.474917 46.507 -12.5036
0.478358 46.484 -12.4569
0.481825 46.460 -12.4088
0.485316 46.437 -12.3593
0.488833 46.413 -12.3084
0.492375 46.389 -12.2558
0.495943 46.365 -12.2015
0.499537 46.341 -12.1455
0.503157 46.317 -12.0876
0.506803 46.292 -12.0278
0.510475 46.268 -11.9659
0.514175 46.243 -11.9018
0.517900 46.218 -11.8353
0.521653 46.193 -11.7665
0.525434 46.167 -11.6952
0.529241 46.142 -11.6212
0.533076 46.116 -11.5443
0.536939 46.090 -11.4646
0.540830 46.064 -11.3818
0.544749 46.037 -11.2957
0.548696 46.011 -11.2063
0.552673 45.984 -11.1134
0.556677 45.957 -11.0168
0.560711 45.930 -10.9163
0.564774 45.903 -10.8118
0.568867 45.875 -10.7031
0.572989 45.848 -10.5900
0.577141 45.820 -10.4723
0.581324 45.792 -10.3499
0.585536 45.763 -10.2224
0.589779 45.735 -10.0898
0.594053 45.706 -9.9518
0.598358 45.677 -9.8082
0.602694 45.648 -9.6588
0.607061 45.619 -9.5033
0.611460 45.589 -9.3416
0.615891 45.559 -9.1733
0.620354 45.529 -8.9983
0.624849 45.499 -8.8163
0.629377 45.469 -8.6271
0.633938 45.438 -8.4303
0.638532 45.407 -8.2259
0.643159 45.376 -8.0135
0.647819 45.345 -7.7928
0.652514 45.313 -7.5637
0.657242 45.282 -7.3259
0.662005 45.250 -7.0791
0.666802 45.217 -6.8232
0.671634 45.185 -6.5578
0.676501 45.152 -6.2827
0.681403 45.119 -5.9978
0.686341 45.086 -5.7029
0.691314 45.053 -5.3976
0.696324 45.020 -5.0820
0.701370 44.987 -4.7556
0.706452 44.954 -4.4185
0.711571 44.922 -4.0704
0.716728 44.893 -3.7110
0.721921 44.866 -3.3402
0.727153 44.844 -2.9577
0.732422 44.828 -2.5630
0.737729 44.819 -2.1557
0.743075 44.817 -1.7353
0.748460 44.821 -1.3016
0.753883 44.830 -0.8542
0.759346 44.842 -0.3931
0.764849 44.857 0.0817
0.770391 44.875 0.5701
0.775974 44.895 1.0720
0.781597 44.917 1.5872
0.787261 44.941 2.1153
0.792966 44.968 2.6561
0.798712 44.996 3.2092
0.804500 45.026 3.7741
0.810329 45.059 4.3505
0.816201 45.093 4.9378
0.822116 45.129 5.5354
0.828073 45.167 6.1428
0.834074 45.208 6.7592
0.840118 45.250 7.3840
0.846206 45.294 8.0165
0.852338 45.340 8.6557
0.858514 45.388 9.3008
0.864735 45.439 9.9510
0.871001 45.491 10.6052
0.877313 45.545 11.2625
0.883670 45.601 11.9218
0.890074 45.659 12.5821
0.896524 45.719 13.2422
0.903020 45.781 13.9010
0.909564 45.844 14.5574
0.916155 45.910 15.2101
0.922794 45.977 15.8579
0.929481 46.047 16.4997
0.936216 46.118 17.1342
0.943000 46.191 17.7602
0.949834 46.266 18.3765
0.956717 46.342 18.9819
0.963649 46.420 19.5751
0.970632 46.500 20.1551
0.977666 46.582 20.7207
0.984750 46.665 21.2706
0.991886 46.750 21.8040
0.999074 46.836 22.3197
1.006314 46.923 22.8167
1.013606 47.013 23.2940
1.020951 47.103 23.7508
1.028349 47.195 24.1861
1.035801 47.288 24.5992
1.043307 47.383 24.9894
1.050867 47.478 25.3561
1.058482 47.575 25.6990
1.066152 47.673 26.0178
1.073878 47.772 26.3127
1.081660 47.873 26.5847
1.089498 47.975 26.8351
1.097393 48.080 27.0661
1.105345 48.187 27.2803
1.113355 48.296 27.4806
1.121423 48.409 27.6691
1.129549 48.526 27.8474
1.137734 48.646 28.0161
1.145979 48.769 28.1757
1.154283 48.897 28.3260
1.162647 49.027 28.4669
1.171072 49.162 28.5981
1.179558 49.299 28.7191
1.188106 49.440 28.8296
1.196715 49.585 28.9292
1.205387 49.732 29.0176
1.214122 49.882 29.0945
1.222920 50.035 29.1596
1.231782 50.190 29.2125
1.240708 50.348 29.2531
1.249699 50.508 29.2811
1.258754 50.671 29.2962
1.267876 50.835 29.2983
1.277063 51.001 29.2871
1.286318 51.169 29.2624
1.295639 51.338 29.2240
1.305027 51.508 29.1718
1.314484 51.679 29.1054
1.324009 51.851 29.0249
1.333604 52.023 28.9298
1.343268 52.195 28.8200
1.353002 52.367 28.6954
1.362806 52.539 28.5556
1.372681 52.710 28.4005
1.382628 52.880 28.2299
1.392647 53.049 28.0434
1.402739 53.217 27.8410
1.412904 53.382 27.6224
1.423142 53.546 27.3876
1.433455 53.707 27.1366
1.443843 53.866 26.8698
1.454305 54.023 26.5877
1.464844 54.178 26.2915
1.475459 54.331 25.9822
1.486150 54.482 25.6614
1.496920 54.633 25.3303
1.507767 54.782 24.9898
1.518693 54.931 24.6408
1.529698 55.078 24.2838
1.540783 55.225 23.9192
1.551948 55.372 23.5473
1.563194 55.518 23.1684
1.574521 55.663 22.7826
1.585931 55.807 22.3902
1.597423 55.951 21.9912
1.608999 56.095 21.5857
1.620658 56.237 21.1737
1.632402 56.379 20.7554
1.644232 56.521 20.3305
1.656146 56.662 19.8992
1.668147 56.802 19.4614
1.680235 56.942 19.0169
1.692411 57.081 18.5656
1.704675 57.219 18.1073
1.717028 57.358 17.6420
1.729470 57.495 17.1693
1.742003 57.632 16.6890
1.754626 57.769 16.2007
1.767341 57.905 15.7042
1.780147 58.040 15.1991
1.793047 58.175 14.6848
1.806040 58.309 14.1608
1.819128 58.443 13.6267
1.832310 58.576 13.0818
1.845587 58.708 12.5259
1.858961 58.839 11.9590
1.872432 58.969 11.3811
1.886001 59.098 10.7930
1.899667 59.225 10.1953
1.913433 59.352 9.5890
1.927299 59.477 8.9749
1.941265 59.601 8.3540
1.955332 59.724 7.7272
1.969501 59.846 7.0954
1.983773 59.967 6.4593
1.998148 60.087 5.8197
2.012627 60.205 5.1773
2.027212 60.323 4.5327
2.041902 60.440 3.8864
2.056698 60.556 3.2391
2.071602 60.671 2.5910
2.086614 60.785 1.9426
2.101734 60.899 1.2940
2.116964 61.012 0.6453
2.132304 61.124 -0.0035
2.147756 61.235 -0.6529
2.163320 61.346 -1.3035
2.178996 61.456 -1.9563
2.194786 61.565 -2.6130
2.210690 61.673 -3.2750
2.226710 61.780 -3.9439
2.242845 61.886 -4.6205
2.259098 61.991 -5.3052
2.275468 62.094 -5.9977
2.291957 62.196 -6.6970
2.308566 62.296 -7.4023
2.325295 62.395 -8.1124
2.342145 62.493 -8.8260
2.359117 62.590 -9.5419
2.376212 62.685 -10.2588
2.393431 62.779 -10.9754
2.410775 62.873 -11.6906
2.428244 62.965 -12.4032
2.445840 63.056 -13.1122
2.463564 63.146 -13.8167
2.481416 63.235 -14.5160
2.499397 63.324 -15.2096
2.517509 63.411 -15.8975
2.535752 63.498 -16.5805
2.554127 63.583 -17.2597
2.572635 63.667 -17.9370
2.591277 63.750 -18.6146
2.610055 63.832 -19.2941
2.628968 63.912 -19.9765
2.648019 63.991 -20.6620
2.667208 64.068 -21.3501
2.686535 64.144 -22.0401
2.706003 64.219 -22.7307
2.725612 64.292 -23.4206
2.745363 64.364 -24.1083
2.765257 64.435 -24.7921
2.785295 64.505 -25.4706
2.805478 64.574 -26.1421
2.825808 64.642 -26.8051
2.846285 64.709 -27.4582
2.866910 64.776 -28.1005
2.887685 64.842 -28.7314
2.908611 64.908 -29.3510
2.929688 64.972 -29.9600
2.950917 65.036 -30.5598
2.972301 65.098 -31.1521
2.993839 65.159 -31.7381
3.015534 65.219 -32.3185
3.037386 65.278 -32.8937
3.059396 65.336 -33.4633
3.081565 65.392 -34.0268
3.103896 65.448 -34.5835
3.126388 65.504 -35.1324
3.149043 65.559 -35.6724
3.171862 65.614 -36.2022
3.194847 65.670 -36.7207
3.217998 65.725 -37.2268
3.241317 65.781 -37.7192
3.264805 65.837 -38.1973
3.288463 65.893 -38.6605
3.312293 65.950 -39.1088
3.336295 66.007 -39.5425
3.360471 66.064 -39.9622
3.384822 66.121 -40.3689
3.409350 66.178 -40.7633
3.434056 66.235 -41.1461
3.458940 66.292 -41.5183
3.484005 66.351 -41.8804
3.509252 66.410 -42.2330
3.534681 66.471 -42.5766
3.560295 66.533 -42.9115
3.586094 66.596 -43.2376
3.612081 66.662 -43.5548
3.638255 66.730 -43.8623
3.664620 66.800 -44.1594
3.691175 66.872 -44.4452
3.717923 66.946 -44.7192
3.744864 67.022 -44.9818
3.772001 67.100 -45.2341
3.799335 67.180 -45.4779
3.826866 67.262 -45.7153
3.854597 67.346 -45.9489
3.882529 67.432 -46.1810
3.910664 67.520 -46.4139
3.939002 67.610 -46.6495
3.967546 67.703 -46.8892
3.996296 67.798 -47.1335
4.025255 67.896 -47.3822
4.054423 67.997 -47.6343
4.083804 68.100 -47.8887
4.113396 68.206 -48.1453
4.143204 68.315 -48.4045
4.173227 68.425 -48.6677
4.203468 68.538 -48.9368
4.233928 68.653 -49.2141
4.264609 68.769 -49.5019
4.295512 68.887 -49.8022
4.326639 69.006 -50.1169
4.357992 69.126 -50.4470
4.389572 69.247 -50.7927
4.421380 69.369 -51.1536
4.453419 69.492 -51.5287
4.485691 69.616 -51.9171
4.518196 69.741 -52.3182
4.550936 69.868 -52.7318
4.583914 69.994 -53.1581
4.617131 70.121 -53.5974
4.650589 70.247 -54.0505
4.684289 70.373 -54.5179
4.718233 70.498 -55.0003
4.752424 70.622 -55.4981
4.786862 70.746 -56.0115
4.821549 70.868 -56.5400
4.856488 70.990 -57.0828
4.891680 71.110 -57.6385
4.927127 71.230 -58.2058
4.962831 71.348 -58.7831
4.998794 71.465 -59.3692
5.035017 71.580 -59.9630
5.071503 71.693 -60.5641
5.108253 71.804 -61.1726
5.145270 71.914 -61.7887
5.182555 72.021 -62.4127
5.220110 72.126 -63.0443
5.257937 72.229 -63.6825
5.296038 72.330 -64.3257
5.334415 72.429 -64.9717
5.373071 72.525 -65.6185
5.412006 72.620 -66.2645
5.451224 72.713 -66.9085
5.490725 72.803 -67.5501
5.530514 72.892 -68.1897
5.570590 72.978 -68.8274
5.610957 73.062 -69.4631
5.651616 73.144 -70.0961
5.692570 73.224 -70.7248
5.733821 73.302 -71.3478
5.775370 73.379 -71.9633
5.817221 73.454 -72.5702
5.859375 73.528 -73.1679
5.901834 73.601 -73.7563
5.944602 73.672 -74.3357
5.987679 73.741 -74.9064
6.031068 73.810 -75.4683
6.074771 73.877 -76.0212
6.118792 73.944 -76.5645
6.163131 74.011 -77.0978
6.207792 74.077 -77.6207
6.252776 74.143 -78.1330
6.298086 74.208 -78.6350
6.343725 74.273 -79.1272
6.389694 74.338 -79.6102
6.435996 74.403 -80.0849
6.482634 74.469 -80.5519
