* Measurement data measured by REW V5.20.13
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.610
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 24, 2024 4:36:00 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tang Zu Xuan Nv 00 L
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 93.320 -172.3740
20.507813 93.333 -172.6356
20.874023 93.354 -173.3306
21.240234 93.342 -174.0167
21.606445 93.292 -174.5936
21.972656 93.233 -175.0918
22.338867 93.194 -175.6433
22.705078 93.193 -176.4823
23.071289 93.216 -177.7803
23.437500 93.226 -179.4699
23.803711 93.197 178.7816
24.169922 93.128 177.4217
24.536133 93.053 176.7657
24.902344 93.019 176.8040
25.268555 93.052 177.2075
25.634766 93.134 177.5404
26.000977 93.215 177.5234
26.367188 93.249 177.1527
26.733399 93.222 176.6208
27.099610 93.154 176.1364
27.465821 93.083 175.7826
27.832032 93.039 175.4947
28.198243 93.029 175.1453
28.564454 93.038 174.6530
28.930665 93.043 174.0349
29.296876 93.030 173.3770
29.663087 92.997 172.7663
30.029298 92.956 172.2411
30.395509 92.919 171.7859
30.761720 92.895 171.3604
31.127931 92.886 170.9313
31.494142 92.887 170.4887
31.860353 92.893 170.0413
32.226563 92.898 169.6052
32.592774 92.896 169.1921
32.958985 92.886 168.8028
33.325196 92.871 168.4248
33.691407 92.852 168.0375
34.057618 92.831 167.6267
34.423829 92.807 167.2006
34.790040 92.780 166.7906
35.156251 92.752 166.4278
35.522462 92.727 166.1072
35.888673 92.708 165.7707
36.254884 92.689 165.3332
36.621095 92.658 164.7453
36.987306 92.604 164.0464
37.353517 92.525 163.3622
37.719728 92.436 162.8358
38.085939 92.366 162.5374
38.452150 92.336 162.4194
38.818361 92.353 162.3533
39.184572 92.399 162.2199
39.550783 92.448 161.9770
39.916994 92.481 161.6575
40.283205 92.489 161.3148
40.649416 92.476 160.9757
41.015627 92.447 160.6423
41.381838 92.408 160.3243
41.748049 92.368 160.0516
42.114260 92.339 159.8399
42.480471 92.334 159.6430
42.846682 92.351 159.3536
43.212893 92.371 158.8787
43.579103 92.364 158.2386
43.945314 92.306 157.6057
44.311525 92.200 157.2358
44.677736 92.073 157.3283
45.043947 91.971 157.9047
45.410158 91.938 158.7809
45.776369 91.988 159.6392
46.142580 92.102 160.1428
46.508791 92.232 160.0363
46.875002 92.317 159.2300
47.241213 92.293 157.8865
47.607424 92.114 156.4922
47.973635 91.769 155.8138
48.339846 91.314 156.6248
48.706057 90.899 159.2331
49.072268 90.733 163.1035
49.438479 90.925 166.9584
49.804690 91.369 169.4032
50.170901 91.844 169.6371
50.537112 92.169 167.7298
50.903323 92.259 164.3708
51.269534 92.096 160.4098
51.635745 91.706 156.5457
52.001956 91.128 153.2824
52.368167 90.417 151.0384
52.734378 89.658 150.1892
53.100589 89.005 150.8956
53.466800 88.674 152.8186
53.833011 88.820 155.0440
54.199222 89.370 156.4398
54.565432 90.078 156.2684
54.931643 90.734 154.5861
55.297854 91.240 152.1345
55.664065 91.604 149.8389
56.030276 91.881 148.2835
56.396487 92.128 147.4798
56.762698 92.357 147.0225
57.128909 92.528 146.4831
57.495120 92.583 145.7557
57.861331 92.488 145.1235
58.227542 92.259 145.0214
58.593753 91.968 145.6771
58.959964 91.715 146.8956
59.326175 91.573 148.1439
59.692386 91.538 148.8728
60.058597 91.545 148.8366
60.424808 91.519 148.1904
60.791019 91.421 147.3290
61.157230 91.253 146.6160
61.523441 91.047 146.1953
61.889652 90.836 145.9844
62.255863 90.643 145.8120
62.622074 90.473 145.5748
62.988285 90.328 145.3026
63.354496 90.227 145.1017
63.720707 90.195 145.0434
64.086918 90.252 145.0887
64.453129 90.393 145.1055
64.819340 90.582 144.9532
65.185551 90.770 144.5720
65.551762 90.913 144.0159
65.917972 90.991 143.4183
66.284183 91.000 142.9210
66.650394 90.959 142.6092
67.016605 90.891 142.4835
67.382816 90.821 142.4740
67.749027 90.767 142.4826
68.115238 90.733 142.4294
68.481449 90.713 142.2830
68.847660 90.698 142.0641
69.213871 90.680 141.8259
69.580082 90.655 141.6230
69.946293 90.622 141.4857
70.312504 90.585 141.4105
70.678715 90.545 141.3685
71.044926 90.501 141.3261
71.411137 90.451 141.2640
71.777348 90.393 141.1854
72.143559 90.329 141.1086
72.509770 90.262 141.0515
72.875981 90.198 141.0134
73.242192 90.145 140.9683
73.608403 90.107 140.8696
73.974614 90.084 140.6654
74.340825 90.074 140.3170
74.707036 90.071 139.8125
75.073247 90.068 139.1708
75.439458 90.061 138.4354
75.805669 90.048 137.6639
76.171880 90.029 136.9177
76.538091 90.004 136.2572
76.904301 89.975 135.7407
77.270512 89.941 135.4252
77.636723 89.902 135.3622
78.002934 89.862 135.5871
78.369145 89.825 136.1048
78.735356 89.797 136.8759
79.101567 89.784 137.8134
79.467778 89.790 138.7927
79.833989 89.813 139.6753
80.200200 89.846 140.3378
80.566411 89.880 140.6973
80.932622 89.904 140.7234
81.298833 89.913 140.4328
81.665044 89.906 139.8736
82.031255 89.883 139.1068
82.397466 89.852 138.1964
82.763677 89.818 137.2114
83.129888 89.790 136.2331
83.496099 89.773 135.3565
83.862310 89.776 134.6783
84.228521 89.803 134.2711
84.594732 89.853 134.1558
84.960943 89.918 134.2897
85.327154 89.979 134.5770
85.693365 90.015 134.8971
86.059576 90.006 135.1357
86.425787 89.941 135.2020
86.791998 89.828 135.0282
87.158209 89.687 134.5620
87.524420 89.552 133.7672
87.890631 89.459 132.6412
88.256841 89.432 131.2421
88.623052 89.472 129.7064
88.989263 89.558 128.2385
89.355474 89.657 127.0678
89.721685 89.737 126.3874
90.087896 89.771 126.2978
90.454107 89.748 126.7787
90.820318 89.665 127.6965
91.186529 89.530 128.8424
91.552740 89.362 129.9857
91.918951 89.183 130.9267
92.285162 89.020 131.5363
92.651373 88.895 131.7768
93.017584 88.817 131.6994
93.383795 88.785 131.4196
93.750006 88.785 131.0765
94.116217 88.796 130.7863
94.482428 88.802 130.6068
94.848639 88.789 130.5256
95.214850 88.749 130.4787
95.581061 88.683 130.3899
95.947272 88.595 130.2138
96.313483 88.497 129.9624
96.679694 88.404 129.7020
97.045905 88.329 129.5248
97.412116 88.284 129.5100
97.778327 88.272 129.6937
98.144538 88.283 130.0621
98.510749 88.302 130.5671
98.876960 88.311 131.1533
99.243170 88.299 131.7796
99.609381 88.267 132.4244
99.975592 88.225 133.0749
100.341803 88.191 133.7115
100.708014 88.186 134.2983
101.074225 88.216 134.7887
101.440436 88.279 135.1420
101.806647 88.357 135.3406
102.172858 88.431 135.3958
102.539069 88.482 135.3371
102.905280 88.502 135.1927
103.271491 88.491 134.9705
103.637702 88.455 134.6546
104.003913 88.406 134.2186
104.370124 88.353 133.6489
104.736335 88.300 132.9666
105.102546 88.251 132.2326
105.468757 88.202 131.5347
105.834968 88.151 130.9594
106.201179 88.097 130.5623
106.567390 88.040 130.3490
106.933601 87.980 130.2738
107.299812 87.921 130.2570
107.666023 87.863 130.2130
108.032234 87.808 130.0786
108.398445 87.759 129.8320
108.764656 87.717 129.4963
109.130867 87.685 129.1268
109.497078 87.664 128.7872
109.863289 87.657 128.5249
110.229500 87.663 128.3542
110.595710 87.682 128.2539
110.961921 87.710 128.1778
111.328132 87.740 128.0756
111.694343 87.769 127.9119
112.060554 87.795 127.6779
112.426765 87.818 127.3915
112.792976 87.841 127.0875
113.159187 87.867 126.8023
113.525398 87.900 126.5615
113.891609 87.938 126.3734
114.257820 87.978 126.2305
114.624031 88.014 126.1182
114.990242 88.038 126.0239
115.356453 88.046 125.9461
115.722664 88.033 125.8965
116.088875 88.001 125.8969
116.455086 87.954 125.9708
116.821297 87.898 126.1335
117.187508 87.840 126.3844
117.553719 87.784 126.7036
117.919930 87.733 127.0551
118.286141 87.684 127.3952
118.652352 87.636 127.6846
119.018563 87.583 127.9012
119.384774 87.522 128.0488
119.750985 87.455 128.1593
120.117196 87.388 128.2858
120.483407 87.330 128.4870
120.849618 87.293 128.8082
121.215829 87.287 129.2640
121.582040 87.318 129.8301
121.948250 87.383 130.4474
122.314461 87.469 131.0368
122.680672 87.561 131.5186
123.046883 87.643 131.8308
123.413094 87.702 131.9391
123.779305 87.731 131.8378
124.145516 87.729 131.5432
124.511727 87.700 131.0847
124.877938 87.654 130.4967
125.244149 87.599 129.8135
125.610360 87.543 129.0676
125.976571 87.489 128.2899
126.342782 87.440 127.5095
126.708993 87.395 126.7536
127.075204 87.351 126.0467
127.441415 87.307 125.4092
127.807626 87.262 124.8572
128.173837 87.217 124.4022
128.540048 87.174 124.0509
128.906259 87.135 123.8057
129.272470 87.102 123.6645
129.638681 87.076 123.6199
130.004892 87.057 123.6594
130.371103 87.042 123.7657
130.737314 87.030 123.9174
131.103525 87.018 124.0916
131.469736 87.005 124.2656
131.835947 86.991 124.4202
132.202158 86.977 124.5415
132.568369 86.963 124.6223
132.934579 86.953 124.6622
133.300790 86.946 124.6667
133.667001 86.942 124.6454
134.033212 86.941 124.6097
134.399423 86.941 124.5707
134.765634 86.938 124.5369
135.131845 86.931 124.5131
135.498056 86.918 124.4998
135.864267 86.897 124.4944
136.230478 86.868 124.4918
136.596689 86.833 124.4870
136.962900 86.792 124.4768
137.329111 86.746 124.4615
137.695322 86.699 124.4453
138.061533 86.652 124.4350
138.427744 86.606 124.4385
138.793955 86.563 124.4619
139.160166 86.525 124.5064
139.526377 86.492 124.5682
139.892588 86.465 124.6380
140.258799 86.444 124.7037
140.625010 86.427 124.7532
140.991221 86.415 124.7770
141.357432 86.406 124.7700
141.723643 86.400 124.7318
142.089854 86.395 124.6654
142.456065 86.392 124.5765
142.822276 86.390 124.4716
143.188487 86.389 124.3574
143.554698 86.388 124.2403
143.920909 86.386 124.1257
144.287119 86.383 124.0179
144.653330 86.379 123.9199
145.019541 86.373 123.8326
145.385752 86.364 123.7555
145.751963 86.353 123.6870
146.118174 86.340 123.6249
146.484385 86.324 123.5673
146.850596 86.306 123.5131
147.216807 86.285 123.4619
147.583018 86.262 123.4141
147.949229 86.238 123.3705
148.315440 86.213 123.3322
148.681651 86.188 123.2998
149.047862 86.163 123.2740
149.414073 86.140 123.2550
149.780284 86.118 123.2431
150.146495 86.099 123.2380
150.512706 86.081 123.2399
150.878917 86.065 123.2487
151.245128 86.050 123.2646
151.611339 86.036 123.2879
151.977550 86.020 123.3188
152.343761 86.002 123.3572
152.709972 85.981 123.4025
153.076183 85.958 123.4527
153.442394 85.932 123.5051
153.808605 85.904 123.5557
154.174816 85.875 123.5997
154.541027 85.847 123.6322
154.907238 85.820 123.6490
155.273448 85.796 123.6473
155.639659 85.775 123.6264
156.005870 85.757 123.5883
156.372081 85.742 123.5370
156.738292 85.730 123.4783
157.104503 85.719 123.4184
157.470714 85.709 123.3633
157.836925 85.699 123.3175
158.203136 85.690 123.2833
158.569347 85.682 123.2607
158.935558 85.673 123.2476
159.301769 85.665 123.2407
159.667980 85.657 123.2357
160.034191 85.650 123.2286
160.400402 85.644 123.2165
160.766613 85.637 123.1973
161.132824 85.631 123.1706
161.499035 85.624 123.1370
161.865246 85.616 123.0980
162.231457 85.608 123.0560
162.597668 85.599 123.0129
162.963879 85.589 122.9708
163.330090 85.579 122.9307
163.696301 85.569 122.8932
164.062512 85.559 122.8584
164.428723 85.550 122.8255
164.794934 85.540 122.7938
165.161145 85.531 122.7626
165.527356 85.522 122.7315
165.893567 85.513 122.7004
166.259778 85.503 122.6697
166.625988 85.493 122.6401
166.992199 85.483 122.6126
167.358410 85.472 122.5880
167.724621 85.460 122.5668
168.090832 85.449 122.5491
168.457043 85.437 122.5344
168.823254 85.426 122.5215
169.189465 85.416 122.5089
169.555676 85.406 122.4943
169.921887 85.396 122.4755
170.288098 85.388 122.4507
170.654309 85.379 122.4181
171.020520 85.370 122.3772
171.386731 85.362 122.3284
171.752942 85.353 122.2731
172.119153 85.343 122.2141
