* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.960
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 12, 2023 9:59:07 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tangzu Chang Le 500nofoam
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 106.657 -168.7816
20.507813 106.652 -169.0475
20.874023 106.636 -169.7419
21.240234 106.613 -170.4117
21.606445 106.588 -171.0020
21.972656 106.570 -171.5640
22.338867 106.562 -172.1254
22.705078 106.560 -172.7069
23.071289 106.556 -173.3065
23.437500 106.545 -173.8925
23.803711 106.528 -174.4298
24.169922 106.510 -174.9085
24.536133 106.495 -175.3542
24.902344 106.482 -175.8070
25.268555 106.464 -176.2854
25.634766 106.438 -176.7674
26.000977 106.403 -177.2074
26.367188 106.364 -177.5740
26.733399 106.331 -177.8808
27.099610 106.309 -178.1848
27.465821 106.294 -178.5480
27.832032 106.277 -178.9909
28.198243 106.248 -179.4776
28.564454 106.207 -179.9410
28.930665 106.159 179.6705
29.296876 106.115 179.3574
29.663087 106.081 179.0706
30.029298 106.058 178.7485
30.395509 106.036 178.3615
30.761720 106.008 177.9323
31.127931 105.970 177.5179
31.494142 105.925 177.1702
31.860353 105.882 176.9028
32.226563 105.846 176.6864
32.592774 105.818 176.4715
32.958985 105.795 176.2213
33.325196 105.769 175.9316
33.691407 105.738 175.6262
34.057618 105.702 175.3350
34.423829 105.664 175.0747
34.790040 105.627 174.8418
35.156251 105.593 174.6196
35.522462 105.560 174.3909
35.888673 105.526 174.1480
36.254884 105.489 173.8961
36.621095 105.448 173.6490
36.987306 105.404 173.4229
37.353517 105.361 173.2272
37.719728 105.322 173.0598
38.085939 105.289 172.9047
38.452150 105.261 172.7385
38.818361 105.237 172.5420
39.184572 105.211 172.3114
39.550783 105.180 172.0619
39.916994 105.142 171.8207
40.283205 105.098 171.6129
40.649416 105.053 171.4493
41.015627 105.010 171.3221
41.381838 104.971 171.2116
41.748049 104.936 171.0969
42.114260 104.904 170.9649
42.480471 104.872 170.8117
42.846682 104.839 170.6389
43.212893 104.805 170.4507
43.579103 104.768 170.2532
43.945314 104.727 170.0569
44.311525 104.683 169.8771
44.677736 104.637 169.7287
45.043947 104.591 169.6188
45.410158 104.548 169.5425
45.776369 104.509 169.4842
46.142580 104.472 169.4259
46.508791 104.437 169.3556
46.875002 104.400 169.2714
47.241213 104.362 169.1792
47.607424 104.323 169.0862
47.973635 104.284 168.9957
48.339846 104.247 168.9053
48.706057 104.213 168.8104
49.072268 104.180 168.7072
49.438479 104.147 168.5968
49.804690 104.114 168.4844
50.170901 104.079 168.3773
50.537112 104.042 168.2822
50.903323 104.004 168.2030
51.269534 103.965 168.1397
51.635745 103.928 168.0884
52.001956 103.892 168.0426
52.368167 103.858 167.9954
52.734378 103.825 167.9420
53.100589 103.792 167.8820
53.466800 103.758 167.8182
53.833011 103.724 167.7553
54.199222 103.690 167.6965
54.565432 103.657 167.6425
54.931643 103.625 167.5927
55.297854 103.594 167.5463
55.664065 103.563 167.5034
56.030276 103.533 167.4649
56.396487 103.502 167.4317
56.762698 103.470 167.4043
57.128909 103.436 167.3830
57.495120 103.401 167.3684
57.861331 103.365 167.3610
58.227542 103.329 167.3593
58.593753 103.293 167.3594
58.959964 103.259 167.3551
59.326175 103.226 167.3414
59.692386 103.193 167.3174
60.058597 103.160 167.2881
60.424808 103.126 167.2619
60.791019 103.091 167.2464
61.157230 103.055 167.2433
61.523441 103.021 167.2476
61.889652 102.987 167.2508
62.255863 102.953 167.2456
62.622074 102.919 167.2303
62.988285 102.883 167.2093
63.354496 102.847 167.1894
63.720707 102.811 167.1764
64.086918 102.776 167.1721
64.453129 102.742 167.1750
64.819340 102.711 167.1819
65.185551 102.682 167.1909
65.551762 102.654 167.2018
65.917972 102.626 167.2156
66.284183 102.597 167.2333
66.650394 102.569 167.2546
67.016605 102.539 167.2788
67.382816 102.509 167.3051
67.749027 102.478 167.3331
68.115238 102.446 167.3628
68.481449 102.414 167.3940
68.847660 102.382 167.4255
69.213871 102.350 167.4550
69.580082 102.319 167.4796
69.946293 102.288 167.4980
70.312504 102.257 167.5099
70.678715 102.225 167.5175
71.044926 102.194 167.5240
71.411137 102.162 167.5327
71.777348 102.131 167.5457
72.143559 102.099 167.5635
72.509770 102.069 167.5852
72.875981 102.040 167.6093
73.242192 102.011 167.6339
73.608403 101.983 167.6581
73.974614 101.954 167.6823
74.340825 101.926 167.7078
74.707036 101.898 167.7366
75.073247 101.870 167.7706
75.439458 101.841 167.8109
75.805669 101.813 167.8572
76.171880 101.785 167.9081
76.538091 101.757 167.9620
76.904301 101.729 168.0171
77.270512 101.700 168.0722
77.636723 101.671 168.1265
78.002934 101.642 168.1792
78.369145 101.614 168.2289
78.735356 101.586 168.2747
79.101567 101.559 168.3163
79.467778 101.532 168.3551
79.833989 101.505 168.3938
80.200200 101.477 168.4357
80.566411 101.449 168.4834
80.932622 101.420 168.5375
81.298833 101.391 168.5965
81.665044 101.363 168.6572
82.031255 101.335 168.7161
82.397466 101.307 168.7707
82.763677 101.279 168.8200
83.129888 101.252 168.8647
83.496099 101.225 168.9065
83.862310 101.198 168.9483
84.228521 101.171 168.9930
84.594732 101.144 169.0432
84.960943 101.116 169.1005
85.327154 101.089 169.1651
85.693365 101.062 169.2355
86.059576 101.034 169.3089
86.425787 101.008 169.3823
86.791998 100.981 169.4531
87.158209 100.955 169.5196
87.524420 100.930 169.5818
87.890631 100.905 169.6404
88.256841 100.880 169.6961
88.623052 100.856 169.7502
88.989263 100.833 169.8038
89.355474 100.809 169.8587
89.721685 100.785 169.9173
90.087896 100.761 169.9824
90.454107 100.737 170.0558
90.820318 100.712 170.1384
91.186529 100.687 170.2285
91.552740 100.663 170.3235
91.918951 100.638 170.4199
92.285162 100.614 170.5146
92.651373 100.589 170.6055
93.017584 100.565 170.6917
93.383795 100.541 170.7729
93.750006 100.517 170.8497
94.116217 100.493 170.9225
94.482428 100.470 170.9923
94.848639 100.447 171.0608
95.214850 100.425 171.1295
95.581061 100.403 171.2003
95.947272 100.380 171.2737
96.313483 100.358 171.3498
96.679694 100.335 171.4270
97.045905 100.313 171.5036
97.412116 100.290 171.5778
97.778327 100.266 171.6488
98.144538 100.243 171.7168
98.510749 100.219 171.7832
98.876960 100.194 171.8498
99.243170 100.169 171.9189
99.609381 100.143 171.9924
99.975592 100.117 172.0714
100.341803 100.092 172.1561
100.708014 100.066 172.2458
101.074225 100.042 172.3386
101.440436 100.018 172.4321
101.806647 99.995 172.5237
102.172858 99.972 172.6113
102.539069 99.951 172.6938
102.905280 99.929 172.7712
103.271491 99.908 172.8442
103.637702 99.886 172.9142
104.003913 99.865 172.9823
104.370124 99.843 173.0493
104.736335 99.822 173.1155
105.102546 99.801 173.1813
105.468757 99.780 173.2467
105.834968 99.759 173.3122
106.201179 99.738 173.3788
106.567390 99.717 173.4477
106.933601 99.696 173.5200
107.299812 99.675 173.5968
107.666023 99.653 173.6785
108.032234 99.632 173.7651
108.398445 99.610 173.8558
108.764656 99.589 173.9490
109.130867 99.567 174.0431
109.497078 99.546 174.1361
109.863289 99.525 174.2264
110.229500 99.505 174.3127
110.595710 99.484 174.3946
110.961921 99.463 174.4723
111.328132 99.443 174.5465
111.694343 99.422 174.6183
112.060554 99.401 174.6892
112.426765 99.381 174.7604
112.792976 99.360 174.8330
113.159187 99.340 174.9082
113.525398 99.320 174.9866
113.891609 99.300 175.0686
114.257820 99.280 175.1542
114.624031 99.261 175.2433
114.990242 99.241 175.3351
115.356453 99.222 175.4286
115.722664 99.203 175.5229
116.088875 99.184 175.6170
116.455086 99.165 175.7101
116.821297 99.146 175.8018
117.187508 99.127 175.8918
117.553719 99.108 175.9804
117.919930 99.088 176.0672
118.286141 99.069 176.1521
118.652352 99.049 176.2350
119.018563 99.030 176.3155
119.384774 99.011 176.3938
119.750985 98.992 176.4702
120.117196 98.973 176.5454
120.483407 98.954 176.6203
120.849618 98.934 176.6959
121.215829 98.915 176.7733
121.582040 98.895 176.8530
121.948250 98.875 176.9354
122.314461 98.854 177.0203
122.680672 98.834 177.1072
123.046883 98.813 177.1957
123.413094 98.793 177.2851
123.779305 98.773 177.3749
124.145516 98.754 177.4650
124.511727 98.734 177.5551
124.877938 98.716 177.6451
125.244149 98.697 177.7347
125.610360 98.679 177.8239
125.976571 98.662 177.9121
126.342782 98.644 177.9991
126.708993 98.627 178.0846
127.075204 98.610 178.1683
127.441415 98.593 178.2504
127.807626 98.576 178.3315
128.173837 98.558 178.4124
128.540048 98.541 178.4941
128.906259 98.523 178.5778
129.272470 98.505 178.6640
129.638681 98.487 178.7532
130.004892 98.469 178.8451
130.371103 98.450 178.9392
130.737314 98.433 179.0347
131.103525 98.415 179.1307
131.469736 98.397 179.2267
131.835947 98.380 179.3223
132.202158 98.363 179.4175
132.568369 98.346 179.5124
132.934579 98.330 179.6072
133.300790 98.314 179.7021
133.667001 98.298 179.7971
134.033212 98.282 179.8917
134.399423 98.266 179.9858
134.765634 98.250 -179.9211
135.131845 98.234 -179.8294
135.498056 98.218 -179.7392
135.864267 98.202 -179.6506
136.230478 98.186 -179.5632
136.596689 98.170 -179.4767
136.962900 98.153 -179.3906
137.329111 98.137 -179.3045
137.695322 98.121 -179.2178
138.061533 98.105 -179.1302
138.427744 98.088 -179.0411
138.793955 98.072 -178.9503
139.160166 98.055 -178.8573
139.526377 98.038 -178.7620
139.892588 98.021 -178.6643
140.258799 98.004 -178.5644
140.625010 97.987 -178.4626
140.991221 97.970 -178.3595
141.357432 97.954 -178.2556
141.723643 97.938 -178.1517
142.089854 97.922 -178.0485
142.456065 97.906 -177.9467
142.822276 97.891 -177.8467
143.188487 97.875 -177.7488
143.554698 97.860 -177.6530
143.920909 97.845 -177.5591
144.287119 97.829 -177.4668
144.653330 97.814 -177.3753
145.019541 97.799 -177.2843
145.385752 97.784 -177.1932
145.751963 97.769 -177.1016
146.118174 97.755 -177.0093
146.484385 97.740 -176.9161
146.850596 97.726 -176.8219
147.216807 97.711 -176.7269
147.583018 97.696 -176.6311
147.949229 97.680 -176.5348
148.315440 97.665 -176.4380
148.681651 97.648 -176.3412
149.047862 97.632 -176.2448
149.414073 97.616 -176.1488
149.780284 97.599 -176.0535
150.146495 97.583 -175.9589
150.512706 97.567 -175.8647
150.878917 97.552 -175.7705
151.245128 97.537 -175.6761
151.611339 97.522 -175.5808
151.977550 97.507 -175.4845
152.343761 97.493 -175.3872
152.709972 97.479 -175.2889
153.076183 97.465 -175.1900
153.442394 97.451 -175.0909
153.808605 97.437 -174.9921
154.174816 97.424 -174.8938
154.541027 97.410 -174.7964
154.907238 97.397 -174.6997
155.273448 97.383 -174.6037
155.639659 97.370 -174.5079
156.005870 97.356 -174.4123
156.372081 97.343 -174.3164
156.738292 97.329 -174.2202
157.104503 97.314 -174.1236
157.470714 97.300 -174.0266
157.836925 97.285 -173.9293
158.203136 97.270 -173.8322
158.569347 97.255 -173.7354
158.935558 97.240 -173.6393
159.301769 97.225 -173.5444
159.667980 97.210 -173.4510
160.034191 97.195 -173.3594
160.400402 97.181 -173.2698
160.766613 97.168 -173.1822
161.132824 97.154 -173.0965
161.499035 97.141 -173.0124
161.865246 97.128 -172.9294
162.231457 97.115 -172.8470
162.597668 97.103 -172.7645
162.963879 97.090 -172.6817
163.330090 97.077 -172.5979
163.696301 97.064 -172.5131
164.062512 97.051 -172.4269
164.428723 97.037 -172.3395
164.794934 97.024 -172.2508
165.161145 97.011 -172.1609
165.527356 96.997 -172.0701
165.893567 96.984 -171.9787
166.259778 96.970 -171.8868
166.625988 96.957 -171.7948
166.992199 96.944 -171.7031
167.358410 96.931 -171.6119
167.724621 96.918 -171.5214
168.090832 96.904 -171.4317
168.457043 96.891 -171.3429
168.823254 96.878 -171.2548
169.189465 96.865 -171.1672
169.555676 96.851 -171.0797
