* Measurement data measured by REW V5.31.3
* Source: Headset (3- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.400
* Format: 256k Log Swept Sine, 1 sweep at -11.9 dBFS with no timing reference
* Dated: 04 11, 25 4:05:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tangzu Wan'er 2 L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 41.914 20.4762
0.368865 41.940 20.5346
0.371538 41.978 20.6216
0.374230 42.025 20.7298
0.376942 42.078 20.8529
0.379673 42.134 20.9863
0.382424 42.193 21.1272
0.385196 42.254 21.2736
0.387987 42.315 21.4245
0.390798 42.378 21.5792
0.393630 42.441 21.7374
0.396483 42.504 21.8989
0.399356 42.568 22.0635
0.402250 42.632 22.2312
0.405165 42.697 22.4019
0.408101 42.762 22.5755
0.411058 42.828 22.7519
0.414037 42.895 22.9312
0.417037 42.961 23.1131
0.420059 43.029 23.2977
0.423103 43.096 23.4849
0.426169 43.165 23.6746
0.429257 43.233 23.8668
0.432368 43.302 24.0612
0.435501 43.372 24.2580
0.438656 43.442 24.4568
0.441835 43.513 24.6578
0.445037 43.584 24.8607
0.448262 43.656 25.0655
0.451510 43.728 25.2720
0.454782 43.801 25.4802
0.458077 43.875 25.6899
0.461397 43.948 25.9011
0.464740 44.023 26.1135
0.468108 44.098 26.3271
0.471500 44.173 26.5418
0.474917 44.249 26.7573
0.478358 44.326 26.9736
0.481825 44.403 27.1906
0.485316 44.481 27.4080
0.488833 44.559 27.6257
0.492375 44.638 27.8437
0.495943 44.717 28.0617
0.499537 44.797 28.2796
0.503157 44.878 28.4971
0.506803 44.959 28.7143
0.510475 45.041 28.9308
0.514175 45.123 29.1466
0.517900 45.206 29.3614
0.521653 45.290 29.5751
0.525434 45.374 29.7875
0.529241 45.458 29.9984
0.533076 45.544 30.2078
0.536939 45.630 30.4153
0.540830 45.716 30.6208
0.544749 45.804 30.8241
0.548696 45.891 31.0251
0.552673 45.980 31.2236
0.556677 46.069 31.4194
0.560711 46.159 31.6123
0.564774 46.249 31.8021
0.568867 46.340 31.9887
0.572989 46.432 32.1719
0.577141 46.525 32.3514
0.581324 46.618 32.5273
0.585536 46.712 32.6992
0.589779 46.806 32.8670
0.594053 46.901 33.0305
0.598358 46.997 33.1896
0.602694 47.093 33.3441
0.607061 47.191 33.4939
0.611460 47.289 33.6388
0.615891 47.387 33.7786
0.620354 47.487 33.9132
0.624849 47.587 34.0425
0.629377 47.688 34.1663
0.633938 47.789 34.2845
0.638532 47.891 34.3969
0.643159 47.994 34.5035
0.647819 48.098 34.6041
0.652514 48.203 34.6986
0.657242 48.308 34.7869
0.662005 48.414 34.8689
0.666802 48.521 34.9445
0.671634 48.628 35.0136
0.676501 48.737 35.0761
0.681403 48.846 35.1320
0.686341 48.956 35.1811
0.691314 49.067 35.2235
0.696324 49.178 35.2592
0.701370 49.290 35.2881
0.706452 49.404 35.3103
0.711571 49.518 35.3262
0.716728 49.632 35.3362
0.721921 49.748 35.3408
0.727153 49.865 35.3412
0.732422 49.982 35.3386
0.737729 50.101 35.3347
0.743075 50.220 35.3309
0.748460 50.340 35.3283
0.753883 50.462 35.3276
0.759346 50.585 35.3292
0.764849 50.709 35.3330
0.770391 50.834 35.3389
0.775974 50.960 35.3466
0.781597 51.088 35.3559
0.787261 51.216 35.3663
0.792966 51.346 35.3776
0.798712 51.477 35.3892
0.804500 51.609 35.4010
0.810329 51.742 35.4124
0.816201 51.876 35.4232
0.822116 52.011 35.4330
0.828073 52.148 35.4415
0.834074 52.285 35.4483
0.840118 52.424 35.4531
0.846206 52.563 35.4556
0.852338 52.704 35.4555
0.858514 52.846 35.4525
0.864735 52.988 35.4463
0.871001 53.132 35.4367
0.877313 53.276 35.4232
0.883670 53.422 35.4057
0.890074 53.568 35.3839
0.896524 53.715 35.3576
0.903020 53.863 35.3264
0.909564 54.012 35.2903
0.916155 54.161 35.2488
0.922794 54.311 35.2018
0.929481 54.462 35.1491
0.936216 54.614 35.0904
0.943000 54.766 35.0256
0.949834 54.919 34.9544
0.956717 55.072 34.8767
0.963649 55.226 34.7921
0.970632 55.381 34.7007
0.977666 55.535 34.6021
0.984750 55.691 34.4963
0.991886 55.846 34.3830
0.999074 56.002 34.2620
1.006314 56.158 34.1333
1.013606 56.314 33.9967
1.020951 56.470 33.8519
1.028349 56.627 33.6990
1.035801 56.783 33.5377
1.043307 56.940 33.3681
1.050867 57.096 33.1900
1.058482 57.252 33.0034
1.066152 57.407 32.8086
1.073878 57.563 32.6058
1.081660 57.718 32.3956
1.089498 57.873 32.1790
1.097393 58.028 31.9572
1.105345 58.182 31.7317
1.113355 58.336 31.5041
1.121423 58.490 31.2757
1.129549 58.645 31.0473
1.137734 58.799 30.8193
1.145979 58.953 30.5920
1.154283 59.107 30.3653
1.162647 59.261 30.1392
1.171072 59.415 29.9134
1.179558 59.569 29.6876
1.188106 59.723 29.4617
1.196715 59.877 29.2354
1.205387 60.031 29.0083
1.214122 60.185 28.7803
1.222920 60.339 28.5510
1.231782 60.493 28.3203
1.240708 60.647 28.0878
1.249699 60.801 27.8532
1.258754 60.955 27.6164
1.267876 61.109 27.3770
1.277063 61.263 27.1348
1.286318 61.417 26.8896
1.295639 61.571 26.6411
1.305027 61.725 26.3891
1.314484 61.880 26.1333
1.324009 62.034 25.8734
1.333604 62.188 25.6093
1.343268 62.343 25.3406
1.353002 62.497 25.0672
1.362806 62.652 24.7889
1.372681 62.807 24.5052
1.382628 62.962 24.2162
1.392647 63.117 23.9215
1.402739 63.272 23.6210
1.412904 63.427 23.3146
1.423142 63.582 23.0023
1.433455 63.738 22.6842
1.443843 63.893 22.3606
1.454305 64.049 22.0323
1.464844 64.204 21.7001
1.475459 64.359 21.3652
1.486150 64.515 21.0287
1.496920 64.669 20.6915
1.507767 64.824 20.3541
1.518693 64.978 20.0168
1.529698 65.132 19.6795
1.540783 65.285 19.3423
1.551948 65.438 19.0047
1.563194 65.590 18.6667
1.574521 65.743 18.3278
1.585931 65.894 17.9878
1.597423 66.046 17.6463
1.608999 66.197 17.3031
1.620658 66.348 16.9577
1.632402 66.498 16.6098
1.644232 66.649 16.2592
1.656146 66.798 15.9054
1.668147 66.948 15.5482
1.680235 67.098 15.1872
1.692411 67.247 14.8220
1.704675 67.396 14.4524
1.717028 67.545 14.0779
1.729470 67.694 13.6983
1.742003 67.843 13.3133
1.754626 67.992 12.9226
1.767341 68.140 12.5258
1.780147 68.289 12.1228
1.793047 68.438 11.7136
1.806040 68.586 11.2981
1.819128 68.735 10.8767
1.832310 68.883 10.4498
1.845587 69.031 10.0181
1.858961 69.178 9.5824
1.872432 69.325 9.1434
1.886001 69.472 8.7015
1.899667 69.618 8.2571
1.913433 69.763 7.8106
1.927299 69.908 7.3620
1.941265 70.052 6.9116
1.955332 70.196 6.4594
1.969501 70.339 6.0055
1.983773 70.481 5.5497
1.998148 70.623 5.0922
2.012627 70.765 4.6329
2.027212 70.906 4.1717
2.041902 71.047 3.7084
2.056698 71.187 3.2431
2.071602 71.327 2.7755
2.086614 71.467 2.3056
2.101734 71.606 1.8331
2.116964 71.746 1.3578
2.132304 71.885 0.8796
2.147756 72.023 0.3983
2.163320 72.162 -0.0864
2.178996 72.300 -0.5746
2.194786 72.438 -1.0663
2.210690 72.575 -1.5616
2.226710 72.712 -2.0604
2.242845 72.848 -2.5625
2.259098 72.983 -3.0676
2.275468 73.118 -3.5755
2.291957 73.252 -4.0858
2.308566 73.386 -4.5983
2.325295 73.518 -5.1127
2.342145 73.650 -5.6288
2.359117 73.782 -6.1464
2.376212 73.912 -6.6654
2.393431 74.043 -7.1855
2.410775 74.172 -7.7067
2.428244 74.301 -8.2289
2.445840 74.430 -8.7520
2.463564 74.558 -9.2761
2.481416 74.686 -9.8011
2.499397 74.813 -10.3273
2.517509 74.941 -10.8547
2.535752 75.067 -11.3836
2.554127 75.193 -11.9144
2.572635 75.319 -12.4474
2.591277 75.444 -12.9830
2.610055 75.568 -13.5212
2.628968 75.692 -14.0622
2.648019 75.815 -14.6057
2.667208 75.937 -15.1514
2.686535 76.058 -15.6992
2.706003 76.178 -16.2485
2.725612 76.298 -16.7990
2.745363 76.417 -17.3504
2.765257 76.535 -17.9023
2.785295 76.653 -18.4545
2.805478 76.770 -19.0066
2.825808 76.887 -19.5585
2.846285 77.003 -20.1100
2.866910 77.119 -20.6612
2.887685 77.235 -21.2121
2.908611 77.349 -21.7630
2.929688 77.464 -22.3143
2.950917 77.577 -22.8665
2.972301 77.690 -23.4201
2.993839 77.803 -23.9753
3.015534 77.914 -24.5320
3.037386 78.025 -25.0903
3.059396 78.135 -25.6497
3.081565 78.244 -26.2099
3.103896 78.352 -26.7706
3.126388 78.460 -27.3312
3.149043 78.567 -27.8915
3.171862 78.674 -28.4510
3.194847 78.780 -29.0096
3.217998 78.886 -29.5668
3.241317 78.991 -30.1228
3.264805 79.096 -30.6776
3.288463 79.201 -31.2314
3.312293 79.304 -31.7847
3.336295 79.408 -32.3380
3.360471 79.510 -32.8915
3.384822 79.612 -33.4455
3.409350 79.713 -33.9998
3.434056 79.813 -34.5544
3.458940 79.913 -35.1089
3.484005 80.012 -35.6632
3.509252 80.111 -36.2167
3.534681 80.209 -36.7693
3.560295 80.307 -37.3206
3.586094 80.405 -37.8706
3.612081 80.502 -38.4190
3.638255 80.598 -38.9660
3.664620 80.694 -39.5118
3.691175 80.790 -40.0568
3.717923 80.885 -40.6012
3.744864 80.980 -41.1452
3.772001 81.074 -41.6891
3.799335 81.168 -42.2326
3.826866 81.261 -42.7757
3.854597 81.353 -43.3183
3.882529 81.446 -43.8602
3.910664 81.537 -44.4011
3.939002 81.629 -44.9409
3.967546 81.720 -45.4796
3.996296 81.811 -46.0171
4.025255 81.901 -46.5536
4.054423 81.991 -47.0894
4.083804 82.081 -47.6245
4.113396 82.170 -48.1593
4.143204 82.259 -48.6937
4.173227 82.348 -49.2278
4.203468 82.436 -49.7616
4.233928 82.524 -50.2951
4.264609 82.611 -50.8280
4.295512 82.698 -51.3604
4.326639 82.784 -51.8923
4.357992 82.871 -52.4238
4.389572 82.957 -52.9548
4.421380 83.043 -53.4857
4.453419 83.128 -54.0165
4.485691 83.213 -54.5474
4.518196 83.297 -55.0784
4.550936 83.382 -55.6095
4.583914 83.465 -56.1406
4.617131 83.549 -56.6717
4.650589 83.632 -57.2027
4.684289 83.714 -57.7336
4.718233 83.797 -58.2645
4.752424 83.879 -58.7953
4.786862 83.960 -59.3264
4.821549 84.041 -59.8578
4.856488 84.122 -60.3897
4.891680 84.202 -60.9220
4.927127 84.282 -61.4546
4.962831 84.361 -61.9875
4.998794 84.440 -62.5203
5.035017 84.518 -63.0532
5.071503 84.596 -63.5860
5.108253 84.674 -64.1187
5.145270 84.751 -64.6516
5.182555 84.827 -65.1848
5.220110 84.903 -65.7183
5.257937 84.978 -66.2522
5.296038 85.053 -66.7863
5.334415 85.128 -67.3203
5.373071 85.202 -67.8542
5.412006 85.275 -68.3877
5.451224 85.348 -68.9207
5.490725 85.420 -69.4533
5.530514 85.492 -69.9856
5.570590 85.563 -70.5178
5.610957 85.634 -71.0498
5.651616 85.704 -71.5816
5.692570 85.773 -72.1129
5.733821 85.842 -72.6436
5.775370 85.911 -73.1735
5.817221 85.979 -73.7025
5.859375 86.046 -74.2305
5.901834 86.113 -74.7576
5.944602 86.179 -75.2840
5.987679 86.245 -75.8097
6.031068 86.310 -76.3345
6.074771 86.375 -76.8584
6.118792 86.439 -77.3812
6.163131 86.503 -77.9028
6.207792 86.566 -78.4232
6.252776 86.629 -78.9423
6.298086 86.691 -79.4603
6.343725 86.753 -79.9772
6.389694 86.814 -80.4930
6.435996 86.875 -81.0077
6.482634 86.935 -81.5211
6.529610 86.995 -82.0333
6.576926 87.055 -82.5442
6.624585 87.114 -83.0539
6.672590 87.172 -83.5624
6.720942 87.231 -84.0697
6.769645 87.288 -84.5759
6.818700 87.346 -85.0810
