* Measurement data measured by REW V5.31.3
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 01 11, 25 3:27:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Thieaudio Oracle mk3 L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 57.353 -33.0716
0.368865 57.352 -33.1454
0.371538 57.351 -33.2556
0.374230 57.349 -33.3935
0.376942 57.347 -33.5515
0.379673 57.344 -33.7239
0.382424 57.342 -33.9071
0.385196 57.339 -34.0990
0.387987 57.337 -34.2982
0.390798 57.334 -34.5040
0.393630 57.332 -34.7162
0.396483 57.329 -34.9346
0.399356 57.326 -35.1592
0.402250 57.324 -35.3901
0.405165 57.321 -35.6273
0.408101 57.318 -35.8708
0.411058 57.315 -36.1209
0.414037 57.313 -36.3776
0.417037 57.310 -36.6409
0.420059 57.307 -36.9111
0.423103 57.304 -37.1882
0.426169 57.301 -37.4723
0.429257 57.299 -37.7636
0.432368 57.296 -38.0620
0.435501 57.293 -38.3678
0.438656 57.290 -38.6811
0.441835 57.287 -39.0020
0.445037 57.284 -39.3305
0.448262 57.281 -39.6668
0.451510 57.278 -40.0111
0.454782 57.275 -40.3634
0.458077 57.272 -40.7238
0.461397 57.269 -41.0925
0.464740 57.266 -41.4695
0.468108 57.263 -41.8550
0.471500 57.260 -42.2492
0.474917 57.256 -42.6521
0.478358 57.253 -43.0638
0.481825 57.250 -43.4845
0.485316 57.247 -43.9142
0.488833 57.244 -44.3531
0.492375 57.240 -44.8014
0.495943 57.237 -45.2590
0.499537 57.234 -45.7262
0.503157 57.230 -46.2031
0.506803 57.227 -46.6897
0.510475 57.224 -47.1862
0.514175 57.220 -47.6927
0.517900 57.217 -48.2092
0.521653 57.213 -48.7360
0.525434 57.210 -49.2731
0.529241 57.206 -49.8206
0.533076 57.203 -50.3785
0.536939 57.199 -50.9472
0.540830 57.195 -51.5265
0.544749 57.192 -52.1165
0.548696 57.188 -52.7175
0.552673 57.185 -53.3295
0.556677 57.181 -53.9525
0.560711 57.177 -54.5867
0.564774 57.173 -55.2320
0.568867 57.170 -55.8887
0.572989 57.166 -56.5567
0.577141 57.162 -57.2361
0.581324 57.158 -57.9269
0.585536 57.154 -58.6293
0.589779 57.150 -59.3433
0.594053 57.146 -60.0688
0.598358 57.142 -60.8060
0.602694 57.138 -61.5548
0.607061 57.134 -62.3154
0.611460 57.130 -63.0876
0.615891 57.126 -63.8716
0.620354 57.122 -64.6672
0.624849 57.118 -65.4746
0.629377 57.114 -66.2937
0.633938 57.109 -67.1244
0.638532 57.105 -67.9668
0.643159 57.101 -68.8208
0.647819 57.097 -69.6864
0.652514 57.092 -70.5635
0.657242 57.088 -71.4521
0.662005 57.083 -72.3521
0.666802 57.079 -73.2634
0.671634 57.075 -74.1859
0.676501 57.070 -75.1197
0.681403 57.066 -76.0644
0.686341 57.061 -77.0202
0.691314 57.057 -77.9868
0.696324 57.053 -78.9642
0.701370 57.049 -79.9522
0.706452 57.046 -80.9507
0.711571 57.045 -81.9596
0.716728 57.046 -82.9788
0.721921 57.051 -84.0082
0.727153 57.062 -85.0475
0.732422 57.080 -86.0965
0.737729 57.107 -87.1549
0.743075 57.142 -88.2221
0.748460 57.185 -89.2973
0.753883 57.233 -90.3798
0.759346 57.287 -91.4685
0.764849 57.345 -92.5626
0.770391 57.406 -93.6609
0.775974 57.471 -94.7625
0.781597 57.539 -95.8663
0.787261 57.609 -96.9712
0.792966 57.683 -98.0764
0.798712 57.760 -99.1807
0.804500 57.840 -100.2834
0.810329 57.923 -101.3834
0.816201 58.009 -102.4798
0.822116 58.097 -103.5720
0.828073 58.189 -104.6590
0.834074 58.283 -105.7402
0.840118 58.380 -106.8148
0.846206 58.479 -107.8823
0.852338 58.581 -108.9421
0.858514 58.686 -109.9937
0.864735 58.793 -111.0366
0.871001 58.903 -112.0703
0.877313 59.016 -113.0947
0.883670 59.130 -114.1093
0.890074 59.247 -115.1140
0.896524 59.366 -116.1084
0.903020 59.488 -117.0926
0.909564 59.611 -118.0664
0.916155 59.737 -119.0298
0.922794 59.864 -119.9827
0.929481 59.993 -120.9251
0.936216 60.124 -121.8573
0.943000 60.257 -122.7792
0.949834 60.391 -123.6910
0.956717 60.527 -124.5929
0.963649 60.663 -125.4851
0.970632 60.801 -126.3678
0.977666 60.940 -127.2413
0.984750 61.080 -128.1058
0.991886 61.221 -128.9617
0.999074 61.362 -129.8092
1.006314 61.504 -130.6487
1.013606 61.646 -131.4804
1.020951 61.788 -132.3049
1.028349 61.931 -133.1224
1.035801 62.073 -133.9332
1.043307 62.214 -134.7379
1.050867 62.356 -135.5366
1.058482 62.496 -136.3298
1.066152 62.636 -137.1176
1.073878 62.775 -137.9004
1.081660 62.913 -138.6782
1.089498 63.050 -139.4507
1.097393 63.187 -140.2178
1.105345 63.324 -140.9788
1.113355 63.462 -141.7332
1.121423 63.600 -142.4802
1.129549 63.739 -143.2196
1.137734 63.880 -143.9509
1.145979 64.022 -144.6741
1.154283 64.166 -145.3890
1.162647 64.311 -146.0958
1.171072 64.457 -146.7943
1.179558 64.604 -147.4848
1.188106 64.753 -148.1673
1.196715 64.903 -148.8420
1.205387 65.054 -149.5090
1.214122 65.207 -150.1686
1.222920 65.360 -150.8209
1.231782 65.515 -151.4661
1.240708 65.670 -152.1045
1.249699 65.827 -152.7361
1.258754 65.984 -153.3614
1.267876 66.142 -153.9805
1.277063 66.301 -154.5936
1.286318 66.460 -155.2011
1.295639 66.620 -155.8031
1.305027 66.781 -156.4000
1.314484 66.942 -156.9919
1.324009 67.103 -157.5792
1.333604 67.265 -158.1621
1.343268 67.427 -158.7409
1.353002 67.588 -159.3159
1.362806 67.750 -159.8873
1.372681 67.912 -160.4554
1.382628 68.073 -161.0206
1.392647 68.234 -161.5829
1.402739 68.394 -162.1428
1.412904 68.554 -162.7003
1.423142 68.713 -163.2557
1.433455 68.872 -163.8089
1.443843 69.029 -164.3601
1.454305 69.186 -164.9088
1.464844 69.342 -165.4547
1.475459 69.497 -165.9972
1.486150 69.652 -166.5358
1.496920 69.805 -167.0701
1.507767 69.959 -167.5999
1.518693 70.112 -168.1252
1.529698 70.264 -168.6460
1.540783 70.416 -169.1626
1.551948 70.567 -169.6752
1.563194 70.718 -170.1841
1.574521 70.868 -170.6898
1.585931 71.019 -171.1925
1.597423 71.168 -171.6926
1.608999 71.318 -172.1905
1.620658 71.467 -172.6865
1.632402 71.615 -173.1810
1.644232 71.763 -173.6744
1.656146 71.911 -174.1670
1.668147 72.059 -174.6593
1.680235 72.206 -175.1516
1.692411 72.354 -175.6444
1.704675 72.501 -176.1379
1.717028 72.647 -176.6326
1.729470 72.794 -177.1289
1.742003 72.941 -177.6272
1.754626 73.087 -178.1277
1.767341 73.233 -178.6308
1.780147 73.379 -179.1368
1.793047 73.526 -179.6459
1.806040 73.672 179.8418
1.819128 73.818 179.3264
1.832310 73.963 178.8083
1.845587 74.108 178.2878
1.858961 74.253 177.7654
1.872432 74.397 177.2418
1.886001 74.541 176.7172
1.899667 74.684 176.1921
1.913433 74.826 175.6666
1.927299 74.968 175.1408
1.941265 75.109 174.6150
1.955332 75.249 174.0892
1.969501 75.389 173.5633
1.983773 75.528 173.0374
1.998148 75.667 172.5115
2.012627 75.805 171.9856
2.027212 75.943 171.4594
2.041902 76.080 170.9330
2.056698 76.217 170.4063
2.071602 76.353 169.8790
2.086614 76.490 169.3510
2.101734 76.625 168.8222
2.116964 76.761 168.2923
2.132304 76.896 167.7610
2.147756 77.031 167.2283
2.163320 77.166 166.6938
2.178996 77.301 166.1573
2.194786 77.435 165.6187
2.210690 77.569 165.0779
2.226710 77.702 164.5347
2.242845 77.834 163.9894
2.259098 77.966 163.4421
2.275468 78.097 162.8930
2.291957 78.228 162.3424
2.308566 78.358 161.7904
2.325295 78.486 161.2373
2.342145 78.615 160.6832
2.359117 78.742 160.1284
2.376212 78.869 159.5728
2.393431 78.996 159.0167
2.410775 79.121 158.4601
2.428244 79.247 157.9031
2.445840 79.372 157.3456
2.463564 79.496 156.7875
2.481416 79.620 156.2289
2.499397 79.743 155.6696
2.517509 79.866 155.1092
2.535752 79.989 154.5476
2.554127 80.111 153.9844
2.572635 80.233 153.4191
2.591277 80.354 152.8515
2.610055 80.474 152.2813
2.628968 80.593 151.7085
2.648019 80.712 151.1332
2.667208 80.830 150.5557
2.686535 80.947 149.9762
2.706003 81.063 149.3951
2.725612 81.178 148.8128
2.745363 81.293 148.2296
2.765257 81.407 147.6456
2.785295 81.520 147.0612
2.805478 81.633 146.4766
2.825808 81.745 145.8919
2.846285 81.857 145.3072
2.866910 81.968 144.7224
2.887685 82.079 144.1374
2.908611 82.189 143.5518
2.929688 82.298 142.9651
2.950917 82.407 142.3766
2.972301 82.515 141.7861
2.993839 82.622 141.1931
3.015534 82.728 140.5977
3.037386 82.833 140.0001
3.059396 82.937 139.4006
3.081565 83.041 138.7997
3.103896 83.144 138.1977
3.126388 83.246 137.5952
3.149043 83.347 136.9925
3.171862 83.448 136.3901
3.194847 83.548 135.7883
3.217998 83.647 135.1873
3.241317 83.746 134.5870
3.264805 83.844 133.9873
3.288463 83.942 133.3879
3.312293 84.038 132.7881
3.336295 84.134 132.1873
3.360471 84.229 131.5852
3.384822 84.324 130.9815
3.409350 84.417 130.3764
3.434056 84.510 129.7701
3.458940 84.601 129.1630
3.484005 84.692 128.5556
3.509252 84.782 127.9482
3.534681 84.872 127.3414
3.560295 84.961 126.7355
3.586094 85.049 126.1307
3.612081 85.136 125.5271
3.638255 85.223 124.9245
3.664620 85.309 124.3225
3.691175 85.395 123.7206
3.717923 85.479 123.1182
3.744864 85.563 122.5151
3.772001 85.646 121.9113
3.799335 85.728 121.3069
3.826866 85.810 120.7023
3.854597 85.890 120.0978
3.882529 85.970 119.4939
3.910664 86.049 118.8910
3.939002 86.128 118.2895
3.967546 86.206 117.6895
3.996296 86.283 117.0911
4.025255 86.360 116.4940
4.054423 86.436 115.8978
4.083804 86.511 115.3020
4.113396 86.586 114.7064
4.143204 86.660 114.1108
4.173227 86.733 113.5155
4.203468 86.805 112.9206
4.233928 86.877 112.3264
4.264609 86.948 111.7333
4.295512 87.018 111.1416
4.326639 87.088 110.5515
4.357992 87.157 109.9629
4.389572 87.225 109.3759
4.421380 87.293 108.7901
4.453419 87.361 108.2051
4.485691 87.427 107.6207
4.518196 87.493 107.0370
4.550936 87.558 106.4539
4.583914 87.623 105.8717
4.617131 87.687 105.2906
4.650589 87.750 104.7110
4.684289 87.813 104.1331
4.718233 87.876 103.5569
4.752424 87.937 102.9823
4.786862 87.998 102.4093
4.821549 88.059 101.8375
4.856488 88.119 101.2667
4.891680 88.178 100.6969
4.927127 88.237 100.1282
4.962831 88.295 99.5607
4.998794 88.353 98.9948
5.035017 88.410 98.4304
5.071503 88.467 97.8679
5.108253 88.523 97.3071
5.145270 88.578 96.7480
5.182555 88.633 96.1904
5.220110 88.688 95.6342
5.257937 88.742 95.0792
5.296038 88.795 94.5256
5.334415 88.848 93.9734
5.373071 88.901 93.4228
5.412006 88.953 92.8739
5.451224 89.004 92.3268
5.490725 89.055 91.7814
5.530514 89.106 91.2378
5.570590 89.156 90.6956
5.610957 89.206 90.1549
5.651616 89.255 89.6157
5.692570 89.304 89.0779
5.733821 89.353 88.5416
5.775370 89.401 88.0069
5.817221 89.449 87.4738
5.859375 89.496 86.9423
5.901834 89.543 86.4124
5.944602 89.589 85.8839
5.987679 89.636 85.3568
6.031068 89.681 84.8309
6.074771 89.727 84.3064
6.118792 89.772 83.7833
6.163131 89.816 83.2615
6.207792 89.861 82.7410
6.252776 89.905 82.2219
6.298086 89.948 81.7039
6.343725 89.991 81.1871
6.389694 90.034 80.6714
6.435996 90.077 80.1570
6.482634 90.119 79.6437
6.529610 90.160 79.1316
6.576926 90.202 78.6208
6.624585 90.243 78.1111
