* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 18, 2023 10:00:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tinhifi C2 500 L
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 90.785 -159.8618
20.507813 90.789 -159.8708
20.874023 90.799 -159.9281
21.240234 90.799 -160.1141
21.606445 90.781 -160.5036
21.972656 90.745 -161.0878
22.338867 90.698 -161.7699
22.705078 90.656 -162.4306
23.071289 90.634 -162.9906
23.437500 90.643 -163.4324
23.803711 90.680 -163.7790
24.169922 90.731 -164.0589
24.536133 90.779 -164.2847
24.902344 90.812 -164.4573
25.268555 90.827 -164.5812
25.634766 90.829 -164.6787
26.000977 90.825 -164.7890
26.367188 90.820 -164.9506
26.733399 90.816 -165.1803
27.099610 90.814 -165.4658
27.465821 90.812 -165.7709
27.832032 90.809 -166.0522
28.198243 90.804 -166.2798
28.564454 90.799 -166.4498
28.930665 90.794 -166.5826
29.296876 90.788 -166.7101
29.663087 90.781 -166.8593
30.029298 90.773 -167.0400
30.395509 90.761 -167.2427
30.761720 90.748 -167.4452
31.127931 90.735 -167.6262
31.494142 90.724 -167.7758
31.860353 90.717 -167.8981
32.226563 90.712 -168.0069
32.592774 90.706 -168.1167
32.958985 90.697 -168.2350
33.325196 90.684 -168.3596
33.691407 90.668 -168.4829
34.057618 90.650 -168.5998
34.423829 90.633 -168.7112
34.790040 90.620 -168.8236
35.156251 90.610 -168.9440
35.522462 90.601 -169.0749
35.888673 90.593 -169.2122
36.254884 90.582 -169.3470
36.621095 90.568 -169.4699
36.987306 90.550 -169.5759
37.353517 90.531 -169.6659
37.719728 90.510 -169.7450
38.085939 90.487 -169.8189
38.452150 90.464 -169.8909
38.818361 90.440 -169.9607
39.184572 90.417 -170.0270
39.550783 90.398 -170.0906
39.916994 90.382 -170.1559
40.283205 90.370 -170.2278
40.649416 90.359 -170.3086
41.015627 90.347 -170.3953
41.381838 90.332 -170.4811
41.748049 90.314 -170.5588
42.114260 90.292 -170.6249
42.480471 90.269 -170.6806
42.846682 90.245 -170.7306
43.212893 90.221 -170.7807
43.579103 90.198 -170.8351
43.945314 90.176 -170.8955
44.311525 90.155 -170.9605
44.677736 90.133 -171.0258
45.043947 90.110 -171.0850
45.410158 90.085 -171.1312
45.776369 90.060 -171.1608
46.142580 90.034 -171.1767
46.508791 90.010 -171.1882
46.875002 89.987 -171.2076
47.241213 89.965 -171.2423
47.607424 89.941 -171.2915
47.973635 89.916 -171.3462
48.339846 89.888 -171.3953
48.706057 89.860 -171.4322
49.072268 89.831 -171.4573
49.438479 89.801 -171.4749
49.804690 89.772 -171.4887
50.170901 89.743 -171.4989
50.537112 89.715 -171.5045
50.903323 89.688 -171.5072
51.269534 89.663 -171.5128
51.635745 89.639 -171.5282
52.001956 89.613 -171.5555
52.368167 89.583 -171.5886
52.734378 89.548 -171.6149
53.100589 89.508 -171.6227
53.466800 89.464 -171.6083
53.833011 89.420 -171.5792
54.199222 89.376 -171.5498
54.565432 89.333 -171.5323
54.931643 89.291 -171.5301
55.297854 89.247 -171.5358
55.664065 89.203 -171.5364
56.030276 89.156 -171.5197
56.396487 89.109 -171.4795
56.762698 89.061 -171.4156
57.128909 89.010 -171.3316
57.495120 88.957 -171.2311
57.861331 88.901 -171.1172
58.227542 88.840 -170.9923
58.593753 88.775 -170.8582
58.959964 88.705 -170.7140
59.326175 88.630 -170.5538
59.692386 88.549 -170.3662
60.058597 88.463 -170.1379
60.424808 88.374 -169.8595
60.791019 88.284 -169.5308
61.157230 88.197 -169.1598
61.523441 88.113 -168.7560
61.889652 88.033 -168.3207
62.255863 87.957 -167.8420
62.622074 87.886 -167.2984
62.988285 87.822 -166.6688
63.354496 87.769 -165.9435
63.720707 87.726 -165.1285
64.086918 87.693 -164.2401
64.453129 87.666 -163.2952
64.819340 87.645 -162.3049
65.185551 87.628 -161.2770
65.551762 87.620 -160.2251
65.917972 87.630 -159.1783
66.284183 87.662 -158.1818
66.650394 87.723 -157.2855
67.016605 87.808 -156.5269
67.382816 87.913 -155.9171
67.749027 88.031 -155.4385
68.115238 88.154 -155.0556
68.481449 88.278 -154.7328
68.847660 88.400 -154.4487
69.213871 88.517 -154.2015
69.580082 88.627 -154.0034
69.946293 88.729 -153.8692
70.312504 88.819 -153.8066
70.678715 88.897 -153.8126
71.044926 88.963 -153.8762
71.411137 89.017 -153.9851
71.777348 89.062 -154.1310
72.143559 89.099 -154.3110
72.509770 89.129 -154.5253
72.875981 89.150 -154.7720
73.242192 89.164 -155.0428
73.608403 89.169 -155.3217
73.974614 89.167 -155.5890
74.340825 89.158 -155.8286
74.707036 89.143 -156.0356
75.073247 89.123 -156.2196
75.439458 89.094 -156.3996
75.805669 89.054 -156.5936
76.171880 88.999 -156.8060
76.538091 88.929 -157.0219
76.904301 88.848 -157.2120
77.270512 88.765 -157.3472
77.636723 88.693 -157.4145
78.002934 88.644 -157.4261
78.369145 88.626 -157.4135
78.735356 88.635 -157.4124
79.101567 88.663 -157.4437
79.467778 88.697 -157.5042
79.833989 88.725 -157.5692
80.200200 88.740 -157.6077
80.566411 88.742 -157.5989
80.932622 88.733 -157.5440
81.298833 88.718 -157.4655
81.665044 88.701 -157.3974
82.031255 88.685 -157.3693
82.397466 88.669 -157.3944
82.763677 88.652 -157.4640
83.129888 88.631 -157.5522
83.496099 88.608 -157.6261
83.862310 88.583 -157.6572
84.228521 88.556 -157.6302
84.594732 88.530 -157.5445
84.960943 88.503 -157.4117
85.327154 88.474 -157.2498
85.693365 88.443 -157.0788
86.059576 88.409 -156.9172
86.425787 88.372 -156.7817
86.791998 88.335 -156.6857
87.158209 88.299 -156.6377
87.524420 88.269 -156.6378
87.890631 88.245 -156.6761
88.256841 88.229 -156.7316
88.623052 88.218 -156.7755
88.989263 88.211 -156.7758
89.355474 88.203 -156.7037
89.721685 88.189 -156.5401
90.087896 88.168 -156.2798
90.454107 88.138 -155.9349
90.820318 88.101 -155.5334
91.186529 88.060 -155.1148
91.552740 88.021 -154.7224
91.918951 87.988 -154.3937
92.285162 87.964 -154.1529
92.651373 87.952 -154.0078
93.017584 87.951 -153.9522
93.383795 87.960 -153.9707
93.750006 87.976 -154.0453
94.116217 87.993 -154.1573
94.482428 88.009 -154.2876
94.848639 88.018 -154.4138
95.214850 88.018 -154.5112
95.581061 88.012 -154.5547
95.947272 88.001 -154.5257
96.313483 87.990 -154.4173
96.679694 87.982 -154.2368
97.045905 87.981 -154.0035
97.412116 87.985 -153.7426
97.778327 87.993 -153.4781
98.144538 88.002 -153.2287
98.510749 88.010 -153.0053
98.876960 88.013 -152.8122
99.243170 88.013 -152.6493
99.609381 88.008 -152.5133
99.975592 88.001 -152.3992
100.341803 87.992 -152.3014
100.708014 87.983 -152.2146
101.074225 87.974 -152.1354
101.440436 87.966 -152.0629
101.806647 87.958 -151.9984
102.172858 87.950 -151.9438
102.539069 87.941 -151.9005
102.905280 87.931 -151.8677
103.271491 87.919 -151.8423
103.637702 87.907 -151.8192
104.003913 87.893 -151.7930
104.370124 87.880 -151.7589
104.736335 87.867 -151.7138
105.102546 87.855 -151.6566
105.468757 87.844 -151.5883
105.834968 87.834 -151.5117
106.201179 87.825 -151.4307
106.567390 87.816 -151.3495
106.933601 87.807 -151.2726
107.299812 87.797 -151.2040
107.666023 87.785 -151.1472
108.032234 87.772 -151.1043
108.398445 87.758 -151.0760
108.764656 87.742 -151.0606
109.130867 87.724 -151.0540
109.497078 87.706 -151.0499
109.863289 87.688 -151.0406
110.229500 87.668 -151.0179
110.595710 87.649 -150.9752
110.961921 87.630 -150.9077
111.328132 87.610 -150.8141
111.694343 87.590 -150.6957
112.060554 87.570 -150.5565
112.426765 87.548 -150.4023
112.792976 87.525 -150.2406
113.159187 87.502 -150.0794
113.525398 87.480 -149.9282
113.891609 87.458 -149.7962
114.257820 87.439 -149.6919
114.624031 87.422 -149.6207
114.990242 87.408 -149.5835
115.356453 87.396 -149.5755
115.722664 87.387 -149.5869
116.088875 87.379 -149.6041
116.455086 87.372 -149.6125
116.821297 87.366 -149.5993
117.187508 87.361 -149.5556
117.553719 87.355 -149.4772
117.919930 87.350 -149.3654
118.286141 87.343 -149.2255
118.652352 87.335 -149.0657
119.018563 87.326 -148.8955
119.384774 87.315 -148.7235
119.750985 87.302 -148.5560
120.117196 87.285 -148.3959
120.483407 87.265 -148.2428
120.849618 87.241 -148.0936
121.215829 87.213 -147.9442
121.582040 87.182 -147.7908
121.948250 87.148 -147.6314
122.314461 87.112 -147.4665
122.680672 87.076 -147.2985
123.046883 87.041 -147.1313
123.413094 87.007 -146.9688
123.779305 86.976 -146.8139
124.145516 86.949 -146.6678
124.511727 86.925 -146.5295
124.877938 86.905 -146.3971
125.244149 86.888 -146.2682
125.610360 86.874 -146.1410
125.976571 86.862 -146.0146
126.342782 86.851 -145.8893
126.708993 86.840 -145.7657
127.075204 86.828 -145.6445
127.441415 86.814 -145.5258
127.807626 86.799 -145.4088
128.173837 86.783 -145.2925
128.540048 86.764 -145.1756
128.906259 86.745 -145.0570
129.272470 86.725 -144.9357
129.638681 86.705 -144.8110
130.004892 86.685 -144.6822
130.371103 86.664 -144.5486
130.737314 86.644 -144.4094
131.103525 86.624 -144.2642
131.469736 86.604 -144.1125
131.835947 86.585 -143.9539
132.202158 86.565 -143.7885
132.568369 86.546 -143.6164
132.934579 86.528 -143.4377
133.300790 86.509 -143.2528
133.667001 86.490 -143.0621
134.033212 86.472 -142.8664
134.399423 86.454 -142.6664
134.765634 86.435 -142.4633
135.131845 86.417 -142.2583
135.498056 86.400 -142.0527
135.864267 86.382 -141.8477
136.230478 86.365 -141.6444
136.596689 86.348 -141.4432
136.962900 86.331 -141.2442
137.329111 86.315 -141.0467
137.695322 86.298 -140.8496
138.061533 86.282 -140.6513
138.427744 86.265 -140.4501
138.793955 86.249 -140.2447
139.160166 86.232 -140.0339
139.526377 86.215 -139.8171
139.892588 86.198 -139.5945
140.258799 86.181 -139.3665
140.625010 86.164 -139.1337
140.991221 86.148 -138.8969
141.357432 86.132 -138.6567
141.723643 86.116 -138.4134
142.089854 86.102 -138.1674
142.456065 86.088 -137.9187
142.822276 86.076 -137.6677
143.188487 86.064 -137.4148
143.554698 86.054 -137.1604
143.920909 86.045 -136.9055
144.287119 86.037 -136.6507
144.653330 86.030 -136.3970
145.019541 86.023 -136.1452
145.385752 86.018 -135.8959
145.751963 86.012 -135.6494
146.118174 86.008 -135.4061
146.484385 86.004 -135.1662
146.850596 86.000 -134.9296
147.216807 85.996 -134.6964
147.583018 85.993 -134.4666
147.949229 85.991 -134.2402
148.315440 85.989 -134.0172
148.681651 85.987 -133.7979
149.047862 85.986 -133.5826
149.414073 85.986 -133.3714
149.780284 85.986 -133.1649
150.146495 85.986 -132.9635
150.512706 85.987 -132.7672
150.878917 85.988 -132.5763
151.245128 85.989 -132.3905
151.611339 85.990 -132.2096
151.977550 85.991 -132.0330
152.343761 85.992 -131.8603
152.709972 85.994 -131.6912
153.076183 85.996 -131.5254
153.442394 85.998 -131.3630
153.808605 86.001 -131.2041
154.174816 86.004 -131.0491
154.541027 86.007 -130.8982
154.907238 86.011 -130.7513
155.273448 86.015 -130.6084
155.639659 86.019 -130.4689
156.005870 86.023 -130.3322
156.372081 86.026 -130.1976
156.738292 86.029 -130.0645
157.104503 86.031 -129.9324
157.470714 86.032 -129.8013
157.836925 86.032 -129.6711
158.203136 86.031 -129.5422
158.569347 86.030 -129.4150
158.935558 86.027 -129.2899
159.301769 86.024 -129.1671
159.667980 86.020 -129.0466
160.034191 86.016 -128.9283
160.400402 86.012 -128.8119
160.766613 86.007 -128.6968
161.132824 86.003 -128.5826
161.499035 85.998 -128.4691
161.865246 85.994 -128.3560
162.231457 85.989 -128.2433
162.597668 85.985 -128.1310
