* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 18, 2023 10:05:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tinhifi C2 HDF 500 L
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 90.537 -164.8110
20.507813 90.561 -164.9994
20.874023 90.593 -165.8195
21.240234 90.519 -167.3696
21.606445 90.292 -169.0511
21.972656 89.953 -169.9003
22.338867 89.640 -169.3906
22.705078 89.528 -167.8577
23.071289 89.689 -166.3313
23.437500 90.028 -165.7977
23.803711 90.375 -166.5314
24.169922 90.609 -168.0675
24.536133 90.703 -169.6657
24.902344 90.701 -170.7912
25.268555 90.677 -171.3416
25.634766 90.684 -171.5788
26.000977 90.727 -171.8595
26.367188 90.775 -172.3693
26.733399 90.799 -173.0424
27.099610 90.789 -173.6834
27.465821 90.763 -174.1443
27.832032 90.743 -174.4162
28.198243 90.739 -174.5971
28.564454 90.747 -174.7936
28.930665 90.753 -175.0464
29.296876 90.748 -175.3305
29.663087 90.734 -175.6045
30.029298 90.718 -175.8553
30.395509 90.706 -176.1041
30.761720 90.702 -176.3815
31.127931 90.701 -176.7017
31.494142 90.701 -177.0553
31.860353 90.697 -177.4164
32.226563 90.689 -177.7571
32.592774 90.674 -178.0566
32.958985 90.657 -178.3073
33.325196 90.638 -178.5175
33.691407 90.622 -178.7120
34.057618 90.609 -178.9233
34.423829 90.597 -179.1758
34.790040 90.583 -179.4709
35.156251 90.565 -179.7866
35.522462 90.544 179.9093
35.888673 90.522 179.6390
36.254884 90.503 179.4047
36.621095 90.488 179.1920
36.987306 90.478 178.9832
37.353517 90.469 178.7704
37.719728 90.459 178.5573
38.085939 90.447 178.3535
38.452150 90.434 178.1653
38.818361 90.419 177.9907
39.184572 90.405 177.8215
39.550783 90.391 177.6465
39.916994 90.377 177.4578
40.283205 90.362 177.2534
40.649416 90.344 177.0385
41.015627 90.326 176.8223
41.381838 90.306 176.6132
41.748049 90.288 176.4144
42.114260 90.271 176.2219
42.480471 90.257 176.0285
42.846682 90.245 175.8288
43.212893 90.231 175.6238
43.579103 90.215 175.4205
43.945314 90.198 175.2273
44.311525 90.180 175.0483
44.677736 90.163 174.8811
45.043947 90.147 174.7188
45.410158 90.133 174.5557
45.776369 90.118 174.3910
46.142580 90.102 174.2287
46.508791 90.084 174.0735
46.875002 90.065 173.9266
47.241213 90.044 173.7847
47.607424 90.023 173.6422
47.973635 90.002 173.4954
48.339846 89.980 173.3443
48.706057 89.958 173.1928
49.072268 89.936 173.0456
49.438479 89.917 172.9063
49.804690 89.899 172.7769
50.170901 89.882 172.6581
50.537112 89.866 172.5499
50.903323 89.848 172.4523
51.269534 89.829 172.3636
51.635745 89.808 172.2791
52.001956 89.786 172.1913
52.368167 89.764 172.0922
52.734378 89.741 171.9766
53.100589 89.719 171.8445
53.466800 89.697 171.7021
53.833011 89.675 171.5586
54.199222 89.655 171.4228
54.565432 89.637 171.2999
54.931643 89.620 171.1906
55.297854 89.603 171.0911
55.664065 89.586 170.9961
56.030276 89.567 170.9010
56.396487 89.545 170.8036
56.762698 89.521 170.7046
57.128909 89.495 170.6060
57.495120 89.468 170.5106
57.861331 89.443 170.4191
58.227542 89.419 170.3313
58.593753 89.398 170.2460
58.959964 89.379 170.1629
59.326175 89.362 170.0834
59.692386 89.345 170.0096
60.058597 89.328 169.9429
60.424808 89.311 169.8821
60.791019 89.293 169.8233
61.157230 89.274 169.7617
61.523441 89.254 169.6932
61.889652 89.233 169.6169
62.255863 89.210 169.5344
62.622074 89.187 169.4497
62.988285 89.163 169.3669
63.354496 89.140 169.2891
63.720707 89.117 169.2186
64.086918 89.094 169.1567
64.453129 89.072 169.1041
64.819340 89.051 169.0612
65.185551 89.032 169.0269
65.551762 89.015 168.9987
65.917972 89.001 168.9722
66.284183 88.988 168.9429
66.650394 88.976 168.9067
67.016605 88.962 168.8616
67.382816 88.946 168.8079
67.749027 88.925 168.7481
68.115238 88.899 168.6863
68.481449 88.870 168.6264
68.847660 88.838 168.5710
69.213871 88.805 168.5212
69.580082 88.774 168.4771
69.946293 88.745 168.4382
70.312504 88.718 168.4045
70.678715 88.694 168.3753
71.044926 88.670 168.3485
71.411137 88.647 168.3206
71.777348 88.622 168.2867
72.143559 88.596 168.2430
72.509770 88.568 168.1866
72.875981 88.541 168.1161
73.242192 88.517 168.0297
73.608403 88.498 167.9242
73.974614 88.484 167.7963
74.340825 88.476 167.6470
74.707036 88.470 167.4854
75.073247 88.462 167.3303
75.439458 88.449 167.2056
75.805669 88.429 167.1318
76.171880 88.403 167.1177
76.538091 88.373 167.1562
76.904301 88.341 167.2269
77.270512 88.308 167.3041
77.636723 88.274 167.3666
78.002934 88.240 167.4030
78.369145 88.208 167.4124
78.735356 88.176 167.4006
79.101567 88.147 167.3755
79.467778 88.119 167.3443
79.833989 88.093 167.3118
80.200200 88.067 167.2818
80.566411 88.040 167.2576
80.932622 88.011 167.2420
81.298833 87.979 167.2363
81.665044 87.946 167.2405
82.031255 87.913 167.2523
82.397466 87.881 167.2688
82.763677 87.849 167.2872
83.129888 87.819 167.3057
83.496099 87.788 167.3242
83.862310 87.757 167.3435
84.228521 87.724 167.3641
84.594732 87.688 167.3856
84.960943 87.649 167.4066
85.327154 87.609 167.4258
85.693365 87.570 167.4426
86.059576 87.531 167.4587
86.425787 87.494 167.4784
86.791998 87.458 167.5092
87.158209 87.423 167.5608
87.524420 87.385 167.6434
87.890631 87.345 167.7639
88.256841 87.301 167.9214
88.623052 87.255 168.1035
88.989263 87.209 168.2867
89.355474 87.163 168.4438
89.721685 87.118 168.5533
90.087896 87.073 168.6084
90.454107 87.028 168.6205
90.820318 86.980 168.6133
91.186529 86.928 168.6137
91.552740 86.873 168.6415
91.918951 86.812 168.7062
92.285162 86.745 168.8097
92.651373 86.673 168.9509
93.017584 86.598 169.1284
93.383795 86.528 169.3391
93.750006 86.468 169.5744
94.116217 86.428 169.8203
94.482428 86.410 170.0611
94.848639 86.413 170.2878
95.214850 86.433 170.5042
95.581061 86.461 170.7262
95.947272 86.491 170.9743
96.313483 86.515 171.2629
96.679694 86.531 171.5924
97.045905 86.539 171.9476
97.412116 86.539 172.3045
97.778327 86.534 172.6400
98.144538 86.524 172.9399
98.510749 86.513 173.2031
98.876960 86.502 173.4404
99.243170 86.493 173.6682
99.609381 86.488 173.9027
99.975592 86.488 174.1536
100.341803 86.494 174.4208
100.708014 86.506 174.6950
101.074225 86.522 174.9613
101.440436 86.542 175.2060
101.806647 86.564 175.4224
102.172858 86.586 175.6154
102.539069 86.606 175.8001
102.905280 86.625 175.9965
103.271491 86.642 176.2213
103.637702 86.660 176.4805
104.003913 86.681 176.7657
104.370124 86.704 177.0562
104.736335 86.730 177.3256
105.102546 86.758 177.5502
105.468757 86.787 177.7158
105.834968 86.816 177.8210
106.201179 86.843 177.8754
106.567390 86.871 177.8949
106.933601 86.899 177.8954
107.299812 86.927 177.8881
107.666023 86.957 177.8761
108.032234 86.987 177.8555
108.398445 87.016 177.8182
108.764656 87.041 177.7554
109.130867 87.062 177.6618
109.497078 87.077 177.5381
109.863289 87.084 177.3913
110.229500 87.086 177.2328
110.595710 87.084 177.0757
110.961921 87.080 176.9313
111.328132 87.077 176.8062
111.694343 87.077 176.7011
112.060554 87.081 176.6118
112.426765 87.090 176.5313
112.792976 87.103 176.4528
113.159187 87.118 176.3731
113.525398 87.133 176.2930
113.891609 87.149 176.2170
114.257820 87.163 176.1506
114.624031 87.176 176.0966
114.990242 87.188 176.0532
115.356453 87.200 176.0135
115.722664 87.209 175.9669
116.088875 87.215 175.9030
116.455086 87.216 175.8139
116.821297 87.210 175.6961
117.187508 87.197 175.5509
117.553719 87.178 175.3828
117.919930 87.155 175.1987
118.286141 87.132 175.0076
118.652352 87.111 174.8197
119.018563 87.097 174.6472
119.384774 87.090 174.5024
119.750985 87.092 174.3964
120.117196 87.103 174.3370
120.483407 87.123 174.3268
120.849618 87.148 174.3625
121.215829 87.178 174.4355
121.582040 87.207 174.5329
121.948250 87.235 174.6391
122.314461 87.258 174.7383
122.680672 87.274 174.8165
123.046883 87.281 174.8633
123.413094 87.278 174.8738
123.779305 87.265 174.8489
124.145516 87.240 174.7944
124.511727 87.205 174.7194
124.877938 87.162 174.6341
125.244149 87.113 174.5470
125.610360 87.060 174.4648
125.976571 87.006 174.3914
126.342782 86.953 174.3290
126.708993 86.905 174.2787
127.075204 86.861 174.2409
127.441415 86.824 174.2150
127.807626 86.793 174.1993
128.173837 86.768 174.1909
128.540048 86.747 174.1853
128.906259 86.732 174.1772
129.272470 86.719 174.1616
129.638681 86.707 174.1345
130.004892 86.697 174.0941
130.371103 86.686 174.0408
130.737314 86.675 173.9771
131.103525 86.662 173.9073
131.469736 86.647 173.8361
131.835947 86.631 173.7681
132.202158 86.614 173.7072
132.568369 86.596 173.6562
132.934579 86.576 173.6166
133.300790 86.556 173.5891
133.667001 86.536 173.5729
134.033212 86.516 173.5671
134.399423 86.497 173.5699
134.765634 86.479 173.5796
135.131845 86.462 173.5945
135.498056 86.445 173.6132
135.864267 86.429 173.6345
136.230478 86.414 173.6577
136.596689 86.398 173.6824
136.962900 86.382 173.7084
137.329111 86.366 173.7354
137.695322 86.350 173.7633
138.061533 86.334 173.7919
138.427744 86.318 173.8213
138.793955 86.302 173.8512
139.160166 86.287 173.8819
139.526377 86.272 173.9136
139.892588 86.258 173.9467
140.258799 86.244 173.9816
140.625010 86.231 174.0188
140.991221 86.219 174.0586
141.357432 86.206 174.1012
141.723643 86.194 174.1463
142.089854 86.181 174.1935
142.456065 86.168 174.2422
142.822276 86.155 174.2914
143.188487 86.142 174.3402
143.554698 86.128 174.3877
143.920909 86.114 174.4330
144.287119 86.100 174.4758
144.653330 86.086 174.5155
145.019541 86.071 174.5522
145.385752 86.056 174.5860
145.751963 86.040 174.6172
146.118174 86.025 174.6465
146.484385 86.009 174.6745
146.850596 85.994 174.7019
147.216807 85.979 174.7297
147.583018 85.964 174.7584
147.949229 85.950 174.7889
148.315440 85.937 174.8215
148.681651 85.924 174.8566
149.047862 85.911 174.8941
149.414073 85.898 174.9340
149.780284 85.885 174.9760
150.146495 85.872 175.0195
150.512706 85.858 175.0641
150.878917 85.844 175.1093
151.245128 85.829 175.1549
151.611339 85.814 175.2003
151.977550 85.799 175.2455
152.343761 85.783 175.2901
152.709972 85.768 175.3340
153.076183 85.752 175.3770
153.442394 85.737 175.4191
153.808605 85.722 175.4601
154.174816 85.708 175.5002
154.541027 85.694 175.5397
154.907238 85.681 175.5789
155.273448 85.668 175.6184
155.639659 85.656 175.6591
156.005870 85.645 175.7015
156.372081 85.633 175.7465
156.738292 85.622 175.7942
157.104503 85.611 175.8449
157.470714 85.600 175.8983
157.836925 85.589 175.9537
158.203136 85.576 176.0105
158.569347 85.564 176.0678
158.935558 85.550 176.1247
159.301769 85.537 176.1805
159.667980 85.522 176.2348
160.034191 85.508 176.2874
160.400402 85.493 176.3382
160.766613 85.478 176.3876
161.132824 85.463 176.4357
161.499035 85.449 176.4829
161.865246 85.434 176.5293
162.231457 85.420 176.5750
162.597668 85.406 176.6202
162.963879 85.392 176.6652
163.330090 85.379 176.7100
163.696301 85.366 176.7552
164.062512 85.354 176.8012
164.428723 85.343 176.8484
164.794934 85.332 176.8973
165.161145 85.322 176.9479
165.527356 85.313 177.0005
165.893567 85.305 177.0548
166.259778 85.296 177.1105
166.625988 85.288 177.1672
166.992199 85.280 177.2244
167.358410 85.271 177.2817
167.724621 85.263 177.3388
168.090832 85.253 177.3955
168.457043 85.244 177.4517
168.823254 85.234 177.5076
169.189465 85.223 177.5634
169.555676 85.212 177.6195
169.921887 85.201 177.6764
170.288098 85.189 177.7345
170.654309 85.177 177.7944
171.020520 85.164 177.8565
171.386731 85.152 177.9213
