* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 18, 2023 10:04:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tinhifi C2 HDF L
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 90.724 -169.7764
20.507813 90.754 -169.7949
20.874023 90.825 -169.9152
21.240234 90.874 -170.2690
21.606445 90.895 -170.9432
21.972656 90.893 -171.9326
22.338867 90.868 -173.1211
22.705078 90.822 -174.2945
23.071289 90.771 -175.2312
23.437500 90.738 -175.8156
23.803711 90.742 -176.0940
24.169922 90.784 -176.2345
24.536133 90.846 -176.4172
24.902344 90.900 -176.7341
25.268555 90.930 -177.1653
25.634766 90.933 -177.6322
26.000977 90.920 -178.0747
26.367188 90.908 -178.4892
26.733399 90.905 -178.9114
27.099610 90.912 -179.3732
27.465821 90.921 -179.8707
27.832032 90.926 179.6326
28.198243 90.927 179.1738
28.564454 90.924 178.7635
28.930665 90.921 178.3843
29.296876 90.919 178.0101
29.663087 90.917 177.6252
30.029298 90.915 177.2297
30.395509 90.913 176.8328
30.761720 90.911 176.4429
31.127931 90.909 176.0634
31.494142 90.905 175.6949
31.860353 90.899 175.3388
32.226563 90.890 174.9948
32.592774 90.878 174.6569
32.958985 90.866 174.3137
33.325196 90.854 173.9542
33.691407 90.842 173.5745
34.057618 90.830 173.1797
34.423829 90.819 172.7805
34.790040 90.807 172.3865
35.156251 90.798 172.0016
35.522462 90.789 171.6241
35.888673 90.780 171.2508
36.254884 90.771 170.8813
36.621095 90.760 170.5189
36.987306 90.748 170.1677
37.353517 90.735 169.8292
37.719728 90.723 169.5009
38.085939 90.713 169.1764
38.452150 90.702 168.8488
38.818361 90.692 168.5139
39.184572 90.681 168.1711
39.550783 90.669 167.8237
39.916994 90.656 167.4769
40.283205 90.640 167.1367
40.649416 90.624 166.8081
41.015627 90.607 166.4941
41.381838 90.591 166.1936
41.748049 90.576 165.9016
42.114260 90.562 165.6106
42.480471 90.548 165.3147
42.846682 90.535 165.0124
43.212893 90.521 164.7076
43.579103 90.505 164.4083
43.945314 90.489 164.1218
44.311525 90.473 163.8507
44.677736 90.457 163.5906
45.043947 90.443 163.3325
45.410158 90.429 163.0677
45.776369 90.413 162.7932
46.142580 90.396 162.5135
46.508791 90.376 162.2375
46.875002 90.355 161.9734
47.241213 90.335 161.7236
47.607424 90.317 161.4832
47.973635 90.303 161.2435
48.339846 90.290 160.9973
48.706057 90.278 160.7426
49.072268 90.263 160.4839
49.438479 90.247 160.2278
49.804690 90.228 159.9788
50.170901 90.209 159.7361
50.537112 90.191 159.4943
50.903323 90.174 159.2477
51.269534 90.156 158.9953
51.635745 90.139 158.7416
52.001956 90.121 158.4945
52.368167 90.103 158.2598
52.734378 90.086 158.0380
53.100589 90.070 157.8243
53.466800 90.054 157.6118
53.833011 90.038 157.3950
54.199222 90.020 157.1732
54.565432 90.000 156.9487
54.931643 89.979 156.7252
55.297854 89.957 156.5040
55.664065 89.936 156.2836
56.030276 89.916 156.0604
56.396487 89.897 155.8315
56.762698 89.879 155.5964
57.128909 89.861 155.3581
57.495120 89.843 155.1210
57.861331 89.824 154.8903
58.227542 89.806 154.6691
58.593753 89.787 154.4588
58.959964 89.769 154.2579
59.326175 89.752 154.0634
59.692386 89.734 153.8709
60.058597 89.716 153.6764
60.424808 89.696 153.4767
60.791019 89.674 153.2710
61.157230 89.649 153.0597
61.523441 89.624 152.8434
61.889652 89.597 152.6215
62.255863 89.572 152.3917
62.622074 89.549 152.1511
62.988285 89.527 151.8995
63.354496 89.508 151.6405
63.720707 89.489 151.3816
64.086918 89.472 151.1313
64.453129 89.455 150.8949
64.819340 89.438 150.6711
65.185551 89.420 150.4532
65.551762 89.399 150.2325
65.917972 89.373 150.0045
66.284183 89.341 149.7723
66.650394 89.303 149.5464
67.016605 89.261 149.3386
67.382816 89.220 149.1561
67.749027 89.183 148.9969
68.115238 89.153 148.8508
68.481449 89.129 148.7052
68.847660 89.110 148.5513
69.213871 89.091 148.3869
69.580082 89.070 148.2140
69.946293 89.045 148.0342
70.312504 89.015 147.8455
70.678715 88.982 147.6432
71.044926 88.948 147.4247
71.411137 88.913 147.1945
71.777348 88.880 146.9639
72.143559 88.848 146.7484
72.509770 88.817 146.5617
72.875981 88.783 146.4138
73.242192 88.744 146.3108
73.608403 88.696 146.2563
73.974614 88.637 146.2501
74.340825 88.570 146.2833
74.707036 88.500 146.3344
75.073247 88.435 146.3699
75.439458 88.382 146.3523
75.805669 88.345 146.2526
76.171880 88.323 146.0612
76.538091 88.312 145.7914
76.904301 88.303 145.4753
77.270512 88.292 145.1544
77.636723 88.271 144.8686
78.002934 88.240 144.6478
78.369145 88.198 144.5065
78.735356 88.149 144.4415
79.101567 88.099 144.4357
79.467778 88.051 144.4666
79.833989 88.008 144.5178
80.200200 87.969 144.5880
80.566411 87.933 144.6898
80.932622 87.898 144.8386
81.298833 87.867 145.0378
81.665044 87.839 145.2686
82.031255 87.816 145.4951
82.397466 87.797 145.6794
82.763677 87.780 145.8011
83.129888 87.762 145.8658
83.496099 87.744 145.8981
83.862310 87.729 145.9265
84.228521 87.718 145.9673
84.594732 87.714 146.0211
84.960943 87.714 146.0804
85.327154 87.715 146.1426
85.693365 87.715 146.2177
86.059576 87.716 146.3253
86.425787 87.719 146.4852
86.791998 87.731 146.7084
87.158209 87.753 146.9962
87.524420 87.787 147.3449
87.890631 87.829 147.7516
88.256841 87.876 148.2126
88.623052 87.922 148.7146
88.989263 87.967 149.2247
89.355474 88.007 149.6869
89.721685 88.041 150.0319
90.087896 88.068 150.1952
90.454107 88.085 150.1352
90.820318 88.093 149.8431
91.186529 88.094 149.3408
91.552740 88.093 148.6713
91.918951 88.094 147.8883
92.285162 88.099 147.0508
92.651373 88.107 146.2220
93.017584 88.115 145.4681
93.383795 88.120 144.8523
93.750006 88.122 144.4245
94.116217 88.121 144.2094
94.482428 88.120 144.1990
94.848639 88.121 144.3536
95.214850 88.129 144.6114
95.581061 88.143 144.9016
95.947272 88.164 145.1582
96.313483 88.189 145.3293
96.679694 88.216 145.3834
97.045905 88.240 145.3113
97.412116 88.260 145.1252
97.778327 88.271 144.8551
98.144538 88.273 144.5413
98.510749 88.266 144.2250
98.876960 88.251 143.9383
99.243170 88.234 143.6975
99.609381 88.216 143.5018
99.975592 88.201 143.3369
100.341803 88.191 143.1824
100.708014 88.183 143.0200
101.074225 88.178 142.8395
101.440436 88.173 142.6408
101.806647 88.166 142.4322
102.172858 88.156 142.2254
102.539069 88.144 142.0306
102.905280 88.131 141.8517
103.271491 88.120 141.6855
103.637702 88.111 141.5222
104.003913 88.105 141.3495
104.370124 88.102 141.1575
104.736335 88.102 140.9414
105.102546 88.102 140.7040
105.468757 88.101 140.4536
105.834968 88.099 140.2018
106.201179 88.095 139.9589
106.567390 88.090 139.7319
106.933601 88.084 139.5227
107.299812 88.079 139.3290
107.666023 88.074 139.1463
108.032234 88.070 138.9705
108.398445 88.065 138.7996
108.764656 88.059 138.6349
109.130867 88.050 138.4807
109.497078 88.039 138.3422
109.863289 88.025 138.2239
110.229500 88.010 138.1264
110.595710 87.994 138.0458
110.961921 87.979 137.9738
111.328132 87.965 137.8988
111.694343 87.952 137.8090
112.060554 87.942 137.6946
112.426765 87.931 137.5498
112.792976 87.921 137.3728
113.159187 87.911 137.1656
113.525398 87.900 136.9330
113.891609 87.889 136.6818
114.257820 87.878 136.4205
114.624031 87.866 136.1589
114.990242 87.855 135.9079
115.356453 87.843 135.6775
115.722664 87.830 135.4754
116.088875 87.816 135.3048
116.455086 87.800 135.1637
116.821297 87.783 135.0450
117.187508 87.762 134.9384
117.553719 87.740 134.8328
117.919930 87.714 134.7184
118.286141 87.687 134.5889
118.652352 87.660 134.4416
119.018563 87.633 134.2768
119.384774 87.609 134.0972
119.750985 87.589 133.9062
120.117196 87.573 133.7075
120.483407 87.562 133.5041
120.849618 87.556 133.2983
121.215829 87.555 133.0921
121.582040 87.559 132.8875
121.948250 87.566 132.6873
122.314461 87.576 132.4952
122.680672 87.587 132.3159
123.046883 87.598 132.1539
123.413094 87.608 132.0130
123.779305 87.616 131.8951
124.145516 87.619 131.7997
124.511727 87.616 131.7237
124.877938 87.609 131.6617
125.244149 87.595 131.6073
125.610360 87.577 131.5539
125.976571 87.555 131.4956
126.342782 87.530 131.4282
126.708993 87.504 131.3495
127.075204 87.477 131.2595
127.441415 87.451 131.1598
127.807626 87.425 131.0532
128.173837 87.401 130.9429
128.540048 87.379 130.8318
128.906259 87.357 130.7217
129.272470 87.337 130.6135
129.638681 87.319 130.5071
130.004892 87.301 130.4016
130.371103 87.284 130.2964
130.737314 87.268 130.1909
131.103525 87.253 130.0848
131.469736 87.238 129.9784
131.835947 87.222 129.8721
132.202158 87.207 129.7661
132.568369 87.193 129.6603
132.934579 87.178 129.5545
133.300790 87.163 129.4482
133.667001 87.149 129.3410
134.033212 87.135 129.2327
134.399423 87.121 129.1236
134.765634 87.107 129.0143
135.131845 87.093 128.9056
135.498056 87.079 128.7985
135.864267 87.065 128.6936
136.230478 87.050 128.5915
136.596689 87.036 128.4922
136.962900 87.022 128.3955
137.329111 87.008 128.3009
137.695322 86.993 128.2078
138.061533 86.979 128.1155
138.427744 86.964 128.0234
138.793955 86.949 127.9309
139.160166 86.935 127.8376
139.526377 86.920 127.7432
139.892588 86.905 127.6473
140.258799 86.890 127.5497
140.625010 86.876 127.4506
140.991221 86.862 127.3500
141.357432 86.849 127.2483
141.723643 86.837 127.1462
142.089854 86.826 127.0446
142.456065 86.815 126.9440
142.822276 86.804 126.8452
143.188487 86.794 126.7485
143.554698 86.783 126.6541
143.920909 86.772 126.5613
144.287119 86.761 126.4695
144.653330 86.749 126.3779
145.019541 86.736 126.2854
145.385752 86.723 126.1913
145.751963 86.709 126.0951
146.118174 86.696 125.9963
146.484385 86.682 125.8951
146.850596 86.668 125.7917
147.216807 86.654 125.6869
147.583018 86.640 125.5815
147.949229 86.628 125.4762
148.315440 86.615 125.3721
148.681651 86.603 125.2699
149.047862 86.591 125.1703
149.414073 86.580 125.0735
149.780284 86.569 124.9797
150.146495 86.558 124.8889
150.512706 86.546 124.8007
150.878917 86.534 124.7146
151.245128 86.521 124.6304
151.611339 86.508 124.5474
151.977550 86.494 124.4655
152.343761 86.479 124.3842
152.709972 86.463 124.3034
153.076183 86.447 124.2228
153.442394 86.431 124.1423
153.808605 86.414 124.0619
154.174816 86.396 123.9814
154.541027 86.379 123.9010
154.907238 86.362 123.8204
155.273448 86.346 123.7397
155.639659 86.329 123.6587
156.005870 86.313 123.5771
156.372081 86.298 123.4945
156.738292 86.283 123.4107
157.104503 86.269 123.3253
157.470714 86.256 123.2383
157.836925 86.243 123.1497
158.203136 86.231 123.0598
158.569347 86.220 122.9689
158.935558 86.209 122.8774
159.301769 86.199 122.7856
159.667980 86.189 122.6938
160.034191 86.180 122.6019
160.400402 86.171 122.5097
160.766613 86.162 122.4170
161.132824 86.154 122.3235
161.499035 86.145 122.2289
161.865246 86.137 122.1331
162.231457 86.129 122.0362
162.597668 86.120 121.9387
162.963879 86.111 121.8414
163.330090 86.102 121.7453
163.696301 86.091 121.6516
164.062512 86.079 121.5612
164.428723 86.067 121.4752
164.794934 86.054 121.3939
165.161145 86.039 121.3175
165.527356 86.025 121.2459
165.893567 86.009 121.1785
166.259778 85.994 121.1147
166.625988 85.979 121.0539
166.992199 85.963 120.9954
167.358410 85.948 120.9389
167.724621 85.934 120.8841
168.090832 85.920 120.8308
168.457043 85.906 120.7791
168.823254 85.892 120.7286
169.189465 85.879 120.6793
169.555676 85.866 120.6306
169.921887 85.853 120.5821
170.288098 85.841 120.5331
170.654309 85.828 120.4831
171.020520 85.816 120.4314
171.386731 85.804 120.3777
171.752942 85.791 120.3220
172.119153 85.779 120.2640
