* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 19, 2023 8:56:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Tinhifi C2 Taped Back L
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 93.278 -149.1144
20.507813 93.283 -149.2069
20.874023 93.297 -149.4629
21.240234 93.310 -149.7535
21.606445 93.326 -150.0597
21.972656 93.345 -150.3697
22.338867 93.368 -150.6550
22.705078 93.393 -150.8995
23.071289 93.416 -151.1113
23.437500 93.434 -151.3152
23.803711 93.444 -151.5367
24.169922 93.445 -151.7892
24.536133 93.440 -152.0703
24.902344 93.432 -152.3667
25.268555 93.427 -152.6593
25.634766 93.428 -152.9304
26.000977 93.436 -153.1692
26.367188 93.447 -153.3719
26.733399 93.458 -153.5403
27.099610 93.464 -153.6817
27.465821 93.462 -153.8072
27.832032 93.453 -153.9287
28.198243 93.439 -154.0580
28.564454 93.424 -154.2057
28.930665 93.412 -154.3771
29.296876 93.403 -154.5687
29.663087 93.400 -154.7686
30.029298 93.400 -154.9599
30.395509 93.401 -155.1272
30.761720 93.402 -155.2619
31.127931 93.402 -155.3661
31.494142 93.400 -155.4510
31.860353 93.396 -155.5311
32.226563 93.391 -155.6174
32.592774 93.385 -155.7146
32.958985 93.379 -155.8204
33.325196 93.374 -155.9278
33.691407 93.371 -156.0294
34.057618 93.367 -156.1200
34.423829 93.363 -156.1978
34.790040 93.358 -156.2627
35.156251 93.350 -156.3176
35.522462 93.341 -156.3678
35.888673 93.331 -156.4215
36.254884 93.319 -156.4862
36.621095 93.307 -156.5648
36.987306 93.294 -156.6541
37.353517 93.279 -156.7462
37.719728 93.264 -156.8330
38.085939 93.249 -156.9111
38.452150 93.234 -156.9823
38.818361 93.219 -157.0506
39.184572 93.204 -157.1186
39.550783 93.188 -157.1853
39.916994 93.173 -157.2485
40.283205 93.159 -157.3074
40.649416 93.146 -157.3648
41.015627 93.135 -157.4255
41.381838 93.123 -157.4929
41.748049 93.111 -157.5657
42.114260 93.096 -157.6386
42.480471 93.080 -157.7043
42.846682 93.061 -157.7580
43.212893 93.042 -157.7996
43.579103 93.023 -157.8336
43.945314 93.005 -157.8655
44.311525 92.987 -157.8987
44.677736 92.969 -157.9332
45.043947 92.952 -157.9669
45.410158 92.936 -157.9979
45.776369 92.920 -158.0270
46.142580 92.904 -158.0577
46.508791 92.889 -158.0940
46.875002 92.873 -158.1377
47.241213 92.855 -158.1864
47.607424 92.835 -158.2346
47.973635 92.814 -158.2771
48.339846 92.792 -158.3117
48.706057 92.772 -158.3412
49.072268 92.754 -158.3708
49.438479 92.736 -158.4038
49.804690 92.717 -158.4389
50.170901 92.698 -158.4710
50.537112 92.678 -158.4948
50.903323 92.656 -158.5080
51.269534 92.634 -158.5130
51.635745 92.612 -158.5145
52.001956 92.589 -158.5167
52.368167 92.565 -158.5206
52.734378 92.539 -158.5251
53.100589 92.514 -158.5284
53.466800 92.488 -158.5303
53.833011 92.462 -158.5314
54.199222 92.436 -158.5320
54.565432 92.410 -158.5300
54.931643 92.382 -158.5225
55.297854 92.354 -158.5077
55.664065 92.326 -158.4873
56.030276 92.297 -158.4658
56.396487 92.268 -158.4470
56.762698 92.237 -158.4311
57.128909 92.205 -158.4140
57.495120 92.172 -158.3907
57.861331 92.138 -158.3592
58.227542 92.104 -158.3214
58.593753 92.071 -158.2816
58.959964 92.037 -158.2410
59.326175 92.002 -158.1947
59.692386 91.967 -158.1332
60.058597 91.932 -158.0470
60.424808 91.900 -157.9325
60.791019 91.872 -157.7939
61.157230 91.847 -157.6413
61.523441 91.826 -157.4854
61.889652 91.806 -157.3329
62.255863 91.786 -157.1855
62.622074 91.763 -157.0422
62.988285 91.739 -156.9027
63.354496 91.714 -156.7707
63.720707 91.690 -156.6532
64.086918 91.667 -156.5569
64.453129 91.646 -156.4823
64.819340 91.625 -156.4197
65.185551 91.604 -156.3497
65.551762 91.582 -156.2493
65.917972 91.561 -156.1026
66.284183 91.541 -155.9087
66.650394 91.524 -155.6838
67.016605 91.507 -155.4536
67.382816 91.490 -155.2399
67.749027 91.470 -155.0513
68.115238 91.448 -154.8805
68.481449 91.424 -154.7130
68.847660 91.405 -154.5385
69.213871 91.394 -154.3588
69.580082 91.392 -154.1848
69.946293 91.396 -154.0278
70.312504 91.403 -153.8890
70.678715 91.404 -153.7559
71.044926 91.395 -153.6066
71.411137 91.374 -153.4190
71.777348 91.341 -153.1786
72.143559 91.301 -152.8830
72.509770 91.258 -152.5415
72.875981 91.217 -152.1732
73.242192 91.182 -151.8042
73.608403 91.156 -151.4631
73.974614 91.138 -151.1751
74.340825 91.126 -150.9550
74.707036 91.115 -150.8026
75.073247 91.101 -150.7031
75.439458 91.084 -150.6338
75.805669 91.063 -150.5718
76.171880 91.041 -150.4989
76.538091 91.022 -150.4025
76.904301 91.006 -150.2721
77.270512 90.997 -150.0975
77.636723 90.997 -149.8706
78.002934 91.006 -149.5904
78.369145 91.024 -149.2671
78.735356 91.048 -148.9211
79.101567 91.076 -148.5768
79.467778 91.101 -148.2527
79.833989 91.119 -147.9562
80.200200 91.128 -147.6824
80.566411 91.129 -147.4196
80.932622 91.123 -147.1568
81.298833 91.116 -146.8879
81.665044 91.111 -146.6128
82.031255 91.111 -146.3359
82.397466 91.118 -146.0627
82.763677 91.131 -145.7995
83.129888 91.150 -145.5532
83.496099 91.175 -145.3319
83.862310 91.202 -145.1447
84.228521 91.230 -144.9993
84.594732 91.258 -144.9000
84.960943 91.283 -144.8456
85.327154 91.306 -144.8302
85.693365 91.326 -144.8444
86.059576 91.344 -144.8784
86.425787 91.360 -144.9237
86.791998 91.374 -144.9735
87.158209 91.385 -145.0224
87.524420 91.395 -145.0651
87.890631 91.401 -145.0965
88.256841 91.404 -145.1128
88.623052 91.406 -145.1147
88.989263 91.408 -145.1085
89.355474 91.411 -145.1060
89.721685 91.417 -145.1216
90.087896 91.426 -145.1674
90.454107 91.435 -145.2487
90.820318 91.445 -145.3614
91.186529 91.452 -145.4936
91.552740 91.455 -145.6293
91.918951 91.455 -145.7533
92.285162 91.451 -145.8550
92.651373 91.444 -145.9303
93.017584 91.435 -145.9810
93.383795 91.424 -146.0128
93.750006 91.413 -146.0330
94.116217 91.401 -146.0484
94.482428 91.391 -146.0638
94.848639 91.381 -146.0811
95.214850 91.372 -146.0999
95.581061 91.363 -146.1178
95.947272 91.355 -146.1314
96.313483 91.347 -146.1370
96.679694 91.337 -146.1315
97.045905 91.326 -146.1130
97.412116 91.314 -146.0813
97.778327 91.300 -146.0378
98.144538 91.284 -145.9857
98.510749 91.267 -145.9291
98.876960 91.249 -145.8725
99.243170 91.230 -145.8195
99.609381 91.210 -145.7725
99.975592 91.189 -145.7322
100.341803 91.168 -145.6979
100.708014 91.147 -145.6682
101.074225 91.126 -145.6416
101.440436 91.107 -145.6162
101.806647 91.088 -145.5907
102.172858 91.071 -145.5634
102.539069 91.054 -145.5334
102.905280 91.038 -145.4995
103.271491 91.023 -145.4612
103.637702 91.008 -145.4184
104.003913 90.993 -145.3711
104.370124 90.978 -145.3199
104.736335 90.963 -145.2651
105.102546 90.948 -145.2074
105.468757 90.933 -145.1472
105.834968 90.917 -145.0849
106.201179 90.901 -145.0207
106.567390 90.885 -144.9549
106.933601 90.869 -144.8876
107.299812 90.853 -144.8190
107.666023 90.837 -144.7493
108.032234 90.821 -144.6788
108.398445 90.805 -144.6076
108.764656 90.789 -144.5359
109.130867 90.773 -144.4639
109.497078 90.757 -144.3916
109.863289 90.742 -144.3192
110.229500 90.726 -144.2467
110.595710 90.711 -144.1741
110.961921 90.696 -144.1014
111.328132 90.682 -144.0284
111.694343 90.667 -143.9549
112.060554 90.652 -143.8806
112.426765 90.636 -143.8053
112.792976 90.620 -143.7289
113.159187 90.603 -143.6516
113.525398 90.586 -143.5739
113.891609 90.569 -143.4960
114.257820 90.551 -143.4182
114.624031 90.534 -143.3403
114.990242 90.517 -143.2620
115.356453 90.500 -143.1824
115.722664 90.485 -143.1008
116.088875 90.470 -143.0166
116.455086 90.456 -142.9300
116.821297 90.442 -142.8416
117.187508 90.429 -142.7526
117.553719 90.417 -142.6643
117.919930 90.404 -142.5779
118.286141 90.391 -142.4942
118.652352 90.377 -142.4131
119.018563 90.363 -142.3343
119.384774 90.349 -142.2569
119.750985 90.335 -142.1802
120.117196 90.321 -142.1033
120.483407 90.306 -142.0258
120.849618 90.292 -141.9472
121.215829 90.277 -141.8671
121.582040 90.262 -141.7850
121.948250 90.246 -141.7005
122.314461 90.230 -141.6132
122.680672 90.213 -141.5232
123.046883 90.195 -141.4308
123.413094 90.177 -141.3369
123.779305 90.159 -141.2428
124.145516 90.141 -141.1497
124.511727 90.124 -141.0588
124.877938 90.107 -140.9706
125.244149 90.091 -140.8853
125.610360 90.075 -140.8022
125.976571 90.060 -140.7207
126.342782 90.046 -140.6395
126.708993 90.032 -140.5579
127.075204 90.018 -140.4749
127.441415 90.005 -140.3902
127.807626 89.992 -140.3034
128.173837 89.978 -140.2146
128.540048 89.965 -140.1238
128.906259 89.951 -140.0309
129.272470 89.937 -139.9360
129.638681 89.923 -139.8388
130.004892 89.908 -139.7393
130.371103 89.893 -139.6373
130.737314 89.878 -139.5327
131.103525 89.863 -139.4256
131.469736 89.848 -139.3163
131.835947 89.833 -139.2049
132.202158 89.819 -139.0921
132.568369 89.805 -138.9784
132.934579 89.792 -138.8646
133.300790 89.779 -138.7511
133.667001 89.767 -138.6385
134.033212 89.755 -138.5269
134.399423 89.743 -138.4162
134.765634 89.732 -138.3063
135.131845 89.721 -138.1966
135.498056 89.710 -138.0867
135.864267 89.699 -137.9760
136.230478 89.688 -137.8642
136.596689 89.676 -137.7511
136.962900 89.665 -137.6368
137.329111 89.653 -137.5218
137.695322 89.641 -137.4066
138.061533 89.629 -137.2920
138.427744 89.617 -137.1788
138.793955 89.606 -137.0679
139.160166 89.594 -136.9598
139.526377 89.582 -136.8550
139.892588 89.570 -136.7537
140.258799 89.558 -136.6558
140.625010 89.546 -136.5610
140.991221 89.534 -136.4688
141.357432 89.522 -136.3786
141.723643 89.510 -136.2901
142.089854 89.498 -136.2025
142.456065 89.485 -136.1153
142.822276 89.473 -136.0281
143.188487 89.461 -135.9404
143.554698 89.449 -135.8518
143.920909 89.438 -135.7620
144.287119 89.426 -135.6709
144.653330 89.414 -135.5783
145.019541 89.402 -135.4843
145.385752 89.391 -135.3891
145.751963 89.380 -135.2929
146.118174 89.369 -135.1961
146.484385 89.358 -135.0990
146.850596 89.347 -135.0022
147.216807 89.336 -134.9058
147.583018 89.325 -134.8101
147.949229 89.314 -134.7153
148.315440 89.303 -134.6213
148.681651 89.292 -134.5282
149.047862 89.281 -134.4360
149.414073 89.269 -134.3445
149.780284 89.258 -134.2538
150.146495 89.246 -134.1638
150.512706 89.234 -134.0746
150.878917 89.223 -133.9860
151.245128 89.211 -133.8980
151.611339 89.199 -133.8104
151.977550 89.187 -133.7231
152.343761 89.175 -133.6358
152.709972 89.163 -133.5485
153.076183 89.151 -133.4612
153.442394 89.139 -133.3738
153.808605 89.127 -133.2863
154.174816 89.115 -133.1991
154.541027 89.103 -133.1120
154.907238 89.090 -133.0254
155.273448 89.078 -132.9392
155.639659 89.065 -132.8534
156.005870 89.053 -132.7679
156.372081 89.041 -132.6824
156.738292 89.028 -132.5965
157.104503 89.016 -132.5099
157.470714 89.004 -132.4222
157.836925 88.991 -132.3332
158.203136 88.979 -132.2424
158.569347 88.967 -132.1499
158.935558 88.955 -132.0555
159.301769 88.943 -131.9595
159.667980 88.931 -131.8622
160.034191 88.919 -131.7640
160.400402 88.907 -131.6654
160.766613 88.895 -131.5672
161.132824 88.884 -131.4700
161.499035 88.873 -131.3743
161.865246 88.862 -131.2803
162.231457 88.852 -131.1883
162.597668 88.842 -131.0978
