* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 18, 2023 10:01:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tinhifi C2 nofilter L
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 91.028 -164.9756
20.507813 91.012 -165.0956
20.874023 90.961 -165.4219
21.240234 90.889 -165.8179
21.606445 90.810 -166.3684
21.972656 90.744 -167.1417
22.338867 90.705 -168.0752
22.705078 90.704 -169.0304
23.071289 90.746 -169.8630
23.437500 90.825 -170.4803
23.803711 90.927 -170.8677
24.169922 91.033 -171.0769
24.536133 91.123 -171.1926
24.902344 91.184 -171.2975
25.268555 91.212 -171.4510
25.634766 91.213 -171.6849
26.000977 91.200 -172.0090
26.367188 91.185 -172.4144
26.733399 91.178 -172.8760
27.099610 91.184 -173.3580
27.465821 91.198 -173.8224
27.832032 91.218 -174.2402
28.198243 91.237 -174.6023
28.564454 91.253 -174.9224
28.930665 91.261 -175.2267
29.296876 91.263 -175.5395
29.663087 91.259 -175.8718
30.029298 91.251 -176.2200
30.395509 91.243 -176.5712
30.761720 91.236 -176.9121
31.127931 91.230 -177.2360
31.494142 91.226 -177.5446
31.860353 91.222 -177.8458
32.226563 91.218 -178.1513
32.592774 91.213 -178.4729
32.958985 91.207 -178.8187
33.325196 91.202 -179.1881
33.691407 91.196 -179.5713
34.057618 91.191 -179.9528
34.423829 91.187 179.6825
34.790040 91.183 179.3439
35.156251 91.179 179.0314
35.522462 91.176 178.7374
35.888673 91.172 178.4511
36.254884 91.166 178.1638
36.621095 91.158 177.8717
36.987306 91.150 177.5754
37.353517 91.141 177.2780
37.719728 91.131 176.9830
38.085939 91.122 176.6929
38.452150 91.112 176.4092
38.818361 91.100 176.1325
39.184572 91.089 175.8621
39.550783 91.077 175.5954
39.916994 91.065 175.3276
40.283205 91.055 175.0535
40.649416 91.045 174.7692
41.015627 91.035 174.4746
41.381838 91.026 174.1739
41.748049 91.016 173.8740
42.114260 91.006 173.5819
42.480471 90.996 173.3024
42.846682 90.986 173.0367
43.212893 90.977 172.7830
43.579103 90.967 172.5382
43.945314 90.956 172.2994
44.311525 90.944 172.0647
44.677736 90.929 171.8323
45.043947 90.914 171.5995
45.410158 90.897 171.3633
45.776369 90.880 171.1212
46.142580 90.864 170.8727
46.508791 90.848 170.6190
46.875002 90.833 170.3625
47.241213 90.820 170.1061
47.607424 90.808 169.8523
47.973635 90.797 169.6039
48.339846 90.785 169.3644
48.706057 90.772 169.1373
49.072268 90.758 168.9247
49.438479 90.742 168.7256
49.804690 90.726 168.5362
50.170901 90.710 168.3500
50.537112 90.694 168.1613
50.903323 90.676 167.9677
51.269534 90.658 167.7704
51.635745 90.639 167.5729
52.001956 90.620 167.3771
52.368167 90.602 167.1817
52.734378 90.585 166.9825
53.100589 90.569 166.7755
53.466800 90.554 166.5610
53.833011 90.538 166.3446
54.199222 90.522 166.1353
54.565432 90.506 165.9407
54.931643 90.491 165.7641
55.297854 90.476 165.6023
55.664065 90.461 165.4490
56.030276 90.445 165.2989
56.396487 90.427 165.1501
56.762698 90.407 165.0045
57.128909 90.385 164.8644
57.495120 90.363 164.7292
57.861331 90.342 164.5947
58.227542 90.324 164.4547
58.593753 90.308 164.3057
58.959964 90.293 164.1489
59.326175 90.278 163.9901
59.692386 90.263 163.8363
60.058597 90.247 163.6928
60.424808 90.231 163.5606
60.791019 90.212 163.4375
61.157230 90.192 163.3206
61.523441 90.169 163.2078
61.889652 90.145 163.0985
62.255863 90.120 162.9917
62.622074 90.096 162.8853
62.988285 90.073 162.7767
63.354496 90.051 162.6647
63.720707 90.030 162.5514
64.086918 90.008 162.4421
64.453129 89.984 162.3423
64.819340 89.959 162.2531
65.185551 89.934 162.1683
65.551762 89.910 162.0755
65.917972 89.886 161.9619
66.284183 89.861 161.8220
66.650394 89.835 161.6622
67.016605 89.807 161.4996
67.382816 89.777 161.3546
67.749027 89.746 161.2410
68.115238 89.716 161.1597
68.481449 89.688 161.0988
68.847660 89.660 161.0399
69.213871 89.633 160.9665
69.580082 89.605 160.8704
69.946293 89.576 160.7526
70.312504 89.547 160.6217
70.678715 89.518 160.4916
71.044926 89.489 160.3806
71.411137 89.457 160.3100
71.777348 89.421 160.3012
72.143559 89.381 160.3671
72.509770 89.336 160.5028
72.875981 89.289 160.6794
73.242192 89.242 160.8483
73.608403 89.197 160.9551
73.974614 89.153 160.9595
74.340825 89.108 160.8506
74.707036 89.061 160.6515
75.073247 89.009 160.4100
75.439458 88.956 160.1811
75.805669 88.902 160.0102
76.171880 88.850 159.9221
76.538091 88.799 159.9200
76.904301 88.749 159.9912
77.270512 88.698 160.1153
77.636723 88.646 160.2727
78.002934 88.592 160.4510
78.369145 88.536 160.6483
78.735356 88.480 160.8751
79.101567 88.426 161.1501
79.467778 88.375 161.4935
79.833989 88.333 161.9170
80.200200 88.300 162.4166
80.566411 88.279 162.9705
80.932622 88.267 163.5453
81.298833 88.263 164.1062
81.665044 88.264 164.6281
82.031255 88.265 165.1020
82.397466 88.265 165.5347
82.763677 88.267 165.9438
83.129888 88.271 166.3499
83.496099 88.282 166.7701
83.862310 88.303 167.2133
84.228521 88.334 167.6779
84.594732 88.376 168.1520
84.960943 88.428 168.6143
85.327154 88.489 169.0375
85.693365 88.555 169.3929
86.059576 88.626 169.6572
86.425787 88.698 169.8182
86.791998 88.771 169.8793
87.158209 88.846 169.8592
87.524420 88.923 169.7877
87.890631 89.003 169.6977
88.256841 89.086 169.6157
88.623052 89.172 169.5552
88.989263 89.256 169.5150
89.355474 89.332 169.4825
89.721685 89.395 169.4405
90.087896 89.438 169.3727
90.454107 89.459 169.2661
90.820318 89.459 169.1091
91.186529 89.443 168.8880
91.552740 89.417 168.5873
91.918951 89.388 168.1946
92.285162 89.362 167.7105
92.651373 89.339 167.1567
93.017584 89.320 166.5786
93.383795 89.304 166.0366
93.750006 89.293 165.5906
94.116217 89.286 165.2825
94.482428 89.285 165.1238
94.848639 89.292 165.0951
95.214850 89.306 165.1546
95.581061 89.323 165.2539
95.947272 89.340 165.3515
96.313483 89.355 165.4218
96.679694 89.365 165.4560
97.045905 89.371 165.4586
97.412116 89.372 165.4408
97.778327 89.369 165.4155
98.144538 89.365 165.3932
98.510749 89.360 165.3806
98.876960 89.354 165.3798
99.243170 89.348 165.3881
99.609381 89.340 165.4001
99.975592 89.332 165.4086
100.341803 89.322 165.4069
100.708014 89.310 165.3899
101.074225 89.297 165.3557
101.440436 89.284 165.3046
101.806647 89.270 165.2390
102.172858 89.256 165.1622
102.539069 89.242 165.0780
102.905280 89.229 164.9903
103.271491 89.215 164.9026
103.637702 89.201 164.8179
104.003913 89.187 164.7381
104.370124 89.172 164.6637
104.736335 89.157 164.5936
105.102546 89.142 164.5253
105.468757 89.128 164.4557
105.834968 89.115 164.3818
106.201179 89.103 164.3019
106.567390 89.091 164.2165
106.933601 89.081 164.1281
107.299812 89.071 164.0412
107.666023 89.061 163.9610
108.032234 89.050 163.8919
108.398445 89.039 163.8366
108.764656 89.027 163.7957
109.130867 89.015 163.7676
109.497078 89.002 163.7494
109.863289 88.989 163.7375
110.229500 88.975 163.7284
110.595710 88.961 163.7191
110.961921 88.947 163.7078
111.328132 88.933 163.6942
111.694343 88.918 163.6791
112.060554 88.904 163.6648
112.426765 88.891 163.6537
112.792976 88.878 163.6477
113.159187 88.868 163.6484
113.525398 88.859 163.6564
113.891609 88.851 163.6723
114.257820 88.845 163.6963
114.624031 88.839 163.7284
114.990242 88.834 163.7674
115.356453 88.828 163.8103
115.722664 88.822 163.8517
116.088875 88.815 163.8846
116.455086 88.807 163.9022
116.821297 88.799 163.8989
117.187508 88.791 163.8726
117.553719 88.783 163.8252
117.919930 88.775 163.7622
118.286141 88.768 163.6920
118.652352 88.762 163.6245
119.018563 88.757 163.5689
119.384774 88.751 163.5333
119.750985 88.745 163.5233
120.117196 88.736 163.5413
120.483407 88.726 163.5869
120.849618 88.713 163.6569
121.215829 88.697 163.7452
121.582040 88.679 163.8438
121.948250 88.661 163.9427
122.314461 88.643 164.0311
122.680672 88.626 164.0985
123.046883 88.611 164.1374
123.413094 88.597 164.1442
123.779305 88.582 164.1207
124.145516 88.568 164.0736
124.511727 88.552 164.0130
124.877938 88.535 163.9497
125.244149 88.517 163.8931
125.610360 88.499 163.8495
125.976571 88.482 163.8218
126.342782 88.466 163.8096
126.708993 88.451 163.8107
127.075204 88.437 163.8222
127.441415 88.425 163.8411
127.807626 88.414 163.8647
128.173837 88.404 163.8913
128.540048 88.393 163.9195
128.906259 88.382 163.9486
129.272470 88.370 163.9785
129.638681 88.356 164.0093
130.004892 88.342 164.0417
130.371103 88.326 164.0762
130.737314 88.310 164.1133
131.103525 88.294 164.1530
131.469736 88.278 164.1951
131.835947 88.262 164.2389
132.202158 88.247 164.2835
132.568369 88.232 164.3280
132.934579 88.218 164.3716
133.300790 88.205 164.4139
133.667001 88.191 164.4550
134.033212 88.177 164.4952
134.399423 88.163 164.5351
134.765634 88.149 164.5753
135.131845 88.135 164.6162
135.498056 88.121 164.6582
135.864267 88.107 164.7014
136.230478 88.094 164.7457
136.596689 88.081 164.7910
136.962900 88.068 164.8368
137.329111 88.056 164.8827
137.695322 88.043 164.9283
138.061533 88.030 164.9730
138.427744 88.016 165.0163
138.793955 88.003 165.0578
139.160166 87.989 165.0975
139.526377 87.975 165.1353
139.892588 87.961 165.1716
140.258799 87.947 165.2070
140.625010 87.933 165.2419
140.991221 87.920 165.2773
141.357432 87.907 165.3135
141.723643 87.894 165.3513
142.089854 87.881 165.3908
142.456065 87.869 165.4324
142.822276 87.857 165.4761
143.188487 87.845 165.5220
143.554698 87.834 165.5702
143.920909 87.823 165.6205
144.287119 87.812 165.6728
144.653330 87.802 165.7267
145.019541 87.792 165.7819
145.385752 87.782 165.8375
145.751963 87.772 165.8928
146.118174 87.762 165.9471
146.484385 87.753 165.9997
146.850596 87.743 166.0502
147.216807 87.733 166.0986
147.583018 87.724 166.1451
147.949229 87.714 166.1902
148.315440 87.704 166.2349
148.681651 87.695 166.2799
149.047862 87.685 166.3264
149.414073 87.676 166.3749
149.780284 87.666 166.4262
150.146495 87.656 166.4803
150.512706 87.646 166.5370
150.878917 87.636 166.5960
151.245128 87.625 166.6566
151.611339 87.614 166.7183
151.977550 87.603 166.7804
152.343761 87.592 166.8426
152.709972 87.580 166.9046
153.076183 87.568 166.9664
153.442394 87.556 167.0282
153.808605 87.545 167.0901
154.174816 87.533 167.1525
154.541027 87.521 167.2154
154.907238 87.509 167.2789
155.273448 87.497 167.3429
155.639659 87.485 167.4072
156.005870 87.473 167.4717
156.372081 87.460 167.5360
156.738292 87.448 167.6000
157.104503 87.436 167.6636
157.470714 87.423 167.7269
157.836925 87.410 167.7898
158.203136 87.398 167.8526
158.569347 87.385 167.9153
158.935558 87.372 167.9781
159.301769 87.359 168.0410
159.667980 87.347 168.1039
160.034191 87.335 168.1667
160.400402 87.323 168.2292
160.766613 87.312 168.2910
161.132824 87.301 168.3519
161.499035 87.290 168.4116
161.865246 87.280 168.4699
162.231457 87.270 168.5269
162.597668 87.260 168.5825
162.963879 87.251 168.6372
163.330090 87.241 168.6915
163.696301 87.232 168.7460
164.062512 87.222 168.8015
164.428723 87.212 168.8589
164.794934 87.202 168.9189
165.161145 87.192 168.9819
165.527356 87.181 169.0482
165.893567 87.171 169.1179
166.259778 87.160 169.1906
166.625988 87.149 169.2661
166.992199 87.138 169.3438
167.358410 87.128 169.4234
167.724621 87.117 169.5043
168.090832 87.106 169.5864
168.457043 87.095 169.6695
168.823254 87.084 169.7535
169.189465 87.074 169.8383
169.555676 87.063 169.9241
169.921887 87.052 170.0107
170.288098 87.041 170.0983
170.654309 87.031 170.1868
171.020520 87.020 170.2759
171.386731 87.009 170.3657
171.752942 86.998 170.4559
