* Measurement data measured by REW V5.30.4
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 06 8, 24 6:12:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tinhifi T2 DLC R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 93.690 -132.7738
20.287556 93.700 -132.9343
20.434568 93.715 -133.1696
20.582645 93.732 -133.4590
20.731796 93.752 -133.7848
20.882027 93.772 -134.1344
21.033346 93.793 -134.4993
21.185762 93.814 -134.8747
21.339283 93.835 -135.2575
21.493916 93.856 -135.6458
21.649670 93.877 -136.0383
21.806553 93.897 -136.4340
21.964573 93.918 -136.8318
22.123737 93.939 -137.2308
22.284056 93.960 -137.6299
22.445536 93.981 -138.0283
22.608185 94.002 -138.4250
22.772013 94.024 -138.8192
22.937029 94.046 -139.2103
23.103241 94.067 -139.5978
23.270657 94.089 -139.9817
23.439285 94.111 -140.3619
23.609137 94.133 -140.7389
23.780218 94.155 -141.1131
23.952539 94.177 -141.4853
24.126110 94.199 -141.8565
24.300938 94.221 -142.2274
24.477032 94.242 -142.5989
24.654402 94.262 -142.9716
24.833057 94.282 -143.3459
25.013008 94.301 -143.7218
25.194263 94.319 -144.0991
25.376831 94.335 -144.4770
25.560722 94.351 -144.8548
25.745945 94.365 -145.2316
25.932510 94.379 -145.6062
26.120428 94.391 -145.9780
26.309708 94.404 -146.3463
26.500359 94.416 -146.7109
26.692390 94.428 -147.0718
26.885815 94.440 -147.4295
27.080641 94.453 -147.7846
27.276878 94.466 -148.1378
27.474539 94.479 -148.4897
27.673630 94.492 -148.8411
27.874165 94.506 -149.1920
28.076153 94.519 -149.5427
28.279604 94.532 -149.8928
28.484529 94.544 -150.2419
28.690941 94.555 -150.5895
28.898848 94.566 -150.9352
29.108261 94.577 -151.2790
29.319191 94.586 -151.6210
29.531651 94.595 -151.9616
29.745649 94.604 -152.3017
29.961199 94.613 -152.6422
30.178310 94.621 -152.9840
30.396996 94.629 -153.3276
30.617264 94.637 -153.6734
30.839128 94.645 -154.0213
31.062601 94.652 -154.3707
31.287693 94.660 -154.7209
31.514416 94.667 -155.0713
31.742783 94.674 -155.4213
31.972803 94.681 -155.7708
32.204491 94.688 -156.1198
32.437859 94.695 -156.4687
32.672916 94.703 -156.8179
32.909679 94.710 -157.1672
33.148155 94.717 -157.5163
33.388359 94.723 -157.8641
33.630306 94.729 -158.2091
33.874004 94.735 -158.5498
34.119469 94.740 -158.8846
34.366711 94.744 -159.2127
34.615746 94.748 -159.5340
34.866585 94.752 -159.8490
35.119244 94.756 -160.1593
35.373734 94.759 -160.4667
35.630066 94.762 -160.7735
35.888256 94.765 -161.0815
36.148315 94.766 -161.3923
36.410259 94.768 -161.7067
36.674103 94.768 -162.0248
36.939857 94.768 -162.3458
37.207539 94.767 -162.6682
37.477161 94.766 -162.9903
37.748737 94.766 -163.3105
38.022282 94.766 -163.6278
38.297806 94.766 -163.9418
38.575329 94.767 -164.2533
38.854862 94.767 -164.5631
39.136421 94.768 -164.8725
39.420021 94.768 -165.1819
39.705673 94.767 -165.4916
39.993397 94.766 -165.8008
40.283207 94.763 -166.1082
40.575115 94.760 -166.4120
40.869141 94.757 -166.7101
41.165295 94.755 -167.0004
41.463596 94.752 -167.2812
41.764057 94.751 -167.5524
42.066696 94.750 -167.8162
42.371529 94.750 -168.0772
42.678570 94.749 -168.3418
42.987835 94.748 -168.6161
43.299343 94.746 -168.9037
43.613110 94.742 -169.2034
43.929150 94.736 -169.5100
44.247478 94.729 -169.8153
44.568115 94.722 -170.1112
44.891075 94.715 -170.3918
45.216373 94.707 -170.6525
45.544029 94.698 -170.8877
45.874062 94.683 -171.0893
46.206486 94.663 -171.2477
46.541317 94.637 -171.3576
46.878574 94.609 -171.4272
47.218277 94.583 -171.4847
47.560440 94.565 -171.5770
47.905083 94.557 -171.7564
48.252224 94.558 -172.0615
48.601879 94.564 -172.4997
48.954067 94.571 -173.0425
49.308807 94.576 -173.6350
49.666119 94.578 -174.2157
50.026020 94.579 -174.7368
50.388531 94.580 -175.1767
50.753666 94.583 -175.5401
51.121449 94.585 -175.8483
51.491894 94.586 -176.1271
51.865025 94.584 -176.3965
52.240860 94.578 -176.6682
52.619419 94.570 -176.9462
53.000721 94.561 -177.2296
53.384785 94.553 -177.5148
53.771633 94.543 -177.7974
54.161285 94.532 -178.0737
54.553761 94.518 -178.3418
54.949081 94.499 -178.6009
55.347263 94.475 -178.8499
55.748333 94.447 -179.0860
56.152309 94.419 -179.3047
56.559212 94.394 -179.5037
56.969063 94.377 -179.6861
57.381886 94.368 -179.8622
57.797699 94.368 179.9517
58.216526 94.373 179.7386
58.638386 94.378 179.4853
59.063305 94.379 179.1868
59.491302 94.373 178.8491
59.922401 94.360 178.4896
60.356625 94.341 178.1326
60.793995 94.319 177.8006
61.234531 94.298 177.5052
61.678261 94.280 177.2435
62.125206 94.262 177.0037
62.575390 94.243 176.7763
63.028835 94.221 176.5595
63.485569 94.197 176.3542
63.945610 94.175 176.1546
64.408989 94.157 175.9457
64.875725 94.143 175.7144
65.345840 94.132 175.4622
65.819366 94.119 175.2067
66.296318 94.104 174.9672
66.776726 94.087 174.7493
67.260620 94.071 174.5422
67.748016 94.055 174.3316
68.238945 94.038 174.1123
68.733429 94.017 173.8896
69.231499 93.994 173.6710
69.733177 93.967 173.4592
70.238495 93.937 173.2529
70.747475 93.906 173.0499
71.260139 93.875 172.8470
71.776520 93.849 172.6386
72.296638 93.828 172.4185
72.820526 93.812 172.1864
73.348213 93.800 171.9495
73.879723 93.788 171.7168
74.415085 93.777 171.4911
74.954330 93.765 171.2682
75.497482 93.752 171.0424
76.044571 93.738 170.8137
76.595619 93.722 170.5881
77.150665 93.704 170.3724
77.709732 93.683 170.1692
78.272850 93.660 169.9758
78.840050 93.635 169.7858
79.411354 93.609 169.5938
79.986801 93.582 169.3989
80.566422 93.556 169.2050
81.150238 93.532 169.0170
81.738289 93.508 168.8367
82.330597 93.485 168.6619
82.927200 93.462 168.4886
83.528122 93.439 168.3141
84.133400 93.415 168.1372
84.743065 93.392 167.9585
85.357147 93.369 167.7799
85.975677 93.346 167.6037
86.598694 93.322 167.4301
87.226227 93.299 167.2568
87.858307 93.275 167.0817
88.494965 93.250 166.9050
89.136238 93.225 166.7285
89.782158 93.200 166.5534
90.432755 93.175 166.3802
91.088066 93.149 166.2091
91.748131 93.122 166.0410
92.412979 93.095 165.8757
93.082642 93.068 165.7124
93.757156 93.040 165.5501
94.436562 93.013 165.3891
95.120888 92.986 165.2302
95.810173 92.959 165.0740
96.504456 92.931 164.9203
97.203766 92.904 164.7679
97.908142 92.876 164.6155
98.617622 92.847 164.4625
99.332245 92.819 164.3096
100.052048 92.790 164.1584
100.777069 92.762 164.0107
101.507339 92.734 163.8674
102.242905 92.705 163.7285
102.983795 92.676 163.5920
103.730057 92.645 163.4551
104.481728 92.614 163.3149
105.238846 92.583 163.1710
106.001450 92.553 163.0260
106.769577 92.523 162.8859
107.543274 92.493 162.7556
108.322578 92.465 162.6369
109.107529 92.437 162.5282
109.898170 92.409 162.4252
110.694534 92.380 162.3212
111.496674 92.349 162.2078
112.304626 92.317 162.0809
113.118431 92.283 161.9468
113.938133 92.248 161.8182
114.763779 92.209 161.7054
115.595406 92.167 161.6105
116.433060 92.126 161.5349
117.276779 92.091 161.4886
118.126617 92.069 161.4865
118.982613 92.061 161.5248
119.844810 92.063 161.5615
120.713257 92.064 161.5264
121.587997 92.051 161.3674
122.469070 92.021 161.0868
123.356529 91.977 160.7348
124.250420 91.928 160.3768
125.150787 91.878 160.0581
126.057678 91.826 159.7867
126.971146 91.767 159.5427
127.891228 91.697 159.3046
128.817978 91.615 159.0695
129.751450 91.525 158.8581
130.691681 91.435 158.7067
131.638733 91.359 158.6423
132.592636 91.306 158.6518
133.553452 91.278 158.6754
134.521240 91.273 158.6429
135.496033 91.282 158.5222
136.477890 91.299 158.3358
137.466858 91.319 158.1392
138.462997 91.337 157.9935
139.466354 91.352 157.9460
140.476990 91.358 158.0176
141.494949 91.351 158.1938
142.520279 91.330 158.4258
143.553040 91.293 158.6519
144.593277 91.246 158.8244
145.641052 91.193 158.9239
146.696426 91.139 158.9561
147.759445 91.086 158.9407
148.830170 91.036 158.9009
149.908661 90.989 158.8560
150.994965 90.945 158.8183
152.089142 90.902 158.7940
153.191238 90.860 158.7849
154.301331 90.817 158.7892
155.419464 90.774 158.8042
156.545700 90.730 158.8300
157.680099 90.687 158.8705
158.822708 90.643 158.9305
159.973602 90.600 159.0116
161.132843 90.556 159.1153
162.300476 90.513 159.2443
163.476578 90.470 159.3997
164.661194 90.429 159.5785
165.854401 90.390 159.7779
167.056244 90.355 159.9952
168.266800 90.325 160.2258
169.486130 90.301 160.4634
170.714294 90.285 160.7025
171.951355 90.277 160.9362
173.197388 90.277 161.1552
174.452454 90.285 161.3492
175.716614 90.298 161.5092
176.989929 90.315 161.6270
178.272476 90.332 161.6973
179.564316 90.349 161.7182
180.865509 90.363 161.6916
182.176132 90.373 161.6230
183.496262 90.380 161.5201
184.825958 90.382 161.3911
186.165283 90.380 161.2440
187.514313 90.374 161.0865
188.873123 90.363 160.9254
190.241776 90.348 160.7659
191.620346 90.329 160.6127
193.008911 90.308 160.4698
194.407532 90.285 160.3384
195.816284 90.261 160.2181
197.235245 90.236 160.1102
198.664490 90.210 160.0178
200.104095 90.182 159.9404
201.554138 90.153 159.8745
203.014679 90.123 159.8166
204.485809 90.093 159.7661
205.967590 90.063 159.7238
207.460114 90.032 159.6912
208.963455 90.002 159.6693
210.477692 89.970 159.6583
212.002899 89.939 159.6569
213.539154 89.908 159.6627
215.086548 89.877 159.6729
216.645157 89.846 159.6857
218.215057 89.816 159.7004
219.796341 89.786 159.7156
221.389069 89.757 159.7303
222.993347 89.728 159.7456
224.609253 89.698 159.7644
226.236862 89.669 159.7888
227.876266 89.638 159.8168
229.527557 89.608 159.8443
231.190811 89.578 159.8699
232.866119 89.550 159.8965
234.553558 89.524 159.9306
236.253235 89.501 159.9792
237.965225 89.480 160.0475
239.689621 89.459 160.1360
241.426514 89.437 160.2415
243.175995 89.414 160.3612
244.938141 89.391 160.4927
246.713058 89.368 160.6278
248.500839 89.345 160.7496
250.301575 89.322 160.8422
252.115356 89.301 160.9044
253.942291 89.284 160.9452
255.782455 89.271 160.9757
257.635956 89.261 161.0048
259.502899 89.252 161.0369
261.383362 89.244 161.0728
263.277466 89.234 161.1088
265.185272 89.223 161.1387
267.106903 89.210 161.1583
269.042480 89.194 161.1689
270.992065 89.177 161.1755
272.955780 89.159 161.1839
274.933716 89.140 161.1969
276.925995 89.120 161.2148
278.932709 89.099 161.2357
280.953979 89.078 161.2580
282.989899 89.057 161.2813
285.040558 89.035 161.3032
287.106079 89.012 161.3201
289.186554 88.990 161.3311
291.282104 88.969 161.3405
293.392853 88.948 161.3534
295.518890 88.927 161.3719
297.660339 88.907 161.3960
299.817322 88.886 161.4249
301.989929 88.866 161.4571
304.178284 88.845 161.4918
306.382477 88.824 161.5295
308.602661 88.802 161.5714
310.838928 88.780 161.6174
313.091400 88.757 161.6660
315.360199 88.734 161.7155
317.645416 88.710 161.7662
319.947205 88.686 161.8200
322.265686 88.663 161.8784
324.600952 88.640 161.9419
326.953156 88.618 162.0092
329.322388 88.596 162.0789
331.708801 88.574 162.1494
334.112488 88.553 162.2204
336.533600 88.531 162.2920
338.972260 88.509 162.3646
341.428589 88.488 162.4388
343.902710 88.466 162.5156
346.394775 88.445 162.5958
348.904907 88.424 162.6793
351.433228 88.404 162.7646
353.979858 88.384 162.8504
356.544952 88.365 162.9357
359.128632 88.346 163.0200
361.731018 88.327 163.1032
364.352264 88.308 163.1858
366.992523 88.288 163.2687
369.651917 88.269 163.3541
372.330566 88.250 163.4439
375.028625 88.231 163.5396
377.746246 88.213 163.6405
