* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.960
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 13, 2023 7:10:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tripowin Piccolo L
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 96.623 -142.0954
20.507813 96.639 -142.1911
20.874023 96.685 -142.4502
21.240234 96.739 -142.7391
21.606445 96.790 -143.0644
21.972656 96.830 -143.4275
22.338867 96.851 -143.7859
22.705078 96.856 -144.1127
23.071289 96.856 -144.4326
23.437500 96.864 -144.8064
23.803711 96.888 -145.2811
24.169922 96.933 -145.8431
24.536133 96.998 -146.4133
24.902344 97.082 -146.8866
25.268555 97.181 -147.1864
25.634766 97.283 -147.2965
26.000977 97.374 -147.2550
26.367188 97.435 -147.1215
26.733399 97.459 -146.9523
27.099610 97.448 -146.8002
27.465821 97.415 -146.7247
27.832032 97.380 -146.7878
28.198243 97.357 -147.0288
28.564454 97.354 -147.4303
28.930665 97.366 -147.9066
29.296876 97.391 -148.3346
29.663087 97.423 -148.6134
30.029298 97.459 -148.7162
30.395509 97.496 -148.6984
30.761720 97.526 -148.6586
31.127931 97.541 -148.6806
31.494142 97.538 -148.7943
31.860353 97.521 -148.9750
32.226563 97.504 -149.1779
32.592774 97.499 -149.3759
32.958985 97.515 -149.5737
33.325196 97.548 -149.7919
33.691407 97.586 -150.0406
34.057618 97.617 -150.3049
34.423829 97.631 -150.5522
34.790040 97.629 -150.7560
35.156251 97.618 -150.9150
35.522462 97.605 -151.0531
35.888673 97.597 -151.2008
36.254884 97.596 -151.3736
36.621095 97.603 -151.5648
36.987306 97.618 -151.7576
37.353517 97.641 -151.9428
37.719728 97.668 -152.1241
38.085939 97.694 -152.3038
38.452150 97.712 -152.4619
38.818361 97.718 -152.5506
39.184572 97.715 -152.5193
39.550783 97.713 -152.3574
39.916994 97.722 -152.1236
40.283205 97.745 -151.9335
40.649416 97.775 -151.9051
41.015627 97.797 -152.0954
41.381838 97.795 -152.4686
41.748049 97.768 -152.9173
42.114260 97.723 -153.3218
42.480471 97.678 -153.6103
42.846682 97.650 -153.7838
43.212893 97.646 -153.8961
43.579103 97.659 -154.0084
43.945314 97.680 -154.1506
44.311525 97.696 -154.3139
44.677736 97.703 -154.4713
45.043947 97.703 -154.6033
45.410158 97.700 -154.7108
45.776369 97.698 -154.8073
46.142580 97.698 -154.9035
46.508791 97.699 -154.9975
46.875002 97.700 -155.0784
47.241213 97.702 -155.1380
47.607424 97.703 -155.1804
47.973635 97.705 -155.2227
48.339846 97.705 -155.2867
48.706057 97.703 -155.3872
49.072268 97.695 -155.5234
49.438479 97.681 -155.6768
49.804690 97.661 -155.8177
50.170901 97.639 -155.9180
50.537112 97.619 -155.9674
50.903323 97.608 -155.9833
51.269534 97.609 -156.0088
51.635745 97.619 -156.0927
52.001956 97.634 -156.2612
52.368167 97.644 -156.4958
52.734378 97.645 -156.7353
53.100589 97.637 -156.9059
53.466800 97.627 -156.9645
53.833011 97.622 -156.9282
54.199222 97.625 -156.8669
54.565432 97.632 -156.8613
54.931643 97.634 -156.9520
55.297854 97.628 -157.1166
55.664065 97.617 -157.2904
56.030276 97.617 -157.4191
56.396487 97.644 -157.5021
56.762698 97.703 -157.5951
57.128909 97.784 -157.7659
57.495120 97.862 -158.0352
57.861331 97.911 -158.3466
58.227542 97.915 -158.5886
58.593753 97.872 -158.6570
58.959964 97.797 -158.5175
59.326175 97.708 -158.2286
59.692386 97.623 -157.9111
60.058597 97.551 -157.6847
60.424808 97.495 -157.6123
60.791019 97.452 -157.6830
61.157230 97.423 -157.8368
61.523441 97.409 -158.0073
61.889652 97.410 -158.1527
62.255863 97.423 -158.2608
62.622074 97.440 -158.3345
62.988285 97.453 -158.3760
63.354496 97.456 -158.3820
63.720707 97.448 -158.3504
64.086918 97.432 -158.2897
64.453129 97.413 -158.2191
64.819340 97.395 -158.1623
65.185551 97.380 -158.1368
65.551762 97.371 -158.1494
65.917972 97.367 -158.1978
66.284183 97.367 -158.2758
66.650394 97.370 -158.3765
67.016605 97.373 -158.4912
67.382816 97.374 -158.6066
67.749027 97.371 -158.7049
68.115238 97.363 -158.7686
68.481449 97.352 -158.7886
68.847660 97.339 -158.7698
69.213871 97.326 -158.7304
69.580082 97.314 -158.6949
69.946293 97.302 -158.6838
70.312504 97.288 -158.7058
70.678715 97.272 -158.7565
71.044926 97.254 -158.8230
71.411137 97.237 -158.8912
71.777348 97.222 -158.9527
72.143559 97.212 -159.0058
72.509770 97.207 -159.0529
72.875981 97.205 -159.0963
73.242192 97.204 -159.1349
73.608403 97.201 -159.1638
73.974614 97.197 -159.1776
74.340825 97.191 -159.1736
74.707036 97.183 -159.1548
75.073247 97.175 -159.1297
75.439458 97.167 -159.1096
75.805669 97.160 -159.1058
76.171880 97.153 -159.1261
76.538091 97.145 -159.1726
76.904301 97.137 -159.2414
77.270512 97.127 -159.3237
77.636723 97.117 -159.4080
78.002934 97.105 -159.4837
78.369145 97.094 -159.5441
78.735356 97.085 -159.5887
79.101567 97.077 -159.6225
79.467778 97.072 -159.6535
79.833989 97.067 -159.6898
80.200200 97.063 -159.7361
80.566411 97.058 -159.7933
80.932622 97.053 -159.8584
81.298833 97.045 -159.9263
81.665044 97.036 -159.9902
82.031255 97.025 -160.0431
82.397466 97.012 -160.0786
82.763677 96.997 -160.0926
83.129888 96.983 -160.0846
83.496099 96.971 -160.0590
83.862310 96.961 -160.0240
84.228521 96.955 -159.9890
84.594732 96.953 -159.9615
84.960943 96.952 -159.9438
85.327154 96.953 -159.9334
85.693365 96.951 -159.9238
86.059576 96.947 -159.9087
86.425787 96.937 -159.8845
86.791998 96.923 -159.8526
87.158209 96.905 -159.8198
87.524420 96.883 -159.7968
87.890631 96.860 -159.7954
88.256841 96.838 -159.8251
88.623052 96.818 -159.8894
88.989263 96.801 -159.9837
89.355474 96.787 -160.0957
89.721685 96.775 -160.2080
90.087896 96.766 -160.3027
90.454107 96.758 -160.3661
90.820318 96.752 -160.3920
91.186529 96.746 -160.3823
91.552740 96.741 -160.3453
91.918951 96.737 -160.2919
92.285162 96.733 -160.2327
92.651373 96.728 -160.1753
93.017584 96.723 -160.1233
93.383795 96.717 -160.0767
93.750006 96.710 -160.0337
94.116217 96.701 -159.9922
94.482428 96.690 -159.9525
94.848639 96.679 -159.9185
95.214850 96.667 -159.8971
95.581061 96.656 -159.8967
95.947272 96.646 -159.9241
96.313483 96.636 -159.9817
96.679694 96.626 -160.0654
97.045905 96.617 -160.1657
97.412116 96.607 -160.2699
97.778327 96.597 -160.3651
98.144538 96.587 -160.4419
98.510749 96.576 -160.4959
98.876960 96.565 -160.5277
99.243170 96.553 -160.5425
99.609381 96.541 -160.5474
99.975592 96.528 -160.5499
100.341803 96.515 -160.5555
100.708014 96.504 -160.5670
101.074225 96.494 -160.5841
101.440436 96.486 -160.6038
101.806647 96.480 -160.6221
102.172858 96.477 -160.6349
102.539069 96.475 -160.6391
102.905280 96.473 -160.6331
103.271491 96.468 -160.6160
103.637702 96.459 -160.5875
104.003913 96.445 -160.5474
104.370124 96.426 -160.4967
104.736335 96.403 -160.4384
105.102546 96.378 -160.3781
105.468757 96.353 -160.3246
105.834968 96.331 -160.2877
106.201179 96.314 -160.2762
106.567390 96.302 -160.2949
106.933601 96.296 -160.3428
107.299812 96.293 -160.4126
107.666023 96.292 -160.4915
108.032234 96.290 -160.5642
108.398445 96.286 -160.6161
108.764656 96.278 -160.6363
109.130867 96.266 -160.6195
109.497078 96.250 -160.5665
109.863289 96.231 -160.4833
110.229500 96.207 -160.3787
110.595710 96.182 -160.2626
110.961921 96.155 -160.1447
111.328132 96.129 -160.0330
111.694343 96.105 -159.9345
112.060554 96.084 -159.8545
112.426765 96.066 -159.7970
112.792976 96.054 -159.7640
113.159187 96.045 -159.7555
113.525398 96.041 -159.7701
113.891609 96.041 -159.8054
114.257820 96.043 -159.8597
114.624031 96.048 -159.9323
114.990242 96.054 -160.0240
115.356453 96.061 -160.1355
115.722664 96.067 -160.2663
116.088875 96.070 -160.4125
116.455086 96.070 -160.5657
116.821297 96.065 -160.7139
117.187508 96.058 -160.8425
117.553719 96.049 -160.9381
117.919930 96.040 -160.9912
118.286141 96.034 -160.9987
118.652352 96.032 -160.9651
119.018563 96.035 -160.9016
119.384774 96.040 -160.8244
119.750985 96.046 -160.7520
120.117196 96.048 -160.7030
120.483407 96.043 -160.6937
120.849618 96.029 -160.7369
121.215829 96.006 -160.8401
121.582040 95.972 -161.0045
121.948250 95.931 -161.2236
122.314461 95.883 -161.4827
122.680672 95.833 -161.7582
123.046883 95.782 -162.0194
123.413094 95.732 -162.2323
123.779305 95.687 -162.3646
124.145516 95.647 -162.3934
124.511727 95.616 -162.3110
124.877938 95.594 -162.1286
125.244149 95.584 -161.8746
125.610360 95.584 -161.5879
125.976571 95.593 -161.3076
126.342782 95.609 -161.0641
126.708993 95.628 -160.8720
127.075204 95.646 -160.7304
127.441415 95.662 -160.6264
127.807626 95.676 -160.5423
128.173837 95.686 -160.4616
128.540048 95.694 -160.3736
128.906259 95.699 -160.2732
129.272470 95.702 -160.1602
129.638681 95.703 -160.0367
130.004892 95.702 -159.9057
130.371103 95.699 -159.7697
130.737314 95.694 -159.6312
131.103525 95.685 -159.4921
131.469736 95.674 -159.3540
131.835947 95.659 -159.2185
132.202158 95.641 -159.0873
132.568369 95.619 -158.9632
132.934579 95.596 -158.8503
133.300790 95.571 -158.7538
133.667001 95.548 -158.6794
134.033212 95.529 -158.6318
134.399423 95.513 -158.6136
134.765634 95.502 -158.6241
135.131845 95.496 -158.6594
135.498056 95.494 -158.7132
135.864267 95.494 -158.7779
136.230478 95.494 -158.8464
136.596689 95.493 -158.9125
136.962900 95.491 -158.9716
137.329111 95.485 -159.0202
137.695322 95.478 -159.0560
138.061533 95.468 -159.0772
138.427744 95.457 -159.0827
138.793955 95.446 -159.0722
139.160166 95.436 -159.0468
139.526377 95.428 -159.0088
139.892588 95.421 -158.9622
140.258799 95.417 -158.9120
140.625010 95.413 -158.8641
140.991221 95.410 -158.8241
141.357432 95.405 -158.7974
141.723643 95.400 -158.7877
142.089854 95.394 -158.7971
142.456065 95.386 -158.8252
142.822276 95.379 -158.8692
143.188487 95.371 -158.9234
143.554698 95.365 -158.9805
143.920909 95.361 -159.0315
144.287119 95.357 -159.0679
144.653330 95.355 -159.0825
145.019541 95.354 -159.0706
145.385752 95.353 -159.0307
145.751963 95.351 -158.9651
146.118174 95.347 -158.8785
146.484385 95.341 -158.7784
146.850596 95.333 -158.6732
147.216807 95.324 -158.5715
147.583018 95.313 -158.4805
147.949229 95.301 -158.4060
148.315440 95.290 -158.3511
148.681651 95.278 -158.3160
149.047862 95.266 -158.2989
149.414073 95.254 -158.2959
149.780284 95.242 -158.3023
150.146495 95.228 -158.3138
150.512706 95.213 -158.3268
150.878917 95.197 -158.3394
151.245128 95.179 -158.3507
151.611339 95.159 -158.3610
151.977550 95.139 -158.3703
152.343761 95.119 -158.3779
152.709972 95.099 -158.3819
153.076183 95.079 -158.3791
153.442394 95.062 -158.3657
153.808605 95.046 -158.3379
154.174816 95.032 -158.2929
154.541027 95.020 -158.2297
154.907238 95.010 -158.1494
155.273448 95.003 -158.0552
155.639659 94.996 -157.9518
156.005870 94.991 -157.8450
156.372081 94.986 -157.7403
156.738292 94.981 -157.6428
157.104503 94.975 -157.5557
157.470714 94.969 -157.4810
157.836925 94.962 -157.4187
158.203136 94.953 -157.3676
158.569347 94.944 -157.3255
158.935558 94.934 -157.2905
159.301769 94.924 -157.2604
159.667980 94.915 -157.2337
160.034191 94.906 -157.2098
160.400402 94.899 -157.1880
160.766613 94.892 -157.1679
161.132824 94.886 -157.1492
161.499035 94.881 -157.1309
161.865246 94.877 -157.1119
162.231457 94.872 -157.0906
162.597668 94.867 -157.0653
