* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.960
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 13, 2023 7:11:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tripowin Piccolo R
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 96.750 -153.3367
20.507813 96.741 -153.5930
20.874023 96.732 -154.1429
21.240234 96.770 -154.4034
21.606445 96.857 -154.5168
21.972656 96.964 -154.8104
22.338867 97.051 -155.4046
22.705078 97.093 -156.2480
23.071289 97.091 -157.2084
23.437500 97.069 -158.1476
23.803711 97.053 -158.9539
24.169922 97.060 -159.5183
24.536133 97.096 -159.7238
24.902344 97.169 -159.5029
25.268555 97.286 -158.9348
25.634766 97.442 -158.2865
26.000977 97.611 -157.9205
26.367188 97.744 -158.1004
26.733399 97.793 -158.8331
27.099610 97.738 -159.8548
27.465821 97.598 -160.7719
27.832032 97.432 -161.2792
28.198243 97.312 -161.3352
28.564454 97.286 -161.1696
28.930665 97.349 -161.1055
29.296876 97.449 -161.3319
29.663087 97.532 -161.7987
30.029298 97.571 -162.2947
30.395509 97.570 -162.6187
30.761720 97.554 -162.7119
31.127931 97.546 -162.6687
31.494142 97.550 -162.6404
31.860353 97.555 -162.7154
32.226563 97.548 -162.8701
32.592774 97.528 -163.0138
32.958985 97.507 -163.0779
33.325196 97.504 -163.0741
33.691407 97.529 -163.0828
34.057618 97.576 -163.1917
34.423829 97.631 -163.4362
34.790040 97.676 -163.7840
35.156251 97.698 -164.1665
35.522462 97.693 -164.5210
35.888673 97.664 -164.8119
36.254884 97.616 -165.0251
36.621095 97.559 -165.1524
36.987306 97.505 -165.1880
37.353517 97.469 -165.1415
37.719728 97.460 -165.0505
38.085939 97.478 -164.9777
38.452150 97.515 -164.9873
38.818361 97.554 -165.1189
39.184572 97.583 -165.3774
39.550783 97.593 -165.7435
39.916994 97.587 -166.1910
40.283205 97.572 -166.6939
40.649416 97.555 -167.2177
41.015627 97.542 -167.7081
41.381838 97.535 -168.0923
41.748049 97.536 -168.3002
42.114260 97.543 -168.2963
42.480471 97.554 -168.0997
42.846682 97.565 -167.7808
43.212893 97.571 -167.4355
43.579103 97.569 -167.1507
43.945314 97.558 -166.9803
44.311525 97.544 -166.9376
44.677736 97.536 -167.0039
45.043947 97.540 -167.1431
45.410158 97.562 -167.3166
45.776369 97.599 -167.4940
46.142580 97.643 -167.6599
46.508791 97.683 -167.8147
46.875002 97.708 -167.9702
47.241213 97.710 -168.1402
47.607424 97.687 -168.3319
47.973635 97.642 -168.5401
48.339846 97.583 -168.7482
48.706057 97.523 -168.9333
49.072268 97.472 -169.0746
49.438479 97.440 -169.1610
49.804690 97.431 -169.1952
50.170901 97.443 -169.1952
50.537112 97.470 -169.1888
50.903323 97.503 -169.2039
51.269534 97.535 -169.2589
51.635745 97.559 -169.3552
52.001956 97.573 -169.4792
52.368167 97.577 -169.6088
52.734378 97.575 -169.7220
53.100589 97.569 -169.8005
53.466800 97.560 -169.8294
53.833011 97.547 -169.7944
54.199222 97.531 -169.6844
54.565432 97.514 -169.5004
54.931643 97.497 -169.2650
55.297854 97.485 -169.0238
55.664065 97.476 -168.8330
56.030276 97.468 -168.7365
56.396487 97.457 -168.7460
56.762698 97.439 -168.8373
57.128909 97.415 -168.9656
57.495120 97.391 -169.0910
57.861331 97.373 -169.1966
58.227542 97.362 -169.2871
58.593753 97.359 -169.3725
58.959964 97.360 -169.4495
59.326175 97.360 -169.4975
59.692386 97.359 -169.4929
60.058597 97.357 -169.4295
60.424808 97.358 -169.3285
60.791019 97.359 -169.2293
61.157230 97.358 -169.1676
61.523441 97.350 -169.1591
61.889652 97.335 -169.2002
62.255863 97.315 -169.2844
62.622074 97.294 -169.4155
62.988285 97.276 -169.6061
63.354496 97.260 -169.8575
63.720707 97.240 -170.1386
64.086918 97.213 -170.3827
64.453129 97.181 -170.5115
64.819340 97.150 -170.4738
65.185551 97.131 -170.2747
65.551762 97.129 -169.9759
65.917972 97.143 -169.6659
66.284183 97.165 -169.4185
66.650394 97.183 -169.2638
67.016605 97.190 -169.1857
67.382816 97.184 -169.1417
67.749027 97.166 -169.0890
68.115238 97.142 -169.0027
68.481449 97.118 -168.8794
68.847660 97.097 -168.7309
69.213871 97.081 -168.5751
69.580082 97.069 -168.4306
69.946293 97.062 -168.3132
70.312504 97.058 -168.2338
70.678715 97.056 -168.1948
71.044926 97.053 -168.1895
71.411137 97.051 -168.2032
71.777348 97.047 -168.2187
72.143559 97.043 -168.2228
72.509770 97.040 -168.2100
72.875981 97.036 -168.1825
73.242192 97.031 -168.1466
73.608403 97.024 -168.1087
73.974614 97.014 -168.0726
74.340825 97.001 -168.0394
74.707036 96.986 -168.0084
75.073247 96.969 -167.9781
75.439458 96.951 -167.9455
75.805669 96.934 -167.9063
76.171880 96.917 -167.8554
76.538091 96.901 -167.7893
76.904301 96.888 -167.7083
77.270512 96.877 -167.6182
77.636723 96.870 -167.5295
78.002934 96.865 -167.4538
78.369145 96.861 -167.4000
78.735356 96.856 -167.3709
79.101567 96.848 -167.3627
79.467778 96.836 -167.3655
79.833989 96.820 -167.3661
80.200200 96.800 -167.3514
80.566411 96.777 -167.3120
80.932622 96.753 -167.2449
81.298833 96.732 -167.1549
81.665044 96.716 -167.0533
82.031255 96.705 -166.9543
82.397466 96.700 -166.8686
82.763677 96.698 -166.7998
83.129888 96.699 -166.7425
83.496099 96.699 -166.6856
83.862310 96.699 -166.6181
84.228521 96.698 -166.5343
84.594732 96.695 -166.4371
84.960943 96.691 -166.3356
85.327154 96.686 -166.2411
85.693365 96.678 -166.1615
86.059576 96.669 -166.0987
86.425787 96.658 -166.0486
86.791998 96.648 -166.0030
87.158209 96.638 -165.9531
87.524420 96.630 -165.8913
87.890631 96.624 -165.8126
88.256841 96.618 -165.7148
88.623052 96.612 -165.5985
88.989263 96.603 -165.4677
89.355474 96.592 -165.3292
89.721685 96.578 -165.1921
90.087896 96.562 -165.0651
90.454107 96.545 -164.9552
90.820318 96.527 -164.8655
91.186529 96.511 -164.7953
91.552740 96.496 -164.7415
91.918951 96.484 -164.6998
92.285162 96.474 -164.6664
92.651373 96.465 -164.6380
93.017584 96.457 -164.6118
93.383795 96.447 -164.5845
93.750006 96.436 -164.5524
94.116217 96.422 -164.5118
94.482428 96.406 -164.4596
94.848639 96.389 -164.3941
95.214850 96.372 -164.3149
95.581061 96.356 -164.2230
95.947272 96.342 -164.1205
96.313483 96.330 -164.0102
96.679694 96.320 -163.8953
97.045905 96.313 -163.7787
97.412116 96.308 -163.6618
97.778327 96.305 -163.5437
98.144538 96.301 -163.4213
98.510749 96.299 -163.2903
98.876960 96.296 -163.1476
99.243170 96.295 -162.9930
99.609381 96.294 -162.8311
99.975592 96.295 -162.6703
100.341803 96.297 -162.5210
100.708014 96.300 -162.3920
101.074225 96.302 -162.2879
101.440436 96.303 -162.2081
101.806647 96.301 -162.1464
102.172858 96.296 -162.0930
102.539069 96.286 -162.0371
102.905280 96.272 -161.9693
103.271491 96.254 -161.8828
103.637702 96.232 -161.7749
104.003913 96.206 -161.6462
104.370124 96.179 -161.4996
104.736335 96.150 -161.3391
105.102546 96.120 -161.1685
105.468757 96.090 -160.9903
105.834968 96.061 -160.8061
106.201179 96.034 -160.6177
106.567390 96.008 -160.4283
106.933601 95.985 -160.2440
107.299812 95.966 -160.0737
107.666023 95.950 -159.9273
108.032234 95.939 -159.8133
108.398445 95.931 -159.7358
108.764656 95.926 -159.6927
109.130867 95.924 -159.6747
109.497078 95.923 -159.6668
109.863289 95.924 -159.6510
110.229500 95.923 -159.6099
110.595710 95.921 -159.5296
110.961921 95.917 -159.4028
111.328132 95.911 -159.2298
111.694343 95.902 -159.0178
112.060554 95.893 -158.7792
112.426765 95.883 -158.5284
112.792976 95.876 -158.2788
113.159187 95.870 -158.0406
113.525398 95.869 -157.8199
113.891609 95.870 -157.6195
114.257820 95.874 -157.4399
114.624031 95.880 -157.2813
114.990242 95.885 -157.1449
115.356453 95.888 -157.0328
115.722664 95.886 -156.9476
116.088875 95.879 -156.8912
116.455086 95.866 -156.8630
116.821297 95.846 -156.8591
117.187508 95.821 -156.8723
117.553719 95.792 -156.8922
117.919930 95.762 -156.9076
118.286141 95.732 -156.9072
118.652352 95.705 -156.8812
119.018563 95.682 -156.8226
119.384774 95.665 -156.7279
119.750985 95.656 -156.5984
120.117196 95.655 -156.4413
120.483407 95.662 -156.2693
120.849618 95.679 -156.0991
121.215829 95.703 -155.9474
121.582040 95.732 -155.8265
121.948250 95.763 -155.7409
122.314461 95.792 -155.6861
122.680672 95.819 -155.6504
123.046883 95.839 -155.6184
123.413094 95.853 -155.5752
123.779305 95.859 -155.5092
124.145516 95.857 -155.4128
124.511727 95.846 -155.2821
124.877938 95.826 -155.1150
125.244149 95.797 -154.9108
125.610360 95.761 -154.6696
125.976571 95.718 -154.3937
126.342782 95.671 -154.0881
126.708993 95.624 -153.7613
127.075204 95.577 -153.4248
127.441415 95.535 -153.0918
127.807626 95.498 -152.7751
128.173837 95.465 -152.4855
128.540048 95.438 -152.2304
128.906259 95.414 -152.0134
129.272470 95.395 -151.8354
129.638681 95.378 -151.6955
130.004892 95.365 -151.5920
130.371103 95.354 -151.5226
130.737314 95.346 -151.4837
131.103525 95.340 -151.4690
131.469736 95.336 -151.4694
131.835947 95.332 -151.4723
132.202158 95.327 -151.4631
132.568369 95.321 -151.4267
132.934579 95.313 -151.3496
133.300790 95.302 -151.2222
133.667001 95.291 -151.0399
134.033212 95.279 -150.8043
134.399423 95.268 -150.5231
134.765634 95.260 -150.2087
135.131845 95.254 -149.8767
135.498056 95.251 -149.5435
135.864267 95.250 -149.2232
136.230478 95.250 -148.9258
136.596689 95.249 -148.6558
136.962900 95.244 -148.4124
137.329111 95.234 -148.1905
137.695322 95.220 -147.9834
138.061533 95.199 -147.7844
138.427744 95.174 -147.5893
138.793955 95.145 -147.3965
139.160166 95.114 -147.2074
139.526377 95.083 -147.0251
139.892588 95.054 -146.8526
140.258799 95.028 -146.6920
140.625010 95.005 -146.5437
140.991221 94.988 -146.4065
141.357432 94.974 -146.2782
141.723643 94.965 -146.1562
142.089854 94.959 -146.0386
142.456065 94.955 -145.9244
142.822276 94.952 -145.8132
143.188487 94.950 -145.7053
143.554698 94.946 -145.6007
143.920909 94.941 -145.4990
144.287119 94.936 -145.3990
144.653330 94.929 -145.2985
145.019541 94.921 -145.1941
145.385752 94.913 -145.0821
145.751963 94.905 -144.9586
146.118174 94.898 -144.8200
146.484385 94.891 -144.6640
146.850596 94.884 -144.4902
147.216807 94.876 -144.2998
147.583018 94.869 -144.0965
147.949229 94.861 -143.8854
148.315440 94.853 -143.6726
148.681651 94.844 -143.4642
149.047862 94.835 -143.2657
149.414073 94.827 -143.0806
149.780284 94.819 -142.9103
150.146495 94.812 -142.7541
150.512706 94.805 -142.6092
150.878917 94.801 -142.4716
151.245128 94.797 -142.3369
151.611339 94.794 -142.2006
151.977550 94.791 -142.0591
152.343761 94.788 -141.9100
152.709972 94.785 -141.7520
153.076183 94.781 -141.5846
153.442394 94.776 -141.4084
153.808605 94.770 -141.2242
154.174816 94.764 -141.0331
154.541027 94.758 -140.8359
154.907238 94.752 -140.6335
155.273448 94.747 -140.4263
155.639659 94.742 -140.2152
156.005870 94.738 -140.0015
156.372081 94.734 -139.7870
156.738292 94.729 -139.5743
157.104503 94.724 -139.3666
157.470714 94.718 -139.1673
157.836925 94.709 -138.9796
158.203136 94.698 -138.8060
158.569347 94.685 -138.6481
158.935558 94.671 -138.5064
159.301769 94.656 -138.3803
159.667980 94.641 -138.2679
160.034191 94.626 -138.1664
160.400402 94.612 -138.0724
160.766613 94.601 -137.9818
161.132824 94.590 -137.8904
161.499035 94.582 -137.7942
161.865246 94.576 -137.6894
162.231457 94.571 -137.5728
162.597668 94.567 -137.4423
