* Measurement data measured by REW V5.31.3
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.400
* Format: 256k Log Swept Sine, 1 sweep at -11.9 dBFS with no timing reference
* Dated: 07 7, 25 10:20:43 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear PURE L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 50.800 -39.8482
0.368865 50.797 -39.9027
0.371538 50.794 -39.9844
0.374230 50.789 -40.0868
0.376942 50.785 -40.2046
0.379673 50.779 -40.3337
0.382424 50.774 -40.4716
0.385196 50.768 -40.6167
0.387987 50.763 -40.7680
0.390798 50.757 -40.9251
0.393630 50.751 -41.0877
0.396483 50.745 -41.2557
0.399356 50.740 -41.4292
0.402250 50.734 -41.6080
0.405165 50.728 -41.7923
0.408101 50.722 -41.9821
0.411058 50.716 -42.1775
0.414037 50.709 -42.3785
0.417037 50.703 -42.5851
0.420059 50.697 -42.7974
0.423103 50.691 -43.0155
0.426169 50.685 -43.2395
0.429257 50.678 -43.4693
0.432368 50.672 -43.7050
0.435501 50.665 -43.9467
0.438656 50.659 -44.1944
0.441835 50.652 -44.4482
0.445037 50.646 -44.7081
0.448262 50.639 -44.9742
0.451510 50.633 -45.2465
0.454782 50.626 -45.5250
0.458077 50.619 -45.8099
0.461397 50.612 -46.1010
0.464740 50.606 -46.3985
0.468108 50.599 -46.7025
0.471500 50.592 -47.0129
0.474917 50.585 -47.3297
0.478358 50.578 -47.6531
0.481825 50.570 -47.9829
0.485316 50.563 -48.3194
0.488833 50.556 -48.6624
0.492375 50.549 -49.0121
0.495943 50.542 -49.3683
0.499537 50.534 -49.7312
0.503157 50.527 -50.1008
0.506803 50.519 -50.4770
0.510475 50.512 -50.8600
0.514175 50.504 -51.2496
0.517900 50.497 -51.6459
0.521653 50.489 -52.0489
0.525434 50.481 -52.4586
0.529241 50.473 -52.8750
0.533076 50.465 -53.2981
0.536939 50.458 -53.7279
0.540830 50.450 -54.1643
0.544749 50.442 -54.6074
0.548696 50.433 -55.0572
0.552673 50.425 -55.5136
0.556677 50.417 -55.9766
0.560711 50.409 -56.4461
0.564774 50.400 -56.9223
0.568867 50.392 -57.4049
0.572989 50.384 -57.8941
0.577141 50.375 -58.3898
0.581324 50.367 -58.8919
0.585536 50.358 -59.4003
0.589779 50.349 -59.9152
0.594053 50.340 -60.4364
0.598358 50.332 -60.9639
0.602694 50.323 -61.4977
0.607061 50.314 -62.0377
0.611460 50.305 -62.5839
0.615891 50.296 -63.1362
0.620354 50.287 -63.6946
0.624849 50.277 -64.2592
0.629377 50.268 -64.8298
0.633938 50.259 -65.4064
0.638532 50.249 -65.9890
0.643159 50.240 -66.5775
0.647819 50.230 -67.1721
0.652514 50.221 -67.7725
0.657242 50.211 -68.3789
0.662005 50.201 -68.9912
0.666802 50.191 -69.6094
0.671634 50.181 -70.2336
0.676501 50.172 -70.8637
0.681403 50.161 -71.4998
0.686341 50.151 -72.1419
0.691314 50.141 -72.7902
0.696324 50.131 -73.4447
0.701370 50.121 -74.1055
0.706452 50.111 -74.7729
0.711571 50.101 -75.4472
0.716728 50.092 -76.1289
0.721921 50.084 -76.8188
0.727153 50.077 -77.5179
0.732422 50.071 -78.2274
0.737729 50.067 -78.9491
0.743075 50.065 -79.6842
0.748460 50.064 -80.4341
0.753883 50.065 -81.1995
0.759346 50.065 -81.9810
0.764849 50.066 -82.7789
0.770391 50.068 -83.5932
0.775974 50.069 -84.4240
0.781597 50.071 -85.2711
0.787261 50.073 -86.1344
0.792966 50.074 -87.0138
0.798712 50.077 -87.9089
0.804500 50.079 -88.8196
0.810329 50.082 -89.7456
0.816201 50.084 -90.6866
0.822116 50.088 -91.6423
0.828073 50.091 -92.6124
0.834074 50.095 -93.5964
0.840118 50.099 -94.5941
0.846206 50.104 -95.6050
0.852338 50.109 -96.6288
0.858514 50.115 -97.6650
0.864735 50.121 -98.7132
0.871001 50.128 -99.7730
0.877313 50.135 -100.8441
0.883670 50.144 -101.9258
0.890074 50.153 -103.0178
0.896524 50.162 -104.1197
0.903020 50.173 -105.2310
0.909564 50.184 -106.3514
0.916155 50.197 -107.4804
0.922794 50.210 -108.6176
0.929481 50.225 -109.7627
0.936216 50.240 -110.9153
0.943000 50.257 -112.0751
0.949834 50.275 -113.2419
0.956717 50.295 -114.4152
0.963649 50.316 -115.5949
0.970632 50.338 -116.7809
0.977666 50.362 -117.9728
0.984750 50.387 -119.1707
0.991886 50.415 -120.3744
0.999074 50.444 -121.5838
1.006314 50.475 -122.7990
1.013606 50.507 -124.0201
1.020951 50.542 -125.2471
1.028349 50.579 -126.4801
1.035801 50.619 -127.7194
1.043307 50.660 -128.9653
1.050867 50.705 -130.2179
1.058482 50.751 -131.4778
1.066152 50.801 -132.7452
1.073878 50.853 -134.0206
1.081660 50.908 -135.3046
1.089498 50.966 -136.5974
1.097393 51.028 -137.8995
1.105345 51.092 -139.2109
1.113355 51.161 -140.5315
1.121423 51.232 -141.8608
1.129549 51.307 -143.1980
1.137734 51.386 -144.5423
1.145979 51.468 -145.8928
1.154283 51.554 -147.2484
1.162647 51.643 -148.6081
1.171072 51.736 -149.9708
1.179558 51.832 -151.3356
1.188106 51.932 -152.7015
1.196715 52.034 -154.0674
1.205387 52.140 -155.4325
1.214122 52.249 -156.7958
1.222920 52.362 -158.1564
1.231782 52.477 -159.5136
1.240708 52.595 -160.8666
1.249699 52.716 -162.2146
1.258754 52.839 -163.5570
1.267876 52.966 -164.8932
1.277063 53.094 -166.2226
1.286318 53.225 -167.5447
1.295639 53.359 -168.8591
1.305027 53.495 -170.1654
1.314484 53.632 -171.4632
1.324009 53.772 -172.7523
1.333604 53.913 -174.0324
1.343268 54.056 -175.3035
1.353002 54.201 -176.5652
1.362806 54.347 -177.8177
1.372681 54.494 -179.0608
1.382628 54.642 179.7055
1.392647 54.790 178.4811
1.402739 54.940 177.2661
1.412904 55.090 176.0604
1.423142 55.240 174.8642
1.433455 55.391 173.6777
1.443843 55.542 172.5015
1.454305 55.694 171.3362
1.464844 55.846 170.1833
1.475459 56.000 169.0441
1.486150 56.156 167.9200
1.496920 56.314 166.8119
1.507767 56.473 165.7204
1.518693 56.636 164.6455
1.529698 56.800 163.5868
1.540783 56.967 162.5438
1.551948 57.136 161.5157
1.563194 57.308 160.5015
1.574521 57.481 159.5003
1.585931 57.657 158.5110
1.597423 57.835 157.5326
1.608999 58.014 156.5640
1.620658 58.195 155.6041
1.632402 58.378 154.6519
1.644232 58.562 153.7061
1.656146 58.748 152.7659
1.668147 58.934 151.8300
1.680235 59.122 150.8975
1.692411 59.311 149.9674
1.704675 59.500 149.0387
1.717028 59.690 148.1103
1.729470 59.881 147.1815
1.742003 60.072 146.2514
1.754626 60.262 145.3192
1.767341 60.453 144.3844
1.780147 60.644 143.4467
1.793047 60.834 142.5062
1.806040 61.024 141.5634
1.819128 61.213 140.6195
1.832310 61.402 139.6765
1.845587 61.592 138.7368
1.858961 61.781 137.8027
1.872432 61.970 136.8758
1.886001 62.160 135.9573
1.899667 62.350 135.0478
1.913433 62.541 134.1470
1.927299 62.732 133.2548
1.941265 62.923 132.3704
1.955332 63.115 131.4933
1.969501 63.307 130.6224
1.983773 63.499 129.7571
1.998148 63.692 128.8963
2.012627 63.885 128.0391
2.027212 64.079 127.1846
2.041902 64.272 126.3318
2.056698 64.466 125.4798
2.071602 64.660 124.6277
2.086614 64.855 123.7744
2.101734 65.049 122.9193
2.116964 65.244 122.0615
2.132304 65.439 121.2006
2.147756 65.634 120.3362
2.163320 65.829 119.4687
2.178996 66.025 118.5986
2.194786 66.220 117.7274
2.210690 66.415 116.8570
2.226710 66.610 115.9893
2.242845 66.805 115.1259
2.259098 67.000 114.2677
2.275468 67.195 113.4150
2.291957 67.390 112.5679
2.308566 67.585 111.7258
2.325295 67.780 110.8879
2.342145 67.975 110.0535
2.359117 68.169 109.2216
2.376212 68.364 108.3911
2.393431 68.558 107.5610
2.410775 68.753 106.7303
2.428244 68.947 105.8979
2.445840 69.142 105.0629
2.463564 69.336 104.2241
2.481416 69.531 103.3807
2.499397 69.725 102.5322
2.517509 69.920 101.6783
2.535752 70.114 100.8190
2.554127 70.308 99.9552
2.572635 70.503 99.0883
2.591277 70.697 98.2198
2.610055 70.890 97.3512
2.628968 71.084 96.4838
2.648019 71.277 95.6180
2.667208 71.470 94.7540
2.686535 71.662 93.8917
2.706003 71.855 93.0306
2.725612 72.047 92.1701
2.745363 72.238 91.3093
2.765257 72.429 90.4475
2.785295 72.620 89.5837
2.805478 72.811 88.7171
2.825808 73.002 87.8466
2.846285 73.192 86.9714
2.866910 73.382 86.0909
2.887685 73.571 85.2047
2.908611 73.761 84.3125
2.929688 73.949 83.4150
2.950917 74.138 82.5131
2.972301 74.326 81.6077
2.993839 74.513 80.7000
3.015534 74.700 79.7909
3.037386 74.886 78.8808
3.059396 75.072 77.9701
3.081565 75.257 77.0588
3.103896 75.442 76.1467
3.126388 75.625 75.2335
3.149043 75.809 74.3186
3.171862 75.992 73.4016
3.194847 76.174 72.4817
3.217998 76.355 71.5583
3.241317 76.536 70.6307
3.264805 76.717 69.6983
3.288463 76.896 68.7609
3.312293 77.075 67.8185
3.336295 77.253 66.8714
3.360471 77.431 65.9203
3.384822 77.607 64.9658
3.409350 77.783 64.0089
3.434056 77.958 63.0500
3.458940 78.131 62.0896
3.484005 78.304 61.1281
3.509252 78.476 60.1657
3.534681 78.648 59.2022
3.560295 78.818 58.2374
3.586094 78.987 57.2709
3.612081 79.156 56.3022
3.638255 79.324 55.3304
3.664620 79.490 54.3551
3.691175 79.656 53.3756
3.717923 79.820 52.3920
3.744864 79.984 51.4044
3.772001 80.146 50.4138
3.799335 80.307 49.4208
3.826866 80.467 48.4265
3.854597 80.626 47.4315
3.882529 80.784 46.4366
3.910664 80.940 45.4422
3.939002 81.096 44.4485
3.967546 81.250 43.4551
3.996296 81.403 42.4617
4.025255 81.556 41.4673
4.054423 81.706 40.4711
4.083804 81.856 39.4724
4.113396 82.004 38.4710
4.143204 82.151 37.4677
4.173227 82.297 36.4630
4.203468 82.441 35.4582
4.233928 82.584 34.4543
4.264609 82.726 33.4522
4.295512 82.867 32.4527
4.326639 83.006 31.4560
4.357992 83.144 30.4619
4.389572 83.281 29.4698
4.421380 83.417 28.4786
4.453419 83.552 27.4877
4.485691 83.685 26.4966
4.518196 83.816 25.5057
4.550936 83.947 24.5156
4.583914 84.076 23.5273
4.617131 84.203 22.5420
4.650589 84.330 21.5605
4.684289 84.456 20.5836
4.718233 84.580 19.6115
4.752424 84.704 18.6438
4.786862 84.826 17.6798
4.821549 84.947 16.7188
4.856488 85.067 15.7602
4.891680 85.185 14.8041
4.927127 85.303 13.8510
4.962831 85.420 12.9015
4.998794 85.535 11.9565
5.035017 85.650 11.0167
5.071503 85.764 10.0824
5.108253 85.877 9.1538
5.145270 85.989 8.2305
5.182555 86.100 7.3120
5.220110 86.211 6.3976
5.257937 86.320 5.4873
5.296038 86.429 4.5809
5.334415 86.538 3.6788
5.373071 86.645 2.7814
5.412006 86.752 1.8887
5.451224 86.859 1.0011
5.490725 86.965 0.1185
5.530514 87.070 -0.7595
5.570590 87.176 -1.6332
5.610957 87.280 -2.5029
5.651616 87.384 -3.3691
5.692570 87.488 -4.2319
5.733821 87.592 -5.0915
5.775370 87.695 -5.9479
5.817221 87.798 -6.8011
5.859375 87.900 -7.6517
5.901834 88.002 -8.4996
5.944602 88.104 -9.3452
5.987679 88.206 -10.1888
6.031068 88.307 -11.0308
6.074771 88.408 -11.8712
6.118792 88.509 -12.7104
6.163131 88.610 -13.5488
6.207792 88.710 -14.3866
6.252776 88.809 -15.2241
6.298086 88.908 -16.0616
6.343725 89.007 -16.8990
6.389694 89.105 -17.7367
6.435996 89.203 -18.5745
6.482634 89.300 -19.4125
6.529610 89.397 -20.2507
6.576926 89.493 -21.0896
6.624585 89.588 -21.9293
6.672590 89.682 -22.7699
