* Measurement data measured by REW V5.31.3
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.400
* Format: 256k Log Swept Sine, 1 sweep at -11.9 dBFS with no timing reference
* Dated: 06 25, 25 11:52:04 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Xiaomi Buds 6 Play R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 42.826 1.0677
0.368865 42.832 1.0842
0.371538 42.841 1.1087
0.374230 42.852 1.1392
0.376942 42.864 1.1739
0.379673 42.877 1.2114
0.382424 42.891 1.2510
0.385196 42.905 1.2921
0.387987 42.920 1.3344
0.390798 42.934 1.3778
0.393630 42.949 1.4221
0.396483 42.964 1.4674
0.399356 42.979 1.5135
0.402250 42.994 1.5606
0.405165 43.009 1.6086
0.408101 43.025 1.6576
0.411058 43.040 1.7074
0.414037 43.056 1.7582
0.417037 43.071 1.8100
0.420059 43.087 1.8628
0.423103 43.103 1.9165
0.426169 43.119 1.9713
0.429257 43.135 2.0270
0.432368 43.151 2.0838
0.435501 43.168 2.1416
0.438656 43.184 2.2004
0.441835 43.201 2.2603
0.445037 43.218 2.3212
0.448262 43.234 2.3833
0.451510 43.251 2.4464
0.454782 43.268 2.5106
0.458077 43.286 2.5759
0.461397 43.303 2.6424
0.464740 43.320 2.7099
0.468108 43.338 2.7786
0.471500 43.356 2.8485
0.474917 43.374 2.9195
0.478358 43.392 2.9917
0.481825 43.410 3.0651
0.485316 43.428 3.1396
0.488833 43.446 3.2154
0.492375 43.465 3.2923
0.495943 43.483 3.3705
0.499537 43.502 3.4499
0.503157 43.521 3.5305
0.506803 43.540 3.6123
0.510475 43.559 3.6953
0.514175 43.579 3.7796
0.517900 43.598 3.8652
0.521653 43.618 3.9519
0.525434 43.637 4.0400
0.529241 43.657 4.1293
0.533076 43.677 4.2198
0.536939 43.698 4.3116
0.540830 43.718 4.4046
0.544749 43.738 4.4989
0.548696 43.759 4.5945
0.552673 43.780 4.6913
0.556677 43.801 4.7893
0.560711 43.822 4.8886
0.564774 43.843 4.9891
0.568867 43.864 5.0908
0.572989 43.886 5.1938
0.577141 43.907 5.2979
0.581324 43.929 5.4033
0.585536 43.951 5.5099
0.589779 43.973 5.6176
0.594053 43.996 5.7265
0.598358 44.018 5.8365
0.602694 44.041 5.9476
0.607061 44.064 6.0599
0.611460 44.087 6.1733
0.615891 44.110 6.2877
0.620354 44.133 6.4031
0.624849 44.157 6.5196
0.629377 44.180 6.6371
0.633938 44.204 6.7555
0.638532 44.228 6.8749
0.643159 44.252 6.9952
0.647819 44.277 7.1163
0.652514 44.301 7.2383
0.657242 44.326 7.3611
0.662005 44.351 7.4846
0.666802 44.376 7.6089
0.671634 44.401 7.7338
0.676501 44.426 7.8594
0.681403 44.452 7.9855
0.686341 44.478 8.1122
0.691314 44.504 8.2394
0.696324 44.530 8.3671
0.701370 44.557 8.4952
0.706452 44.584 8.6237
0.711571 44.612 8.7526
0.716728 44.641 8.8819
0.721921 44.671 9.0118
0.727153 44.704 9.1425
0.732422 44.739 9.2742
0.737729 44.777 9.4073
0.743075 44.818 9.5420
0.748460 44.862 9.6787
0.753883 44.908 9.8173
0.759346 44.955 9.9581
0.764849 45.004 10.1010
0.770391 45.054 10.2458
0.775974 45.106 10.3926
0.781597 45.159 10.5411
0.787261 45.213 10.6912
0.792966 45.268 10.8428
0.798712 45.324 10.9958
0.804500 45.382 11.1499
0.810329 45.440 11.3050
0.816201 45.500 11.4610
0.822116 45.561 11.6176
0.828073 45.623 11.7747
0.834074 45.686 11.9322
0.840118 45.750 12.0898
0.846206 45.815 12.2473
0.852338 45.882 12.4047
0.858514 45.949 12.5616
0.864735 46.018 12.7179
0.871001 46.087 12.8734
0.877313 46.158 13.0280
0.883670 46.230 13.1813
0.890074 46.303 13.3333
0.896524 46.377 13.4837
0.903020 46.451 13.6323
0.909564 46.527 13.7789
0.916155 46.604 13.9234
0.922794 46.682 14.0654
0.929481 46.761 14.2049
0.936216 46.841 14.3416
0.943000 46.921 14.4752
0.949834 47.003 14.6057
0.956717 47.086 14.7328
0.963649 47.169 14.8562
0.970632 47.253 14.9758
0.977666 47.338 15.0915
0.984750 47.424 15.2029
0.991886 47.510 15.3099
0.999074 47.597 15.4123
1.006314 47.685 15.5099
1.013606 47.774 15.6025
1.020951 47.863 15.6899
1.028349 47.953 15.7719
1.035801 48.043 15.8485
1.043307 48.134 15.9193
1.050867 48.225 15.9843
1.058482 48.316 16.0434
1.066152 48.409 16.0965
1.073878 48.501 16.1438
1.081660 48.594 16.1855
1.089498 48.687 16.2220
1.097393 48.782 16.2541
1.105345 48.876 16.2824
1.113355 48.972 16.3079
1.121423 49.069 16.3313
1.129549 49.167 16.3530
1.137734 49.267 16.3731
1.145979 49.367 16.3918
1.154283 49.469 16.4090
1.162647 49.572 16.4245
1.171072 49.677 16.4382
1.179558 49.782 16.4499
1.188106 49.889 16.4594
1.196715 49.997 16.4664
1.205387 50.106 16.4707
1.214122 50.216 16.4722
1.222920 50.327 16.4705
1.231782 50.440 16.4656
1.240708 50.553 16.4572
1.249699 50.667 16.4451
1.258754 50.782 16.4291
1.267876 50.899 16.4090
1.277063 51.016 16.3846
1.286318 51.133 16.3557
1.295639 51.252 16.3222
1.305027 51.371 16.2838
1.314484 51.491 16.2403
1.324009 51.612 16.1916
1.333604 51.733 16.1375
1.343268 51.855 16.0778
1.353002 51.977 16.0124
1.362806 52.099 15.9410
1.372681 52.222 15.8635
1.382628 52.345 15.7798
1.392647 52.469 15.6896
1.402739 52.592 15.5930
1.412904 52.715 15.4897
1.423142 52.839 15.3799
1.433455 52.962 15.2636
1.443843 53.085 15.1410
1.454305 53.209 15.0127
1.464844 53.332 14.8792
1.475459 53.456 14.7415
1.486150 53.579 14.6003
1.496920 53.703 14.4563
1.507767 53.828 14.3098
1.518693 53.952 14.1610
1.529698 54.077 14.0100
1.540783 54.203 13.8566
1.551948 54.329 13.7009
1.563194 54.455 13.5425
1.574521 54.582 13.3813
1.585931 54.709 13.2172
1.597423 54.836 13.0499
1.608999 54.964 12.8791
1.620658 55.092 12.7048
1.632402 55.220 12.5267
1.644232 55.349 12.3446
1.656146 55.477 12.1583
1.668147 55.606 11.9676
1.680235 55.736 11.7724
1.692411 55.865 11.5723
1.704675 55.995 11.3673
1.717028 56.124 11.1570
1.729470 56.254 10.9415
1.742003 56.384 10.7204
1.754626 56.514 10.4936
1.767341 56.645 10.2610
1.780147 56.775 10.0225
1.793047 56.905 9.7782
1.806040 57.035 9.5281
1.819128 57.165 9.2724
1.832310 57.295 9.0117
1.845587 57.425 8.7465
1.858961 57.555 8.4772
1.872432 57.685 8.2045
1.886001 57.815 7.9286
1.899667 57.944 7.6497
1.913433 58.074 7.3681
1.927299 58.203 7.0837
1.941265 58.332 6.7966
1.955332 58.461 6.5069
1.969501 58.591 6.2145
1.983773 58.720 5.9195
1.998148 58.849 5.6216
2.012627 58.977 5.3211
2.027212 59.106 5.0177
2.041902 59.235 4.7114
2.056698 59.364 4.4022
2.071602 59.493 4.0900
2.086614 59.621 3.7747
2.101734 59.750 3.4563
2.116964 59.879 3.1346
2.132304 60.008 2.8097
2.147756 60.137 2.4815
2.163320 60.265 2.1500
2.178996 60.394 1.8153
2.194786 60.523 1.4775
2.210690 60.652 1.1369
2.226710 60.780 0.7936
2.242845 60.908 0.4480
2.259098 61.036 0.1001
2.275468 61.164 -0.2499
2.291957 61.291 -0.6019
2.308566 61.418 -0.9558
2.325295 61.545 -1.3117
2.342145 61.672 -1.6695
2.359117 61.798 -2.0292
2.376212 61.925 -2.3909
2.393431 62.051 -2.7546
2.410775 62.177 -3.1202
2.428244 62.303 -3.4879
2.445840 62.429 -3.8576
2.463564 62.555 -4.2295
2.481416 62.681 -4.6034
2.499397 62.807 -4.9796
2.517509 62.933 -5.3579
2.535752 63.059 -5.7383
2.554127 63.185 -6.1208
2.572635 63.311 -6.5051
2.591277 63.436 -6.8913
2.610055 63.562 -7.2790
2.628968 63.687 -7.6682
2.648019 63.812 -8.0590
2.667208 63.937 -8.4511
2.686535 64.062 -8.8448
2.706003 64.186 -9.2401
2.725612 64.310 -9.6369
2.745363 64.434 -10.0355
2.765257 64.558 -10.4359
2.785295 64.682 -10.8381
2.805478 64.806 -11.2423
2.825808 64.930 -11.6486
2.846285 65.054 -12.0571
2.866910 65.177 -12.4677
2.887685 65.301 -12.8805
2.908611 65.425 -13.2955
2.929688 65.549 -13.7125
2.950917 65.672 -14.1313
2.972301 65.796 -14.5518
2.993839 65.920 -14.9739
3.015534 66.043 -15.3975
3.037386 66.166 -15.8226
3.059396 66.289 -16.2494
3.081565 66.412 -16.6779
3.103896 66.534 -17.1083
3.126388 66.657 -17.5408
3.149043 66.779 -17.9755
3.171862 66.902 -18.4127
3.194847 67.024 -18.8524
3.217998 67.146 -19.2949
3.241317 67.268 -19.7403
3.264805 67.390 -20.1885
3.288463 67.512 -20.6397
3.312293 67.633 -21.0936
3.336295 67.755 -21.5502
3.360471 67.876 -22.0093
3.384822 67.998 -22.4707
3.409350 68.119 -22.9345
3.434056 68.239 -23.4006
3.458940 68.360 -23.8690
3.484005 68.480 -24.3399
3.509252 68.600 -24.8134
3.534681 68.720 -25.2896
3.560295 68.839 -25.7687
3.586094 68.958 -26.2508
3.612081 69.077 -26.7361
3.638255 69.196 -27.2248
3.664620 69.314 -27.7170
3.691175 69.432 -28.2127
3.717923 69.549 -28.7119
3.744864 69.666 -29.2144
3.772001 69.783 -29.7201
3.799335 69.899 -30.2287
3.826866 70.015 -30.7399
3.854597 70.130 -31.2536
3.882529 70.245 -31.7697
3.910664 70.359 -32.2880
3.939002 70.472 -32.8084
3.967546 70.585 -33.3312
3.996296 70.697 -33.8565
4.025255 70.809 -34.3844
4.054423 70.920 -34.9154
4.083804 71.030 -35.4495
4.113396 71.140 -35.9867
4.143204 71.249 -36.5267
4.173227 71.357 -37.0691
4.203468 71.464 -37.6134
4.233928 71.571 -38.1590
4.264609 71.677 -38.7055
4.295512 71.782 -39.2525
4.326639 71.886 -39.7998
4.357992 71.989 -40.3473
4.389572 72.092 -40.8954
4.421380 72.193 -41.4443
4.453419 72.294 -41.9945
4.485691 72.393 -42.5458
4.518196 72.492 -43.0981
4.550936 72.590 -43.6509
4.583914 72.687 -44.2035
4.617131 72.782 -44.7551
4.650589 72.877 -45.3050
4.684289 72.972 -45.8528
4.718233 73.065 -46.3982
4.752424 73.157 -46.9411
4.786862 73.249 -47.4818
4.821549 73.340 -48.0207
4.856488 73.429 -48.5579
4.891680 73.518 -49.0933
4.927127 73.606 -49.6265
4.962831 73.693 -50.1570
4.998794 73.779 -50.6841
5.035017 73.865 -51.2072
5.071503 73.950 -51.7260
5.108253 74.035 -52.2401
5.145270 74.119 -52.7497
5.182555 74.202 -53.2548
5.220110 74.285 -53.7559
5.257937 74.367 -54.2529
5.296038 74.448 -54.7459
5.334415 74.529 -55.2347
5.373071 74.610 -55.7192
5.412006 74.691 -56.1992
5.451224 74.771 -56.6744
5.490725 74.851 -57.1448
5.530514 74.932 -57.6104
5.570590 75.012 -58.0713
5.610957 75.091 -58.5280
5.651616 75.171 -58.9807
5.692570 75.251 -59.4297
5.733821 75.331 -59.8755
5.775370 75.411 -60.3183
5.817221 75.491 -60.7582
5.859375 75.571 -61.1955
5.901834 75.652 -61.6301
5.944602 75.733 -62.0624
5.987679 75.813 -62.4925
6.031068 75.895 -62.9209
6.074771 75.976 -63.3483
6.118792 76.057 -63.7751
6.163131 76.139 -64.2018
6.207792 76.221 -64.6288
6.252776 76.303 -65.0564
6.298086 76.385 -65.4846
6.343725 76.468 -65.9135
6.389694 76.550 -66.3435
6.435996 76.632 -66.7747
6.482634 76.715 -67.2076
6.529610 76.797 -67.6425
6.576926 76.879 -68.0796
6.624585 76.961 -68.5192
6.672590 77.043 -68.9612
6.720942 77.124 -69.4057
6.769645 77.205 -69.8524
6.818700 77.286 -70.3013
6.868111 77.366 -70.7522
