* Measurement data measured by REW V5.31.3
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.400
* Format: 256k Log Swept Sine, 1 sweep at -11.9 dBFS with no timing reference
* Dated: 06 25, 25 11:57:33 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Xiaomi Buds 6 Play treble R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 28.291 -61.2845
0.368865 28.320 -61.1810
0.371538 28.363 -61.0281
0.374230 28.416 -60.8395
0.376942 28.475 -60.6273
0.379673 28.538 -60.4001
0.382424 28.604 -60.1635
0.385196 28.672 -59.9212
0.387987 28.740 -59.6752
0.390798 28.810 -59.4266
0.393630 28.880 -59.1759
0.396483 28.951 -58.9237
0.399356 29.023 -58.6700
0.402250 29.095 -58.4150
0.405165 29.167 -58.1588
0.408101 29.240 -57.9013
0.411058 29.314 -57.6426
0.414037 29.388 -57.3828
0.417037 29.462 -57.1219
0.420059 29.537 -56.8599
0.423103 29.613 -56.5968
0.426169 29.689 -56.3327
0.429257 29.766 -56.0676
0.432368 29.844 -55.8015
0.435501 29.922 -55.5344
0.438656 30.000 -55.2663
0.441835 30.079 -54.9974
0.445037 30.159 -54.7275
0.448262 30.239 -54.4568
0.451510 30.320 -54.1851
0.454782 30.401 -53.9127
0.458077 30.483 -53.6393
0.461397 30.566 -53.3652
0.464740 30.649 -53.0902
0.468108 30.733 -52.8145
0.471500 30.817 -52.5380
0.474917 30.902 -52.2606
0.478358 30.988 -51.9826
0.481825 31.074 -51.7037
0.485316 31.161 -51.4241
0.488833 31.248 -51.1437
0.492375 31.336 -50.8626
0.495943 31.425 -50.5807
0.499537 31.514 -50.2980
0.503157 31.605 -50.0146
0.506803 31.695 -49.7305
0.510475 31.787 -49.4456
0.514175 31.879 -49.1599
0.517900 31.971 -48.8734
0.521653 32.065 -48.5861
0.525434 32.159 -48.2981
0.529241 32.253 -48.0092
0.533076 32.349 -47.7195
0.536939 32.445 -47.4289
0.540830 32.542 -47.1375
0.544749 32.639 -46.8452
0.548696 32.738 -46.5521
0.552673 32.836 -46.2580
0.556677 32.936 -45.9630
0.560711 33.036 -45.6670
0.564774 33.138 -45.3700
0.568867 33.239 -45.0720
0.572989 33.342 -44.7730
0.577141 33.445 -44.4729
0.581324 33.549 -44.1717
0.585536 33.654 -43.8694
0.589779 33.760 -43.5659
0.594053 33.866 -43.2612
0.598358 33.973 -42.9553
0.602694 34.081 -42.6482
0.607061 34.190 -42.3397
0.611460 34.299 -42.0299
0.615891 34.410 -41.7188
0.620354 34.521 -41.4062
0.624849 34.632 -41.0922
0.629377 34.745 -40.7767
0.633938 34.859 -40.4596
0.638532 34.973 -40.1410
0.643159 35.088 -39.8207
0.647819 35.204 -39.4988
0.652514 35.321 -39.1752
0.657242 35.439 -38.8498
0.662005 35.557 -38.5226
0.666802 35.677 -38.1936
0.671634 35.797 -37.8627
0.676501 35.918 -37.5299
0.681403 36.040 -37.1951
0.686341 36.163 -36.8582
0.691314 36.286 -36.5193
0.696324 36.411 -36.1783
0.701370 36.536 -35.8353
0.706452 36.662 -35.4901
0.711571 36.788 -35.1430
0.716728 36.914 -34.7940
0.721921 37.040 -34.4435
0.727153 37.164 -34.0920
0.732422 37.287 -33.7399
0.737729 37.408 -33.3881
0.743075 37.527 -33.0373
0.748460 37.645 -32.6880
0.753883 37.762 -32.3406
0.759346 37.878 -31.9955
0.764849 37.994 -31.6528
0.770391 38.110 -31.3124
0.775974 38.227 -30.9744
0.781597 38.343 -30.6387
0.787261 38.459 -30.3053
0.792966 38.576 -29.9742
0.798712 38.692 -29.6453
0.804500 38.809 -29.3185
0.810329 38.926 -28.9938
0.816201 39.043 -28.6711
0.822116 39.160 -28.3503
0.828073 39.278 -28.0314
0.834074 39.395 -27.7144
0.840118 39.513 -27.3991
0.846206 39.631 -27.0855
0.852338 39.749 -26.7736
0.858514 39.868 -26.4633
0.864735 39.986 -26.1545
0.871001 40.105 -25.8472
0.877313 40.224 -25.5413
0.883670 40.344 -25.2368
0.890074 40.463 -24.9336
0.896524 40.583 -24.6317
0.903020 40.704 -24.3311
0.909564 40.824 -24.0316
0.916155 40.945 -23.7333
0.922794 41.066 -23.4360
0.929481 41.188 -23.1398
0.936216 41.310 -22.8446
0.943000 41.432 -22.5504
0.949834 41.555 -22.2571
0.956717 41.678 -21.9646
0.963649 41.801 -21.6730
0.970632 41.926 -21.3822
0.977666 42.050 -21.0921
0.984750 42.175 -20.8028
0.991886 42.301 -20.5142
0.999074 42.427 -20.2262
1.006314 42.554 -19.9389
1.013606 42.681 -19.6522
1.020951 42.809 -19.3660
1.028349 42.938 -19.0804
1.035801 43.067 -18.7953
1.043307 43.197 -18.5106
1.050867 43.328 -18.2265
1.058482 43.460 -17.9427
1.066152 43.592 -17.6594
1.073878 43.726 -17.3765
1.081660 43.860 -17.0938
1.089498 43.994 -16.8115
1.097393 44.130 -16.5294
1.105345 44.266 -16.2474
1.113355 44.403 -15.9656
1.121423 44.540 -15.6840
1.129549 44.678 -15.4026
1.137734 44.816 -15.1216
1.145979 44.954 -14.8411
1.154283 45.093 -14.5613
1.162647 45.232 -14.2823
1.171072 45.372 -14.0044
1.179558 45.512 -13.7277
1.188106 45.652 -13.4525
1.196715 45.793 -13.1789
1.205387 45.934 -12.9072
1.214122 46.075 -12.6374
1.222920 46.217 -12.3699
1.231782 46.359 -12.1049
1.240708 46.502 -11.8424
1.249699 46.645 -11.5828
1.258754 46.789 -11.3263
1.267876 46.932 -11.0729
1.277063 47.077 -10.8230
1.286318 47.222 -10.5766
1.295639 47.367 -10.3340
1.305027 47.513 -10.0955
1.314484 47.659 -9.8610
1.324009 47.806 -9.6310
1.333604 47.953 -9.4054
1.343268 48.101 -9.1845
1.353002 48.249 -8.9685
1.362806 48.398 -8.7575
1.372681 48.547 -8.5517
1.382628 48.697 -8.3512
1.392647 48.848 -8.1561
1.402739 48.999 -7.9666
1.412904 49.150 -7.7826
1.423142 49.303 -7.6042
1.433455 49.456 -7.4311
1.443843 49.609 -7.2631
1.454305 49.763 -7.0996
1.464844 49.918 -6.9397
1.475459 50.073 -6.7828
1.486150 50.229 -6.6278
1.496920 50.385 -6.4743
1.507767 50.542 -6.3220
1.518693 50.699 -6.1709
1.529698 50.857 -6.0211
1.540783 51.015 -5.8729
1.551948 51.173 -5.7268
1.563194 51.332 -5.5832
1.574521 51.491 -5.4424
1.585931 51.651 -5.3049
1.597423 51.811 -5.1711
1.608999 51.972 -5.0415
1.620658 52.132 -4.9165
1.632402 52.293 -4.7964
1.644232 52.455 -4.6816
1.656146 52.617 -4.5726
1.668147 52.779 -4.4697
1.680235 52.942 -4.3733
1.692411 53.104 -4.2837
1.704675 53.268 -4.2012
1.717028 53.431 -4.1262
1.729470 53.595 -4.0590
1.742003 53.759 -3.9997
1.754626 53.924 -3.9486
1.767341 54.088 -3.9058
1.780147 54.254 -3.8713
1.793047 54.419 -3.8448
1.806040 54.584 -3.8258
1.819128 54.750 -3.8135
1.832310 54.916 -3.8068
1.845587 55.083 -3.8042
1.858961 55.249 -3.8047
1.872432 55.416 -3.8075
1.886001 55.582 -3.8121
1.899667 55.749 -3.8188
1.913433 55.916 -3.8277
1.927299 56.084 -3.8394
1.941265 56.251 -3.8544
1.955332 56.418 -3.8734
1.969501 56.586 -3.8969
1.983773 56.753 -3.9256
1.998148 56.921 -3.9602
2.012627 57.088 -4.0011
2.027212 57.256 -4.0490
2.041902 57.424 -4.1044
2.056698 57.591 -4.1678
2.071602 57.759 -4.2397
2.086614 57.927 -4.3206
2.101734 58.095 -4.4109
2.116964 58.262 -4.5109
2.132304 58.430 -4.6207
2.147756 58.597 -4.7405
2.163320 58.765 -4.8698
2.178996 58.932 -5.0082
2.194786 59.099 -5.1546
2.210690 59.266 -5.3077
2.226710 59.433 -5.4663
2.242845 59.599 -5.6294
2.259098 59.765 -5.7965
2.275468 59.931 -5.9674
2.291957 60.097 -6.1422
2.308566 60.262 -6.3211
2.325295 60.427 -6.5045
2.342145 60.592 -6.6929
2.359117 60.756 -6.8868
2.376212 60.920 -7.0866
2.393431 61.083 -7.2929
2.410775 61.246 -7.5061
2.428244 61.409 -7.7267
2.445840 61.572 -7.9552
2.463564 61.734 -8.1920
2.481416 61.895 -8.4374
2.499397 62.057 -8.6917
2.517509 62.217 -8.9549
2.535752 62.378 -9.2270
2.554127 62.538 -9.5074
2.572635 62.697 -9.7957
2.591277 62.856 -10.0908
2.610055 63.014 -10.3922
2.628968 63.171 -10.6991
2.648019 63.328 -11.0112
2.667208 63.484 -11.3282
2.686535 63.639 -11.6502
2.706003 63.793 -11.9770
2.725612 63.947 -12.3088
2.745363 64.100 -12.6457
2.765257 64.252 -12.9879
2.785295 64.403 -13.3356
2.805478 64.554 -13.6890
2.825808 64.704 -14.0483
2.846285 64.853 -14.4138
2.866910 65.002 -14.7857
2.887685 65.150 -15.1641
2.908611 65.297 -15.5493
2.929688 65.443 -15.9411
2.950917 65.588 -16.3396
2.972301 65.732 -16.7445
2.993839 65.876 -17.1554
3.015534 66.018 -17.5720
3.037386 66.159 -17.9937
3.059396 66.298 -18.4203
3.081565 66.437 -18.8512
3.103896 66.575 -19.2861
3.126388 66.712 -19.7247
3.149043 66.847 -20.1669
3.171862 66.982 -20.6123
3.194847 67.116 -21.0609
3.217998 67.248 -21.5126
3.241317 67.380 -21.9678
3.264805 67.511 -22.4264
3.288463 67.640 -22.8891
3.312293 67.769 -23.3561
3.336295 67.896 -23.8279
3.360471 68.021 -24.3045
3.384822 68.146 -24.7857
3.409350 68.269 -25.2711
3.434056 68.391 -25.7600
3.458940 68.511 -26.2517
3.484005 68.631 -26.7454
3.509252 68.749 -27.2406
3.534681 68.865 -27.7366
3.560295 68.981 -28.2328
3.586094 69.096 -28.7290
3.612081 69.209 -29.2251
3.638255 69.321 -29.7213
3.664620 69.432 -30.2181
3.691175 69.542 -30.7162
3.717923 69.651 -31.2161
3.744864 69.758 -31.7180
3.772001 69.863 -32.2217
3.799335 69.967 -32.7267
3.826866 70.070 -33.2323
3.854597 70.172 -33.7376
3.882529 70.272 -34.2417
3.910664 70.371 -34.7439
3.939002 70.470 -35.2435
3.967546 70.567 -35.7399
3.996296 70.663 -36.2332
4.025255 70.758 -36.7235
4.054423 70.852 -37.2113
4.083804 70.945 -37.6972
4.113396 71.037 -38.1815
4.143204 71.127 -38.6644
4.173227 71.216 -39.1455
4.203468 71.305 -39.6243
4.233928 71.392 -40.1003
4.264609 71.478 -40.5728
4.295512 71.564 -41.0411
4.326639 71.649 -41.5048
4.357992 71.734 -41.9633
4.389572 71.818 -42.4169
4.421380 71.901 -42.8655
4.453419 71.984 -43.3096
4.485691 72.066 -43.7495
4.518196 72.147 -44.1855
4.550936 72.228 -44.6177
4.583914 72.308 -45.0461
4.617131 72.388 -45.4707
4.650589 72.467 -45.8914
4.684289 72.547 -46.3079
4.718233 72.627 -46.7201
4.752424 72.706 -47.1279
4.786862 72.786 -47.5312
4.821549 72.865 -47.9302
4.856488 72.945 -48.3251
4.891680 73.024 -48.7165
4.927127 73.104 -49.1049
4.962831 73.184 -49.4908
4.998794 73.264 -49.8749
5.035017 73.344 -50.2576
5.071503 73.425 -50.6392
5.108253 73.506 -51.0199
5.145270 73.587 -51.3997
5.182555 73.669 -51.7787
5.220110 73.752 -52.1569
5.257937 73.834 -52.5348
5.296038 73.918 -52.9131
5.334415 74.001 -53.2925
5.373071 74.085 -53.6738
5.412006 74.169 -54.0579
5.451224 74.254 -54.4452
5.490725 74.339 -54.8361
5.530514 74.424 -55.2307
5.570590 74.510 -55.6290
5.610957 74.595 -56.0310
5.651616 74.682 -56.4370
5.692570 74.768 -56.8474
5.733821 74.854 -57.2626
5.775370 74.940 -57.6831
5.817221 75.026 -58.1093
5.859375 75.112 -58.5417
5.901834 75.197 -58.9802
5.944602 75.283 -59.4248
5.987679 75.368 -59.8752
6.031068 75.452 -60.3313
6.074771 75.536 -60.7927
